name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989
OperatingCashFlow,"1,715,000,000","1,185,000,000","-1,200,000,000","-1,740,000,000","3,470,000,000","174,000,000","-2,863,000,000","-2,604,000,000","-908,000,000","-168,000,000","600,000,000","828,000,000","736,000,000","1,651,000,000","729,000,000","-79,000,000","1,084,000,000","1,799,000,000","437,000,000","369,000,000","1,688,000,000","2,250,000,000","627,000,000","1,064,000,000","2,213,000,000","2,620,000,000","228,000,000","1,180,000,000","2,347,000,000","2,494,000,000","804,000,000","-361,000,000","1,381,000,000","1,256,000,000","-1,128,000,000","-37,000,000","1,157,000,000","683,000,000","-288,000,000","-155,000,000","655,000,000","1,067,000,000","334,000,000","-307,000,000","-55,000,000","708,000,000","151,000,000","-83,000,000","717,000,000","456,000,000","4,000,000","-12,000,000","479,000,000","459,000,000","-1,364,000,000","-1,184,000,000","705,000,000","449,000,000","-10,000,000","202,000,000","841,000,000","902,000,000","210,000,000","118,000,000","822,000,000","789,000,000","-8,000,000","-32,000,000","599,000,000","465,000,000","-86,000,000","70,000,000","362,000,000","371,000,000","-208,000,000","425,000,000","705,000,000","-321,000,000","-639,000,000","-558,000,000","492,000,000","-406,000,000","-795,000,000","421,000,000","866,000,000","19,000,000","410,000,000","923,000,000","1,288,000,000","521,000,000","101,000,000","910,000,000","1,075,000,000","178,000,000","606,000,000","1,271,000,000","806,000,000","512,000,000","541,000,000","1,320,000,000","827,000,000","232,000,000","728,000,000","860,000,000","803,000,000","325,000,000","267,000,000","811,000,000","854,000,000","253,000,000","-63,000,000","680,000,000","790,000,000","202,000,000","-14,000,000","524,000,000","611,000,000","256,000,000","107,000,000","101,000,000","478,000,000","157,000,000","147,700,000","427,700,000","468,200,000","-299,600,000","-181,600,000","459,800,000","483,300,000","-75,700,000","265,100,000","300,800,000"
	CashFlowFromContinuingOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-288,000,000","-155,000,000","655,000,000","1,067,000,000","334,000,000","-307,000,000","-55,000,000","708,000,000","151,000,000","-83,000,000","717,000,000","456,000,000","4,000,000","-12,000,000","479,000,000","459,000,000","-1,364,000,000","-1,184,000,000","705,000,000","449,000,000","-10,000,000","202,000,000","841,000,000","902,000,000","210,000,000","118,000,000","822,000,000","789,000,000","-8,000,000","-32,000,000","599,000,000","465,000,000","-86,000,000","70,000,000","362,000,000","371,000,000","-208,000,000","425,000,000","705,000,000","-321,000,000","-639,000,000","-558,000,000","492,000,000","-406,000,000","-795,000,000","421,000,000","866,000,000","19,000,000","410,000,000","923,000,000","1,288,000,000","521,000,000","101,000,000","910,000,000","1,075,000,000","178,000,000","606,000,000","1,271,000,000","806,000,000","512,000,000","541,000,000","1,320,000,000","827,000,000","232,000,000","728,000,000","860,000,000","803,000,000","325,000,000","267,000,000","811,000,000","854,000,000","253,000,000","-63,000,000","680,000,000","790,000,000","202,000,000","-14,000,000","524,000,000","611,000,000","256,000,000","107,000,000","101,000,000","478,000,000","157,000,000","147,700,000","427,700,000","468,200,000","-299,600,000","-181,600,000","459,800,000","483,300,000","-75,700,000","265,100,000","300,800,000"
		NetIncomeFromContinuingOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-69,000,000","175,000,000","317,000,000","81,000,000","17,000,000","15,000,000","291,000,000","-92,000,000","-604,000,000","-153,000,000","58,000,000","-162,000,000","-387,000,000","-214,000,000","6,000,000","-166,000,000","-111,000,000","1,000,000","-75,000,000","-1,043,000,000","-529,000,000","-1,912,000,000","-495,000,000","-575,000,000","-798,000,000","-414,000,000","-507,000,000","-43,000,000","61,000,000","322,000,000","321,000,000","132,000,000","-49,000,000","279,000,000","268,000,000","158,000,000","182,000,000","433,000,000","409,000,000","290,000,000","208,000,000","323,000,000","302,000,000","152,000,000","509,000,000","282,000,000","293,000,000","157,000,000","-269,000,000","235,000,000","192,000,000","38,000,000","-123,000,000","205,000,000","153,000,000","-7,000,000","-260,000,000","125,000,000","47,000,000","-22,000,000","-244,000,000","-85,000,000","-166,000,000","20,000,000","-125,000,000","70,300,000","10,300,000","-195,600,000","-215,100,000","65,600,000","129,200,000","-19,300,000","38,900,000","137,000,000"
		DepreciationAmortizationDepletion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,094,000,000","-307,000,000","-295,000,000","-290,000,000","2,025,000,000","-290,000,000","-291,000,000","-287,000,000","2,032,000,000","-292,000,000","-286,000,000","-290,000,000","2,255,000,000","-317,000,000","-320,000,000","-326,000,000","2,404,000,000","-345,000,000","-344,000,000","-338,000,000","2,385,000,000","-340,000,000","-338,000,000","-341,000,000","2,437,000,000","-368,000,000","-352,000,000","-313,000,000","2,091,000,000","-307,000,000","-294,000,000","-288,000,000","2,076,000,000","-317,000,000","-351,000,000","-316,000,000","2,253,000,000","-319,000,000","-324,000,000","-323,000,000","2,177,000,000","-311,000,000","-310,000,000","-312,000,000","2,103,000,000","-302,000,000","-297,000,000","-300,000,000","2,206,000,000","-314,000,000","-318,000,000","-315,000,000","2,191,000,000","-298,000,000","-320,000,000","-320,000,000","-334,000,000","-293,000,000","-304,000,000","-292,000,000","-275,000,000","-263,000,000","-259,000,000","-244,000,000","-244,900,000","-224,800,000","-211,800,000","-201,500,000","-199,500,000","-186,100,000","-173,500,000","-164,000,000","-158,600,000","-157,000,000"
			DepreciationAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-341,000,000",,,"-352,000,000","-313,000,000","2,091,000,000","-307,000,000","-294,000,000","-288,000,000","2,076,000,000","-317,000,000","-351,000,000","-316,000,000","2,253,000,000","-319,000,000","-324,000,000","-323,000,000","2,177,000,000","-311,000,000","-310,000,000","-312,000,000","2,103,000,000","-302,000,000","-297,000,000","-300,000,000","2,206,000,000","-314,000,000","-318,000,000","-315,000,000","2,191,000,000","-298,000,000","-320,000,000","-320,000,000","-334,000,000","-293,000,000","-304,000,000","-292,000,000","-275,000,000","-263,000,000","-259,000,000","-244,000,000","-244,900,000","-224,800,000","-211,800,000","-201,500,000","-199,500,000","-186,100,000","-173,500,000","-164,000,000","-158,600,000","-157,000,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-341,000,000",,,"-352,000,000","-313,000,000","1,817,000,000","-307,000,000","-294,000,000","-288,000,000","1,848,000,000","-317,000,000","-351,000,000","-316,000,000","1,972,000,000","-319,000,000","-324,000,000","-323,000,000","1,929,000,000","-311,000,000","-310,000,000","-312,000,000","2,103,000,000","-302,000,000","-297,000,000","-300,000,000","2,206,000,000","-314,000,000","-318,000,000","-315,000,000","2,191,000,000","-298,000,000","-320,000,000","-320,000,000","-334,000,000","-293,000,000","-304,000,000","-292,000,000","-275,000,000","-263,000,000","-259,000,000","-244,000,000","-244,900,000","-224,800,000","-211,800,000","-201,500,000","-199,500,000","-186,100,000","-173,500,000","-164,000,000","-158,600,000","-157,000,000"
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,900,000","60,700,000"
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,900,000","60,700,000"
		OtherNonCashItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-869,000,000","307,000,000","295,000,000","290,000,000","-726,000,000","290,000,000","291,000,000","287,000,000","-841,000,000","292,000,000","286,000,000","290,000,000","-953,000,000","317,000,000","320,000,000","326,000,000","-1,067,000,000","345,000,000","344,000,000","338,000,000","-946,000,000","-816,000,000","1,153,000,000","682,000,000","-807,000,000","-297,000,000","704,000,000","626,000,000","-1,777,000,000","614,000,000","588,000,000","576,000,000","-1,448,000,000","634,000,000","702,000,000","632,000,000","-1,741,000,000","638,000,000","648,000,000","646,000,000","-1,780,000,000","622,000,000","620,000,000","624,000,000","-1,939,000,000","604,000,000","594,000,000","600,000,000","-2,073,000,000","628,000,000","636,000,000","630,000,000","-1,839,000,000","596,000,000","640,000,000","640,000,000","668,000,000","586,000,000","608,000,000","584,000,000","550,000,000","526,000,000","518,000,000","488,000,000","489,800,000","449,600,000","423,600,000","403,000,000","399,000,000","372,200,000","347,000,000","328,000,000","317,200,000","314,000,000"
		ChangeInWorkingCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,061,000,000","27,000,000","524,000,000","821,000,000","-1,099,000,000","103,000,000","531,000,000","881,000,000","-625,000,000","121,000,000","541,000,000","627,000,000","-876,000,000","284,000,000","356,000,000","537,000,000","-949,000,000","424,000,000","780,000,000","722,000,000","-2,526,000,000",,,"-172,000,000","-2,086,000,000","1,500,000,000","1,021,000,000","-251,000,000","-331,000,000","294,000,000","673,000,000","101,000,000","-222,000,000","314,000,000","456,000,000","-296,000,000","-381,000,000","519,000,000","73,000,000","-101,000,000","-426,000,000","686,000,000","215,000,000","-232,000,000","36,000,000","276,000,000","213,000,000","-132,000,000","-192,000,000","262,000,000","344,000,000","-100,000,000","-740,000,000","177,000,000","317,000,000","-111,000,000","-254,000,000","106,000,000","260,000,000","-14,000,000","12,000,000","-77,000,000","385,000,000","-107,000,000","60,800,000","132,600,000","246,100,000","-305,500,000","-46,000,000","208,100,000","180,600,000","-220,400,000","41,700,000","-53,900,000"
