name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000
OperatingCashFlow,"1,042,698,000","207,839,000","314,051,000","265,827,000","254,981,000","88,125,000","226,834,000","222,318,000","488,543,000","71,847,000","107,054,000","84,293,000","55,228,000","53,769,000","161,457,000","88,212,000","106,786,000","69,125,000","136,613,000","82,299,000","94,153,000","18,654,000","131,338,000","53,600,000","27,805,000","19,439,000","107,038,000","94,752,000","80,449,000","90,648,000","104,617,000","61,402,000","61,682,000","45,444,000","97,334,000","79,489,000","73,788,000","54,389,000","61,291,000","111,268,000","67,850,000","18,088,000","24,320,000","44,972,000","59,538,000","14,128,000","66,450,000","72,073,000","92,535,000","49,485,000","88,936,000","35,214,000","33,126,000","57,297,000","83,944,000","14,915,000","11,261,000","15,198,000","100,699,000","52,038,000","778,000","43,195,000","102,767,000","2,017,000","14,862,000","27,013,000","53,035,000","79,273,000","64,387,000","45,375,000","31,614,000","-4,616,000","31,059,000","39,917,000","-44,138,000","35,977,000","9,448,000","-74,781,000","47,987,000","-50,977,000","90,040,000","-6,640,000","27,861,000","-92,034,000","71,706,000"
	CashFlowFromContinuingOperatingActivities,"1,042,698,000","207,839,000","314,051,000","265,827,000","254,981,000","88,125,000","226,834,000","222,318,000","488,543,000","71,847,000","107,054,000","84,293,000","55,228,000","53,769,000","161,457,000","88,212,000","106,786,000","69,125,000","136,613,000","82,299,000","94,153,000","18,654,000","131,338,000","53,600,000","27,805,000","19,439,000","107,038,000","94,752,000","80,449,000","90,648,000","104,617,000","61,402,000","61,682,000","45,444,000","97,334,000","79,489,000","73,788,000","54,389,000","61,291,000","111,268,000","67,850,000","18,088,000","24,320,000","44,972,000","59,538,000","14,128,000","66,450,000","72,073,000","92,535,000","49,485,000","88,936,000","35,214,000","33,126,000","57,297,000","83,944,000","14,915,000","11,261,000","15,198,000","100,699,000","52,038,000","778,000","43,195,000","102,767,000","2,017,000","14,862,000","27,013,000","53,035,000","79,273,000","64,387,000","45,375,000","31,614,000","-4,616,000","31,059,000","39,917,000","-44,138,000","35,977,000","9,448,000","-74,781,000","47,987,000","-50,977,000","90,040,000","-6,640,000","27,861,000","-92,034,000","71,706,000"
		NetIncomeFromContinuingOperations,"484,895,000","81,511,000","176,739,000","119,535,000","107,110,000","89,933,000","183,967,000","74,054,000","78,912,000","23,353,000","-410,245,000","59,974,000","86,868,000","-29,710,000","210,974,000","71,131,000","-21,150,000","9,612,000","209,448,000","-24,163,000","38,940,000","-752,000","28,417,000","-7,946,000","20,574,000","471,000","-37,582,000","-12,754,000","28,390,000","29,232,000","41,644,000","27,576,000","28,981,000","4,026,000","28,201,000","24,722,000","20,963,000","20,103,000","52,169,000","35,409,000","31,196,000","10,940,000","33,033,000","28,342,000","24,472,000","10,462,000","42,530,000","34,039,000","32,776,000","33,611,000","28,135,000","14,073,000","10,563,000","23,385,000","62,256,000","5,241,000","1,530,000","-5,331,000","50,681,000","32,352,000","43,185,000","6,197,000","58,220,000","7,082,000","10,696,000","-3,699,000","27,469,000","29,863,000","15,854,000","675,000","27,062,000","133,902,000","-51,428,000","-58,580,000","-7,178,000","-24,575,000","-31,345,000","-37,892,000","-34,204,000","-6,650,000","-8,032,000","-4,211,000","-49,022,000","-1,582,000","31,155,000"
		OperatingGainsLosses,"-1,008,000","-6,240,000","6,042,000","-810,000","0","16,000","-370,000","-156,000","76,000","-6,717,000","5,309,000","559,000","0","245,000",,,,,"-95,000","378,000","-93,000","-54,000","0","-11,000","0","132,000","3,006,000","66,937,000","114,000","1,209,000","0","0",,,"272,000","5,025,000","595,000","-23,000","291,000","-915,000","-1,021,000","-196,000","100,000","-163,000","-181,000","-120,000","-60,000","-161,000","-2,158,000","-1,222,000","-248,000","2,430,000","-2,826,000","-957,000","-153,579,000","1,547,000","710,000","-3,436,000","-4,245,000","1,464,000","873,000","-1,382,000","1,992,000","-5,587,000","-6,805,000","6,389,000",,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-7,050,000","-6,240,000","0","-810,000","0","16,000","-370,000","-163,000","2,000","-6,717,000",,,,,"0","0","0","0","-95,000","211,000","-93,000","-54,000","0","-11,000","0","0","7,000","208,000","114,000","1,209,000","0","0","14,679,000","0","272,000","501,000","-399,000","-23,000","0","-1,058,000","-1,163,000","-196,000","100,000","-163,000","-181,000","-120,000","-60,000","-161,000","-2,158,000","-1,222,000","4,000","0","0","-957,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-252,000",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"356,415,000","85,257,000","92,099,000","93,015,000","86,044,000","86,172,000","87,275,000","83,317,000","83,157,000","74,352,000","75,537,000","83,464,000","78,832,000","78,988,000","75,871,000","68,076,000","61,810,000","59,796,000","55,421,000","51,200,000","47,625,000","43,217,000","44,523,000","42,380,000","42,001,000","39,817,000","36,732,000","37,609,000","36,888,000","36,375,000","36,831,000","34,298,000","34,794,000","32,401,000","28,347,000","27,950,000","24,311,000","21,063,000","20,685,000","19,062,000","16,042,000","16,405,000","20,244,000","9,964,000","8,775,000","8,330,000","6,554,000","8,987,000","9,149,000","9,663,000","9,104,000","9,624,000","8,182,000","8,503,000","9,508,000","9,174,000","13,276,000","8,826,000","6,827,000","12,630,000","10,521,000","10,034,000","13,491,000","10,737,000","6,977,000","13,987,000","9,039,000","12,311,000","13,614,000","13,542,000","17,563,000","14,127,000","16,661,000","14,242,000","-3,653,000","15,136,000","16,907,000","14,174,000","27,841,000","22,835,000","22,277,000","27,360,000","16,102,000","17,673,000","21,279,000"
			DepreciationAndAmortization,"356,415,000","85,257,000","92,099,000","93,015,000","86,044,000","86,172,000","87,275,000","83,317,000","83,157,000","74,352,000","75,537,000","83,464,000","78,832,000","78,988,000","75,871,000","68,076,000","61,810,000","59,796,000","55,421,000","51,200,000","47,625,000","43,217,000","44,523,000","42,380,000","42,001,000","39,817,000","36,732,000","37,609,000","36,888,000","36,375,000","36,831,000","34,298,000","34,794,000","32,401,000","28,347,000","27,950,000","24,311,000","21,063,000","20,685,000","19,062,000","16,042,000","16,405,000","20,244,000","9,964,000","8,775,000","8,330,000","6,554,000","8,987,000","9,149,000","9,663,000","9,104,000","9,624,000","8,182,000","8,503,000","9,508,000","9,174,000","13,276,000","8,826,000","6,827,000","12,630,000","10,521,000","10,034,000","13,491,000","10,737,000","6,977,000","13,987,000","9,039,000","12,311,000","13,614,000","13,542,000","17,563,000","14,127,000","16,661,000","14,242,000","-3,653,000","15,136,000","16,907,000","14,174,000","27,841,000","22,835,000","22,277,000","27,360,000","16,102,000","17,673,000","21,279,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,403,000","8,567,000","9,079,000","8,519,000","9,039,000","7,597,000","7,919,000","9,048,000","8,715,000","12,817,000","8,366,000","6,368,000","12,171,000","10,062,000","9,575,000","12,021,000","10,275,000","6,519,000","13,526,000","8,498,000","11,768,000","13,066,000","13,004,000","14,243,000","15,053,000","15,405,000","14,266,000","13,921,000","10,110,000","19,340,000","16,767,000","27,196,000","21,695,000","24,959,000","29,802,000","18,568,000","20,186,000","23,242,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,603,000","584,000","582,000","584,000","585,000","585,000","585,000","584,000","460,000","459,000","459,000","460,000","459,000","459,000","459,000","459,000","1,470,000","462,000","458,000","461,000","541,000","543,000","548,000","538,000","3,320,000","-926,000","1,256,000","-24,000","-17,574,000","5,026,000","-2,433,000","-2,593,000","645,000","1,140,000","-2,682,000","-2,442,000","-2,466,000","-2,513,000","-1,963,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,603,000","584,000","582,000","584,000","585,000","585,000","585,000","584,000","460,000","459,000","459,000","460,000","459,000","459,000","459,000","459,000","1,470,000","462,000","458,000","461,000","541,000","543,000","548,000","538,000","3,320,000","-926,000","1,256,000","-24,000","-17,574,000","5,026,000","-2,433,000","-2,593,000","645,000","1,140,000","-2,682,000","-2,442,000","-2,466,000","-2,513,000","-1,963,000"
		DeferredTax,"148,242,000","23,682,000","56,346,000","35,967,000","32,247,000","27,839,000","58,267,000","35,813,000","32,166,000","7,352,000","-112,001,000","-8,430,000","-64,873,000","4,751,000","26,127,000","-108,000","12,845,000","3,716,000","-102,436,000","10,106,000","10,582,000","418,000","26,587,000","13,127,000","7,375,000","292,000","-32,315,000","-13,356,000","12,744,000","7,029,000","-2,432,000","11,216,000","-24,052,000","2,554,000","12,345,000","11,059,000","9,300,000","-9,848,000","30,019,000","19,474,000","19,292,000","6,580,000","66,734,000","11,058,000","1,139,000","2,685,000","44,891,000","3,260,000","13,046,000","1,765,000","17,123,000","7,068,000","7,942,000","15,538,000","43,234,000","4,270,000","4,292,000","-1,406,000","16,908,000","7,825,000",,,,,,,,,,,,,,,,,,,"-17,970,000","-6,347,000",,"5,646,000","-38,585,000","-13,499,000",
