name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
OperatingCashFlow,"1,361,900,000","409,000,000","205,100,000","371,300,000","376,500,000","210,800,000","27,300,000","70,600,000","426,900,000","127,700,000","2,100,000","187,200,000","95,300,000","65,200,000","-96,300,000","77,300,000","-6,700,000","35,800,000","23,100,000","124,900,000","20,000,000","98,300,000","-8,800,000","81,500,000","24,600,000","45,000,000","10,400,000","55,800,000","9,100,000","80,100,000","-74,400,000","77,900,000","26,100,000","54,600,000","-24,300,000","50,300,000","16,300,000","8,400,000","-37,300,000","34,500,000","18,200,000","-36,100,000","-251,500,000","77,200,000","42,800,000","-49,600,000","53,900,000","-6,900,000","4,600,000","-41,700,000","51,200,000","30,600,000","-13,000,000","42,100,000","70,600,000","352,500,000","106,400,000","-300,000","29,727,000","87,698,000","-3,729,000","-44,360,000","-59,780,000","82,676,000","31,999,000","73,686,000","-90,749,000","6,898,000","2,282,000","41,112,000","15,785,000","-40,308,000","23,010,000","-8,905,000","28,546,000","36,067,000","2,759,000","29,238,000","-1,875,000","35,908,000","17,573,000","16,400,000"
	CashFlowFromContinuingOperatingActivities,"1,361,900,000","409,000,000","205,100,000","371,300,000","376,500,000","210,800,000","27,300,000","70,600,000","426,900,000","127,700,000","2,100,000","187,200,000","95,300,000","65,200,000","-96,300,000","77,300,000","-6,700,000","35,800,000","23,100,000","124,900,000","20,000,000","98,300,000","-8,800,000","81,500,000","24,600,000","45,000,000","10,400,000","55,800,000","9,100,000","80,100,000","-74,400,000","77,900,000","26,100,000","54,600,000","-24,300,000","50,300,000","16,300,000","8,400,000","-37,300,000","34,500,000","18,200,000","-36,100,000","-251,500,000","77,200,000","42,800,000","-49,600,000","53,900,000","-6,900,000","4,600,000","-41,700,000","51,200,000","30,600,000","-13,000,000","42,100,000","70,600,000","352,500,000","106,400,000","-300,000","31,728,000","87,698,000","-3,729,000","-46,361,000","-61,959,000","84,543,000","31,999,000","73,686,000","-90,749,000","6,898,000","2,282,000","41,112,000","15,785,000","-40,308,000","23,010,000","-8,905,000","28,546,000","36,067,000","2,759,000","29,238,000","-1,875,000","35,908,000","17,573,000","16,400,000"
		NetIncomeFromContinuingOperations,"677,300,000","237,700,000","140,500,000","147,000,000","152,100,000","92,800,000","89,100,000","96,200,000","49,600,000","19,500,000","43,600,000","45,000,000","54,900,000","40,900,000","40,400,000","44,300,000","43,200,000","40,100,000","42,500,000","30,700,000","31,900,000","34,000,000","67,100,000","32,400,000","36,700,000","31,000,000","41,100,000","51,100,000","41,100,000","35,900,000","11,800,000","32,500,000","35,900,000","31,400,000","26,900,000","22,700,000","27,000,000","32,500,000",,,,,,,,"19,900,000","5,400,000","12,500,000","12,800,000","7,400,000","200,000","7,400,000","5,500,000","300,000","-365,400,000","6,000,000","10,900,000","10,500,000","10,953,000","19,010,000","20,559,000","433,000","12,013,000","17,179,000","19,004,000","12,553,000","20,502,000","14,952,000","15,987,000","9,640,000","12,845,000","12,116,000","14,748,000","10,364,000","-20,427,000","16,244,000","12,273,000","7,097,000","5,499,000","14,645,000","12,779,000","5,162,000"
		OperatingGainsLosses,,"-33,100,000","-2,300,000",,,,"-3,200,000","-24,700,000","0","-13,100,000","2,600,000","0",,,,,,,,,,,,,,,"-13,000,000","-21,200,000","0","500,000","32,100,000","300,000",,,"800,000","6,700,000","2,400,000","-14,600,000","-900,000","-1,000,000",,,"-7,800,000","400,000",,,"11,300,000",,,,,,,,"-39,000,000","2,000,000","2,500,000","2,000,000","17,303,000","3,235,000","3,945,000","3,284,000","4,019,000","3,798,000","-856,000","2,461,000","697,000","1,461,000","1,995,000","1,139,000","-274,000","2,905,000","2,137,000","1,553,000","41,652,000","-9,922,000","10,479,000","-304,000","582,000","0","904,000","-459,000"
			GainLossOnSaleOfBusiness,"-41,100,000","-33,100,000","0","-8,000,000","0","0","-3,900,000","-24,700,000","0","-33,700,000","0","0",,,,,,,,,,,,,,,"-13,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000","200,000","0","500,000","200,000","300,000",,,"800,000","-100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"50,500,000","18,400,000","11,300,000","10,700,000","10,100,000","9,800,000","9,500,000","9,800,000","9,700,000","9,500,000","9,500,000","9,100,000","9,000,000","8,600,000","8,500,000","8,500,000","8,500,000","8,200,000","8,100,000","8,100,000","8,000,000","7,900,000","7,700,000","7,800,000","7,700,000","7,500,000","7,500,000","7,500,000","7,200,000","7,300,000","7,000,000","6,700,000","6,400,000","6,300,000","6,300,000","6,200,000","5,900,000","5,900,000","5,700,000","5,400,000","5,800,000","5,700,000","8,000,000","11,800,000","5,800,000","5,300,000","4,300,000","5,500,000","9,700,000","1,600,000","7,700,000","7,000,000","7,900,000","8,300,000","8,800,000","7,800,000","7,800,000","7,500,000","10,458,000","6,030,000","6,013,000","5,982,000","5,645,000","5,502,000","5,809,000","5,612,000","5,965,000","5,799,000","6,009,000","5,593,000","5,408,000","5,186,000","6,097,000","5,739,000","6,659,000","6,531,000","6,455,000","7,225,000","7,766,000","6,720,000","8,182,000","5,808,000"
			DepreciationAndAmortization,"50,500,000","18,400,000","11,300,000","10,700,000","10,100,000","9,800,000","9,500,000","9,800,000","9,700,000","9,500,000","9,500,000","9,100,000","9,000,000","8,600,000","8,500,000","8,500,000","8,500,000","8,200,000","8,100,000","8,100,000","8,000,000","7,900,000","7,700,000","7,800,000","7,700,000","7,500,000","7,500,000","7,500,000","7,200,000","7,300,000","7,000,000","6,700,000","6,400,000","6,300,000","6,300,000","6,200,000","5,900,000","5,900,000","5,700,000","5,400,000","5,800,000","5,700,000","8,000,000","11,800,000","5,800,000","5,300,000","4,300,000","5,500,000","9,700,000","1,600,000","7,700,000","7,000,000","7,900,000","8,300,000","8,800,000","7,800,000","7,800,000","7,500,000","10,458,000","6,030,000","6,013,000","5,982,000","5,645,000","5,502,000","5,809,000","5,612,000","5,965,000","5,799,000","6,009,000","5,593,000","5,408,000","5,186,000","6,097,000","5,739,000","6,659,000","6,531,000","6,455,000","7,225,000","7,766,000","6,720,000","8,182,000","5,808,000"
				Depreciation,,,,,,"16,500,000","15,800,000","14,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,800,000",,,,,,,,"6,200,000","5,300,000","5,900,000","6,100,000","5,700,000","6,500,000","5,700,000","5,500,000","5,396,000","5,385,000","5,356,000","5,355,000","5,045,000","4,901,000","5,224,000","5,039,000","5,379,000","5,206,000","5,339,000","5,250,000","5,060,000","5,125,000","5,460,000","5,206,000","5,259,000","5,180,000","5,151,000","5,947,000","6,430,000","5,636,000",,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,200,000",,,,,,,"1,600,000","1,500,000","1,700,000","2,000,000","2,200,000","3,100,000","1,300,000","2,100,000","2,000,000","5,062,000","645,000","657,000","627,000","600,000","601,000","585,000","573,000","586,000","593,000","670,000","343,000","348,000","61,000","637,000","533,000","1,400,000","1,351,000","1,304,000","1,278,000","1,336,000","1,084,000",,
