name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalRevenue,"11,556,600,000","3,911,800,000","2,654,800,000","2,406,000,000","2,584,000,000","2,192,900,000","2,234,000,000","1,845,400,000","1,445,100,000","1,607,300,000","1,894,000,000","1,842,000,000","1,803,500,000","1,670,800,000","1,784,200,000","1,757,400,000","1,723,600,000","1,609,200,000","1,670,900,000","1,602,100,000","1,631,800,000","1,551,700,000","1,666,500,000","1,683,100,000","1,627,400,000","1,550,800,000","1,640,500,000","1,716,400,000","1,689,600,000","1,541,800,000","1,503,000,000","1,505,600,000","1,503,400,000","1,355,700,000","1,375,000,000","1,390,000,000","1,344,500,000","1,225,400,000","1,196,200,000","1,197,900,000","1,191,000,000","1,099,500,000","1,089,500,000","1,072,700,000","1,086,200,000","1,049,600,000","816,500,000","1,093,900,000","1,061,700,000","960,000,000","939,200,000","983,000,000","942,400,000","838,300,000","794,800,000","1,220,600,000","1,322,400,000","1,285,400,000","1,299,830,000","1,491,034,000","1,506,533,000","1,415,570,000","1,325,297,000","1,520,446,000","1,517,937,000","1,386,969,000","1,405,350,000","1,448,435,000","1,476,859,000","1,351,961,000","1,353,060,000","1,390,026,000","1,391,184,000","1,223,228,000","1,163,472,000","1,285,468,000","1,246,702,000","1,101,272,000","1,078,458,000","1,214,127,000","1,154,779,000","1,068,585,000"
	OperatingRevenue,"11,556,600,000","3,911,800,000","2,654,800,000","2,406,000,000","2,584,000,000","2,192,900,000","2,234,000,000","1,845,400,000","1,445,100,000","1,607,300,000","1,894,000,000","1,842,000,000","1,803,500,000","1,670,800,000","1,784,200,000","1,757,400,000","1,723,600,000","1,609,200,000","1,670,900,000","1,602,100,000","1,631,800,000","1,551,700,000","1,666,500,000","1,683,100,000","1,627,400,000","1,550,800,000","1,640,500,000","1,716,400,000","1,689,600,000","1,541,800,000","1,503,000,000","1,505,600,000","1,503,400,000","1,355,700,000","1,375,000,000","1,390,000,000","1,344,500,000","1,225,400,000","1,196,200,000","1,197,900,000","1,191,000,000","1,099,500,000","1,089,500,000","1,072,700,000","1,086,200,000","1,049,600,000","816,500,000","1,093,900,000","1,061,700,000","960,000,000","939,200,000","983,000,000","942,400,000","838,300,000","794,800,000","1,220,600,000","1,322,400,000","1,285,400,000","1,299,830,000","1,491,034,000","1,506,533,000","1,415,570,000","1,325,297,000","1,520,446,000","1,517,937,000","1,386,969,000","1,405,350,000","1,448,435,000","1,476,859,000","1,351,961,000","1,353,060,000","1,390,026,000","1,391,184,000","1,223,228,000","1,163,472,000","1,285,468,000","1,246,702,000","1,101,272,000","1,078,458,000","1,214,127,000","1,154,779,000","1,068,585,000"
CostOfRevenue,"9,245,100,000","3,119,800,000","2,112,500,000","1,926,000,000","2,086,800,000","1,810,200,000","1,861,700,000","1,509,500,000","1,202,300,000","1,334,900,000","1,592,400,000","1,548,900,000","1,508,500,000","1,391,600,000","1,502,400,000","1,479,400,000","1,445,800,000","1,343,800,000","1,402,500,000","1,341,800,000","1,364,700,000","1,291,600,000","1,401,900,000","1,417,400,000","1,359,800,000","1,290,000,000","1,380,100,000","1,443,700,000","1,418,300,000","1,285,400,000","1,258,400,000","1,261,000,000","1,255,500,000","1,125,600,000","1,151,400,000","1,164,700,000","1,122,600,000","1,018,700,000","1,006,200,000","1,002,800,000","994,600,000","910,000,000","909,700,000","889,700,000","897,300,000","876,700,000","685,000,000","916,100,000","885,800,000","797,100,000","784,600,000","820,300,000","786,500,000","690,200,000","656,500,000","1,022,300,000","1,109,800,000","1,076,700,000","1,095,176,000","1,262,719,000","1,274,121,000","1,191,507,000","1,117,308,000","1,290,686,000","1,289,155,000","1,175,421,000","1,197,147,000","1,228,405,000","1,255,484,000","1,141,467,000","1,141,331,000","1,181,783,000","1,179,835,000","1,032,187,000","984,704,000","1,087,393,000","1,055,696,000","926,492,000","908,247,000","1,027,031,000","973,044,000","896,610,000"
GrossProfit,"2,311,500,000","792,000,000","542,300,000","480,000,000","497,200,000","382,700,000","372,300,000","335,900,000","242,800,000","272,400,000","301,600,000","293,100,000","295,000,000","279,200,000","281,800,000","278,000,000","277,800,000","265,400,000","268,400,000","260,300,000","267,100,000","260,100,000","264,600,000","265,700,000","267,600,000","260,800,000","260,400,000","272,700,000","271,300,000","256,400,000","244,600,000","244,600,000","247,900,000","230,100,000","223,600,000","225,300,000","221,900,000","206,700,000","190,000,000","195,100,000","196,400,000","189,500,000","179,800,000","183,000,000","188,900,000","172,900,000","131,500,000","177,800,000","175,900,000","162,900,000","154,600,000","162,700,000","155,900,000","148,100,000","138,300,000","198,300,000","212,600,000","208,700,000","204,654,000","228,315,000","232,412,000","224,063,000","207,989,000","229,760,000","228,782,000","211,548,000","208,203,000","220,030,000","221,375,000","210,494,000","211,729,000","208,243,000","211,349,000","191,041,000","178,768,000","198,075,000","191,006,000","174,780,000","170,211,000","187,096,000","181,735,000","171,975,000"
OperatingExpense,"1,340,600,000","471,200,000","311,600,000","279,000,000","278,800,000","246,400,000","237,800,000","216,800,000","160,600,000","214,400,000","215,400,000","210,900,000","209,100,000","201,400,000","200,800,000","197,200,000","198,200,000","192,200,000","189,200,000","190,600,000","195,500,000","187,800,000","184,500,000","195,000,000","189,500,000","191,900,000","190,700,000","196,100,000","189,100,000","183,300,000","178,900,000","178,500,000","175,700,000","165,900,000","165,500,000","167,300,000","164,500,000","154,100,000","142,500,000","145,700,000","148,200,000","146,700,000","139,400,000","148,700,000","151,400,000","150,500,000","103,700,000","143,600,000","139,800,000","134,400,000","126,400,000","134,800,000","132,200,000","129,400,000","659,400,000","168,600,000","176,400,000","173,500,000","165,943,000","181,452,000","178,973,000","181,714,000","165,582,000","180,072,000","176,828,000","170,689,000","166,220,000","175,451,000","175,653,000","178,334,000","173,811,000","173,829,000","171,981,000","158,718,000","186,654,000","155,700,000","152,880,000","148,111,000","145,901,000","148,327,000","145,684,000","138,848,000"
	SellingGeneralAndAdministration,"1,289,600,000","455,500,000","295,700,000","268,700,000","269,700,000","239,800,000","228,500,000","206,500,000","152,200,000","194,700,000","206,100,000","202,000,000","200,700,000","191,000,000","192,200,000","188,800,000","190,600,000","184,200,000","180,500,000","182,500,000","185,600,000","181,100,000","183,300,000","185,700,000","182,300,000","181,200,000","183,500,000","188,800,000","181,900,000","175,700,000","171,100,000","171,500,000","169,200,000","159,800,000","157,300,000","159,700,000","154,200,000","148,100,000","136,800,000","141,100,000","142,100,000","141,400,000","134,300,000","141,200,000","142,800,000","134,800,000","97,800,000","137,500,000","134,600,000","129,100,000","120,700,000","129,400,000","126,700,000","123,700,000","119,400,000","162,200,000","168,700,000","168,300,000","159,554,000","176,067,000","173,625,000","176,386,000","160,537,000","174,996,000","171,715,000","165,714,000","160,921,000","170,506,000","170,551,000","173,084,000","168,808,000","168,836,000","166,574,000","153,579,000","143,519,000","150,559,000","147,825,000","142,164,000","139,471,000","142,595,000","139,650,000","133,015,000"
		GeneralAndAdministrativeExpense,"1,023,200,000","365,500,000","235,800,000","212,700,000","209,100,000","194,700,000","184,100,000","167,800,000","123,300,000","159,900,000","168,000,000","160,600,000","160,000,000","154,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"686,000,000","252,000,000","160,100,000","137,700,000","136,200,000","121,800,000","116,600,000","109,100,000","75,000,000","98,400,000","104,100,000","98,700,000","97,600,000","96,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"38,600,000","12,200,000","8,900,000","8,300,000","9,100,000","11,200,000","11,400,000","8,100,000","5,900,000","6,800,000","6,800,000","6,700,000","6,800,000","6,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,"23,900,000","8,700,000","5,700,000","3,300,000","6,100,000","7,300,000","4,700,000","3,300,000","4,700,000","4,100,000","4,000,000","2,900,000","4,300,000","3,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
