name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987
TotalAssets,"1,673,393,000","1,592,877,000","1,530,034,000","1,458,394,000","1,494,359,000","1,428,434,000","1,327,974,000","1,249,512,000","1,216,462,000","1,196,611,000","1,124,348,000","1,125,060,000","1,054,346,000","957,116,000","887,165,000","812,039,000","786,375,000","719,602,000","694,653,000","652,217,000","550,414,000","500,964,000","474,898,000","429,312,000","423,931,000","391,626,000","373,406,000","352,006,000","338,367,000","240,773,000","215,544,000","206,186,000","205,407,000","193,365,000","181,019,000","170,463,000","169,999,000","165,009,000","165,846,000","154,902,000","153,911,000","140,626,000","131,610,000","131,137,000","131,588,000","124,362,000","123,431,000","118,451,000","129,570,000","130,234,000","132,984,000","135,662,000","135,958,000","142,111,000","146,528,000","114,627,000","118,031,000","126,117,000","126,812,000","129,536,000","136,183,000","74,534,000","71,079,000","74,694,000","78,537,000","81,845,000","82,656,000","85,729,000","61,061,000","60,650,000","59,643,000","59,638,000","59,161,000","58,831,000","60,615,000","63,559,000","68,337,000","71,433,000","76,565,000","82,004,000","89,524,000","99,683,000","104,805,000","111,571,000","118,013,000","120,632,000","123,787,000","118,869,000","121,788,000","28,018,822","29,658,800","31,832,236","32,981,621","33,500,000","35,447,576","37,647,246","38,615,204","39,688,802","36,348,203","19,714,524","18,546,590","16,768,460","17,009,443","16,389,783","16,209,429","16,212,900","15,485,606","15,352,264","14,700,000","14,900,000","14,700,000","15,100,000","15,400,000","21,200,000","21,100,000","21,500,000","22,400,000","22,800,000","23,500,000","24,600,000","25,800,000","26,700,000","27,800,000","28,800,000","29,900,000","27,700,000","12,500,000","14,700,000","3,700,000"
	CurrentAssets,"976,473,000","885,006,000","871,487,000","729,873,000","787,965,000","693,691,000","716,621,000","619,689,000","635,863,000","636,576,000","647,432,000","677,365,000","677,197,000","628,728,000","561,599,000","497,297,000","494,271,000","422,198,000","370,170,000","350,915,000","326,958,000","333,419,000","319,870,000","300,288,000","288,392,000","281,745,000","265,404,000","244,112,000","220,139,000","160,572,000","135,291,000","127,215,000","117,966,000","119,729,000","110,614,000","106,685,000","116,605,000","122,002,000","124,034,000","113,791,000","110,539,000","97,982,000","86,928,000","83,892,000","84,737,000","79,804,000","77,362,000","76,222,000","82,668,000","79,563,000","80,836,000","82,571,000","88,489,000","96,392,000","100,643,000","63,331,000","71,503,000","79,026,000","84,394,000","89,327,000","96,382,000","34,994,000","37,944,000","40,911,000","46,443,000","47,359,000","51,021,000","53,764,000","55,224,000","53,840,000","49,348,000","43,483,000","36,979,000","35,853,000","56,414,000","59,034,000","63,583,000","66,488,000","71,206,000","76,521,000","83,720,000","90,195,000","94,865,000","101,130,000","106,966,000","109,581,000","112,448,000","114,037,000","117,147,000","23,650,649","24,714,854","27,020,020","27,849,726","29,027,800","30,732,771","33,170,614","34,289,969","35,826,137","32,808,318","16,843,034","16,171,815","14,920,246","15,459,832","15,132,226","14,999,523","13,501,275","13,651,344","9,407,491","7,700,000","7,400,000","6,600,000","6,800,000","7,100,000","4,600,000","3,900,000","4,400,000","12,000,000","16,800,000","17,500,000","18,800,000","20,000,000","20,800,000","21,900,000","22,900,000","24,000,000","26,600,000","12,200,000","14,400,000","3,400,000"
		CashCashEquivalentsAndShortTermInvestments,"758,607,000","669,221,000","650,559,000","523,031,000","583,695,000","486,452,000","533,084,000","427,363,000","443,116,000","427,539,000","445,320,000","486,672,000","491,698,000","458,156,000","410,446,000","360,516,000","362,249,000","301,253,000","263,197,000","251,411,000","229,948,000","240,709,000","232,945,000","223,174,000","212,053,000","196,194,000","175,508,000","154,920,000","131,958,000","113,424,000","95,464,000","87,198,000","76,579,000","79,576,000","71,070,000","67,452,000","76,707,000","85,742,000","88,981,000","81,222,000","77,223,000","69,574,000","60,820,000","59,133,000","60,312,000","59,173,000","54,130,000","54,919,000","58,265,000","51,712,000","52,330,000","52,388,000","57,179,000","63,780,000","50,522,000","28,428,000","38,299,000","50,034,000","59,518,000","62,726,000","75,125,000","17,241,000","21,983,000","24,797,000","30,835,000","31,956,000","35,657,000","39,231,000","41,505,000","41,383,000","36,891,000","32,721,000","27,325,000","28,392,000","48,764,000","50,494,000","54,449,000","58,091,000","60,864,000","64,266,000","71,321,000","78,471,000","83,750,000","88,092,000","92,498,000","96,771,000","99,904,000","102,976,000","106,384,000","12,711,296","13,660,588","15,680,514","18,181,241","20,101,953","22,155,380","23,782,060","26,397,792","28,750,759","24,311,514","8,765,839","9,361,360","9,473,081","10,493,801","10,858,813","10,647,442","9,376,820","9,817,368","5,984,213","600,000","600,000","400,000","1,800,000","500,000","700,000","400,000","1,600,000","700,000","3,500,000","3,200,000","4,300,000","4,700,000","5,500,000","6,200,000","4,500,000","8,100,000","24,600,000","10,400,000","13,300,000","2,400,000"
			CashAndCashEquivalents,"132,818,000","144,255,000","241,882,000","175,454,000","232,710,000","181,018,000","202,241,000","214,827,000","192,341,000","117,970,000","150,279,000","101,048,000","121,021,000","84,181,000","76,382,000","61,288,000","42,975,000","50,502,000","44,536,000","43,970,000","39,040,000","61,069,000","54,709,000","38,274,000","48,231,000","53,226,000","54,421,000","40,431,000","22,401,000","19,478,000","17,483,000","34,740,000","20,916,000","22,632,000","10,120,000","11,727,000","9,451,000","10,757,000","4,497,000","3,989,000","5,990,000","5,092,000","5,338,000","4,151,000","5,831,000","4,193,000","4,151,000","3,941,000","4,788,000","3,236,000","2,782,000","1,971,000","1,785,000","2,734,000","2,916,000","1,627,000","2,042,000","5,576,000","59,518,000","62,227,000","69,646,000","6,081,000","7,052,000","9,732,000","7,832,000","7,907,000","15,264,000","6,788,000","7,618,000","7,130,000","4,721,000","6,223,000","6,893,000","15,210,000","42,257,000","41,852,000","44,572,000","49,987,000","48,595,000","53,302,000","45,667,000","42,202,000","51,606,000","60,287,000","90,462,000","87,234,000","90,987,000","91,910,000","101,917,000","5,006,089","5,117,314","5,710,163","9,279,210","3,489,890","1,716,839","2,389,324","2,683,151","37,830","711,425","1,605,276","1,616,696","1,341,094","7,304,349","1,381,852","2,938,332","1,719,315","333,775","614,877","600,000","600,000","400,000","1,800,000","500,000","700,000","400,000","1,600,000","700,000","3,500,000","3,200,000","4,300,000","4,700,000","5,500,000","6,200,000","4,500,000","8,100,000","24,600,000","10,400,000","13,300,000","2,400,000"
			OtherShortTermInvestments,"625,789,000","524,966,000","408,677,000","347,577,000","350,985,000","305,434,000","330,843,000","212,536,000","250,775,000","309,569,000","295,041,000","385,624,000","370,677,000","373,975,000","334,064,000","299,228,000","319,274,000","250,751,000","218,661,000","207,441,000","190,908,000","179,640,000","178,236,000","184,900,000","163,822,000","142,968,000","121,087,000","114,489,000","109,557,000","93,946,000","77,981,000","52,458,000","55,663,000","56,944,000","60,950,000","55,725,000","67,256,000","74,985,000","84,484,000","77,233,000","71,233,000","64,482,000","55,482,000","54,982,000","54,481,000","54,980,000","49,979,000","50,978,000","53,477,000","48,476,000","49,548,000","50,417,000","55,394,000","61,046,000","47,606,000","26,801,000","36,257,000","44,458,000",,"499,000","5,479,000","11,160,000","14,931,000","15,065,000","23,003,000","24,049,000","20,393,000","32,443,000","33,887,000","34,253,000","32,170,000","26,498,000","20,432,000","13,182,000","6,507,000","8,642,000","9,877,000","8,104,000","12,269,000","10,964,000","25,654,000","36,269,000","32,144,000","27,805,000","2,036,000","9,537,000","8,917,000","11,066,000","4,467,000","7,705,207","8,543,274","9,970,351","8,902,031","16,612,063","20,438,541","21,392,736","23,714,641","28,712,929","23,600,089","7,160,563","7,744,664","8,131,987","3,189,452","9,476,961","7,709,110","7,657,505","9,483,593","5,369,336",,,,,,,,,,,,,,,,,,,,,
		Receivables,"90,608,000","88,952,000","89,568,000","88,645,000","97,179,000","92,990,000","80,909,000","82,084,000","84,650,000","100,994,000","94,319,000","86,206,000","90,809,000","88,215,000","74,201,000","67,511,000","70,010,000","64,862,000","57,327,000","53,557,000","54,055,000","50,178,000","46,607,000","41,280,000","42,821,000","36,842,000","37,119,000","34,372,000","31,828,000","28,373,000","23,072,000","22,763,000","24,357,000","22,958,000","21,119,000","20,983,000","22,946,000","19,915,000","18,801,000","18,343,000","20,458,000","17,303,000","15,490,000","14,541,000","15,376,000","12,872,000","14,986,000","12,571,000","13,516,000","14,400,000","13,403,000","14,476,000","15,724,000","14,170,000","14,603,000","13,883,000","14,071,000","11,679,000","8,615,000","13,829,000","10,932,000","9,230,000","8,300,000","9,679,000","8,880,000","8,416,000","7,940,000","7,113,000","8,635,000","7,322,000","6,788,000","5,416,000","5,972,000","3,854,000","3,352,000","4,273,000","5,394,000","4,351,000","5,408,000","6,554,000","7,341,000","5,552,000","5,695,000","8,001,000","10,028,000","8,461,000","8,049,000","6,494,000","6,691,000","6,861,816","6,916,380","7,780,548","6,437,225","5,199,486","4,954,687","6,211,604","5,356,348","4,594,281","6,257,797","5,860,089","4,816,500","3,213,835","2,943,575","2,411,877","2,606,289","2,377,114","2,340,771","2,014,350","1,800,000","1,900,000","1,300,000","2,400,000","1,700,000","1,700,000","1,400,000","1,000,000","800,000","900,000","500,000","500,000","600,000","600,000","600,000","1,000,000","700,000","700,000","800,000","500,000","200,000"
			AccountsReceivable,"90,608,000","88,952,000","89,568,000","88,645,000","97,179,000","92,990,000","80,909,000","82,084,000","84,650,000","100,994,000","94,319,000","86,206,000","90,809,000","88,215,000","74,201,000","67,511,000","70,010,000","64,862,000","57,327,000","53,557,000","54,055,000","50,178,000","46,607,000","41,280,000","42,821,000","36,842,000","37,119,000","34,372,000","31,828,000","28,373,000","23,072,000","22,763,000","24,357,000","22,958,000","21,119,000","20,983,000","22,946,000","19,915,000","18,801,000","18,343,000","20,458,000","17,303,000","15,490,000","14,541,000","15,376,000","12,872,000","14,986,000","12,571,000","13,516,000","14,400,000","13,403,000","14,476,000","15,724,000","14,170,000","14,603,000","13,883,000","14,071,000","11,679,000","8,615,000","13,829,000","10,932,000","9,230,000","8,300,000","9,679,000","8,880,000","8,416,000","7,940,000","7,113,000","8,635,000","7,322,000","6,788,000","5,416,000","5,972,000","3,854,000","3,352,000","4,273,000","5,394,000","4,351,000","5,408,000","6,554,000","7,341,000","5,552,000","5,695,000","8,001,000","10,028,000","8,461,000","8,049,000","6,494,000","6,691,000","6,861,816","6,916,380","7,780,548","6,437,225","5,199,486","4,954,687","6,211,604","5,356,348","4,594,281","6,257,797","5,860,089","4,816,500","3,213,835","2,943,575","2,411,877","2,606,289","2,377,114","2,340,771","2,014,350",,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"91,232,000",,,,"97,953,000",,,,"85,852,000",,,,"91,849,000",,,,"70,330,000",,,,"54,337,000",,,,"42,945,000",,,,"32,005,000",,,,"24,542,000",,,,"23,082,000",,,,"20,688,000",,,,"15,650,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-624,000",,,,"-774,000",,,,"-1,202,000",,,,"-1,040,000",,,,"-320,000",,,,"-282,000",,,,"-124,000",,,,"-177,000",,,,"-185,000",,,,"-136,000",,,,"-230,000",,,,"-274,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"93,981,000","90,199,000","85,986,000","83,661,000","81,059,000","82,448,000","83,209,000","89,284,000","90,088,000","91,193,000","90,295,000","87,726,000","80,942,000","71,808,000","63,656,000","55,781,000","50,204,000","46,891,000","40,632,000","36,926,000","34,931,000","32,053,000","31,491,000","29,093,000","26,740,000","25,535,000","23,032,000","21,230,000","16,774,000","15,444,000","13,445,000","13,920,000","13,948,000","14,819,000","15,636,000","16,513,000","14,930,000","14,988,000","14,461,000","12,477,000","11,142,000","9,688,000","9,211,000","8,879,000","7,505,000","6,878,000","7,031,000","7,388,000","9,211,000","12,629,000","14,111,000","14,724,000","14,777,000","17,776,000","18,758,000","19,514,000","17,428,000","16,269,000","14,600,000","10,800,000","8,567,000","6,883,000","5,590,000","4,209,000","4,868,000","6,020,000","6,039,000","5,638,000","3,877,000","4,410,000","4,641,000","4,123,000","2,695,000","2,998,000","3,323,000","3,014,000","2,856,000","3,425,000","4,074,000","4,187,000","4,233,000","5,140,000","4,259,000","3,602,000","3,674,000","3,806,000","3,912,000","3,749,000","3,546,000","3,616,971","3,559,112","3,064,801","2,895,857","3,424,218","3,209,573","2,831,629","2,327,442","2,116,125","1,847,624","2,013,944","1,820,783","2,049,899","1,818,103","1,682,179","1,653,512","1,540,070","1,253,351","1,270,202","1,400,000","2,000,000","2,500,000","2,400,000","2,200,000","2,000,000","1,900,000","1,700,000","1,500,000","1,200,000","1,000,000","1,000,000","900,000","800,000","900,000","1,000,000","1,200,000","1,100,000","900,000","600,000","400,000"
