name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
OperatingCashFlow,"-7,189,000","61,911,000","-30,110,000","-18,850,000","-20,140,000","-30,054,000","22,362,000","-22,359,000","-22,871,000","-41,822,000","-27,124,000","-38,197,000","-36,470,000","-48,639,000","-31,514,000","-43,263,000","-36,964,000","-40,835,000","-26,150,000","-21,277,000","-20,932,000","-24,854,000","-18,846,000","-21,162,000","-20,474,000","-19,358,000","-14,235,000","-11,923,000","-16,281,000","-13,307,000","-11,334,000","-9,471,000","-8,424,000","-4,497,000","-4,882,000","-3,989,000","-5,198,000","-2,379,000","-3,016,000","-2,632,000"
	CashFlowFromContinuingOperatingActivities,"-7,189,000","61,911,000","-30,110,000","-18,850,000","-20,140,000","-30,054,000","22,362,000","-22,359,000","-22,871,000","-41,822,000","-27,124,000","-38,197,000","-36,470,000","-48,639,000","-31,514,000","-43,263,000","-36,964,000","-40,835,000","-26,150,000","-21,277,000","-20,932,000","-24,854,000","-18,846,000","-21,162,000","-20,474,000","-19,358,000","-14,235,000","-11,923,000","-16,281,000","-13,307,000","-11,334,000","-9,471,000","-8,424,000","-4,497,000","-4,882,000","-3,989,000","-5,198,000","-2,379,000","-3,016,000","-2,632,000"
		NetIncomeFromContinuingOperations,"-68,737,000","-35,891,000","45,533,000","-39,691,000","-38,688,000","-41,964,000","-46,137,000","-39,648,000","-48,187,000","-49,129,000","-55,064,000","-49,402,000","-47,164,000","-47,951,000","-51,458,000","-85,388,000","-55,024,000","-40,699,000","-58,513,000","-32,372,000","-28,433,000","-25,787,000","-29,322,000","-23,814,000","-23,219,000","-22,704,000","-20,377,000","-17,961,000","-18,786,000","-17,239,000","-16,501,000","-13,147,000","-11,814,000","-6,671,000","-10,282,000","-10,748,000","-6,328,000","-3,790,000","-3,545,000","-3,592,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"-63,000","-42,000","-315,000","150,000","79,000","157,000",,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,"-63,000","-42,000","-315,000","150,000","79,000","157,000",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"32,204,000","3,611,000","9,783,000","9,608,000","9,202,000","8,907,000","8,971,000","8,643,000","8,368,000","8,176,000","14,504,000","-3,500,000","4,441,000","2,669,000","712,000","649,000","594,000","487,000","494,000","316,000","309,000","291,000","268,000","245,000","234,000","223,000","150,000","42,000","36,000","24,000","23,000","19,000","16,000","15,000","17,000","17,000","15,000","15,000","34,000","43,000"
			DepreciationAndAmortization,"32,204,000","3,611,000","9,783,000","9,608,000","9,202,000","8,907,000","8,971,000","8,643,000","8,368,000","8,176,000","14,504,000","-3,500,000","4,441,000","2,669,000","712,000","649,000","594,000","487,000","494,000","316,000","309,000","291,000","268,000","245,000","234,000","223,000","150,000","42,000","36,000","24,000","23,000","19,000","16,000","15,000","17,000","17,000","15,000","15,000","34,000","43,000"
				Depreciation,"6,504,000","1,604,000","1,625,000","1,613,000","1,662,000","1,499,000","1,625,000","1,555,000","1,595,000","1,591,000","1,528,000","1,551,000","1,495,000","564,000","712,000","649,000","594,000","487,000","494,000","316,000","309,000","291,000","268,000","245,000","234,000","223,000","150,000","42,000","36,000","24,000","23,000","19,000","16,000","15,000","17,000","17,000","15,000","15,000","34,000","43,000"
				AmortizationCashFlow,"25,700,000","2,007,000","8,158,000","7,995,000","7,540,000","7,408,000","7,346,000","7,088,000","6,773,000","6,585,000",,,"2,946,000","2,105,000",,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"25,700,000","2,007,000","8,158,000","7,995,000","7,540,000","7,408,000","7,346,000","7,088,000","6,773,000","6,585,000",,,"2,946,000","2,105,000",,,,,,,,,,,,,,,,,,,,,,,,,,
