name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
OperatingCashFlow,"1,484,000,000","371,000,000","376,000,000","393,000,000","343,000,000","428,000,000","410,000,000","561,000,000","429,000,000","347,000,000","373,000,000","243,000,000","235,000,000","329,000,000","273,000,000","430,000,000","122,000,000","288,000,000","325,000,000","256,000,000","289,000,000","390,000,000","323,000,000","341,000,000","326,000,000","362,000,000","358,000,000","199,000,000","451,000,000","420,000,000","328,000,000","362,000,000","444,000,000","488,000,000","1,017,000,000","472,000,000","494,000,000","518,000,000","638,000,000","597,000,000","614,000,000","472,000,000","347,182,000","305,398,000","-12,087,000","375,539,000","-161,427,000","64,602,000","40,914,000","36,298,000","33,807,000","25,552,000","21,725,000","12,146,000","13,200,000","16,904,000"
	CashFlowFromContinuingOperatingActivities,"1,484,000,000","371,000,000","376,000,000","393,000,000","343,000,000","428,000,000","410,000,000","561,000,000","429,000,000","347,000,000","373,000,000","243,000,000","235,000,000","329,000,000","273,000,000","430,000,000","122,000,000","288,000,000","325,000,000","256,000,000","289,000,000","390,000,000","323,000,000","341,000,000","326,000,000","362,000,000","358,000,000","199,000,000","451,000,000","420,000,000","328,000,000","362,000,000","444,000,000","488,000,000","1,017,000,000","472,000,000","494,000,000","518,000,000","638,000,000","597,000,000","614,000,000","472,000,000","347,182,000","305,398,000","-12,087,000","375,539,000","-161,427,000","64,602,000","40,914,000","36,298,000","33,807,000","25,552,000","21,725,000","12,146,000","13,200,000","16,904,000"
		NetIncomeFromContinuingOperations,"-877,000,000","-651,000,000","-27,000,000","212,000,000","-411,000,000","975,000,000","775,000,000","662,000,000","718,000,000","-2,421,000,000","871,000,000","-4,000,000","-444,000,000","265,000,000","-804,000,000","216,000,000","293,000,000","424,000,000","385,000,000","286,000,000","24,000,000","76,000,000","1,019,000,000","511,000,000","-135,000,000","-772,000,000","588,000,000","-633,000,000","512,000,000","-252,000,000","-322,000,000","197,000,000","33,000,000","-141,000,000","-100,000,000","-701,000,000","1,829,000,000","231,000,000","811,000,000","86,000,000","-261,000,000","641,000,000","208,714,000","250,401,000","177,822,000","133,543,000","138,080,000","60,028,000","36,858,000","53,150,000","40,697,000","31,237,000","30,366,000","16,311,000","10,952,000","18,901,000"
		OperatingGainsLosses,"-1,081,000,000","-1,454,000,000","-124,000,000","-96,000,000","593,000,000","-1,426,000,000","-809,000,000","-746,000,000","232,000,000","2,660,000,000","-769,000,000","459,000,000","1,306,000,000","940,000,000","1,654,000,000","-390,000,000","-224,000,000","-736,000,000","-255,000,000","-153,000,000","154,000,000","124,000,000","-743,000,000","-303,000,000","312,000,000","935,000,000","-333,000,000","817,000,000","-215,000,000","513,000,000","537,000,000","37,000,000","221,000,000","397,000,000","482,000,000","1,072,000,000","-1,461,000,000","124,000,000","-442,000,000","250,000,000","612,000,000","-263,000,000","24,544,000","-41,262,000","-241,880,000","232,252,000","-75,113,000","-20,675,000","-6,397,000","-33,520,000","-16,949,000","-12,855,000","-10,455,000","-4,818,000",,
			GainLossOnInvestmentSecurities,"386,000,000","342,000,000","64,000,000","5,000,000","-25,000,000","13,000,000","-133,000,000","-346,000,000","-153,000,000","-494,000,000","-107,000,000","-89,000,000","-132,000,000","-60,000,000","21,000,000","40,000,000","74,000,000","2,000,000","16,000,000","-22,000,000","-15,000,000","84,000,000","5,000,000","-61,000,000","-55,000,000","2,000,000","-2,000,000","39,000,000","22,000,000","-36,000,000","-34,000,000","-14,000,000","-22,000,000","19,000,000","666,000,000","733,000,000","-17,000,000","26,000,000","-353,000,000","-210,000,000","-417,000,000","-216,000,000","-112,095,000","-262,768,000","-492,949,000","394,837,000","-17,044,000","-40,015,000","-12,509,000","-27,408,000","-19,529,000","-16,070,000","-9,530,000","-4,818,000",,
		DepreciationAmortizationDepletion,,,,,,,,,,,"0","0","0","0","0","24,000,000","0","1,000,000","0","1,000,000","1,000,000","1,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,186,000","9,384,000","3,065,000","3,449,000","7,620,000","2,324,000"
			DepreciationAndAmortization,,,,,,,,,,,"0","0","0","0","0","24,000,000","0","1,000,000","0","1,000,000","1,000,000","1,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,186,000","9,384,000","3,065,000","3,449,000","7,620,000","2,324,000"
				AmortizationCashFlow,,,,,,,,,,,"0","0","0","0","0","24,000,000","0","1,000,000","0","1,000,000","1,000,000","1,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,186,000","9,384,000","3,065,000","3,449,000",,
					AmortizationOfIntangibles,,,,,,,,,,,"0","0","0","0","0","24,000,000","0","1,000,000","0","1,000,000","1,000,000","1,000,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,186,000","9,384,000","3,065,000","3,449,000",,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,"0","0","0","0","1,000,000","7,000,000","12,000,000","19,000,000","22,000,000","24,000,000","26,000,000","29,000,000","35,000,000","38,000,000","40,000,000","43,000,000","45,000,000","47,000,000","48,000,000","49,000,000","50,000,000","51,000,000","52,000,000","52,000,000",,,,,"33,161,000","30,761,000","22,933,000","12,259,000","3,676,000","3,676,000",,,,
