name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
OperatingCashFlow,"-49,596,000","-17,932,000","-5,854,000","-13,395,000","-12,415,000","-4,404,000","-2,147,000","-1,740,000","-1,999,000","-957,000"
	CashFlowFromContinuingOperatingActivities,"-49,596,000","-17,932,000","-5,854,000","-13,395,000","-12,415,000","-4,404,000","-2,147,000","-1,740,000","-1,999,000","-957,000"
		NetIncomeFromContinuingOperations,"-51,252,000","-16,399,000","-17,673,000","-11,617,000","-5,563,000","-8,082,000","-5,694,000","-4,284,000","-4,585,000","-2,143,000"
		OperatingGainsLosses,,,"0","0","-1,618,000","1,870,000",,,,
			GainLossOnInvestmentSecurities,,,"0","0","858,000","1,870,000",,,,
		DepreciationAmortizationDepletion,"5,370,000","1,619,000","1,374,000","1,244,000","1,133,000","1,041,000","1,023,000","971,000","922,000","899,000"
			DepreciationAndAmortization,"5,370,000","1,619,000","1,374,000","1,244,000","1,133,000","1,041,000","1,023,000","971,000","922,000","899,000"
		DeferredTax,"-135,000","10,000","-119,000","-20,000","-6,000","-10,000","-41,000","-11,000","32,000","27,000"
			DeferredIncomeTax,"-135,000","10,000","-119,000","-20,000","-6,000","-10,000","-41,000","-11,000","32,000","27,000"
		StockBasedCompensation,"5,330,000","1,545,000","1,411,000","1,158,000","1,216,000","254,000","54,000","60,000","51,000","312,000"
		OtherNonCashItems,"2,273,000","305,000","1,131,000","331,000","506,000","532,000","818,000","936,000","826,000","-1,379,000"
		ChangeInWorkingCapital,"-9,564,000","-5,012,000","8,022,000","-4,491,000","-8,083,000","-9,000","-276,000","588,000","755,000","1,327,000"
			ChangeInReceivables,"-4,724,000","-1,870,000","161,000","-1,447,000","-1,568,000","-120,000","-945,000","-1,506,000","2,522,000","6,626,000"
				ChangesInAccountReceivables,"-4,724,000","-1,870,000","161,000","-1,447,000","-1,568,000","-120,000","-945,000","-1,506,000","2,522,000","6,626,000"
			ChangeInInventory,"-6,484,000","-2,286,000","-2,356,000","267,000","-2,109,000","-430,000","-408,000","-387,000","1,018,000","-907,000"
			ChangeInPrepaidAssets,"-18,620,000","-11,087,000","228,000","-2,974,000","-4,787,000","-1,256,000","-1,002,000","163,000","-60,000","955,000"
			ChangeInPayablesAndAccruedExpense,"19,028,000","9,634,000","9,665,000","-544,000","273,000","1,474,000","1,665,000","2,189,000","-2,148,000","-4,953,000"
				ChangeInPayable,"5,742,000","2,083,000","5,364,000","-827,000","-878,000","702,000","1,005,000","2,382,000","-1,753,000","-4,679,000"
					ChangeInAccountPayable,"5,742,000","2,083,000","5,364,000","-827,000","-878,000","702,000","1,005,000","2,382,000","-1,753,000","-4,679,000"
				ChangeInAccruedExpense,"13,286,000","7,551,000","4,301,000","283,000","1,151,000","772,000","660,000","-193,000","-395,000","-274,000"
			ChangeInOtherWorkingCapital,"1,236,000","597,000","324,000","207,000","108,000","323,000","414,000","129,000","-577,000","-394,000"
InvestingCashFlow,"-5,325,000","-1,138,000","-1,365,000","-1,875,000","-947,000","-907,000","9,653,000","-902,000","-588,000","-1,435,000"
	CashFlowFromContinuingInvestingActivities,"-5,325,000","-1,138,000","-1,365,000","-1,875,000","-947,000","-907,000","9,653,000","-902,000","-588,000","-1,435,000"
		NetPPEPurchaseAndSale,"-5,325,000","-1,138,000","-1,365,000","-1,875,000","-947,000","-907,000","-487,000","-862,000","-550,000","-1,396,000"
			PurchaseOfPPE,"-5,325,000","-1,138,000","-1,365,000","-1,875,000","-947,000","-907,000","-487,000","-862,000","-550,000","-1,396,000"
		InterestReceivedCFI,,,"0","0","0","0","-28,000","-40,000","-38,000","-39,000"
FinancingCashFlow,"136,968,000","-71,000","149,000","-44,000","136,934,000","-4,000","5,687,000","40,000","2,419,000","-2,660,000"
	CashFlowFromContinuingFinancingActivities,"136,968,000","-71,000","149,000","-44,000","136,934,000","-4,000","5,687,000","40,000","2,419,000","-2,660,000"
		NetIssuancePaymentsOfDebt,"-400,000","-126,000","-72,000","-74,000","-128,000","-48,000","7,451,000","-48,000","2,417,000","-35,000"
			NetLongTermDebtIssuance,"-400,000","-126,000","-72,000","-74,000","-128,000","-48,000","7,451,000","-48,000","2,417,000","-35,000"
				LongTermDebtIssuance,,,"0","0",,,"32,500,000","0",,
				LongTermDebtPayments,"-400,000","-126,000","-72,000","-74,000","-128,000","-48,000","-25,049,000","-48,000","-59,000","-35,000"
		NetCommonStockIssuance,,,"0","0",,,,"0",,
			CommonStockIssuance,,,"0","0",,,,"0",,
		ProceedsFromStockOptionExercised,"405,000","55,000","221,000","30,000","99,000","44,000","30,000","88,000","2,000","2,000"
		NetOtherFinancingCharges,,,"0","0",,,"-1,794,000","0","0","-2,627,000"
EndCashPosition,"94,240,000","94,240,000","113,381,000","120,451,000","135,765,000","12,193,000","17,508,000","4,315,000","6,917,000","7,085,000"
	ChangesInCash,"82,047,000","-19,141,000","-7,070,000","-15,314,000","123,572,000","-5,315,000","13,193,000","-2,602,000","-168,000","-5,052,000"
	BeginningCashPosition,"12,193,000","113,381,000","120,451,000","135,765,000","12,193,000","17,508,000","4,315,000","6,917,000","7,085,000","12,137,000"
IncomeTaxPaidSupplementalData,"0","0","0","0","0","0","0","0","0","0"
InterestPaidSupplementalData,"2,668,000","638,000","726,000","652,000","652,000","638,000","871,000","464,000","454,000","457,000"
CapitalExpenditure,"-5,325,000","-1,138,000","-1,365,000","-1,875,000","-947,000","-907,000","-487,000","-862,000","-550,000","-1,396,000"
IssuanceOfCapitalStock,,,"0","0",,,"0","0",,
IssuanceOfDebt,,,"0","0",,,"32,500,000","0",,
RepaymentOfDebt,"-400,000","-126,000","-72,000","-74,000","-128,000","-48,000","-25,049,000","-48,000","-59,000","-35,000"
FreeCashFlow,"-54,921,000","-19,070,000","-7,219,000","-15,270,000","-13,362,000","-5,311,000","-2,634,000","-2,602,000","-2,549,000","-2,353,000"
