name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006
OperatingCashFlow,"-108,252,000","-35,409,000","-13,891,000","-27,483,000","-31,469,000","-34,716,000","-28,195,000","-25,972,000","-23,066,000","-23,796,000","-12,400,000","-14,006,000","-12,990,000","-13,523,000","-9,996,000","-10,287,000","-7,617,000","1,098,000","-7,945,000","-5,193,000","-5,899,000","-8,529,000","-2,340,000","-2,552,000","-3,760,000","-3,892,000","-3,565,000","-5,649,000","-3,548,000","-5,441,000","-3,446,000","-4,156,000","-6,577,000","-4,544,000","-3,585,000","-3,902,000","-6,377,000","-4,691,000","-5,437,000","-3,886,000","-3,703,000","-3,669,000","-3,322,000","-3,483,000","-4,821,000","-6,625,000","-3,401,000","-8,937,000","-6,839,000","-15,204,000","-9,471,000","-7,529,000","-8,944,000","-9,319,000","-10,999,000","-9,636,000","-7,846,000","-6,422,000","-5,717,000","-4,054,000","-3,012,000","-2,726,000"
	CashFlowFromContinuingOperatingActivities,"-108,252,000","-35,409,000","-13,891,000","-27,483,000","-31,469,000","-34,716,000","-28,195,000","-25,972,000","-23,066,000","-23,796,000","-12,400,000","-14,006,000","-12,990,000","-13,523,000","-9,996,000","-10,287,000","-7,617,000","1,098,000","-7,945,000","-5,193,000","-5,899,000","-8,529,000","-2,340,000","-2,552,000","-3,760,000","-3,892,000","-3,565,000","-5,649,000","-3,548,000","-5,441,000","-3,446,000","-4,156,000","-6,577,000","-4,544,000","-3,585,000","-3,902,000","-6,377,000","-4,691,000","-5,437,000","-3,886,000","-3,703,000","-3,669,000","-3,322,000","-3,483,000","-4,821,000","-6,625,000","-3,401,000","-8,937,000","-6,839,000","-15,204,000","-9,471,000","-7,529,000","-8,944,000","-9,319,000","-10,999,000","-9,636,000","-7,846,000","-6,422,000","-5,717,000","-4,054,000","-3,012,000","-2,726,000"
		NetIncomeFromContinuingOperations,"-32,731,000","-42,434,000","-10,962,000","57,086,000","-36,421,000","-43,733,000","-24,799,000","-30,743,000","-20,603,000","-31,488,000","-7,522,000","-21,910,000","-16,628,000","-16,657,000","-15,864,000","-14,025,000","-14,603,000","-1,619,000","-5,056,000","-6,511,000","-6,176,000","-6,671,000","-1,577,000","-3,095,000","-5,868,000","-3,215,000","-3,232,000","-6,462,000","-4,356,000","-4,687,000","-2,286,000","-3,205,000","-6,197,000","-2,443,000","-815,000","-9,631,000","-5,220,000","-3,669,000",,,,,,,"-5,443,000","-5,308,000","-8,104,000","-8,629,000","-10,409,000","-11,148,000","-10,469,000","-11,148,000","-11,629,000","-10,024,000","-12,665,000","-10,112,000","-9,559,000","-11,025,000","-10,000,000","-3,669,000","-5,211,000","-3,668,000"
		OperatingGainsLosses,"-92,271,000","7,172,000","2,647,000","-99,738,000","-2,352,000","6,479,000","-10,605,000","-4,061,000","-6,451,000","6,544,000","-4,311,000","4,809,000","67,000","3,441,000","-171,000","-1,930,000","5,518,000","1,200,000","-514,000",,,,"-6,000","4,000","-202,000","-2,000","-178,000","-119,000","-166,000","-546,000","-1,399,000","-1,547,000","425,000","-2,586,000","-3,536,000","4,431,000","116,000","-2,228,000",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,"0",,,,,,,,,,,,"0",,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"11,116,000","7,172,000","2,647,000","3,649,000","-2,352,000","6,479,000","-10,605,000","-4,061,000","-6,451,000","6,544,000","-4,311,000","4,809,000","67,000","3,441,000","-171,000","-1,916,000","5,518,000","1,200,000","-514,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,"-6,000","4,000","0","-2,000","-178,000","-119,000","-166,000","-546,000","-1,399,000","-1,547,000","425,000","-2,586,000","-3,536,000","4,431,000","116,000","-2,228,000",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"351,000","114,000","107,000","92,000","38,000","37,000","73,000","42,000","38,000","39,000","38,000","39,000","39,000","11,000","12,000","11,000","-31,000","53,000","12,000","10,000","8,000","5,000","0","1,000","50,000","30,000","-14,000","47,000","62,000","102,000","141,000","152,000","154,000","156,000","157,000","158,000","159,000","167,000","170,000","173,000","188,000","194,000","206,000","230,000","250,000","252,000","255,000","249,000","242,000","245,000","234,000","223,000","211,000","209,000","181,000","185,000","133,000","68,000","-21,000","99,000","90,000","86,000"
			DepreciationAndAmortization,"351,000","114,000","107,000","92,000","38,000","37,000","73,000","42,000","38,000","39,000","38,000","39,000","39,000","11,000","12,000","11,000","-31,000","53,000","12,000","10,000","8,000","5,000","0","1,000","50,000","30,000","-14,000","47,000","62,000","102,000","141,000","152,000","154,000","156,000","157,000","158,000","159,000","167,000","170,000","173,000","188,000","194,000","206,000","230,000","250,000","252,000","255,000","249,000","242,000","245,000","234,000","223,000","211,000","209,000","181,000","185,000","133,000","68,000","-21,000","99,000","90,000","86,000"
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,"1,000",,,,"0","0","-584,000","333,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"16,377,000","3,508,000","2,659,000","6,706,000","3,504,000","3,062,000","4,542,000","5,089,000","2,603,000","2,381,000","1,880,000","1,826,000","2,049,000","1,823,000","1,678,000","1,624,000","1,056,000","1,188,000","839,000","810,000","646,000","1,405,000","56,000","60,000","410,000","111,000","217,000","226,000","230,000","195,000","139,000","136,000","214,000","295,000","322,000","326,000","345,000","545,000","317,000","332,000","337,000","842,000","1,015,000","1,273,000","1,204,000","1,428,000","1,504,000","1,508,000","1,334,000","1,275,000","1,156,000","1,293,000",,,,,,,,,,
		OtherNonCashItems,"12,492,000","2,796,000","3,175,000","3,253,000","3,268,000","3,215,000","3,221,000","3,393,000","2,372,000","2,040,000","2,181,000","2,104,000","2,070,000","2,005,000","2,095,000","2,852,000","1,021,000","1,007,000","-3,724,000","86,000","130,000","171,000",,,,,,,,,,,,,,,,,"14,850,000","-4,657,000","-4,463,000","-4,356,000","-4,588,000","-16,080,000","237,000","-2,772,000",,,,,,,,"1,226,000","4,039,000","1,864,000","1,747,000","2,488,000","1,806,000","847,000","667,000","474,000"
		ChangeInWorkingCapital,"-12,470,000","-6,565,000","-11,517,000","5,118,000","494,000","-3,776,000","-627,000","308,000","-1,025,000","-3,312,000","-4,666,000","-874,000","-587,000","-4,146,000","2,253,000","1,182,000","-578,000","-731,000","498,000","1,005,000","77,000","-3,772,000","-813,000","478,000","1,850,000","-816,000","-358,000","659,000","682,000","-505,000","-41,000","308,000","-1,173,000","34,000","287,000","814,000","-1,777,000","494,000","-27,000","266,000","235,000","-349,000","45,000","343,000","-1,069,000","-225,000","1,690,000","-2,065,000","1,994,000","-5,576,000","-392,000","2,103,000","1,085,000","-730,000","-2,554,000","-1,573,000","-167,000","2,047,000","2,498,000","-1,331,000","1,442,000","382,000"
			ChangeInReceivables,"-1,315,000","1,976,000","-1,984,000",,,,,,,,,,,"28,000","-623,000","132,000","-1,071,000","-738,000","10,000","-56,000","9,000","-274,000",,,,"-9,000","-2,000","5,000","0","0","224,000","-16,000","-110,000","-71,000","11,000","20,000","255,000","-187,000","-9,000","1,000","0","1,000","59,000","71,000","1,185,000","-1,224,000","2,099,000","-54,000","-7,000","-1,413,000","-172,000","1,565,000","-160,000","3,000","-856,000",,,,,,,
				ChangesInAccountReceivables,"-1,315,000","1,976,000","-1,984,000",,,,,,,,,,,,"-354,000","511,000",,,"11,000","-10,000","1,000","26,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"-1,822,000","-1,628,000","2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,"-120,000","8,164,000","-9,380,000","1,169,000","-73,000","1,669,000","-2,278,000","-38,000","525,000","1,283,000","-4,470,000","-199,000","-1,308,000","-354,000","-359,000","123,000","31,000","401,000","-709,000","148,000","86,000","8,000","151,000","258,000","124,000","-403,000","124,000","236,000","270,000","-579,000","83,000","216,000","115,000","-461,000","424,000","265,000","163,000","-821,000","121,000","211,000","200,000","-421,000","100,000","274,000","191,000","-606,000","317,000","146,000","202,000","-548,000","15,000","378,000","37,000","338,000",,"-60,000","123,000","176,000",,"-631,000","-16,000","7,000"
			ChangeInPayablesAndAccruedExpense,"7,831,000","-14,714,000","14,571,000","4,716,000","3,258,000","-3,883,000","-65,000","874,000","-554,000","-4,754,000","-186,000","-667,000","216,000","-2,881,000","3,249,000","1,132,000","301,000","-657,000","1,337,000","805,000","-295,000","-3,289,000","-966,000","220,000","1,717,000","-404,000","-480,000","418,000","412,000","74,000","-348,000","108,000","-1,178,000","566,000","-148,000","529,000","-2,195,000","1,502,000","-227,000","54,000","35,000","71,000","-114,000","-2,000","-2,445,000","1,605,000","-726,000","-2,157,000","1,799,000","-3,615,000","-235,000","160,000","880,000","-743,000","403,000","-2,467,000","-1,383,000","2,073,000","538,000","-80,000","244,000","128,000"
				ChangeInPayable,"-157,000","-131,000","-687,000","1,545,000","-884,000","1,362,000","1,496,000","-1,226,000","-2,228,000","2,233,000","1,512,000","-542,000","869,000","-1,262,000","879,000","425,000","943,000","924,000","-202,000","185,000","-54,000","334,000","-317,000","336,000","-212,000","-78,000","216,000","-144,000","-88,000","265,000","-202,000","-274,000","-1,143,000","1,470,000","6,000","-94,000","-813,000","836,000","131,000","44,000","-45,000","-69,000","176,000","-132,000","-2,589,000","836,000","874,000","-1,906,000","1,298,000","596,000","862,000","-1,417,000",,,,,,,,,,
					ChangeInTaxPayable,,,,,,,,,,,,,,,,,,,,"0","0","0",,"-16,000","8,000","8,000","-16,000","13,000","1,000","2,000","0","-7,000","4,000","-72,000","0","-22,000","4,000","-8,000","26,000","-22,000","-8,000","2,000","56,000","-3,000","2,000","3,000","-94,000","-14,000","-2,000","-10,000","128,000","-1,079,000",,,,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,,,,,"0","0","0",,"-16,000","8,000","8,000","-16,000","13,000","1,000","2,000","0","-7,000","4,000","-72,000","0","-22,000","4,000","-8,000","26,000","-22,000","-8,000","2,000","56,000","-3,000","2,000","3,000","-94,000","-14,000","-2,000","-10,000","128,000","-1,079,000",,,,,,,,,,
					ChangeInAccountPayable,"-157,000","-131,000","-687,000","1,545,000","-884,000","1,362,000","1,496,000","-1,226,000","-2,228,000","2,233,000","1,512,000","-542,000","869,000","-1,262,000","879,000","425,000","943,000","924,000","-202,000","185,000","-54,000","334,000","-317,000","352,000","-220,000","-86,000","232,000","-157,000","-89,000","263,000","-202,000","-267,000","-1,147,000","1,542,000","6,000","-72,000","-817,000","844,000","105,000","66,000","-37,000","-71,000","120,000","-129,000","-2,591,000","833,000","968,000","-1,892,000","1,300,000","606,000","734,000","-338,000",,,,,,,,,,
				ChangeInAccruedExpense,"7,988,000","-14,583,000","15,258,000","3,171,000","4,142,000","-5,245,000","-1,561,000","2,100,000","1,674,000","-6,987,000","-1,698,000","-125,000","-653,000","-1,619,000","2,370,000","707,000","-642,000","-1,581,000","1,539,000","620,000","-241,000","-3,623,000","-649,000","-116,000","1,929,000","-326,000","-696,000","562,000","500,000","-191,000","-146,000","382,000","-35,000","-904,000","-154,000","623,000","-1,382,000","666,000","-358,000","10,000","80,000","140,000","-290,000","130,000","144,000","769,000","-1,600,000","-251,000","501,000","-4,211,000","-1,097,000","1,577,000",,,,,,,,,,
			ChangeInOtherCurrentAssets,"125,000","351,000","-367,000","134,000","7,000","152,000","150,000","254,000","36,000","135,000","-122,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,"-17,169,000","-714,000","-14,359,000","602,000","-2,698,000","-1,714,000","1,566,000","-782,000","-1,032,000","24,000","112,000","-184,000","507,000","-499,000","-38,000","-230,000","139,000","-69,000","121,000","81,000","169,000","-140,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-328,000","-1,862,000","2,086,000","1,093,000","-202,000","1,320,000","-620,000","1,214,000","247,000"
			ChangeInOtherWorkingCapital,,,,,,,"150,000","254,000","36,000","135,000","-122,000","176,000","26,000","-440,000","24,000","25,000","22,000","332,000","-261,000","27,000","108,000","-77,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,"102,687,000","-235,000","0","103,201,000",,,"0","0",,,"-17,000","-114,000","-409,000","0","0","14,000","-14,000","-47,000","4,497,000","-41,000","-51,000","-95,000","0","143,000",,,"55,000","-29,000","-19,000","0","-17,000","0","-26,000","-6,000","-31,000","0","0","-87,000","-59,000","6,000","-6,000","0","-26,000","-97,000","0","5,934,000","-113,000","-6,133,000","-6,000","-40,000","534,000","10,925,000","6,007,000","7,511,000","4,829,000","-27,561,000","-4,614,000","-1,054,000","-651,000","-110,000","-318,000","-302,000"
	CashFlowFromContinuingInvestingActivities,"102,687,000","-235,000","0","103,201,000",,,"0","0",,,"-17,000","-114,000","-409,000","0","0","14,000","-14,000","-47,000","4,497,000","-41,000","-51,000","-95,000","0","143,000",,,"55,000","-29,000","-19,000","0","-17,000","0","-26,000","-6,000","-31,000","0","0","-87,000","-59,000","6,000","-6,000","0","-26,000","-97,000","0","5,934,000","-113,000","-6,133,000","-6,000","-40,000","534,000","10,925,000","6,007,000","7,511,000","4,829,000","-27,561,000","-4,614,000","-1,054,000","-651,000","-110,000","-318,000","-302,000"
