name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
TotalRevenue,"45,445,000","6,832,000","32,521,000","3,664,000","2,428,000","1,966,000","2,716,000","2,131,000","1,912,000","1,549,000","6,431,000","1,385,000","1,250,000","570,000","571,000","237,000","730,000","11,202,000","-1,000","0","1,000","1,000",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,
	OperatingRevenue,"45,445,000","6,832,000","32,521,000","3,664,000","2,428,000","1,966,000","2,716,000","2,131,000","1,912,000","1,549,000","6,431,000","1,385,000","1,250,000","570,000","571,000","237,000","730,000","11,202,000","-1,000","0","1,000","1,000",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,
CostOfRevenue,"1,590,000","234,000","925,000","431,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,
GrossProfit,"43,855,000","6,598,000","31,596,000","3,233,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,
OperatingExpense,"167,120,000","46,156,000","43,090,000","42,414,000","35,460,000","41,744,000","24,118,000","29,235,000","20,127,000","31,099,000","16,282,000","22,021,000","16,527,000","15,918,000","14,809,000","12,902,000","11,136,000","11,783,000","5,336,000","6,534,000","6,610,000","6,098,000",,"1,565,000","3,100,000","6,080,000","3,226,000","3,420,000","6,579,000","4,528,000","5,240,000","3,691,000","4,749,000","5,781,000","5,040,000","4,356,000","5,217,000","5,111,000","5,909,000","5,721,000","4,732,000","4,473,000","4,373,000","4,609,000","5,323,000","5,207,000","8,082,000","6,926,000","8,670,000","10,391,000","11,171,000","10,524,000","10,683,000","11,796,000","10,316,000","13,993,000","11,045,000","10,637,000","11,676,000","10,970,000","4,199,000","5,319,000","3,858,000",,,,,,,,
	SellingGeneralAndAdministration,"71,151,000","16,855,000","19,744,000","17,612,000","16,940,000","15,273,000","14,158,000","11,663,000","8,474,000","8,153,000","6,175,000","6,010,000","5,485,000","5,293,000","5,845,000","3,850,000","4,238,000","4,128,000","4,612,000","3,709,000","3,713,000","3,212,000",,"1,632,000","3,036,000","3,989,000","1,632,000","1,433,000","1,525,000","1,611,000","1,833,000","1,123,000","1,348,000","1,731,000","1,396,000","1,703,000","1,674,000","2,096,000","1,370,000","1,190,000","1,776,000","1,830,000","2,020,000","2,057,000","2,382,000","2,305,000","2,577,000","2,407,000","2,780,000","3,377,000","2,417,000","2,586,000","2,692,000","3,435,000","2,281,000","2,964,000","4,161,000","3,532,000","4,133,000","3,911,000","1,649,000","1,504,000","1,343,000",,,,,,,,
		GeneralAndAdministrativeExpense,,,,,"16,940,000","15,273,000","14,158,000","11,663,000","8,474,000","8,153,000","6,175,000","6,010,000","5,485,000","5,293,000","5,845,000","3,850,000","4,238,000","4,128,000","4,612,000","3,709,000","3,713,000","3,212,000",,"1,632,000","3,036,000","3,989,000","1,632,000","1,433,000","1,525,000","1,611,000","1,833,000","1,123,000","1,348,000","1,731,000","1,396,000","1,703,000","1,674,000","2,096,000","1,370,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,"16,940,000","15,273,000","14,158,000","11,663,000","8,474,000","8,153,000","6,175,000","6,010,000","5,485,000","5,293,000","5,845,000","3,850,000","4,238,000","4,128,000","4,612,000","3,709,000","3,713,000","3,212,000",,"1,632,000","3,036,000","3,989,000","1,632,000","1,433,000","1,525,000","1,611,000","1,833,000","1,123,000","1,348,000","1,731,000","1,396,000","1,703,000","1,674,000","2,096,000","1,370,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"84,482,000","21,903,000","20,602,000","21,083,000","20,894,000","19,943,000","20,050,000","22,200,000","18,397,000","16,130,000","14,216,000","11,996,000","11,034,000","8,329,000","9,504,000","9,666,000","6,411,000","6,151,000","3,991,000","3,226,000","2,962,000","2,812,000",,"-67,000","64,000","2,091,000","1,594,000","1,987,000","5,054,000","2,917,000","3,407,000","2,568,000","3,628,000","4,257,000","3,741,000","2,950,000","3,568,000","3,044,000","4,735,000","4,619,000","2,956,000","2,643,000","2,353,000","2,552,000","2,941,000","2,902,000","5,505,000","4,519,000","5,890,000","7,014,000","8,754,000","7,938,000","7,991,000","8,361,000","8,035,000","11,029,000","6,884,000","7,105,000","7,543,000","7,059,000","2,550,000","3,815,000","2,515,000",,,,,,,,
	OtherOperatingExpenses,"11,487,000","7,398,000","2,744,000","3,719,000","-2,374,000","6,528,000","-10,090,000","-4,628,000","-6,744,000","6,816,000","-4,109,000","4,015,000","8,000","2,296,000","-540,000","-614,000","487,000","1,504,000","-3,267,000","-401,000","-65,000","74,000",,,,,,,,,,"0","-227,000","-207,000","-97,000","-297,000","-25,000","-29,000","-196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
