name,03/31/2022,12/31/2021,09/30/2021,12/31/2020
TotalAssets,"274,438,000","105,614,000","130,460,000","14,104,000"
	CurrentAssets,"265,488,000","104,951,000","129,942,000","13,639,000"
		CashCashEquivalentsAndShortTermInvestments,"255,205,000","96,118,000","125,702,000","12,877,000"
			CashAndCashEquivalents,"110,403,000","50,191,000","76,677,000","12,877,000"
			OtherShortTermInvestments,"144,802,000","45,927,000","49,025,000",
		PrepaidAssets,"10,283,000","5,392,000","2,524,000","762,000"
		RestrictedCash,,,,"0"
		CurrentDeferredAssets,"0","3,441,000","1,716,000",
	TotalNonCurrentAssets,"8,950,000","663,000","518,000","465,000"
		NetPPE,"8,075,000","474,000","329,000","151,000"
			GrossPPE,"8,075,000","527,000","360,000","152,000"
				Properties,,"0","0","0"
				MachineryFurnitureEquipment,,"338,000","133,000","49,000"
				OtherProperties,"8,075,000",,,
				ConstructionInProgress,,"139,000","176,000","62,000"
				Leases,,"50,000","51,000","41,000"
			AccumulatedDepreciation,,"-53,000","-31,000","-1,000"
		OtherNonCurrentAssets,"875,000","189,000","189,000","314,000"
TotalLiabilitiesNetMinorityInterest,"33,492,000","256,782,000","254,530,000","80,829,000"
	CurrentLiabilities,"27,706,000","17,396,000","15,146,000","7,326,000"
		PayablesAndAccruedExpenses,"26,301,000","17,396,000","14,883,000","7,326,000"
			Payables,"10,045,000","4,372,000","3,026,000","3,613,000"
				AccountsPayable,"10,045,000","4,372,000","3,026,000","3,613,000"
			CurrentAccruedExpenses,"16,256,000","13,024,000","11,857,000","3,713,000"
		CurrentDebtAndCapitalLeaseObligation,"1,405,000",,"263,000",
			CurrentDebt,,,"263,000",
				OtherCurrentBorrowings,,,"263,000",
			CurrentCapitalLeaseObligation,"1,405,000",,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"5,786,000","239,386,000","239,384,000","73,503,000"
		LongTermDebtAndCapitalLeaseObligation,"5,786,000",,,"1,425,000"
			LongTermDebt,,,,"1,425,000"
			LongTermCapitalLeaseObligation,"5,786,000",,,
		NonCurrentDeferredLiabilities,"0","35,000","31,000","14,000"
			NonCurrentDeferredRevenue,,,"31,000","14,000"
		TradeandOtherPayablesNonCurrent,,"0","2,000","2,000"
		DerivativeProductLiabilities,,,,"0"
		PreferredSecuritiesOutsideStockEquity,"0","239,351,000","239,351,000","72,062,000"
TotalEquityGrossMinorityInterest,"240,946,000","-151,168,000","-124,070,000","-66,725,000"
	StockholdersEquity,"240,946,000","-151,168,000","-124,070,000","-66,725,000"
		CapitalStock,"6,000","1,000","1,000","1,000"
			PreferredStock,"0",,,
			CommonStock,"6,000","1,000","1,000","1,000"
		AdditionalPaidInCapital,"444,784,000","4,667,000","3,431,000","1,188,000"
		RetainedEarnings,"-203,693,000","-155,845,000","-127,501,000","-67,914,000"
		GainsLossesNotAffectingRetainedEarnings,"-151,000","9,000","-1,000",
TotalCapitalization,"240,946,000","-151,168,000","-124,070,000","-65,300,000"
CommonStockEquity,"240,946,000","-151,168,000","-124,070,000","-66,725,000"
CapitalLeaseObligations,"7,191,000",,,
NetTangibleAssets,"240,946,000","-151,168,000","-124,070,000","-66,725,000"
WorkingCapital,"237,782,000","87,555,000","114,796,000","6,313,000"
InvestedCapital,"240,946,000","-151,168,000","-123,807,000","-65,300,000"
TangibleBookValue,"240,946,000","-151,168,000","-124,070,000","-66,725,000"
TotalDebt,"7,191,000",,"263,000","1,425,000"
ShareIssued,"57,864,186","55,216,013","55,216,013","55,216,013"
OrdinarySharesNumber,"57,864,186","55,216,013","55,216,013","55,216,013"
