name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,06/30/2010,03/31/2010
OperatingCashFlow,"397,272,000","191,497,000","-5,617,000","144,661,000","66,731,000","192,776,000","19,956,000","94,783,000","83,441,000","120,497,000","31,210,000","78,946,000","88,783,000","93,854,000","5,075,000","87,288,000","73,635,000","167,324,000","-45,556,000","80,262,000","50,371,000","118,996,000","12,101,000","74,173,000","72,399,000","111,687,000","22,610,000","84,319,000","85,601,000","128,709,000","71,961,000","90,999,000","87,894,000","147,222,000","-5,592,000","71,248,000","75,511,000","-29,001,000","-8,300,000","28,640,000","38,195,000","71,521,000","11,112,000","11,200,992","40,734,700","40,189,308","31,233,469","53,353,328"
	CashFlowFromContinuingOperatingActivities,"397,272,000","191,497,000","-5,617,000","144,661,000","66,731,000","192,776,000","19,956,000","94,783,000","83,441,000","120,497,000","31,210,000","78,946,000","88,783,000","93,854,000","5,075,000","87,288,000","73,635,000","167,324,000","-45,556,000","80,262,000","50,371,000","118,996,000","12,101,000","74,173,000","72,399,000","111,687,000","22,610,000","84,319,000","85,601,000","128,709,000","71,961,000","90,999,000","87,894,000","147,222,000","-5,592,000","71,248,000","75,511,000","-29,001,000","-8,300,000","28,640,000","38,195,000","71,521,000","11,112,000","11,200,992","40,734,700","40,189,308","31,233,469","53,353,328"
		NetIncomeFromContinuingOperations,"422,343,000","82,437,000","107,659,000","113,366,000","118,881,000","104,618,000","108,460,000","84,693,000","71,707,000","43,643,000","69,454,000","62,212,000","59,973,000","49,818,000","48,164,000","66,717,000","67,645,000","71,664,000","840,000","58,509,000","48,833,000","42,555,000","43,820,000","45,387,000","43,476,000","40,318,000","49,254,000","50,148,000","59,258,000","53,446,000","59,515,000","63,125,000","63,923,000","52,187,000","62,142,000","56,090,000","47,030,000","-399,394,000","36,995,000","-35,966,000","38,003,000","3,545,000","20,438,000","65,347,524","34,071,397","10,115,079","7,318,856","18,263,030"
		OperatingGainsLosses,"-11,360,000","3,411,000","-1,762,000","-725,000","-12,284,000","-7,288,000","-13,551,000","-7,798,000","-12,994,000","8,041,000","-4,932,000","-616,000","-1,932,000","-2,329,000","5,342,000","-1,201,000","-3,243,000","-6,601,000","-3,051,000","-1,547,000","-14,000","-79,000","-237,000","-780,000","30,000","22,000","14,000","1,000","-409,000","10,000","13,939,000","4,451,000","3,478,000","9,389,000","-15,125,000","-9,917,000","-4,487,000","-29,483,000","-1,034,000","-3,451,000","-6,396,000","2,272,000","1,346,000","1,762,929","-23,181","1,252","98","-664,740"
			GainLossOnSaleOfPPE,,,"3,000","1,000","0","0","9,000","0","2,000","-6,000","144,000","3,000","111,000","17,000","7,000","4,000","2,000","5,000","49,000","2,000","4,000","14,000","50,000","24,000","12,000","22,000","14,000","9,000","7,000","10,000","13,000","198,000","146,000","5,000","10,000","0","5,000","1,000","48,000",,,"0","11,000","0","-1,252","1,252","98","97"
			GainLossOnInvestmentSecurities,"-11,364,000","3,411,000","-1,765,000","-726,000","-12,284,000","-7,288,000","-13,560,000","-7,798,000","-12,996,000","8,047,000","-5,076,000","-619,000","-2,043,000","-2,346,000","5,335,000","-1,205,000","-3,245,000","-6,606,000","-3,100,000","-1,549,000","-18,000","-93,000","-287,000","-804,000",,,"0","-8,000",,,"-41,000",,,,"-14,348,000","-6,940,000","-8,620,000","-24,800,000","-1,082,000","-4,229,000","-4,478,000","302,000","-56,000","1,762,929",,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,"-1,727,000","-651,000","-1,108,000","-1,615,000",,,,,,,,,,,,,,"0","0","0","13,967,000","4,871,000","3,332,000","9,384,000","-787,000","-2,977,000","4,128,000","-4,684,000",,,,"1,970,000",,,,,,
		DepreciationAmortizationDepletion,"7,089,000","1,710,000","1,852,000","1,833,000","1,694,000","1,554,000","1,658,000","1,705,000","1,638,000","1,624,000","1,666,000","1,600,000","1,496,000","1,471,000","1,411,000","1,755,000","1,237,000","1,265,000","1,438,000","1,310,000","1,292,000","1,257,000","1,456,000","1,399,000","1,240,000","1,177,000","1,342,000","1,091,000","1,047,000","1,039,000","957,000","870,000","730,000","693,000","941,000","821,000","765,000","698,000","757,000","584,000","544,000","516,000","677,000","598,090","554,428","530,482","539,581","524,473"
			DepreciationAndAmortization,"7,089,000","1,710,000","1,852,000","1,833,000","1,694,000","1,554,000","1,658,000","1,705,000","1,638,000","1,624,000","1,666,000","1,600,000","1,496,000","1,471,000","1,411,000","1,755,000","1,237,000","1,265,000","1,438,000","1,310,000","1,292,000","1,257,000","1,456,000","1,399,000","1,240,000","1,177,000","1,342,000","1,091,000","1,047,000","1,039,000","957,000","870,000","730,000","693,000","941,000","821,000","765,000","698,000","757,000","584,000","544,000","516,000","677,000","598,090","554,428","530,482","539,581","524,473"
		DeferredTax,"36,611,000","8,364,000","9,971,000","8,108,000","10,168,000","9,777,000","9,204,000","7,582,000","8,997,000","6,881,000","7,574,000","4,342,000","7,504,000","7,493,000","5,395,000","5,510,000","6,455,000","7,252,000","75,413,000","10,480,000","8,947,000","9,657,000","8,877,000","7,586,000","8,729,000","8,118,000","8,390,000","6,190,000","8,337,000","5,851,000","6,706,000","7,863,000","4,647,000","2,540,000","2,129,000","1,209,000","3,400,000","2,646,000",,,,"0",,,,,,
