name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TotalAssets,"8,817,018,000","8,416,695,000","7,717,832,000","7,954,364,000","7,225,371,000","6,940,020,000","6,932,569,000","6,969,514,000","7,174,186,000","6,888,363,000","6,352,418,000","5,624,409,000","5,341,597,000","5,095,819,000","4,974,469,000","4,981,000,000","4,242,172,000","4,088,605,000","3,932,942,000","3,826,537,000","3,808,565,000","3,482,977,000","3,198,947,000","2,979,087,000","2,856,496,000","2,719,943,000","2,527,803,000","2,333,438,000","2,022,371,000","1,845,147,000","1,783,012,000","1,554,750,000","1,015,611,000","907,504,000","952,751,000","898,119,000","923,512,000","788,430,000","684,241,000","703,514,000","705,221,000","891,230,000","910,611,000","895,533,000","902,490,000","858,147,000","785,497,000","539,443,000","520,579,000"
TotalLiabilitiesNetMinorityInterest,"6,566,000,000","6,122,069,000","5,411,390,000","5,659,756,000","4,949,618,000","4,669,491,000","4,613,288,000","4,604,008,000","4,773,275,000","4,258,388,000","3,722,908,000","2,953,010,000","2,801,773,000","2,586,072,000","2,456,098,000","2,638,347,000","1,894,642,000","2,000,462,000","1,835,365,000","1,663,845,000","1,879,589,000","1,550,750,000","1,451,912,000","1,647,564,000","1,499,446,000","1,344,519,000","1,143,408,000","1,288,594,000","975,889,000","990,078,000","927,326,000","704,752,000","327,699,000","224,548,000","269,864,000","212,125,000","232,327,000","241,506,000","256,820,000","362,196,000","366,844,000","554,252,000","574,566,000","602,995,000","608,066,000","560,309,000","483,393,000","340,836,000","323,506,000"
TotalEquityGrossMinorityInterest,"2,251,018,000","2,294,626,000","2,306,442,000","2,294,608,000","2,275,753,000","2,270,529,000","2,319,281,000","2,365,506,000","2,400,911,000","2,629,975,000","2,629,510,000","2,671,399,000","2,539,824,000","2,509,747,000","2,518,371,000","2,342,653,000","2,347,530,000","2,088,143,000","2,097,577,000","2,162,692,000","1,928,976,000","1,932,227,000","1,747,035,000","1,331,523,000","1,357,050,000","1,375,424,000","1,384,395,000","1,044,844,000","1,046,482,000","855,069,000","855,686,000","849,998,000","687,912,000","682,956,000","682,887,000","685,994,000","691,185,000","546,924,000","427,421,000","341,318,000","338,377,000","336,978,000","336,045,000","292,538,000","294,424,000","297,838,000","302,104,000","198,607,000","197,073,000"
	StockholdersEquity,"2,251,018,000","2,294,626,000","2,306,442,000","2,294,608,000","2,275,753,000","2,270,529,000","2,319,281,000","2,365,506,000","2,400,911,000","2,629,975,000","2,629,510,000","2,671,399,000","2,539,824,000","2,509,747,000","2,518,371,000","2,342,653,000","2,347,530,000","2,088,143,000","2,097,577,000","2,162,692,000","1,928,976,000","1,932,227,000","1,747,035,000","1,331,523,000","1,357,050,000","1,375,424,000","1,384,395,000","1,044,844,000","1,046,482,000","855,069,000","855,686,000","849,998,000","687,912,000","682,956,000","682,887,000","685,994,000","691,185,000","546,924,000","427,421,000","341,318,000","338,377,000","336,978,000","336,045,000","292,538,000","294,424,000","297,838,000","302,104,000","198,607,000","197,073,000"
		CapitalStock,"1,473,000","1,467,000","1,467,000","1,467,000","1,466,000","1,461,000","1,501,000","1,551,000","1,605,000","1,603,000","1,603,000","1,603,000","1,500,000","1,476,000","1,475,000","1,367,000","1,367,000","1,208,000","1,204,000","1,238,000","1,100,000","1,098,000","992,000","789,000","789,000","787,000","786,000","619,000","619,000","504,000","503,000","503,000","406,000","404,000","404,000","404,000","404,000","315,000","241,000","206,000","206,000","206,000","206,000","176,000","175,000","175,000","176,000","107,000","107,000"
			PreferredStock,"68,000","68,000","68,000","68,000","68,000","68,000","68,000","68,000","68,000","68,000","68,000","68,000","137,000","137,000","137,000","137,000","137,000","137,000","149,000","184,000","184,000","184,000","184,000","115,000","115,000","115,000","115,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","0","0","0",,,,,,,
			CommonStock,"1,405,000","1,399,000","1,399,000","1,399,000","1,398,000","1,393,000","1,433,000","1,483,000","1,537,000","1,535,000","1,535,000","1,535,000","1,363,000","1,339,000","1,338,000","1,230,000","1,230,000","1,071,000","1,055,000","1,054,000","916,000","914,000","808,000","674,000","674,000","672,000","671,000","584,000","584,000","469,000","468,000","468,000","371,000","369,000","369,000","369,000","369,000","280,000","206,000","206,000","206,000","206,000","206,000","176,000","175,000","175,000","176,000","107,000","107,000"
		AdditionalPaidInCapital,"2,703,354,000","2,721,042,000","2,716,617,000","2,712,212,000","2,707,855,000","2,707,792,000","2,739,851,000","2,781,111,000","2,820,643,000","2,825,317,000","2,821,419,000","2,817,542,000","2,671,100,000","2,638,441,000","2,630,468,000","2,447,973,000","2,444,036,000","2,170,078,000","2,163,539,000","2,236,694,000","1,984,471,000","1,983,010,000","1,803,667,000","1,411,420,000","1,409,489,000","1,410,138,000","1,408,448,000","1,062,857,000","1,062,064,000","868,035,000","867,598,000","860,421,000","701,797,000","697,610,000","696,337,000","695,572,000","695,266,000","546,065,000","422,273,000","337,923,000","337,789,000","336,209,000","335,352,000","289,520,000","289,767,000","291,304,000","294,045,000","199,168,000","198,826,000"
		RetainedEarnings,"-453,809,000","-427,883,000","-411,642,000","-419,071,000","-433,568,000","-438,724,000","-422,071,000","-417,156,000","-421,337,000","-196,945,000","-193,512,000","-147,746,000","-132,776,000","-130,170,000","-113,572,000","-106,687,000","-97,873,000","-83,143,000","-67,166,000","-75,240,000","-53,035,000","-48,070,000","-54,950,000","-77,939,000","-50,973,000","-32,328,000","-22,225,000","-15,965,000","-12,794,000","-10,485,000","-11,661,000","-10,132,000","-13,404,000","-14,188,000","-13,235,000","-9,320,000","-4,297,000","574,000","4,808,000","2,214,000",,,,,,"0","0","-5,032,000","-4,196,000"
		GainsLossesNotAffectingRetainedEarnings,,,,,,,,,,,,,,,,,,"0","0","0","-3,560,000","-3,811,000","-2,674,000","-2,747,000","-2,255,000","-3,173,000","-2,614,000","-2,667,000","-3,407,000","-2,985,000","-754,000","-794,000","-887,000","-870,000","-619,000","-662,000","-188,000","-30,000","99,000","975,000","382,000","563,000","487,000","2,842,000","4,482,000","6,359,000","7,883,000","4,364,000","2,336,000"
