name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
OperatingExpense,"233,072,000","62,628,000","71,286,000","57,078,000","42,080,000","36,085,000","34,064,000","38,303,000","35,627,000","28,651,000","12,994,000","14,648,000","8,538,000","6,952,000","5,953,000"
	SellingGeneralAndAdministration,"68,523,000","22,006,000","18,728,000","16,474,000","11,315,000","14,454,000","6,690,000","5,560,000","5,618,000","3,469,000","2,237,000","2,300,000","1,324,000","749,000","606,000"
		GeneralAndAdministrativeExpense,"68,523,000","22,006,000","18,728,000","16,474,000","11,315,000","14,454,000","6,690,000","5,560,000","5,618,000","3,469,000","2,237,000","2,300,000","1,324,000","749,000","606,000"
			OtherGandA,"68,523,000","22,006,000","18,728,000","16,474,000","11,315,000","14,454,000","6,690,000","5,560,000","5,618,000","3,469,000","2,237,000","2,300,000","1,324,000","749,000","606,000"
	ResearchAndDevelopment,"164,549,000","40,622,000","52,558,000","40,604,000","30,765,000","21,631,000","27,374,000","32,743,000","30,009,000","25,182,000","10,757,000","12,348,000","7,214,000","6,203,000","5,347,000"
OperatingIncome,"-233,072,000","-62,628,000","-71,286,000","-57,078,000","-42,080,000","-36,085,000","-34,064,000","-38,303,000","-35,627,000","-28,651,000","-12,994,000","-14,648,000","-8,538,000","-6,952,000","-5,953,000"
NetNonOperatingInterestIncomeExpense,,"-1,838,000",,,,,,,,,,,,,
	InterestExpenseNonOperating,,"1,838,000",,,,,,,,,,,,,
OtherIncomeExpense,"272,000","142,000","-40,000","98,000","72,000","43,000","15,000","99,000","215,000","638,000","426,000","168,000","248,000","294,000","352,000"
	OtherNonOperatingIncomeExpenses,"272,000","142,000","-40,000","98,000","72,000","43,000","15,000","99,000","215,000","638,000","426,000","168,000","248,000","294,000","352,000"
PretaxIncome,"-234,638,000","-64,324,000","-71,326,000","-56,980,000","-42,008,000","-36,042,000","-34,049,000","-38,204,000","-35,412,000","-28,013,000","-12,568,000","-14,480,000","-8,290,000","-6,658,000","-5,601,000"
NetIncomeCommonStockholders,"-234,638,000","-64,324,000","-71,326,000","-56,980,000","-42,008,000","-36,042,000","-34,049,000","-38,204,000","-35,412,000","-28,013,000","-12,568,000","-14,480,000","-8,290,000","-6,658,000","-5,676,000"
	NetIncome,"-234,638,000","-64,324,000","-71,326,000","-56,980,000","-42,008,000","-36,042,000","-34,049,000","-38,204,000","-35,412,000","-28,013,000","-12,568,000","-14,480,000","-8,290,000","-6,658,000","-5,601,000"
