name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
TotalRevenue,"65,400,000","24,200,000","26,331,432","9,284,785","5,544,418","5,539,365","2,217,692","7,596,776","5,747,681","6,239,628","4,893,273","30,050,227","4,016,489","4,016,489","3,440,165","3,375,264","3,399,895","4,108,596","2,572,293","1,668,861"
	OperatingRevenue,"65,400,000","24,200,000","26,331,432","9,284,785","5,544,418","5,539,365","2,217,692","7,596,776","5,747,681","6,239,628","4,893,273","30,050,227","4,016,489","4,016,489","3,440,165","3,375,264","3,399,895","4,108,596","2,572,293","1,668,861"
OperatingExpense,"279,000,000","84,200,000","80,776,718","56,616,015","57,421,672","47,185,595","45,431,156","39,344,843","32,231,564","29,651,691","27,683,173","24,545,414","22,441,417","19,830,988","20,383,744","17,434,110","11,917,440","8,390,704","7,879,311","8,080,207"
	SellingGeneralAndAdministration,"69,500,000","20,200,000","18,858,038","16,012,384","14,410,865","12,318,713","12,230,997","9,331,925","8,815,474","7,925,005","7,268,390","7,957,364","6,440,779","5,640,629","5,821,445","4,284,231","1,579,605","1,246,887","1,189,122","857,310"
		GeneralAndAdministrativeExpense,"69,500,000","20,200,000","18,858,038","16,012,384","14,410,865","12,318,713","12,230,997","9,331,925","8,815,474","7,925,005","7,268,390","7,957,364","6,440,779","5,640,629","5,821,445","4,284,231","1,579,605","1,246,887","1,189,122","857,310"
			OtherGandA,"69,500,000","20,200,000","18,858,038","16,012,384","14,410,865","12,318,713","12,230,997","9,331,925","8,815,474","7,925,005","7,268,390","7,957,364","6,440,779","5,640,629","5,821,445","4,284,231","1,579,605","1,246,887","1,189,122","857,310"
	ResearchAndDevelopment,"209,500,000","64,000,000","61,918,680","40,603,631","43,010,807","34,866,882","33,200,159","30,012,918","23,416,090","21,726,686","20,414,783","16,588,050","16,000,638","14,190,359","14,562,299","13,149,879","10,337,835","7,143,817","6,690,189","7,222,897"
OperatingIncome,"-213,600,000","-60,000,000","-54,445,286","-47,331,230","-51,877,254","-41,646,230","-43,213,464","-31,748,067","-26,483,883","-23,412,063","-22,789,900","5,504,813","-18,424,928","-15,814,499","-16,943,579","-14,058,846","-8,517,545","-4,282,108","-5,307,018","-6,411,346"
NetNonOperatingInterestIncomeExpense,"2,500,000","1,200,000","653,412","360,420","352,035","434,133","504,382","783,986","949,601","1,282,883","1,146,741","1,089,512","1,068,553","1,166,885","1,171,477","511,074","529,542","200,568","24,330","11,921"
	InterestIncomeNonOperating,"2,600,000","1,200,000","720,912","368,545","360,160","450,383","520,632","800,236","965,851","1,299,133","1,162,991","1,112,415","1,091,331","1,190,523","1,196,113","523,338","539,413","211,237","35,782","24,140"
	InterestExpenseNonOperating,,,"67,500","8,125","8,125","16,250","16,250","16,250","16,250","16,250","16,250","22,903","22,778","23,638","24,636","12,264","9,871","10,669","11,452","12,219"
OtherIncomeExpense,"2,200,000","-100,000","796,479","219,058","1,236,657","247,806","1,162,594","144,215","307,743","390,009","595,443","-24,269,698","191,729","243,122","-315,764","160,100","133,461","-68,846","554,662","2,153"
	GainOnSaleOfSecurity,,,,,,,,,,,"0","-24,675,000",,,"0",,"2,516","-196,295","1,533","1,546"
	EarningsFromEquityInterest,,,,,,,"0","0",,,"0","-24,675,000",,,,,,,,
	OtherNonOperatingIncomeExpenses,"2,200,000","-100,000","796,479","219,058","1,236,657","247,806","1,162,594","144,215","307,743","390,009","595,443","405,302","191,729","243,122","-315,764","160,100","130,945","127,449","553,129","607"
PretaxIncome,"-208,900,000","-58,900,000","-52,995,395","-46,751,752","-50,288,562","-40,964,291","-41,546,488","-30,819,866","-25,226,539","-21,739,171","-21,047,716","-17,675,373","-17,164,646","-14,404,492","-16,087,866","-13,387,672","-7,854,542","-4,150,386","-4,728,026","-6,397,272"
TaxProvision,,"4,500,000",,,,,,,,,,,,,,"0",,,"0","0"
NetIncomeCommonStockholders,"-213,400,000","-63,400,000","-52,995,395","-46,751,752","-50,288,562","-40,964,291","-41,546,488","-30,819,866","-25,226,539","-21,739,171","-21,047,716","-17,675,373","-17,164,646","-14,404,492","-16,087,866","-125,438,281","-22,688,591","-75,632,484","-4,728,026","-6,397,272"
	NetIncome,"-213,400,000","-63,400,000","-52,995,395","-46,751,752","-50,288,562","-40,964,291","-41,546,488","-30,819,866","-25,226,539","-21,739,171","-21,047,716","-17,675,373","-17,164,646","-14,404,492","-16,087,866","-13,387,672","-7,854,542","-4,150,386","-4,728,026","-6,397,272"
		NetIncomeIncludingNoncontrollingInterests,"-213,400,000","-63,400,000","-52,995,395","-46,751,752","-50,288,562","-40,964,291","-41,546,488","-30,819,866","-25,226,539","-21,739,171","-21,047,716","-17,675,373","-17,164,646","-14,404,492","-16,087,866","-13,387,672","-7,854,542","-4,150,386","-4,728,026","-6,397,272"
			NetIncomeContinuousOperations,"-213,400,000","-63,400,000","-52,995,395","-46,751,752","-50,288,562","-40,964,291","-41,546,488","-30,819,866","-25,226,539","-21,739,171","-21,047,716","-17,675,373","-17,164,646","-14,404,492","-16,087,866","-13,387,672","-7,854,542","-4,150,386","-4,728,026","-6,397,272"
	OtherunderPreferredStockDividend,,,,,,,,,,,"0","0","0","0","0","112,050,609","14,834,049","71,482,098","4,570,431","0"
