name,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
TotalAssets,"475,147,574","460,788,913","349,448,992","276,745,361","245,532,111","229,279,622","189,470,486","164,261,657"
TotalLiabilitiesNetMinorityInterest,"19,186,381","3,045,378","11,308,075","6,654,046","10,206,671","2,602,394","6,120,344","1,765,722"
TotalEquityGrossMinorityInterest,"455,961,193","457,743,535","338,140,917","270,091,315","235,325,440","226,677,228","183,350,142","162,495,935"
	StockholdersEquity,"455,961,193","457,743,535","338,140,917","270,091,315","235,325,440","226,677,228","183,350,142","162,495,935"
		CapitalStock,"281,286,282","267,573,416","175,328,997","169,841,120","153,385,925","150,584,943","148,190,446","101,759,034"
			CommonStock,"281,286,282","267,573,416","175,328,997","169,841,120","153,385,925","150,584,943","148,190,446","101,759,034"
		RetainedEarnings,"174,674,911","190,170,119","162,811,920","100,250,195","81,939,515","76,092,285","35,159,696","-6,627,455"
CommonStockEquity,"455,961,193","457,743,535","338,140,917","270,091,315","235,325,440","226,677,228","183,350,142","162,495,935"
NetTangibleAssets,"455,961,193","457,743,535","338,140,917","270,091,315","235,325,440","226,677,228","183,350,142","162,495,935"
TangibleBookValue,"455,961,193","457,743,535","338,140,917","270,091,315","235,325,440","226,677,228","183,350,142","162,495,935"
ShareIssued,"55,276,044","53,627,914","42,375,065","41,641,609","38,017,859","37,545,864","37,103,129","30,249,387"
OrdinarySharesNumber,"55,276,044","53,627,914","42,375,065","41,641,609","38,017,859","37,545,864","37,103,129","30,249,387"
