name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
TotalAssets,"1,457,121,000","1,311,999,000","1,290,362,000","1,245,324,000","1,242,783,000","1,263,407,000","1,235,132,000","1,285,999,000","1,263,312,000","1,235,969,000","1,211,817,000","1,162,886,000","1,123,772,000","1,034,626,000","980,276,000","971,151,000","990,481,000","1,050,274,000","949,642,000","938,669,000","928,026,000","904,957,000","922,874,000","867,207,000","859,540,000","840,986,000"
	CurrentAssets,"412,463,000","349,854,000","333,082,000","324,750,000","310,077,000","333,503,000","308,563,000","349,919,000","316,464,000","290,537,000","290,252,000","293,313,000","268,885,000","311,063,000","288,231,000","300,436,000","322,587,000","387,773,000","301,655,000","299,886,000","297,705,000","282,538,000","328,248,000","283,170,000","287,506,000","282,219,000"
		CashCashEquivalentsAndShortTermInvestments,"19,306,000","15,100,000","7,239,000","4,251,000","14,124,000","10,606,000","16,686,000","72,663,000","30,754,000","7,050,000","10,048,000","17,057,000","7,803,000","9,808,000","20,206,000","16,714,000","29,352,000","55,432,000","39,986,000","23,074,000","12,028,000","14,199,000","37,964,000",,,
			CashAndCashEquivalents,"19,306,000","15,100,000","7,239,000","4,251,000","14,124,000","10,606,000","16,686,000","72,663,000","30,754,000","7,050,000","10,048,000","17,057,000","7,803,000","9,808,000","20,206,000","16,714,000","29,352,000","55,432,000","39,986,000","23,074,000","12,028,000","14,199,000","37,964,000",,,
		Receivables,"223,541,000","179,087,000","171,278,000","165,744,000","149,801,000","135,843,000","110,908,000","84,899,000","123,003,000","106,660,000","109,292,000","127,526,000","117,247,000","160,266,000","149,099,000","155,724,000","162,910,000","196,003,000","152,511,000","139,613,000","167,965,000","131,671,000","148,583,000","142,749,000","145,585,000","127,545,000"
			AccountsReceivable,"220,010,000","175,584,000","168,096,000","163,182,000","147,717,000","122,357,000","96,252,000","73,724,000","113,326,000","105,275,000","108,832,000","125,887,000","122,769,000","166,017,000","145,444,000","155,185,000","162,676,000","188,477,000","151,318,000","138,205,000","164,309,000","119,475,000","135,189,000","129,175,000","130,106,000","129,402,000"
			TaxesReceivable,,"947,000","337,000","363,000","340,000","12,289,000","13,807,000","10,173,000","9,701,000",,,,,,,,,,,,,,,,,
			OtherReceivables,"4,870,000","4,051,000","4,389,000","3,673,000","3,221,000","2,668,000","2,291,000","2,376,000","1,838,000","3,708,000","2,320,000","3,901,000","1,798,000","1,716,000","5,380,000","2,235,000","1,801,000","8,936,000","1,816,000","2,713,000","4,852,000","15,407,000","16,624,000","16,692,000","18,474,000","1,018,000"
			ReceivablesAdjustmentsAllowances,"-1,339,000","-1,495,000","-1,544,000","-1,474,000","-1,477,000","-1,471,000","-1,442,000","-1,374,000","-1,862,000","-2,323,000","-1,860,000","-2,262,000","-7,320,000","-7,467,000","-1,725,000","-1,696,000","-1,567,000","-1,410,000","-623,000","-1,305,000","-1,196,000","-3,211,000","-3,230,000","-3,118,000","-2,995,000","-2,875,000"
		Inventory,"163,396,000","149,570,000","142,911,000","140,105,000","141,810,000","180,085,000","173,873,000","183,724,000","158,066,000","171,710,000","162,479,000","138,234,000","140,598,000","137,182,000","115,026,000","122,129,000","124,635,000","129,208,000","100,474,000","131,487,000","112,037,000","128,978,000","136,650,000","134,304,000","138,243,000","150,231,000"
			RawMaterials,"117,978,000","84,111,000","73,762,000","75,783,000","78,821,000","115,810,000","106,143,000","90,225,000","89,471,000","88,679,000","71,332,000","70,422,000","87,691,000","79,557,000","58,386,000","74,515,000","61,656,000","71,593,000","63,431,000","75,618,000","65,476,000","92,029,000","76,537,000","85,773,000","88,425,000","97,194,000"
			WorkInProcess,"52,578,000","43,526,000","44,155,000","34,784,000","31,340,000","54,291,000","56,921,000","70,590,000","53,014,000","56,065,000","65,146,000","54,030,000","42,502,000","46,728,000","56,049,000","43,269,000","57,025,000","50,511,000","36,801,000","42,999,000","39,676,000","47,759,000","47,380,000","38,028,000","42,880,000","56,025,000"
			FinishedGoods,"57,374,000","27,961,000","32,533,000","37,078,000","39,187,000","45,345,000","46,218,000","58,318,000","50,993,000","58,527,000","57,558,000","45,333,000","41,234,000","39,368,000","29,063,000","32,816,000","34,425,000","35,430,000","32,946,000","41,197,000","35,212,000","19,069,000","39,130,000","36,543,000","33,263,000","35,508,000"
			InventoriesAdjustmentsAllowances,"-64,534,000","-6,028,000","-7,539,000","-7,540,000","-7,538,000","-35,361,000","-35,409,000","-35,409,000","-35,412,000","-31,561,000","-31,557,000","-31,551,000","-30,829,000","-28,471,000","-28,472,000","-28,471,000","-28,471,000","-28,326,000","-32,704,000","-28,327,000","-28,327,000","-29,879,000","-26,397,000","-26,040,000","-26,325,000","-38,496,000"
		OtherCurrentAssets,"6,220,000","6,097,000","11,654,000","14,650,000","4,342,000","6,969,000","7,096,000","8,633,000","4,641,000","5,117,000","8,433,000","10,496,000","3,237,000","3,807,000","3,900,000","5,869,000","5,690,000","7,130,000","8,684,000","5,712,000","5,675,000","7,690,000","5,051,000","6,117,000","3,678,000","4,443,000"
	TotalNonCurrentAssets,"1,044,658,000","962,145,000","957,280,000","920,574,000","932,706,000","929,904,000","926,569,000","936,080,000","946,848,000","945,432,000","921,565,000","869,573,000","854,887,000","723,563,000","692,045,000","670,715,000","667,894,000","662,501,000","647,987,000","638,783,000","630,321,000","622,419,000","594,626,000","584,037,000","572,034,000","558,767,000"
		NetPPE,"915,350,000","904,171,000","902,304,000","865,033,000","877,063,000","879,953,000","875,485,000","883,824,000","893,856,000","891,866,000","867,765,000","816,404,000","801,980,000","672,210,000","639,728,000","619,267,000","615,498,000","612,612,000","597,877,000","590,095,000","584,714,000","575,375,000","551,578,000","539,642,000","530,550,000","527,542,000"
			GrossPPE,"915,350,000","1,873,687,000","902,304,000","865,033,000","877,063,000","1,799,800,000","875,485,000","883,824,000","893,856,000","1,761,709,000","867,765,000","816,404,000","801,980,000","1,569,309,000","639,728,000","619,267,000","615,498,000","1,412,634,000","597,877,000","590,095,000","584,714,000","1,346,732,000","1,316,013,000","539,642,000","530,550,000","1,335,995,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0",,,"0"
				LandAndImprovements,,"6,566,000",,,,"6,396,000",,,,"6,396,000",,,,"6,396,000",,,,"6,396,000",,,,"6,396,000","6,396,000",,,"6,599,000"
				BuildingsAndImprovements,,"209,604,000",,,,"201,728,000",,,,"184,951,000",,,,"173,328,000",,,,"165,612,000",,,,"155,749,000","153,471,000",,,"152,765,000"
