name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,01/31/2020
TotalAssets,"4,719,156,000","4,584,940,000","4,675,995,000","4,634,027,000","4,657,310,000","4,384,482,000","4,981,916,000","4,585,848,000","4,331,321,000"
	CurrentAssets,"1,850,288,000","1,715,747,000","1,785,898,000","1,720,449,000","1,717,055,000","1,415,020,000","1,992,092,000","1,571,682,000","1,289,444,000"
		CashCashEquivalentsAndShortTermInvestments,"472,395,000","485,998,000","401,297,000","553,825,000","593,288,000","377,604,000","869,725,000","636,024,000","149,385,000"
			CashAndCashEquivalents,"472,395,000","485,998,000","401,297,000","553,825,000","593,288,000","377,604,000","869,725,000","636,024,000","149,385,000"
		Receivables,"12,666,000","19,718,000","12,368,000","10,791,000","10,831,000","17,306,000","11,908,000","8,666,000","13,999,000"
			AccountsReceivable,"12,666,000","19,718,000","12,368,000","10,791,000","10,831,000","17,306,000","11,908,000","8,666,000","13,999,000"
				GrossAccountsReceivable,"13,474,000","20,450,000","13,507,000","11,613,000","12,281,000","18,478,000","13,194,000","11,989,000","17,274,000"
				AllowanceForDoubtfulAccountsReceivable,"-808,000","-732,000","-1,139,000","-822,000","-1,450,000","-1,172,000","-1,286,000","-3,323,000","-3,275,000"
		Inventory,"1,323,886,000","1,171,808,000","1,325,979,000","1,115,020,000","1,080,804,000","990,034,000","1,082,907,000","899,086,000","1,099,749,000"
			FinishedGoods,"1,323,886,000","1,171,808,000","1,325,979,000","1,115,020,000","1,080,804,000","990,034,000","1,082,907,000","899,086,000","1,099,749,000"
		PrepaidAssets,"39,578,000","36,460,000","44,491,000","39,050,000","30,369,000","28,313,000","25,789,000","26,143,000","24,548,000"
		AssetsHeldForSaleCurrent,"1,763,000","1,763,000","1,763,000","1,763,000","1,763,000","1,763,000","1,763,000","1,763,000","1,763,000"
	TotalNonCurrentAssets,"2,868,868,000","2,869,193,000","2,890,097,000","2,913,578,000","2,940,255,000","2,969,462,000","2,989,824,000","3,014,166,000","3,041,877,000"
		NetPPE,"1,425,334,000","1,425,382,000","1,445,517,000","1,468,056,000","1,493,650,000","1,521,959,000","1,545,981,000","1,568,295,000","1,587,112,000"
			GrossPPE,"2,515,686,000","2,490,277,000","2,488,980,000","2,485,916,000","2,486,981,000","2,490,357,000","2,490,650,000","2,489,329,000","2,457,633,000"
				Properties,"0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"3,698,000","3,698,000","3,698,000","3,698,000","3,698,000","3,699,000","3,698,000","3,698,000","3,698,000"
				MachineryFurnitureEquipment,"947,017,000","938,968,000","925,847,000","906,825,000","888,199,000","881,097,000","860,518,000","857,732,000","853,784,000"
				OtherProperties,"1,085,805,000","1,079,546,000","1,087,407,000","1,105,272,000","1,127,645,000","1,143,699,000","1,163,361,000","1,171,736,000","1,145,705,000"
				ConstructionInProgress,"20,414,000","11,147,000","16,486,000","21,846,000","23,926,000","23,575,000","27,979,000","22,076,000","17,639,000"
				Leases,"458,752,000","456,918,000","455,542,000","448,275,000","443,513,000","438,287,000","435,094,000","434,087,000","436,807,000"
			AccumulatedDepreciation,"-1,090,352,000","-1,064,895,000","-1,043,463,000","-1,017,860,000","-993,331,000","-968,398,000","-944,669,000","-921,034,000","-870,521,000"
		GoodwillAndOtherIntangibleAssets,"1,439,166,000","1,439,135,000","1,439,064,000","1,438,920,000","1,438,920,000","1,438,920,000","1,438,920,000","1,438,920,000","1,438,920,000"
			Goodwill,"861,920,000","861,920,000","861,920,000","861,920,000","861,920,000","861,920,000","861,920,000","861,920,000","861,920,000"
			OtherIntangibleAssets,"577,246,000","577,215,000","577,144,000","577,000,000","577,000,000","577,000,000","577,000,000","577,000,000","577,000,000"
		OtherNonCurrentAssets,"4,368,000","4,676,000","5,516,000","6,602,000","7,685,000","8,583,000","4,923,000","6,951,000","15,845,000"
TotalLiabilitiesNetMinorityInterest,"3,190,648,000","3,117,994,000","3,300,001,000","3,186,409,000","3,343,435,000","3,272,499,000","3,997,352,000","3,693,752,000","3,343,102,000"
	CurrentLiabilities,"1,188,574,000","1,127,110,000","1,313,385,000","1,181,565,000","1,239,234,000","1,167,093,000","1,241,102,000","1,066,473,000","750,649,000"
		PayablesAndAccruedExpenses,"989,511,000","920,243,000","1,130,788,000","996,804,000","1,056,755,000","983,826,000","1,055,513,000","870,356,000","534,400,000"
			Payables,"917,579,000","778,229,000","1,009,263,000","890,073,000","964,344,000","847,092,000","956,345,000","787,033,000","458,393,000"
				AccountsPayable,"825,456,000","737,826,000","919,196,000","816,427,000","864,966,000","791,404,000","868,879,000","726,666,000","428,823,000"
				TotalTaxPayable,"92,123,000","40,403,000","90,067,000","73,646,000","99,378,000","55,688,000","87,466,000","60,367,000","29,570,000"
					IncomeTaxPayable,"48,163,000","9,602,000","21,900,000","10,734,000","45,087,000","23,730,000","19,197,000",,
			CurrentAccruedExpenses,"71,932,000","142,014,000","121,525,000","106,731,000","92,411,000","136,734,000","99,168,000","83,323,000","76,007,000"
				InterestPayable,"12,804,000","6,583,000","12,676,000","6,654,000","14,003,000","7,684,000","6,996,000","7,469,000","7,835,000"
		CurrentProvisions,"6,600,000","6,200,000","5,800,000","6,700,000","6,100,000","5,800,000","5,000,000","6,500,000","5,500,000"
		CurrentDebtAndCapitalLeaseObligation,"88,719,000","86,077,000","89,701,000","87,981,000","86,676,000","84,338,000","97,611,000","94,735,000","110,445,000"
			CurrentDebt,"3,000,000","3,000,000","3,000,000","3,000,000","4,000,000","4,000,000","18,250,000","18,250,000","34,116,000"
