name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,12/31/2004
TotalAssets,"548,689,000","572,053,000","598,108,000","441,027,000","404,503,000","261,223,000","154,677,000","161,135,000","153,839,000","169,948,000","178,283,000","133,432,000","119,417,000","129,477,000","131,465,000","139,495,000","143,336,000","84,660,000","79,773,000","84,197,000","93,571,000","94,188,000","96,025,000","136,452,000","145,390,000","146,704,000","148,384,000","314,172,000","320,106,000","344,923,000","348,602,000","364,710,000","386,282,000","365,630,000","366,135,000","366,671,000","374,199,000","382,127,000","365,666,000","357,053,000","364,682,000","366,692,000","372,690,000","384,446,000","388,735,000","377,016,000","390,393,000","374,692,000","357,205,000","161,888,000","164,305,000","169,115,000","158,233,000","155,548,000","147,093,000","141,168,000","150,322,000","147,240,000","156,740,000","126,472,000","124,067,000","129,277,000","131,409,000","139,479,000","115,724,587","109,138,786","11,306,414"
	CurrentAssets,"303,378,000","331,157,000","357,162,000","206,359,000","279,121,000","184,160,000","86,682,000","95,964,000","91,712,000","108,318,000","117,404,000","75,946,000","63,749,000","75,536,000","78,079,000","86,523,000","90,732,000","66,478,000","60,742,000","64,226,000","72,406,000","72,824,000","75,574,000","93,687,000","100,259,000","101,858,000","100,275,000","100,074,000","102,468,000","113,112,000","112,712,000","117,368,000","135,450,000","113,745,000","112,474,000","113,047,000","119,178,000","122,052,000","121,770,000","115,360,000","112,886,000","116,429,000","119,439,000","121,865,000","126,775,000","122,824,000","133,225,000","132,616,000","105,116,000","67,622,000","69,356,000","75,755,000","65,680,000","65,509,000","57,875,000","55,217,000","65,203,000","63,875,000","71,470,000","40,567,000","40,616,000","45,498,000","46,472,000","54,518,000","25,929,849","24,105,536","7,273,496"
		CashCashEquivalentsAndShortTermInvestments,"151,812,000","187,248,000","223,868,000","76,581,000","191,137,000","107,765,000","15,678,000","31,163,000","27,466,000","47,113,000","57,843,000","18,570,000","16,419,000","29,054,000","35,111,000","44,912,000","47,645,000","22,466,000","15,437,000","19,107,000","25,485,000","19,593,000","25,598,000","9,322,000","7,761,000","11,229,000","10,502,000","8,898,000","11,400,000","19,735,000","20,169,000","18,983,000","23,764,000","21,345,000","18,654,000","12,948,000","19,293,000","22,241,000","25,941,000","22,023,000","16,859,000","20,666,000","22,144,000","21,761,000","21,477,000","23,168,000","28,854,000","38,408,000","12,662,000","10,085,000","14,110,000","19,731,000","10,087,000","18,315,000","10,874,000","13,071,000","26,904,000","25,843,000","33,661,000","6,249,000","8,090,000","16,943,000","21,360,000","25,020,000","790,557","2,180,366","1,556,770"
			CashAndCashEquivalents,"151,812,000","187,248,000","223,868,000","76,581,000","191,137,000","107,765,000","15,678,000","31,163,000","27,466,000","47,113,000","57,843,000","18,570,000","16,419,000","29,054,000","35,111,000","44,912,000","47,645,000","22,466,000","15,437,000","19,107,000","25,485,000","19,593,000","25,598,000","9,322,000","7,761,000","11,229,000","10,502,000","8,898,000","11,400,000","19,735,000","20,169,000","18,983,000","23,764,000","21,345,000","18,654,000","12,948,000","19,293,000","22,241,000","25,941,000","22,023,000","16,859,000","20,666,000","22,144,000","21,761,000","21,477,000","23,168,000","28,854,000","38,408,000","12,662,000","10,085,000","14,110,000","19,731,000","10,087,000","18,315,000","10,874,000","13,071,000","26,904,000","25,843,000","33,661,000","6,249,000","8,090,000","16,943,000","21,360,000","25,020,000","790,557","2,180,366","1,556,770"
				CashFinancial,"31,789,000",,"223,868,000","76,581,000","191,137,000","107,765,000","15,678,000","31,163,000","27,466,000","47,113,000","57,843,000","18,570,000","16,419,000","29,054,000","35,111,000","44,912,000","47,645,000","22,466,000","15,437,000","19,107,000","25,485,000","19,593,000","25,598,000","9,322,000","7,761,000","11,229,000","10,502,000","8,898,000","11,400,000","19,735,000","20,169,000","18,983,000","23,764,000","21,345,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"120,023,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"40,438,000","41,893,000","33,676,000","34,819,000","26,827,000","24,603,000","25,204,000","20,362,000","15,375,000","16,150,000","15,633,000","13,642,000","13,760,000","15,445,000","12,204,000","11,405,000","11,960,000","14,822,000","13,303,000","13,126,000","14,212,000","18,512,000","16,546,000","36,515,000","39,436,000","38,319,000","36,252,000","38,857,000","38,914,000","40,440,000","40,053,000","44,662,000","38,838,000","41,395,000","41,738,000","41,031,000","40,711,000","41,012,000","37,565,000","38,800,000","40,570,000","41,711,000","39,775,000","41,711,000","43,341,000","39,777,000","43,151,000","37,153,000","39,268,000","24,766,000","21,744,000","23,824,000","23,812,000","18,759,000","17,391,000","15,300,000","14,183,000","13,035,000","12,807,000","11,724,000","11,903,000","10,583,000","10,417,000","13,537,000","11,391,011","9,360,818","2,841,930"
			AccountsReceivable,"40,438,000","41,893,000","33,676,000","33,743,000","25,751,000","23,527,000","24,270,000","19,785,000","15,375,000","16,150,000","15,430,000","13,642,000","13,760,000","15,095,000","12,204,000","11,405,000","11,960,000","14,822,000","13,303,000","13,126,000","14,212,000","18,512,000","16,546,000","36,515,000","39,436,000","38,319,000","36,252,000","38,857,000","38,914,000","40,440,000","40,053,000","44,662,000","38,838,000","41,395,000","41,738,000","41,031,000","40,711,000","41,012,000","37,565,000","38,800,000","40,570,000","41,711,000","39,775,000","41,711,000","43,341,000","39,777,000","43,151,000","37,153,000","39,268,000","24,766,000","21,744,000","23,824,000","23,812,000","18,759,000","17,391,000","15,300,000","14,183,000","13,035,000","12,807,000","11,724,000","11,903,000","10,583,000","10,417,000","13,537,000","11,391,011","9,360,818","2,841,930"
				GrossAccountsReceivable,"41,850,000","44,200,000","34,545,000","34,064,000","26,121,000","23,887,000","24,604,000","20,080,000","15,664,000","16,436,000","15,717,000","13,938,000","13,966,000","15,291,000","12,391,000","11,542,000","12,013,000","15,328,000","13,819,000","13,680,000","15,190,000","19,870,000","16,665,000","37,444,000","40,686,000","39,380,000","37,298,000","39,668,000","39,674,000","41,233,000","41,062,000","45,600,000","39,968,000","42,443,000","42,717,000","42,092,000","41,740,000","42,086,000","38,911,000","40,233,000","41,974,000","42,766,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,412,000","-2,307,000","-869,000","-321,000","-370,000","-360,000","-334,000","-295,000","-289,000","-286,000","-287,000","-296,000","-206,000","-196,000","-187,000","-137,000","-53,000","-506,000","-516,000","-554,000","-978,000","-1,358,000","-119,000","-929,000","-1,250,000","-1,061,000","-1,046,000","-811,000","-760,000","-793,000","-1,009,000","-938,000","-1,130,000","-1,048,000","-979,000","-1,061,000","-1,029,000","-1,074,000","-1,346,000","-1,433,000","-1,404,000","-1,055,000",,,,,,,,,,,,,,,,,,,,,,,,,
