name,03/31/2022,09/30/2021
TotalAssets,"3,533,987,000","978,936,543"
	CurrentAssets,"1,518,908,000","1,380,189"
		CashCashEquivalentsAndShortTermInvestments,"1,468,729,000","262,793"
			CashAndCashEquivalents,"504,313,000","262,793"
				CashFinancial,,"262,793"
			OtherShortTermInvestments,"964,416,000",
		Receivables,"27,036,000",
			DuefromRelatedPartiesCurrent,"0",
			OtherReceivables,"27,036,000",
		PrepaidAssets,"22,863,000","1,117,396"
		RestrictedCash,"280,000",
	TotalNonCurrentAssets,"2,015,079,000","977,556,354"
		NetPPE,"246,608,000",
			GrossPPE,"269,780,000",
				Properties,"0",
				LandAndImprovements,"13,503,000",
				BuildingsAndImprovements,"1,398,000",
				MachineryFurnitureEquipment,"27,499,000",
				OtherProperties,"163,736,000",
				Leases,"63,644,000",
			AccumulatedDepreciation,"-23,172,000",
		GoodwillAndOtherIntangibleAssets,"1,731,915,000",
			Goodwill,"1,113,766,000",
			OtherIntangibleAssets,"618,149,000",
		NonCurrentDeferredAssets,,"0"
		OtherNonCurrentAssets,"36,556,000","977,556,354"
TotalLiabilitiesNetMinorityInterest,"239,484,000","73,951,431"
	CurrentLiabilities,"49,016,000","7,597,619"
		PayablesAndAccruedExpenses,"21,389,000","7,597,619"
			Payables,"5,672,000","1,883,641"
				AccountsPayable,"4,303,000","914,904"
				DuetoRelatedPartiesCurrent,"1,369,000","968,737"
			CurrentAccruedExpenses,"15,717,000","5,713,978"
		PensionandOtherPostRetirementBenefitPlansCurrent,"12,847,000",
		CurrentDebtAndCapitalLeaseObligation,"12,134,000",
			CurrentCapitalLeaseObligation,"12,134,000",
		OtherCurrentLiabilities,"2,646,000",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"190,468,000","66,353,812"
		LongTermDebtAndCapitalLeaseObligation,"133,251,000",
			LongTermCapitalLeaseObligation,"133,251,000",
		NonCurrentDeferredLiabilities,"3,905,000","34,230,682"
			NonCurrentDeferredTaxesLiabilities,"3,905,000",
		DerivativeProductLiabilities,"31,255,000","32,123,130"
		OtherNonCurrentLiabilities,"22,057,000",
TotalEquityGrossMinorityInterest,"3,294,503,000","904,985,112"
	StockholdersEquity,"3,294,503,000","904,985,112"
		CapitalStock,"11,000","977,502,444"
			PreferredStock,,"0"
			CommonStock,"11,000","977,502,444"
		AdditionalPaidInCapital,"4,464,191,000","0"
		RetainedEarnings,"-1,168,024,000","-72,517,332"
		GainsLossesNotAffectingRetainedEarnings,"-1,675,000",
TotalCapitalization,"3,294,503,000","904,985,112"
CommonStockEquity,"3,294,503,000","904,985,112"
CapitalLeaseObligations,"145,385,000",
NetTangibleAssets,"1,562,588,000","904,985,112"
WorkingCapital,"1,469,892,000","-6,217,430"
InvestedCapital,"3,294,503,000","904,985,112"
TangibleBookValue,"1,562,588,000","904,985,112"
TotalDebt,"145,385,000",
ShareIssued,"1,127,581,556","1,123,977,525"
OrdinarySharesNumber,"1,127,581,556","1,123,977,525"
