name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
TotalRevenue,"1,711,992,000","450,534,000","414,070,000","411,276,000","436,112,000","417,160,000","422,302,000","366,003,000","351,577,000","355,223,000"
	OperatingRevenue,"1,711,992,000","450,534,000","414,070,000","411,276,000","436,112,000","417,160,000","422,302,000","366,003,000","351,577,000","355,223,000"
CostOfRevenue,"1,156,445,000","305,708,000","289,680,000","271,534,000","289,523,000","285,477,000","296,087,000","251,873,000","244,948,000","247,682,000"
GrossProfit,"555,547,000","144,826,000","124,390,000","139,742,000","146,589,000","131,683,000","126,215,000","114,130,000","106,629,000","107,541,000"
OperatingExpense,"477,321,000","130,959,000","111,683,000","119,388,000","115,291,000","101,619,000","103,604,000","96,743,000","82,690,000","89,674,000"
	SellingGeneralAndAdministration,"456,307,000","125,310,000","106,633,000","114,243,000","110,121,000","96,771,000","99,280,000","92,134,000","77,869,000","85,491,000"
		GeneralAndAdministrativeExpense,"456,307,000","125,310,000","106,633,000","114,243,000","110,121,000","96,771,000","99,280,000","92,134,000","77,869,000","85,491,000"
			SalariesAndWages,,"21,294,000",,,,,,,,
			RentAndLandingFees,,"2,983,000",,,,,,,,
			OtherGandA,"450,678,000","101,033,000","106,633,000","114,243,000","110,121,000","96,771,000","99,280,000","92,134,000","77,869,000","85,491,000"
	DepreciationAmortizationDepletionIncomeStatement,"21,521,000","5,819,000","5,387,000","5,145,000","5,170,000","4,848,000","4,688,000","3,922,000","4,234,000","4,183,000"
		DepreciationAndAmortizationInIncomeStatement,"21,521,000","5,819,000","5,387,000","5,145,000","5,170,000","4,848,000","4,688,000","3,922,000","4,234,000","4,183,000"
	OtherOperatingExpenses,,"-170,000",,,,,"-364,000","687,000","587,000",
OperatingIncome,"78,226,000","13,867,000","12,707,000","20,354,000","31,298,000","30,064,000","22,611,000","17,387,000","23,939,000","17,867,000"
NetNonOperatingInterestIncomeExpense,"-68,631,000","-22,302,000","-15,066,000","-12,062,000","-19,201,000","-22,348,000","-23,913,000","-19,027,000","-18,681,000","-21,017,000"
	InterestIncomeNonOperating,"238,000","62,000","71,000","44,000","61,000","77,000","98,000","38,000","163,000","46,000"
	InterestExpenseNonOperating,"69,269,000","20,624,000","15,137,000","12,106,000","19,262,000","22,425,000","24,011,000","19,065,000","18,844,000","21,063,000"
	TotalOtherFinanceCost,,"1,740,000",,,,,,,,
OtherIncomeExpense,"-101,347,000","36,366,000","-119,753,000","-7,302,000","-10,658,000","-1,609,000","-6,029,000","-6,233,000","-80,556,000","41,918,000"
	GainOnSaleOfSecurity,"39,755,000","36,183,000","4,875,000","-566,000","-737,000",,"-939,000","-1,613,000","-4,470,000",
	SpecialIncomeCharges,"-142,559,000","-91,000","-125,755,000","-6,791,000","-9,922,000","-1,768,000","-4,885,000","-4,510,000","-76,096,000","127,000"
		RestructuringAndMergernAcquisition,"11,155,000","91,000","8,053,000","2,007,000","1,004,000","1,768,000","4,885,000","4,510,000","169,000","0"
		ImpairmentOfCapitalAssets,,,"117,702,000","0","0",,"0","0","75,727,000",
		OtherSpecialCharges,,,"0","4,784,000","8,918,000",,"0",,"200,000","-127,000"
	OtherNonOperatingIncomeExpenses,"1,457,000","274,000","1,127,000","55,000","1,000","159,000","-205,000","-110,000","10,000","41,791,000"
PretaxIncome,"-91,752,000","27,931,000","-122,112,000","990,000","1,439,000","6,107,000","-7,331,000","-7,873,000","-75,298,000","38,768,000"
TaxProvision,"5,756,000","2,597,000","4,080,000","-1,100,000","179,000","309,000","2,401,000","-471,000","2,255,000","1,131,000"
NetIncomeCommonStockholders,"-97,508,000","25,334,000","-126,192,000","2,090,000","1,260,000","5,798,000","-9,732,000","-7,402,000","-77,553,000","37,637,000"
	NetIncome,"-97,508,000","25,334,000","-126,192,000","2,090,000","1,260,000","5,798,000","-9,732,000","-7,402,000","-77,553,000","37,637,000"
		NetIncomeIncludingNoncontrollingInterests,"-97,508,000","25,334,000","-126,192,000","2,090,000","1,260,000","5,798,000","-9,732,000","-7,402,000","-77,553,000","37,637,000"
			NetIncomeContinuousOperations,"-97,508,000","25,334,000","-126,192,000","2,090,000","1,260,000","5,798,000","-9,732,000","-7,402,000","-77,553,000","37,637,000"
DilutedNIAvailtoComStockholders,"-97,508,000","25,334,000","-126,192,000","2,090,000","1,260,000","5,798,000","-9,732,000","-7,402,000","-77,553,000","37,637,000"
BasicEPS,,"0.14",,"0.01","0.01","0.032",,"-0.041","-0.43","0.209"
DilutedEPS,,"0.14",,"0.01","0.01","0.032",,"-0.041","-0.43","0.209"
BasicAverageShares,,"184,927,000",,"184,554,000","171,149,000","180,164,184",,"180,164,184","180,164,184","180,164,184"
DilutedAverageShares,,"185,427,000",,"188,246,000","177,683,000","180,164,184",,"180,164,184","180,164,184","180,164,184"
TotalOperatingIncomeAsReported,"-50,631,000","13,776,000","-113,048,000","18,347,000","30,294,000","28,296,000","17,726,000","12,877,000","-51,957,000","17,867,000"
RentExpenseSupplemental,,"2,983,000",,,,,,,,
TotalExpenses,"1,633,766,000","436,667,000","401,363,000","390,922,000","404,814,000","387,096,000","399,691,000","348,616,000","327,638,000","337,356,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-97,508,000","25,334,000","-126,192,000","2,090,000","1,260,000","5,798,000","-9,732,000","-7,402,000","-77,553,000","37,637,000"
NormalizedIncome,"-35,825,600","-7,402,197.343","-37,949,600","7,460,610","10,597,284","7,481,136","-5,480,480","-1,646,380","-18,739,820","37,513,683"
InterestIncome,"238,000","62,000","71,000","44,000","61,000","77,000","98,000","38,000","163,000","46,000"
InterestExpense,"69,269,000","20,624,000","15,137,000","12,106,000","19,262,000","22,425,000","24,011,000","19,065,000","18,844,000","21,063,000"
NetInterestIncome,"-68,631,000","-22,302,000","-15,066,000","-12,062,000","-19,201,000","-22,348,000","-23,913,000","-19,027,000","-18,681,000","-21,017,000"
EBIT,"-22,483,000","48,555,000","-106,975,000","13,096,000","20,701,000","28,532,000","16,680,000","11,192,000","-56,454,000","59,831,000"
EBITDA,"14,520,000"
ReconciledCostOfRevenue,"1,140,963,000","301,515,000","285,922,000","269,706,000","283,820,000","281,927,000","292,874,000","248,418,000","241,542,000","244,559,000"
ReconciledDepreciation,"37,003,000","10,012,000","9,145,000","6,973,000","10,873,000","8,398,000","7,901,000","7,377,000","7,640,000","7,306,000"
