name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020
TotalAssets,"1,931,609,000","2,266,303,000","1,458,647,000","1,222,373,287","726,510,254"
	CurrentAssets,"1,516,388,000","1,857,885,000","1,076,445,000","930,637,247","432,315,500"
		CashCashEquivalentsAndShortTermInvestments,"523,578,000","562,817,000","150,944,000","202,937,549","252,458,059"
			CashAndCashEquivalents,"294,923,000","562,817,000","150,944,000","202,937,549","252,458,059"
			OtherShortTermInvestments,"228,655,000",,,,
		Receivables,"46,996,000","42,485,000","41,686,000","36,852,569","33,611,311"
			AccountsReceivable,"34,213,000","30,965,000","30,135,000","26,283,400","24,756,735"
				GrossAccountsReceivable,"36,562,000","33,248,000","32,042,000","28,077,971","26,526,215"
				AllowanceForDoubtfulAccountsReceivable,"-2,349,000","-2,283,000","-1,907,000","-1,794,571","-1,769,480"
			OtherReceivables,"12,783,000","11,520,000","11,551,000","10,569,169","8,854,576"
		PrepaidAssets,"13,839,000","10,237,000","13,042,000","10,025,919","8,625,707"
		RestrictedCash,"931,975,000","1,242,346,000","870,773,000","680,821,210","137,620,423"
	TotalNonCurrentAssets,"415,221,000","408,418,000","382,202,000","291,736,040","294,194,754"
		NetPPE,"111,469,000","109,505,000","86,619,000","87,087,280","90,011,174"
			GrossPPE,"111,469,000","143,671,000","120,448,000","119,284,255","118,807,153"
				Properties,,"0","0","0","0"
				LandAndImprovements,,"37,364,000","12,667,000","12,666,598","12,666,598"
				MachineryFurnitureEquipment,,"94,721,000","95,492,000","94,766,930","94,318,668"
				OtherProperties,"111,469,000","3,278,000","3,467,000","3,090,010","3,138,944"
				Leases,,"8,308,000","8,822,000","8,760,717","8,682,943"
			AccumulatedDepreciation,,"-34,166,000","-33,829,000","-32,196,975","-28,795,979"
		GoodwillAndOtherIntangibleAssets,"271,952,000","266,376,000","264,740,000","174,872,509","178,137,798"
			Goodwill,"165,921,000","165,921,000","160,987,000","105,695,875","105,695,875"
			OtherIntangibleAssets,"106,031,000","100,455,000","103,753,000","69,176,634","72,441,923"
		NonCurrentDeferredAssets,"27,503,000","28,276,000","26,309,000","25,412,062","24,123,982"
		OtherNonCurrentAssets,"4,297,000","4,261,000","4,534,000","4,364,189","1,921,800"
TotalLiabilitiesNetMinorityInterest,"1,226,737,000","1,543,248,000","2,028,561,000","939,716,384","404,992,047"
	CurrentLiabilities,"1,016,163,000","1,332,306,000","960,224,000","745,859,530","213,057,656"
		PayablesAndAccruedExpenses,"66,997,000","73,224,000","76,777,000","55,466,021","65,889,714"
			Payables,"15,505,000","17,142,000","17,204,000","15,960,361","25,417,863"
				AccountsPayable,"15,505,000","17,142,000","17,204,000","15,960,361","25,417,863"
			CurrentAccruedExpenses,"51,492,000","56,082,000","59,573,000","39,505,660","40,471,851"
		CurrentDebtAndCapitalLeaseObligation,"6,642,000","6,518,000","2,852,000","2,779,982","3,238,447"
			CurrentDebt,"4,800,000","4,800,000","1,000,000","1,000,000","1,000,000"
				OtherCurrentBorrowings,"4,800,000","4,800,000","1,000,000","1,000,000","1,000,000"
			CurrentCapitalLeaseObligation,"1,842,000","1,718,000","1,852,000","1,779,982","2,238,447"
		CurrentDeferredLiabilities,"9,861,000","9,530,000","8,872,000","6,792,317","6,309,072"
			CurrentDeferredRevenue,"9,861,000","9,530,000","8,872,000","6,792,317","6,309,072"
		OtherCurrentLiabilities,"932,663,000","1,243,034,000","871,723,000","680,821,210","137,620,423"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"210,574,000","210,942,000","1,068,337,000","193,856,854","191,934,391"
		LongTermDebtAndCapitalLeaseObligation,"188,380,000","184,500,000","178,773,000","177,123,233","175,334,746"
			LongTermDebt,"121,366,000","119,880,000","101,682,000","100,209,202","98,446,295"
			LongTermCapitalLeaseObligation,"67,014,000","64,620,000","77,091,000","76,914,031","76,888,451"
		NonCurrentDeferredLiabilities,"19,494,000","20,350,000","12,899,000","1,841,562","1,660,687"
			NonCurrentDeferredRevenue,"19,494,000","20,350,000","12,899,000","1,841,562","1,660,687"
		PreferredSecuritiesOutsideStockEquity,,"0","847,042,000",,
		OtherNonCurrentLiabilities,"2,700,000","6,092,000","29,623,000","14,892,059","14,938,958"
TotalEquityGrossMinorityInterest,"704,872,000","723,055,000","-569,914,000","282,656,903","321,518,207"
	StockholdersEquity,"704,872,000","723,055,000","-569,914,000","282,656,903","321,518,207"
		CapitalStock,"198,000","197,000","58,000","842,084,091","832,674,851"
			PreferredStock,"0","0",,"842,029,487","832,624,796"
			CommonStock,"198,000","197,000","58,000","54,604","50,055"
		AdditionalPaidInCapital,"1,602,372,000","1,594,780,000","229,853,000","204,870,470","161,115,961"
		RetainedEarnings,"-897,698,000","-871,922,000","-799,825,000","-764,297,658","-672,272,605"
TotalCapitalization,"826,238,000","842,935,000","-468,232,000","382,866,105","419,964,502"
PreferredStockEquity,,,,"842,029,487","832,624,796"
CommonStockEquity,"704,872,000","723,055,000","-569,914,000","-559,372,584","-511,106,589"
CapitalLeaseObligations,"68,856,000","66,338,000","78,943,000","78,694,013","79,126,898"
NetTangibleAssets,"432,920,000","456,679,000","-834,654,000","107,784,394","143,380,409"
WorkingCapital,"500,225,000","525,579,000","116,221,000","184,777,717","219,257,844"
InvestedCapital,"831,038,000","847,735,000","-467,232,000","-458,163,382","-411,660,294"
TangibleBookValue,"432,920,000","456,679,000","-834,654,000","-734,245,093","-689,244,387"
TotalDebt,"195,022,000","191,018,000","181,625,000","179,903,215","178,573,193"
ShareIssued,"197,626,663","196,804,844","191,350,102","191,350,102","191,350,102"
OrdinarySharesNumber,"197,626,663","196,804,844","191,350,102","191,350,102","191,350,102"
