name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
TotalRevenue,"285,382,000","0","192,180,000","32,811,000","60,391,000","65,985,000","48,633,000","0","0","0","0","0"
	OperatingRevenue,"285,382,000","0","192,180,000","32,811,000","60,391,000","65,985,000","48,633,000","0","0","0","0","0"
OperatingExpense,"219,835,000","42,175,000","70,999,000","54,958,000","51,704,000","35,330,000","27,986,000","17,629,000","10,003,000","4,045,000","4,749,000","3,769,000"
	SellingGeneralAndAdministration,"49,568,000","12,542,000","13,188,000","11,939,000","11,901,000","8,759,000","14,140,000","4,028,000","2,248,000","1,224,000","1,260,000","1,358,000"
		GeneralAndAdministrativeExpense,"49,568,000","12,542,000","13,188,000","11,939,000","11,901,000","8,759,000","14,140,000","4,028,000","2,248,000","1,224,000","1,260,000","1,358,000"
			OtherGandA,"49,568,000","12,542,000","13,188,000","11,939,000","11,901,000","8,759,000","14,140,000","4,028,000","2,248,000","1,224,000","1,260,000","1,358,000"
	ResearchAndDevelopment,"170,267,000","29,633,000","57,811,000","43,019,000","39,803,000","26,571,000","13,846,000","13,601,000","7,755,000","2,821,000","3,489,000","2,411,000"
OperatingIncome,"65,547,000","-42,175,000","121,181,000","-22,147,000","8,687,000","30,655,000","20,647,000","-17,629,000","-10,003,000","-4,045,000","-4,749,000","-3,769,000"
NetNonOperatingInterestIncomeExpense,"253,000","98,000","51,000","53,000","52,000","58,000","9,000","7,000","10,000","57,000","94,000","137,000"
	InterestIncomeNonOperating,"253,000","98,000","51,000","53,000","52,000","58,000","9,000","7,000","10,000","57,000","94,000","137,000"
PretaxIncome,"65,800,000","-42,077,000","121,232,000","-22,094,000","8,739,000","30,713,000","20,656,000","-17,622,000","-9,993,000","-3,988,000","-4,655,000","-3,632,000"
TaxProvision,"17,400,000","0","4,100,000","6,100,000","7,200,000",,,,"0",,,
NetIncomeCommonStockholders,"48,400,000","-42,077,000","117,132,000","-28,194,000","1,539,000","30,713,000","20,656,000","-17,622,000","-9,993,000","-3,988,000","-4,655,000","-3,632,000"
	NetIncome,"48,400,000","-42,077,000","117,132,000","-28,194,000","1,539,000","30,713,000","20,656,000","-17,622,000","-9,993,000","-3,988,000","-4,655,000","-3,632,000"
		NetIncomeIncludingNoncontrollingInterests,"48,400,000","-42,077,000","117,132,000","-28,194,000","1,539,000","30,713,000","20,656,000","-17,622,000","-9,993,000","-3,988,000","-4,655,000","-3,632,000"
			NetIncomeContinuousOperations,"48,400,000","-42,077,000","117,132,000","-28,194,000","1,539,000","30,713,000","20,656,000","-17,622,000","-9,993,000","-3,988,000","-4,655,000","-3,632,000"
DilutedNIAvailtoComStockholders,"48,400,000","-42,077,000","117,132,000","-28,194,000","1,539,000","30,713,000","20,656,000","-17,622,000","-9,993,000","-3,988,000","-4,655,000","-3,632,000"
BasicEPS,,"-0.51","1.41","-0.34","0.02","0.37",,"-0.222","-0.211","-0.084",,"-0.077"
DilutedEPS,,"-0.51","1.34","-0.34","0.02","0.34",,"-0.222","-0.211","-0.084",,"-0.077"
BasicAverageShares,,"83,176,408","83,095,320","82,815,636","82,743,530","82,577,836",,"79,241,937","47,292,517","47,292,517",,"47,292,517"
DilutedAverageShares,,"83,176,408","87,092,688","82,815,636","88,091,384","89,099,075",,"79,241,937","47,292,517","47,292,517",,"47,292,517"
TotalOperatingIncomeAsReported,"65,547,000","-42,175,000","121,181,000","-22,147,000","8,687,000","30,655,000","20,647,000","-17,629,000","-10,003,000","-4,045,000","-4,749,000","-3,769,000"
TotalExpenses,"219,835,000","42,175,000","70,999,000","54,958,000","51,704,000","35,330,000","27,986,000","17,629,000","10,003,000","4,045,000","4,749,000","3,769,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"48,400,000","-42,077,000","117,132,000","-28,194,000","1,539,000","30,713,000","20,656,000","-17,622,000","-9,993,000","-3,988,000","-4,655,000","-3,632,000"
NormalizedIncome,"48,400,000","-42,077,000","117,132,000","-28,194,000","1,539,000","30,713,000","20,656,000","-17,622,000","-9,993,000","-3,988,000","-4,655,000","-3,632,000"
InterestIncome,"253,000","98,000","51,000","53,000","52,000","58,000","9,000","7,000","10,000","57,000","94,000","137,000"
NetInterestIncome,"253,000","98,000","51,000","53,000","52,000","58,000","9,000","7,000","10,000","57,000","94,000","137,000"
EBIT,"65,547,000","-42,175,000","121,181,000","-22,147,000","8,687,000","30,655,000","20,647,000","-17,629,000","-10,003,000","-4,045,000","-4,749,000","-3,769,000"
EBITDA,"65,576,000"
ReconciledDepreciation,"29,000","7,000","7,000","7,000","8,000","7,000","6,000","5,000","4,000","4,000","4,000","4,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"48,400,000","-42,077,000","117,132,000","-28,194,000","1,539,000","30,713,000","20,656,000","-17,622,000","-9,993,000","-3,988,000","-4,655,000","-3,632,000"
NormalizedEBITDA,"65,576,000","-42,168,000","121,188,000","-22,140,000","8,695,000","30,662,000","20,653,000","-17,624,000","-9,999,000","-4,041,000","-4,745,000","-3,765,000"
TaxRateForCalcs,"0.264","0","0.034","0.27","0.27","0.27","0.27","0","0","0","0","0"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0"
