name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,12/31/2017
TotalAssets,"525,571,000","547,945,000","561,305,000","565,512,000","444,970,000","342,206,000","347,671,000","348,736,000","217,379,000","219,822,000","126,044,000","146,452,000","159,427,000","171,906,000","42,319,000","45,799,680","29,411,674"
	CurrentAssets,"307,433,000","321,317,000","330,229,000","332,183,000","228,372,000","327,946,000","334,458,000","335,505,000","204,065,000","211,680,000","117,824,000","138,016,000","152,799,000","165,340,000","35,335,000","43,429,718","26,918,541"
		CashCashEquivalentsAndShortTermInvestments,"213,180,000","220,878,000","228,797,000","231,140,000","130,962,000","241,181,000","269,280,000","287,679,000","159,820,000","183,674,000","101,542,000","125,681,000","144,153,000","157,524,000","31,217,000","39,881,470","24,397,548"
			CashAndCashEquivalents,"213,180,000","220,878,000","228,797,000","231,140,000","130,962,000","241,181,000","269,280,000","287,679,000","159,820,000","171,082,000","76,231,000","82,680,000","89,334,000","98,306,000","20,148,000","24,729,223","24,397,548"
			OtherShortTermInvestments,,,,,,"0","0","0","0","12,592,000","25,311,000","43,001,000","54,819,000","59,218,000","11,069,000","15,152,247","0"
		Receivables,"27,425,000","29,044,000","26,641,000","25,646,000","21,509,000","18,270,000","17,650,000","14,115,000","20,770,000","7,879,000","954,000","1,286,000","804,000","427,000","219,000","13,641","0"
			AccountsReceivable,"27,425,000","29,044,000","26,641,000","25,646,000","21,509,000","18,270,000","17,650,000","14,115,000","20,770,000","7,879,000","954,000","1,286,000","804,000","427,000","219,000","13,641","0"
				GrossAccountsReceivable,"27,741,000","29,399,000","27,026,000","26,031,000","21,921,000","18,735,000","18,115,000","14,704,000","21,359,000","7,954,000",,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-316,000","-355,000","-385,000","-385,000","-412,000","-465,000","-465,000","-589,000","-589,000","-75,000",,,,,,,
		Inventory,"61,876,000","64,946,000","70,358,000","70,391,000","71,243,000","63,060,000","44,308,000","30,138,000","19,230,000","15,659,000","12,703,000","7,975,000","5,064,000","3,673,000","2,148,000","1,913,244","1,541,325"
			RawMaterials,"14,600,000",,,,,,,,"10,500,000",,,,,,,,
			WorkInProcess,"3,000,000",,,,,,,,"1,200,000",,,,,,,,
			FinishedGoods,"44,300,000",,,,,,,,"7,500,000",,,,,,,,
			OtherInventories,"-24,000",,,,,,,,"30,000",,,,,,,,
		PrepaidAssets,"4,952,000","6,449,000","4,433,000","5,006,000","4,658,000","5,435,000","3,220,000","3,573,000","4,245,000","4,468,000","2,625,000","3,074,000","2,778,000","3,716,000","1,751,000","1,621,363","979,668"
	TotalNonCurrentAssets,"218,138,000","226,628,000","231,076,000","233,329,000","216,598,000","14,260,000","13,213,000","13,231,000","13,314,000","8,142,000","8,220,000","8,436,000","6,628,000","6,566,000","6,984,000","2,369,962","2,493,133"
		NetPPE,"6,907,000","6,915,000","6,168,000","5,958,000","6,048,000","6,328,000","5,792,000","5,562,000","5,406,000","3,047,000","2,952,000","3,000,000","2,887,000","2,784,000","2,817,000","1,458,946","1,530,389"
			GrossPPE,"12,994,000","12,459,000","11,372,000","10,688,000","10,318,000","10,143,000","10,019,000","9,371,000","8,818,000","6,107,000","5,730,000","5,497,000","5,118,000","4,768,000","4,546,000","2,981,761","2,683,032"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"4,110,000","3,952,000","3,982,000","3,827,000","3,739,000","3,646,000","3,075,000","2,913,000","2,773,000","2,042,000","1,832,000","1,742,000","1,518,000","1,273,000","1,112,000","821,047","726,447"
				OtherProperties,"4,237,000","4,008,000","3,081,000","2,960,000","2,700,000","2,609,000","3,090,000","2,892,000","2,481,000","2,389,000","2,327,000","2,229,000","2,082,000","1,995,000","1,954,000","1,861,708","1,659,971"
				ConstructionInProgress,"198,000","127,000","537,000","129,000","120,000","129,000","105,000","53,000","58,000","176,000","71,000","26,000","18,000",,,,
				Leases,"4,449,000","4,372,000","3,772,000","3,772,000","3,759,000","3,759,000","3,749,000","3,513,000","3,506,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,480,000","299,006","296,614"
			AccumulatedDepreciation,"-6,087,000","-5,544,000","-5,204,000","-4,730,000","-4,270,000","-3,815,000","-4,227,000","-3,809,000","-3,412,000","-3,060,000","-2,778,000","-2,497,000","-2,231,000","-1,984,000","-1,729,000","-1,522,815","-1,152,643"
		GoodwillAndOtherIntangibleAssets,"203,737,000","211,979,000","217,867,000","220,047,000","202,405,000","196,000","225,000","254,000","282,000","311,000","340,000","368,000","397,000","426,000","455,000","483,272","540,687"
			Goodwill,"102,558,000","105,510,000","109,565,000","106,631,000","87,382,000",,,,,,,,,,,,
			OtherIntangibleAssets,"101,179,000","106,469,000","108,302,000","113,416,000","115,023,000",,,,"282,000",,,,,,,,
		OtherNonCurrentAssets,"7,494,000","7,734,000","7,041,000","7,324,000","8,145,000","7,736,000","7,196,000","7,415,000","7,626,000","4,784,000","4,928,000","5,068,000","3,344,000","3,356,000","3,712,000","427,744","422,057"
TotalLiabilitiesNetMinorityInterest,"62,139,000","65,507,000","71,215,000","61,247,000","114,816,000","54,836,000","53,773,000","50,840,000","44,903,000","36,819,000","33,856,000","32,039,000","28,093,000","28,631,000","131,197,000","127,217,292","95,832,204"
	CurrentLiabilities,"25,519,000","26,868,000","27,751,000","24,387,000","24,046,000","45,682,000","38,816,000","30,829,000","19,847,000","12,033,000","15,543,000","11,300,000","6,694,000","5,887,000","5,496,000","4,986,459","2,405,018"
		PayablesAndAccruedExpenses,"16,636,000","13,089,000","16,936,000","15,752,000","17,314,000","17,344,000","15,392,000","14,689,000","10,550,000","8,056,000","8,536,000","6,815,000","4,466,000","5,119,000","4,696,000","4,986,459","2,405,018"
			Payables,"10,390,000","7,654,000","10,512,000","9,447,000","11,446,000","10,660,000","9,415,000","10,728,000","7,440,000","5,882,000","4,232,000","3,185,000","2,102,000","3,436,000","1,983,000","2,087,404","1,615,722"
