name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,06/30/2014,12/31/2013
TotalAssets,"7,081,500,000","7,217,200,000","7,233,000,000","7,209,400,000","7,020,800,000","7,157,200,000","7,036,500,000","6,668,600,000","6,390,700,000","6,818,000,000","6,690,000,000","6,692,900,000","6,673,400,000","6,675,700,000","6,760,800,000","6,696,200,000","6,947,400,000","6,832,200,000","6,812,600,000","6,657,100,000","5,960,400,000","5,854,800,000","6,142,500,000","5,835,800,000","5,833,100,000","5,854,200,000","5,898,900,000","5,930,800,000","5,898,400,000","6,252,800,000","6,690,400,000","6,737,100,000"
	CurrentAssets,"2,516,300,000","2,575,600,000","2,513,800,000","3,048,200,000","2,890,800,000","2,925,900,000","2,850,300,000","2,480,200,000","2,189,300,000","2,573,400,000","2,433,100,000","2,312,100,000","2,261,600,000","2,309,600,000","2,296,200,000","2,257,700,000","2,302,900,000","2,315,600,000","2,174,100,000","2,095,000,000","1,935,400,000","1,920,000,000","2,072,600,000","1,961,800,000","1,878,000,000","1,917,300,000","1,915,200,000","1,863,800,000","1,750,800,000","1,872,900,000","1,946,700,000","1,955,600,000"
		CashCashEquivalentsAndShortTermInvestments,"576,200,000","840,600,000","627,700,000","1,230,900,000","1,266,900,000","1,360,900,000","1,341,300,000","1,123,600,000","657,200,000","1,017,500,000","767,200,000","577,300,000","501,100,000","693,600,000","588,100,000","551,100,000","600,400,000","769,800,000","588,900,000","482,100,000","439,100,000","535,400,000","528,300,000","480,100,000","419,500,000","485,000,000","411,600,000","307,800,000","222,900,000","382,100,000","333,100,000","459,300,000"
			CashAndCashEquivalents,"576,200,000","840,600,000","627,700,000","1,230,900,000","1,266,900,000","1,360,900,000","1,341,300,000","1,123,600,000","657,200,000","1,017,500,000","767,200,000","577,300,000","501,100,000","693,600,000","588,100,000","551,100,000","600,400,000","769,800,000","588,900,000","482,100,000","439,100,000","535,400,000","528,300,000","480,100,000","419,500,000","485,000,000","411,600,000","307,800,000","222,900,000","382,100,000","333,100,000","459,300,000"
		Receivables,"1,029,800,000","937,500,000","1,050,100,000","1,035,700,000","902,300,000","869,800,000","824,200,000","664,000,000","777,600,000","830,100,000","935,700,000","980,600,000","920,500,000","860,800,000","958,200,000","974,500,000","940,900,000","870,200,000","889,000,000","961,400,000","872,200,000","801,900,000","871,300,000","838,600,000","792,700,000","765,800,000","833,300,000","869,500,000","833,000,000","820,400,000","953,800,000","865,900,000"
			AccountsReceivable,"854,000,000","760,400,000","859,200,000","864,400,000","778,400,000","738,300,000","715,900,000","548,700,000","661,700,000","718,400,000","833,500,000","872,100,000","809,900,000","739,900,000","834,300,000","861,800,000","824,000,000","748,200,000","766,600,000","840,600,000","735,200,000","640,400,000","714,700,000","720,000,000","681,400,000","647,200,000","684,200,000","702,700,000","664,100,000","638,300,000","722,300,000","637,500,000"
				GrossAccountsReceivable,"879,500,000","782,400,000","883,700,000","889,900,000","803,600,000","764,800,000","743,100,000","574,100,000","679,900,000","734,400,000","847,300,000","886,600,000","823,800,000","755,300,000","850,000,000","877,000,000","840,300,000","764,100,000","783,200,000","856,100,000","749,100,000","654,100,000","726,800,000","732,100,000","692,400,000","657,900,000","694,700,000","714,800,000","673,600,000","648,200,000","731,200,000",
				AllowanceForDoubtfulAccountsReceivable,"-25,500,000","-22,000,000","-24,500,000","-25,500,000","-25,200,000","-26,500,000","-27,200,000","-25,400,000","-18,200,000","-16,000,000","-13,800,000","-14,500,000","-13,900,000","-15,400,000","-15,700,000","-15,200,000","-16,300,000","-15,900,000","-16,600,000","-15,500,000","-13,900,000","-13,700,000","-12,100,000","-12,100,000","-11,000,000","-10,700,000","-10,500,000","-12,100,000","-9,500,000","-9,900,000","-8,900,000",
			NotesReceivable,"25,300,000","24,700,000","23,200,000","26,400,000","22,100,000","30,300,000","20,200,000","25,000,000","26,300,000","24,700,000","16,800,000","24,100,000","26,200,000","36,100,000","29,100,000","27,800,000","24,500,000","29,400,000","26,600,000","30,700,000","48,400,000","68,700,000","65,600,000","36,300,000","28,600,000","43,000,000","33,000,000","47,200,000","42,900,000","45,500,000",,"44,700,000"
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,300,000"
			OtherReceivables,"150,500,000","152,400,000","167,700,000","144,900,000","101,800,000","101,200,000","88,100,000","90,300,000","89,600,000","87,000,000","85,400,000","84,400,000","84,400,000","84,800,000","94,800,000","84,900,000","92,400,000","92,600,000","95,800,000","90,100,000","88,600,000","92,800,000","91,000,000","82,300,000","82,700,000","75,600,000","116,100,000","119,600,000","126,000,000","136,600,000","231,500,000","136,400,000"
		Inventory,"764,000,000","669,700,000","677,900,000","614,500,000","582,200,000","559,900,000","536,700,000","539,300,000","596,100,000","591,600,000","597,300,000","610,900,000","626,800,000","613,000,000","618,600,000","599,900,000","641,800,000","608,600,000","624,400,000","580,100,000","559,100,000","529,700,000","545,600,000","519,700,000","543,400,000","530,700,000","540,700,000","555,000,000","541,300,000","538,300,000","576,400,000","550,200,000"
			RawMaterials,"246,200,000","204,100,000","201,400,000","184,200,000","160,600,000","148,400,000","146,300,000","151,100,000","154,500,000","154,300,000","161,600,000","160,200,000","167,500,000","171,000,000","177,300,000","177,200,000","181,800,000","165,600,000","166,300,000","154,700,000","139,300,000","127,000,000","140,100,000","127,600,000","132,900,000","129,100,000","137,600,000","150,800,000","137,100,000","133,300,000","141,000,000","130,700,000"
			WorkInProcess,"100,900,000","109,700,000","112,500,000","106,200,000","97,100,000","92,200,000","90,900,000","93,400,000","103,400,000","109,900,000","107,600,000","111,700,000","110,000,000","108,000,000","109,500,000","101,300,000","101,200,000","95,500,000","97,400,000","93,100,000","93,600,000","87,500,000","85,100,000","83,000,000","90,700,000","88,500,000","94,100,000","91,900,000","87,900,000","81,300,000","89,900,000","90,200,000"
