name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
OperatingCashFlow,"46,009,000","8,818,000","38,816,000","8,505,000","-10,130,000","25,968,000","58,489,000","9,679,000","-13,361,000","19,975,000","20,706,000","6,813,000","-9,365,000","16,038,000","14,424,000","5,292,000","-5,728,000","12,101,000","12,503,000","748,000","669,000","5,023,000","3,095,000","-5,172,000","-6,959,000","3,005,000"
	CashFlowFromContinuingOperatingActivities,"46,009,000","8,818,000","38,816,000","8,505,000","-10,130,000","25,968,000","58,489,000","9,679,000","-13,361,000","19,975,000","20,706,000","6,813,000","-9,365,000","16,038,000","14,424,000","5,292,000","-5,728,000","12,101,000","12,503,000","748,000","669,000","5,023,000","3,095,000","-5,172,000","-6,959,000","3,005,000"
		NetIncomeFromContinuingOperations,"-244,592,000","-105,567,000","-37,546,000","-58,039,000","-43,440,000","-40,656,000","22,035,000","4,357,000","-35,293,000","-15,473,000","30,688,000","-6,240,000","-3,219,000","5,914,000","38,745,000","-244,000","-5,295,000","-5,186,000","-1,539,000","-3,299,000","-6,994,000","-5,667,000","-6,077,000","-4,192,000","-7,456,000","-6,533,000"
		OperatingGainsLosses,,,,,,,"0","1,000",,,"0","20,507,000",,,"9,000","0",,,"143,000","0","2,000","30,000","10,000","-20,000","111,000","-35,000"
		DepreciationAmortizationDepletion,"20,086,000","7,389,000","4,792,000","4,202,000","3,703,000","3,683,000","3,676,000","2,883,000","2,782,000","2,760,000","4,964,000","1,342,000","338,000","1,648,000","592,000","716,000","1,227,000","1,301,000","1,287,000","1,231,000","873,000","566,000","495,000","493,000","381,000","308,000"
			DepreciationAndAmortization,"20,086,000","7,389,000","4,792,000","4,202,000","3,703,000","3,683,000","3,676,000","2,883,000","2,782,000","2,760,000","4,964,000","1,342,000","338,000","1,648,000","592,000","716,000","1,227,000","1,301,000","1,287,000","1,231,000","873,000","566,000","495,000","493,000","381,000","308,000"
		DeferredTax,"561,000","360,000","410,000","-651,000","442,000","433,000","-679,000","-4,000","12,366,000","-16,628,000","4,423,000","-9,227,000","-7,490,000","-10,550,000","4,472,000","-1,873,000",,,"-287,000","-90,000","-1,048,000",,"-27,000","0",,
			DeferredIncomeTax,"561,000","360,000","410,000","-651,000","442,000","433,000","-679,000","-4,000","12,366,000","-16,628,000","4,423,000","-9,227,000","-7,490,000","-10,550,000","4,472,000","-1,873,000",,,"-287,000","-90,000","-1,048,000",,"-27,000","0",,
		AmortizationOfSecurities,"3,614,000","477,000","899,000","1,115,000","1,123,000","1,324,000","1,168,000","526,000","-3,000","-606,000","-558,000",,,,,,,,,,,,,,,
		AssetImpairmentCharge,,"8,239,000",,,,,,,,,,,,,"0",,,,"0",,,,,,,
