name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991
OperatingCashFlow,"3,271,310,000","843,368,000","361,816,000","777,930,000","1,288,196,000","1,190,500,000","356,356,000","683,491,000","1,417,000,000","651,464,000","204,542,000","447,102,000","841,878,000","469,566,000","367,887,000","449,182,000","823,936,000","504,013,000","187,326,000","565,017,000","561,382,000","445,332,000","157,398,000","406,500,000","530,429,000","516,347,000","207,051,000","323,502,000","526,011,000","522,574,000","101,310,000","375,228,000","370,116,000","463,146,000","150,629,000","357,343,000","519,147,000","385,021,000","510,843,000","318,253,000","425,374,000","337,393,000","461,214,000","342,294,000","394,645,000","455,784,000","83,756,000","357,353,000","455,245,000","392,099,000","118,027,000","230,881,000","388,788,000","386,726,000","7,510,000","140,784,000","419,633,000","204,488,000","125,934,000","171,045,000","361,042,000","203,691,000","168,498,000","111,963,000","386,456,000","237,143,000","71,485,000","127,663,000","244,572,000","302,345,000","-11,751,000","112,917,000","298,687,000","169,674,000","40,348,000","129,670,000","420,312,000","226,774,000","87,065,000","-35,896,000","350,235,000","268,661,000","113,033,000","7,162,000","252,755,000","212,660,000","-34,057,000","27,579,000","296,440,000","114,120,000","76,300,000","26,100,000","161,200,000","105,600,000","-300,000","40,900,000","219,800,000","98,400,000","-7,600,000","56,500,000","132,900,000","69,400,000","-37,500,000","12,700,000","95,600,000","37,900,000","-16,400,000","57,100,000","89,900,000","53,700,000","-4,900,000","41,400,000","40,100,000","50,900,000","0","37,300,000","48,200,000","38,900,000","900,000","29,000,000","40,500,000","25,300,000","18,200,000","25,300,000","42,700,000"
	CashFlowFromContinuingOperatingActivities,"3,271,310,000","843,368,000","361,816,000","777,930,000","1,288,196,000","1,190,500,000","356,356,000","683,491,000","1,417,000,000","651,464,000","204,542,000","447,102,000","841,878,000","469,566,000","367,887,000","449,182,000","823,936,000","504,013,000","187,326,000","565,017,000","561,382,000","445,332,000","157,398,000","406,500,000","530,429,000","516,347,000","207,051,000","323,502,000","526,011,000","522,574,000","101,310,000","375,228,000","370,116,000","463,146,000","150,629,000","357,343,000","519,147,000","385,021,000","510,843,000","318,253,000","425,374,000","337,393,000","461,214,000","342,294,000","394,645,000","455,784,000","83,756,000","357,353,000","455,245,000","392,099,000","118,027,000","230,881,000","388,788,000","386,726,000","7,510,000","140,784,000","419,633,000","204,488,000","125,934,000","171,045,000","361,042,000","203,691,000","168,498,000","111,963,000","386,456,000","237,143,000","71,485,000","127,663,000","244,572,000","302,345,000","-11,751,000","112,917,000","298,687,000","169,674,000","40,348,000","129,670,000","420,312,000","226,774,000","87,065,000","-35,896,000","350,235,000","268,661,000","113,033,000","7,162,000","252,755,000","212,660,000","-34,057,000","27,579,000","296,440,000","114,120,000","76,300,000","26,100,000","161,200,000","105,600,000","-300,000","40,900,000","219,800,000","98,400,000","-7,600,000","56,500,000","132,900,000","69,400,000","-37,500,000","12,700,000","95,600,000","37,900,000","-16,400,000","57,100,000","89,900,000","53,700,000","-4,900,000","41,400,000","40,100,000","50,900,000","0","37,300,000","48,200,000","38,900,000","900,000","29,000,000","40,500,000","25,300,000","18,200,000","25,300,000","42,700,000"
		NetIncomeFromContinuingOperations,"2,405,332,000","592,571,000","471,755,000","555,235,000","785,771,000","596,164,000","345,946,000","442,433,000","740,457,000","342,895,000","299,282,000","350,338,000","565,229,000","405,948,000","294,638,000","351,406,000","400,282,000","366,721,000","289,530,000","281,003,000","433,900,000","331,699,000","237,145,000","278,125,000","426,768,000","327,514,000","228,613,000","258,112,000","401,137,000","309,071,000","211,723,000","238,310,000","373,670,000","285,157,000","192,830,000","218,087,000","371,199,000","265,583,000","379,698,000","203,452,000","323,732,000",,"358,055,000","191,125,000","301,469,000","227,374,000","148,055,000","172,076,000","268,933,000","202,745,000","123,333,000","143,300,000","236,126,000","173,688,000","115,864,000","131,371,000","243,746,000","158,639,000","106,705,000","132,516,000","217,175,000","151,592,000","103,016,000","123,889,000","213,452,000","144,427,000","97,022,000","114,374,000","206,615,000","147,788,000","94,093,000","122,523,000","209,393,000","143,411,000","91,653,000","121,745,000","207,441,000","125,977,000","79,275,000","104,911,000","177,986,000","102,314,000","63,771,000","84,077,000","26,477,000","63,525,000","31,736,000","53,788,000","105,220,000","67,270,000","39,100,000","56,000,000","98,700,000","58,800,000","36,000,000","51,300,000","92,100,000","53,900,000","34,400,000","47,500,000","81,500,000","46,100,000","29,400,000","38,000,000","67,500,000","37,600,000","27,300,000","34,800,000","54,900,000","32,400,000","23,900,000","27,600,000","45,200,000","28,200,000","21,000,000","22,000,000","33,900,000","19,900,000","16,000,000","17,100,000","25,600,000","14,300,000","10,800,000","12,600,000","21,200,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,202,000","4,243,000","3,739,000","8,454,000","13,656,000","23,669,000","5,840,000",,,,,,,"1,234,000","18,291,000",,,"8,079,000","9,884,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"431,004,000","102,083,000","99,692,000","99,590,000","129,639,000","94,017,000","94,476,000","89,551,000","125,351,000","91,695,000","90,670,000","89,750,000","118,839,000","84,888,000","83,778,000","82,452,000","107,993,000","79,754,000","79,351,000","77,986,000","103,063,000","75,343,000","72,833,000","71,812,000","93,932,000","68,529,000","68,653,000","66,283,000","86,708,000","62,299,000","59,867,000","61,045,000","78,981,000","58,132,000","58,382,000","55,772,000","71,319,000","52,888,000","103,044,000","50,700,000","66,654,000","45,434,000","96,170,000","48,647,000","62,862,000","44,930,000","44,126,000","44,291,000","62,166,000","42,819,000","44,533,000","42,566,000","57,160,000","40,069,000","43,051,000","40,153,000","51,577,000","38,555,000","39,270,000","40,107,000","51,320,000","37,341,000","36,506,000","35,963,000","45,377,000","32,607,000","31,862,000","31,178,000","39,442,000","25,963,000","46,292,000","26,243,000","34,835,000","24,957,000","27,379,000","23,950,000","34,222,000","24,690,000","25,243,000","25,593,000","35,758,000","26,404,000","27,924,000","28,169,000","39,639,000","30,451,000","30,779,000","30,464,000","32,719,000","33,081,000","30,900,000","30,100,000","40,800,000","31,000,000","28,400,000","28,300,000","34,100,000","22,400,000","20,500,000","19,600,000","24,200,000","18,100,000","18,000,000","17,500,000","22,000,000","15,100,000","13,700,000","12,700,000","18,900,000","10,800,000","9,600,000","9,000,000","13,600,000","7,400,000","5,600,000","6,500,000","8,500,000","4,200,000","5,000,000","3,600,000","5,200,000","3,100,000","2,800,000","2,600,000","2,400,000"
			DepreciationAndAmortization,"431,004,000","102,083,000","99,692,000","99,590,000","129,639,000","94,017,000","94,476,000","89,551,000","125,351,000","91,695,000","90,670,000","89,750,000","118,839,000","84,888,000","83,778,000","82,452,000","107,993,000","79,754,000","79,351,000","77,986,000","103,063,000","75,343,000","72,833,000","71,812,000","93,932,000","68,529,000","68,653,000","66,283,000","86,708,000","62,299,000","59,867,000","61,045,000","78,981,000","58,132,000","58,382,000","55,772,000","71,319,000","52,888,000","103,044,000","50,700,000","66,654,000","45,434,000","96,170,000","48,647,000","62,862,000","44,930,000","44,126,000","44,291,000","62,166,000","42,819,000","44,533,000","42,566,000","57,160,000","40,069,000","43,051,000","40,153,000","51,577,000","38,555,000","39,270,000","40,107,000","51,320,000","37,341,000","36,506,000","35,963,000","45,377,000","32,607,000","31,862,000","31,178,000","39,442,000","25,963,000","46,292,000","26,243,000","34,835,000","24,957,000","27,379,000","23,950,000","34,222,000","24,690,000","25,243,000","25,593,000","35,758,000","26,404,000","27,924,000","28,169,000","39,639,000","30,451,000","30,779,000","30,464,000","32,719,000","33,081,000","30,900,000","30,100,000","40,800,000","31,000,000","28,400,000","28,300,000","34,100,000","22,400,000","20,500,000","19,600,000","24,200,000","18,100,000","18,000,000","17,500,000","22,000,000","15,100,000","13,700,000","12,700,000","18,900,000","10,800,000","9,600,000","9,000,000","13,600,000","7,400,000","5,600,000","6,500,000","8,500,000","4,200,000","5,000,000","3,600,000","5,200,000","3,100,000","2,800,000","2,600,000","2,400,000"
				Depreciation,,,,,,,,,,,,,"118,839,000","84,888,000","83,778,000","82,452,000","107,993,000","79,754,000","79,351,000","77,986,000","103,063,000","75,343,000","72,833,000","71,812,000","93,932,000","68,529,000","68,653,000","66,283,000","86,708,000","62,299,000","59,867,000","61,045,000","78,981,000","58,132,000","58,382,000","55,772,000",,"52,888,000","52,344,000","50,700,000","66,654,000","49,007,000","47,523,000","48,647,000","62,862,000","44,930,000","44,126,000","44,291,000","62,166,000","42,819,000","44,533,000","42,566,000",,,,,,"38,152,000","38,865,000","39,692,000","50,805,000","36,947,000","36,105,000","35,554,000","44,865,000","32,291,000","31,493,000","30,816,000","38,928,000","25,345,000","45,667,000","25,657,000","34,050,000","24,499,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,941,000",,"1,853,000",,"1,738,000","2,902,000",,,,,,,"1,489,000",,,,,,"403,000","405,000","415,000","515,000","394,000","401,000","409,000","512,000","316,000","369,000","362,000","514,000","618,000","625,000","586,000","785,000","458,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,941,000",,"1,853,000",,"1,738,000","2,902,000",,,,,,,"1,489,000",,,,,,"403,000","405,000","415,000","515,000","394,000","401,000","409,000","512,000","316,000","369,000","362,000","514,000","618,000","625,000","586,000","785,000","458,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"40,299,000","39,795,000","22,887,000","18,096,000","-40,479,000","7,819,000","-12,067,000","10,295,000","26,796,000","13,127,000","9,214,000","1,940,000","17,940,000","9,900,000","-209,000","7,420,000","11,711,000","14,641,000","-159,169,000","8,556,000","67,093,000","5,032,000","-4,104,000","6,881,000","47,019,000","-12,093,000","8,629,000","1,464,000","41,402,000","3,600,000","-8,077,000","-954,000","6,536,000","-395,000","-22,817,000","1,978,000","36,000,000","-3,385,000","-12,911,000","-2,455,000","22,144,000","19,250,000","5,956,000","6,241,000","54,438,000","-7,816,000","-7,409,000","5,454,000","-4,507,000","-2,371,000","-6,844,000","4,699,000","26,214,000","8,380,000","10,222,000","1,502,000","47,968,000","13,669,000","6,216,000","-379,000","27,406,000","-2,347,000","587,000","-802,000","44,995,000","-1,869,000","-4,162,000","-2,658,000","22,262,000",,,"-48,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
