name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
TotalRevenue,"508,792,000","131,364,000","126,132,000","130,638,000","120,658,000","113,479,000","113,047,000","84,758,000","76,790,000","68,518,000","62,003,000","60,491,000","56,779,000","53,321,000","52,343,000","50,454,000","48,304,000","53,012,000","42,466,000","41,338,000","39,526,000","39,625,000","38,762,000","38,603,000"
	OperatingRevenue,"431,833,000","131,364,000","49,173,000","130,638,000","105,039,000","113,479,000","68,024,000","84,758,000","67,076,000","59,121,000","53,443,000","51,499,000","47,989,000","45,013,000","44,148,000","41,537,000","39,833,000","38,897,000","34,981,000","33,397,000","31,547,000","31,647,000","30,178,000","30,249,000"
CostOfRevenue,"286,013,000","75,950,000","72,602,000","72,395,000","66,059,000","61,328,000","61,357,000","45,527,000","42,009,000","36,359,000","32,979,000","33,104,000","30,110,000","28,766,000","28,741,000","27,474,000","26,566,000","25,364,000","22,831,000","22,571,000","22,294,000","21,566,000","21,041,000","21,514,000"
GrossProfit,"222,779,000","55,414,000","53,530,000","58,243,000","54,599,000","52,151,000","51,690,000","39,231,000","34,781,000","32,159,000","29,024,000","27,387,000","26,669,000","24,555,000","23,602,000","22,980,000","21,738,000","27,648,000","19,635,000","18,767,000","17,232,000","18,059,000","17,721,000","17,089,000"
OperatingExpense,"231,849,000","62,284,000","57,602,000","57,305,000","53,665,000","52,188,000","63,907,000","37,367,000","35,049,000","35,043,000","32,485,000","31,992,000","30,452,000","30,399,000","26,872,000","22,893,000","20,579,000","18,872,000","17,424,000","15,696,000","13,079,000","12,877,000","15,069,000","12,707,000"
	SellingGeneralAndAdministration,"171,038,000","39,857,000","41,938,000","43,946,000","40,848,000","38,855,000","51,164,000","27,135,000","25,495,000","25,513,000","24,336,000","24,053,000","22,796,000","22,682,000","20,086,000","16,998,000","16,144,000","15,091,000","14,497,000","12,925,000","10,670,000","10,195,000","12,706,000","10,317,000"
		GeneralAndAdministrativeExpense,"115,179,000","16,705,000","28,289,000","30,354,000","28,264,000","26,863,000","37,685,000","18,134,000","16,840,000","16,096,000","14,963,000","15,269,000","14,282,000","14,333,000","13,953,000","11,576,000","11,490,000","10,569,000","11,378,000","9,797,000","8,257,000","7,637,000","10,288,000","7,899,000"
			SalariesAndWages,,,,"2,633,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"115,179,000","16,705,000","28,289,000","30,354,000","28,264,000","26,863,000","37,685,000","18,134,000","16,840,000","16,096,000","14,963,000","15,269,000","14,282,000","14,333,000","13,953,000","11,576,000","11,490,000","10,569,000","11,378,000","9,797,000","8,257,000","7,637,000","10,288,000","7,899,000"
		SellingAndMarketingExpense,"55,859,000","23,152,000","13,649,000","13,592,000","12,584,000","11,992,000","13,479,000","9,001,000","8,655,000","9,417,000","9,373,000","8,784,000","8,514,000","8,349,000","6,133,000","5,422,000","4,654,000","4,522,000","3,119,000","3,128,000","2,413,000","2,558,000","2,418,000","2,418,000"
	ResearchAndDevelopment,"60,811,000","22,427,000","15,664,000","13,359,000","12,817,000","13,333,000","12,743,000","10,232,000","9,554,000","9,530,000","8,149,000","7,939,000","7,656,000","7,717,000","6,786,000","5,895,000","4,435,000","3,781,000","2,927,000","2,771,000","2,409,000","2,682,000","2,363,000","2,390,000"
OperatingIncome,"-9,070,000","-6,870,000","-4,072,000","938,000","934,000","-37,000","-12,217,000","1,864,000","-268,000","-2,884,000","-3,461,000","-4,605,000","-3,783,000","-5,844,000","-3,270,000","87,000","1,159,000","8,776,000","2,211,000","3,071,000","4,153,000","5,182,000","2,652,000","4,382,000"
NetNonOperatingInterestIncomeExpense,"-24,624,000","-1,250,000","-7,960,000","-7,715,000","-7,699,000","-5,410,000",,,"-3,864,000",,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,"1,250,000",,"7,715,000","7,699,000",,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,"5,410,000",,,"3,864,000",,,,,,,,,,,,,,,
OtherIncomeExpense,"1,512,000","1,485,000","-230,000","148,000","109,000","-201,000","7,185,000","-4,206,000","-4,000","-906,000","-1,688,000","781,000","729,000","201,000","59,000","103,000","90,000","49,000","222,000","-538,000","-991,000","-421,000",,"-229,000"
	OtherNonOperatingIncomeExpenses,"1,512,000","1,485,000","-230,000","148,000","109,000","-201,000","7,185,000","-4,206,000","-4,000","-906,000","-1,688,000","781,000","729,000","201,000","59,000","103,000","90,000","49,000","222,000","-538,000","-991,000","-421,000",,"-229,000"
PretaxIncome,"-32,182,000","-6,635,000","-12,262,000","-6,629,000","-6,656,000","-5,648,000","-18,704,000","-2,342,000","-4,136,000","-3,790,000","-2,703,000","-3,824,000","-3,054,000","-5,643,000","-3,211,000","190,000","1,249,000","8,825,000","2,433,000","2,533,000","3,162,000","4,761,000","2,341,000","4,153,000"
