name,12/31/2021,06/30/2021,07/31/2020
TotalAssets,"3,100,250,483","3,075,840,826","100,000"
TotalLiabilitiesNetMinorityInterest,"767,267,488","627,226,240","0"
TotalEquityGrossMinorityInterest,,"2,448,614,586","100,000"
	StockholdersEquity,,"2,448,614,586","100,000"
		CapitalStock,,"2,246,142,261","100,000"
			CommonStock,,"2,246,142,261","100,000"
		RetainedEarnings,,"202,472,325",
TotalCapitalization,"690,556,896","2,968,521,819",
CommonStockEquity,,"2,448,614,586","100,000"
NetTangibleAssets,,"2,448,614,586","100,000"
InvestedCapital,"690,556,896","2,968,521,819",
TangibleBookValue,,"2,448,614,586","100,000"
TotalDebt,"690,556,896","519,907,233",
NetDebt,"690,556,896","519,907,233",
ShareIssued,"111,637,458","112,264,259","100,000,000"
OrdinarySharesNumber,"111,637,458","112,264,259","100,000,000"
