name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
OperatingCashFlow,"928,000,000","290,000,000","-304,000,000","668,000,000","274,000,000","323,000,000","315,000,000","551,000,000","446,000,000","315,000,000","218,000,000","630,000,000","240,000,000","170,000,000","161,000,000","448,000,000","271,000,000","132,000,000","153,000,000","395,000,000","247,000,000","190,000,000","143,000,000","290,000,000","206,000,000","170,000,000","191,000,000","245,000,000","180,000,000","112,000,000","100,000,000","160,000,000","120,000,000","78,000,000","172,000,000","167,000,000","132,000,000","78,000,000","87,000,000","201,000,000","123,000,000","66,000,000","89,000,000","122,000,000","92,000,000","64,000,000","49,000,000"
	CashFlowFromContinuingOperatingActivities,"928,000,000","290,000,000","-304,000,000","668,000,000","274,000,000","323,000,000","315,000,000","551,000,000","446,000,000","315,000,000","218,000,000","630,000,000","240,000,000","170,000,000","161,000,000","448,000,000","271,000,000","132,000,000","153,000,000","395,000,000","247,000,000","190,000,000","143,000,000","290,000,000","206,000,000","170,000,000","191,000,000","245,000,000","180,000,000","112,000,000","100,000,000","160,000,000","120,000,000","78,000,000","172,000,000","167,000,000","132,000,000","78,000,000","87,000,000","201,000,000","123,000,000","66,000,000","89,000,000","122,000,000","92,000,000","64,000,000","49,000,000"
		NetIncomeFromContinuingOperations,"748,000,000","205,000,000","121,000,000","228,000,000","194,000,000","181,000,000","130,000,000","195,000,000","191,000,000","126,000,000","47,000,000","229,000,000","13,000,000","74,000,000","88,000,000","133,000,000","110,000,000","90,000,000","163,000,000","110,000,000","107,000,000","72,000,000","51,000,000","77,000,000","96,000,000","59,000,000","4,000,000","48,000,000","-13,000,000","38,000,000","13,000,000","29,000,000","15,000,000","12,000,000","6,000,000","26,000,000","40,000,000","1,000,000","-10,000,000",,,,"-31,000,000",,,,"-83,000,000"
		OperatingGainsLosses,,,,,,,,,,,,"-137,000,000","138,000,000","24,000,000","4,000,000","0","33,000,000","6,000,000","6,000,000","-1,000,000","2,000,000","25,000,000","-1,000,000","0",,,,"0",,,,"0","33,000,000",,,"0","16,000,000","48,000,000","16,000,000","-21,000,000","0","-1,000,000","21,000,000",,"20,000,000","-15,000,000","83,000,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,"-137,000,000","138,000,000",,,"0",,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,
		DepreciationAmortizationDepletion,"844,000,000","206,000,000","211,000,000","215,000,000","212,000,000","212,000,000","215,000,000","207,000,000","209,000,000","213,000,000","216,000,000","216,000,000","127,000,000","132,000,000","138,000,000","141,000,000","136,000,000","132,000,000","129,000,000","138,000,000","132,000,000","131,000,000","120,000,000","135,000,000","120,000,000","131,000,000","139,000,000","87,000,000","87,000,000","85,000,000","91,000,000","97,000,000","91,000,000","85,000,000","85,000,000","83,000,000","86,000,000","85,000,000","87,000,000","92,000,000","87,000,000","87,000,000","89,000,000","91,000,000","84,000,000","86,000,000","83,000,000"
			DepreciationAndAmortization,"844,000,000","206,000,000","211,000,000","215,000,000","212,000,000","212,000,000","215,000,000","207,000,000","209,000,000","213,000,000","216,000,000","216,000,000","127,000,000","132,000,000","138,000,000","141,000,000","136,000,000","132,000,000","129,000,000","138,000,000","132,000,000","131,000,000","120,000,000","135,000,000","120,000,000","131,000,000","139,000,000","87,000,000","87,000,000","85,000,000","91,000,000","97,000,000","91,000,000","85,000,000","85,000,000","83,000,000","86,000,000","85,000,000","87,000,000","92,000,000","87,000,000","87,000,000","89,000,000","91,000,000","84,000,000","86,000,000","83,000,000"
				Depreciation,"570,000,000","141,000,000","143,000,000","146,000,000","140,000,000","139,000,000","141,000,000","133,000,000","135,000,000","136,000,000","141,000,000","141,000,000","89,000,000","93,000,000","96,000,000","103,000,000","96,000,000","94,000,000","91,000,000","97,000,000","92,000,000","91,000,000","87,000,000","98,000,000","85,000,000","96,000,000","103,000,000","66,000,000","65,000,000","62,000,000","66,000,000","72,000,000","65,000,000","60,000,000","59,000,000","59,000,000","59,000,000","58,000,000","60,000,000","64,000,000","60,000,000","61,000,000","61,000,000","65,000,000","57,000,000","60,000,000","56,000,000"
				AmortizationCashFlow,"274,000,000","65,000,000","68,000,000","69,000,000","72,000,000","73,000,000","74,000,000","74,000,000","74,000,000","77,000,000","75,000,000","75,000,000","38,000,000","39,000,000","42,000,000","38,000,000","40,000,000","38,000,000","38,000,000","41,000,000","40,000,000","40,000,000","33,000,000","37,000,000","35,000,000","35,000,000","36,000,000","21,000,000","22,000,000","23,000,000","25,000,000","25,000,000","26,000,000","25,000,000","26,000,000","24,000,000","27,000,000","27,000,000","27,000,000","28,000,000","27,000,000","26,000,000","28,000,000","26,000,000","27,000,000","26,000,000","27,000,000"
					AmortizationOfIntangibles,"274,000,000","65,000,000","68,000,000","69,000,000","72,000,000","73,000,000","74,000,000","74,000,000","74,000,000","77,000,000","75,000,000","75,000,000","38,000,000","39,000,000","42,000,000","38,000,000","40,000,000","38,000,000","38,000,000","41,000,000","40,000,000","40,000,000","33,000,000","37,000,000","35,000,000","35,000,000","36,000,000","21,000,000","22,000,000","23,000,000","25,000,000","25,000,000","26,000,000","25,000,000","26,000,000","24,000,000","27,000,000","27,000,000","27,000,000","28,000,000","27,000,000","26,000,000","28,000,000","26,000,000","27,000,000","26,000,000","27,000,000"
