name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalAssets,"245,052,000,000","259,840,000,000","254,691,000,000","253,856,000,000","241,937,000,000","247,869,000,000","239,681,000,000","235,367,000,000","223,953,000,000","227,259,000,000","225,876,000,000","221,212,000,000","216,430,000,000","206,294,000,000","216,946,000,000","216,212,000,000","218,997,000,000","224,192,000,000","223,279,000,000","224,328,000,000","223,188,000,000","221,930,000,000"
TotalLiabilitiesNetMinorityInterest,"232,173,000,000","243,633,000,000","238,595,000,000","237,676,000,000","226,855,000,000","229,781,000,000","221,350,000,000","214,393,000,000","203,514,000,000","211,022,000,000","208,116,000,000","204,871,000,000","201,366,000,000","191,811,000,000","203,997,000,000","202,712,000,000","205,324,000,000","209,612,000,000","209,448,000,000","207,863,000,000","208,072,000,000","207,068,000,000"
TotalEquityGrossMinorityInterest,"12,879,000,000","16,207,000,000","16,096,000,000","16,180,000,000","15,082,000,000","18,088,000,000","18,331,000,000","20,974,000,000","20,439,000,000","16,237,000,000","17,760,000,000","16,341,000,000","15,064,000,000","14,483,000,000","12,949,000,000","13,500,000,000","13,673,000,000","14,580,000,000","13,831,000,000","16,465,000,000","15,116,000,000","14,862,000,000"
	StockholdersEquity,"12,814,000,000","16,142,000,000","16,031,000,000","16,115,000,000","15,017,000,000","18,023,000,000","18,266,000,000","20,909,000,000","20,374,000,000","16,172,000,000","17,695,000,000","16,276,000,000","14,999,000,000","14,418,000,000","12,884,000,000","13,435,000,000","13,608,000,000","14,515,000,000","13,766,000,000","16,415,000,000","15,116,000,000","14,862,000,000"
		CapitalStock,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","14,521,000,000","13,610,000,000","13,597,000,000"
			PreferredStock,"0","0","0","0","0","0","0","0",,"0","1,000,000","1,000,000","1,000,000",,,,,,,,,
			CommonStock,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","14,521,000,000","13,610,000,000","13,597,000,000"
		AdditionalPaidInCapital,"14,133,000,000","14,154,000,000","13,830,000,000","13,842,000,000","13,858,000,000","13,878,000,000","13,314,000,000","13,307,000,000","12,911,000,000","12,908,000,000","12,897,000,000","12,893,000,000","12,889,000,000","12,473,000,000","12,469,000,000","12,444,000,000","12,432,000,000","12,432,000,000","12,418,000,000",,,
		RetainedEarnings,"-2,000,000","-642,000,000","-705,000,000","-1,088,000,000","-1,119,000,000","-534,000,000","511,000,000","3,523,000,000","5,521,000,000","585,000,000","1,662,000,000","986,000,000","609,000,000","1,346,000,000","-96,000,000","175,000,000","374,000,000","406,000,000","39,000,000",,,
		TreasuryStock,"1,681,000,000","1,543,000,000","1,385,000,000","1,236,000,000","1,112,000,000","1,038,000,000","941,000,000","887,000,000","706,000,000","562,000,000","432,000,000","306,000,000","170,000,000","118,000,000","42,000,000",,,,,,,
