name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989
OperatingCashFlow,"589,226,000","46,315,000","157,924,000","230,363,000","154,624,000","113,610,000","284,734,000","135,664,000","92,122,000","62,808,000","159,802,000","99,750,000","155,402,000","42,943,000","105,009,000","62,277,000","77,862,000","40,346,000","69,354,000","28,331,000","62,420,000","-56,220,000","95,119,000","51,607,000","77,155,000","-7,448,000","35,952,000","82,279,000","38,533,000","29,446,000","40,216,000","83,272,000","80,903,000","68,921,000","73,441,000","62,847,000","18,688,000","20,500,000","98,654,000","71,342,000","73,642,000","35,260,000","78,577,000","51,158,000","110,299,000","19,782,000","100,388,000","66,866,000","36,386,000","22,269,000","115,722,000","97,489,000","105,492,000","6,371,000","78,341,000","46,119,000","69,088,000","-2,177,000","103,151,000","54,998,000","46,072,000","-12,641,000","54,863,000","51,874,000","53,563,000","-42,071,000","49,393,000","31,073,000","2,935,000","24,883,000","51,030,000","24,519,000","20,238,000","27,306,000","38,076,000","42,972,000","24,872,000","21,720,000","34,685,000","32,180,000","19,834,000","18,136,000","40,412,000","22,084,000","34,784,000","2,215,000","5,882,000","6,400,000","17,787,000","-5,822,000","22,100,000","9,800,000","11,700,000","1,400,000","11,400,000","8,500,000","7,500,000","-100,000","4,600,000","9,900,000","7,300,000","-700,000","8,500,000","1,400,000","14,900,000","8,400,000","14,900,000","5,200,000","9,600,000","8,500,000","11,500,000","7,500,000","14,300,000","15,000,000","20,600,000","4,700,000","-700,000","-2,100,000","-10,700,000","18,700,000","-1,700,000","-2,300,000","7,000,000","-900,000","1,900,000","-3,900,000","2,600,000","4,500,000","600,000","4,400,000","3,700,000","6,000,000"
	CashFlowFromContinuingOperatingActivities,"589,200,000","46,300,000","157,900,000","230,400,000","154,600,000","113,600,000","284,700,000","135,700,000","92,100,000","62,800,000","159,800,000","99,800,000","155,400,000","42,900,000","105,000,000","63,100,000","77,100,000","40,300,000","69,369,000","28,331,000","62,420,000","-56,220,000","95,086,000","51,607,000","77,155,000","-7,448,000","35,942,000","82,279,000","38,533,000","29,446,000","40,204,000","83,272,000","80,903,000","68,921,000","73,465,000","62,847,000","18,688,000","20,500,000","98,656,000","71,342,000","73,642,000","35,260,000","78,577,000","51,158,000","110,299,000","19,782,000","100,388,000","66,866,000","36,386,000","22,269,000","115,722,000","97,489,000","105,492,000","6,371,000","78,341,000","46,119,000","69,088,000","-2,177,000","103,151,000","54,998,000","46,072,000","-12,641,000","54,863,000","51,874,000","53,563,000","-42,071,000","49,393,000","35,047,000","2,935,000","20,909,000","51,043,000","24,519,000","21,725,000","27,306,000","38,076,000","42,972,000","24,872,000","21,720,000","34,685,000","32,180,000","19,834,000","18,136,000","40,412,000","22,084,000","34,784,000","2,215,000","5,882,000","6,400,000","17,787,000","-5,822,000","22,100,000","9,800,000","11,700,000","1,400,000","11,400,000","8,500,000","7,500,000","-100,000","4,600,000","9,900,000","7,300,000","-700,000","8,500,000","1,400,000","14,900,000","8,400,000","14,900,000","5,200,000","9,600,000","8,500,000","11,500,000","7,500,000","14,300,000","15,000,000","20,600,000","4,700,000","-700,000","-2,100,000","-10,700,000","18,700,000","-1,700,000","-2,300,000","7,000,000","-900,000","1,900,000","-3,900,000","2,600,000","4,500,000","600,000","4,400,000","3,700,000","6,000,000"
		NetIncomeFromContinuingOperations,"-101,100,000","-3,369,600,000","-1,573,700,000","3,928,100,000","914,100,000","977,400,000","839,100,000","1,314,900,000","966,400,000","685,900,000","553,500,000","-258,800,000","598,800,000","865,200,000","-828,500,000","269,300,000","268,000,000","656,800,000","77,359,000","27,393,000","5,035,000","12,413,000","-20,595,000","18,405,000","18,014,000","12,276,000","49,489,000","17,370,000","28,423,000","17,818,000","38,992,000","11,509,000","31,631,000","6,668,000","30,125,000","-6,519,000","34,674,000","19,520,000","41,920,000","42,371,000","48,565,000","30,944,000","59,201,000","45,862,000",,,"67,937,000","45,085,000","38,521,000","35,392,000",,"39,300,000","39,300,000","32,043,000","-8,216,000","27,833,000","43,398,000","26,495,000","12,355,000","27,971,000","25,671,000","26,997,000","16,686,000","23,150,000","32,266,000","31,198,000","17,473,000","16,219,000","18,388,000","29,520,000","17,119,000","6,290,000","20,913,000","21,978,000","19,220,000","9,660,000","20,956,000","26,364,000","16,278,000","16,617,000","16,232,000","18,773,000","17,023,000","7,047,000","11,561,000","8,569,000","9,862,000","13,919,000","5,074,000","2,955,000","-11,200,000","4,300,000","7,800,000","10,800,000","6,400,000","2,000,000","7,100,000","8,800,000","1,400,000","2,600,000","4,900,000","7,500,000","3,700,000","6,700,000","7,500,000","9,500,000","6,200,000","4,400,000","6,500,000","8,100,000","4,200,000","3,900,000","2,800,000","4,700,000","-800,000","100,000","300,000","3,200,000","1,400,000","2,200,000","8,500,000","3,500,000","1,500,000","1,700,000","1,400,000","3,600,000","3,400,000","1,600,000","2,100,000","3,600,000","2,800,000","1,400,000"
		OperatingGainsLosses,,,,,"100,000","200,000","700,000","300,000","-12,000,000","-300,000","-400,000","-100,000","-100,000","300,000","-1,800,000","1,600,000","0","-8,600,000","1,022,000","6,668,000","436,000","-126,000","493,000","-27,000","-295,000","229,000","-681,000","53,000","142,000","-214,000","371,000","13,000","216,000","100,000","1,661,000","4,534,000","-962,000","-4,133,000","-3,403,000","3,486,000","-4,746,000","-4,837,000","-4,981,000","-6,949,000","2,911,000","7,619,000",,,,,,,,,"8,954,000","3,056,000","1,926,000","2,064,000",,,,,,,,"815,000",,,,,,,,,"-16,519,000",,,,"1,354,000","-188,000",,,"-237,000","901,000","-144,000","-1,120,000","-1,192,000","-2,259,000","-1,219,000","-2,634,000","-800,000","400,000","-1,000,000","-1,900,000","200,000","-400,000","-5,900,000","-1,200,000","-1,300,000","-900,000","-300,000","-2,600,000","-1,300,000","-500,000","-1,000,000","-800,000","-400,000","-2,100,000","400,000","1,800,000","-500,000","700,000","1,100,000","1,300,000","-1,100,000","100,000","-200,000","-3,200,000","-3,300,000","-3,100,000","-700,000","-1,900,000","400,000","1,600,000","-3,000,000","-500,000","1,400,000","1,500,000","200,000","900,000","1,000,000","100,000"
			GainLossOnSaleOfBusiness,,,"0","0",,,"0","0",,,"0","0","0","0","0","0","0","-5,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,"100,000","300,000","800,000","300,000","-100,000","100,000","900,000","100,000","-100,000","300,000","800,000","1,200,000","-400,000","-3,700,000","1,346,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,"0","-100,000","-100,000","0","-200,000","-400,000","-1,300,000","390,400,000","-716,400,000","-1,059,200,000","-2,600,000","400,000","400,000","200,000","-324,000","-86,000","436,000","-126,000","-107,000","-27,000","-295,000","229,000","-981,000","53,000","142,000","-214,000","-29,000","13,000","216,000","100,000","1,161,000","4,534,000","-962,000","-4,133,000","2,815,000","-1,136,000","-132,000","-6,247,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"133,100,000","32,000,000","33,700,000","33,700,000","33,700,000","32,700,000","36,200,000","33,600,000","34,700,000","33,600,000","3,300,000","45,000,000","43,000,000","42,900,000","34,500,000","34,900,000","34,400,000","34,300,000","42,649,000","35,363,000","37,026,000","33,662,000","32,744,000","38,488,000","37,578,000","34,090,000","33,830,000","33,561,000","32,126,000","32,283,000","39,771,000","37,122,000","36,336,000","36,671,000","42,019,000","36,970,000","34,921,000","33,290,000","35,515,000","32,136,000","31,653,000","31,096,000","32,873,000","30,384,000","29,628,000","28,115,000","28,936,000","26,331,000","26,085,000","27,548,000",,"26,238,000","25,438,000","22,327,000","22,778,000","24,999,000","25,583,000","23,740,000","23,894,000","14,566,000","14,465,000","14,375,000","15,100,000","13,864,000","13,465,000","12,971,000","16,419,000","14,490,000","14,920,000","15,171,000","19,469,000","13,850,000","12,381,000","10,500,000","10,844,000","10,661,000","10,599,000","9,896,000","10,566,000","10,094,000","8,523,000","8,817,000","10,612,000","10,442,000","9,944,000","10,302,000","10,879,000","10,704,000","11,038,000","10,688,000","10,900,000","5,800,000","5,600,000","5,200,000","5,700,000","5,100,000","5,100,000","5,100,000","6,400,000","4,100,000","4,800,000","4,200,000","5,700,000","4,300,000","3,900,000","4,000,000","4,400,000","4,000,000","4,100,000","4,200,000","4,400,000","4,100,000","4,000,000","4,300,000","4,300,000","4,400,000","4,400,000","3,500,000","3,800,000","3,800,000","3,100,000","3,200,000","3,800,000","3,000,000","2,700,000","2,600,000","2,800,000","2,600,000","2,600,000","2,300,000","2,100,000","2,100,000"
			DepreciationAndAmortization,"133,100,000","32,000,000","33,700,000","33,700,000","33,700,000","32,700,000","36,200,000","33,600,000","34,700,000","33,600,000","3,300,000","45,000,000","43,000,000","42,900,000","34,500,000","34,900,000","34,400,000","34,300,000","42,649,000","35,363,000","37,026,000","33,662,000","32,744,000","38,488,000","37,578,000","34,090,000","33,830,000","33,561,000","32,126,000","32,283,000","39,771,000","37,122,000","36,336,000","36,671,000","42,019,000","36,970,000","34,921,000","33,290,000","35,515,000","32,136,000","31,653,000","31,096,000","32,873,000","30,384,000","29,628,000","28,115,000","28,936,000","26,331,000","26,085,000","27,548,000",,"26,238,000","25,438,000","22,327,000","22,778,000","24,999,000","25,583,000","23,740,000","23,894,000","14,566,000","14,465,000","14,375,000","15,100,000","13,864,000","13,465,000","12,971,000","16,419,000","14,490,000","14,920,000","15,171,000","19,469,000","13,850,000","12,381,000","10,500,000","10,844,000","10,661,000","10,599,000","9,896,000","10,566,000","10,094,000","8,523,000","8,817,000","10,612,000","10,442,000","9,944,000","10,302,000","10,879,000","10,704,000","11,038,000","10,688,000","10,900,000","5,800,000","5,600,000","5,200,000","5,700,000","5,100,000","5,100,000","5,100,000","6,400,000","4,100,000","4,800,000","4,200,000","5,700,000","4,300,000","3,900,000","4,000,000","4,400,000","4,000,000","4,100,000","4,200,000","4,400,000","4,100,000","4,000,000","4,300,000","4,300,000","4,400,000","4,400,000","3,500,000","3,800,000","3,800,000","3,100,000","3,200,000","3,800,000","3,000,000","2,700,000","2,600,000","2,800,000","2,600,000","2,600,000","2,300,000","2,100,000","2,100,000"
				Depreciation,,,,,,,,,"53,330,000","33,600,000",,"45,000,000","43,000,000","42,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
