name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
TotalAssets,"2,628,697,000","2,971,617,000","1,654,944,000","1,903,362,000","1,684,340,000","2,044,734,000","1,651,164,000","1,896,809,000","1,670,921,000","1,992,963,000","1,710,012,000","1,873,958,000","1,702,413,000","1,615,305,000","1,404,716,000","1,571,685,000","1,367,934,000","1,759,426,000","1,146,994,000","1,338,386,000","1,111,125,000","1,310,210,000","1,098,786,000","1,185,084,000","1,071,928,000","1,223,853,000","844,164,000","855,360,000","843,362,000","943,183,000","702,984,000","688,258,000","651,749,000","706,610,000","649,949,000","653,177,000","642,393,000","705,747,000","665,648,000","668,429,000","369,190,000","392,590,000","371,362,000","349,599,000","322,322,000","328,091,000","315,383,000","298,120,000","294,543,000","304,229,000","317,656,000","310,996,000","305,697,000","313,886,000","321,062,000","249,855,000","234,002,000","237,694,000","237,962,000","218,745,000","206,833,000","193,820,000","182,925,000","167,885,000","147,951,000","147,498,000","141,635,000","173,815,000","155,275,000","160,808,000","142,585,000","135,344,000","118,242,000"
	CurrentAssets,"507,112,000","850,971,000","457,981,000","691,008,000","465,284,000","819,060,000","412,715,000","667,104,000","428,622,000","734,539,000","445,945,000","600,141,000","413,883,000","597,982,000","375,282,000","536,510,000","359,563,000","794,102,000","307,095,000","487,675,000","318,302,000","507,919,000","292,824,000","371,843,000","253,975,000","399,112,000","209,332,000","215,339,000","199,735,000","287,782,000","210,836,000","192,123,000","181,495,000","229,769,000","168,764,000","165,281,000","149,404,000","213,748,000","176,148,000","174,902,000","164,305,000","187,948,000","171,717,000","147,786,000","121,263,000","143,148,000","126,843,000","105,617,000","103,358,000","109,746,000","118,720,000","106,892,000","101,095,000","105,417,000","105,189,000","87,295,000","69,826,000","74,296,000","71,717,000","76,405,000","63,258,000","110,442,000","97,325,000","81,848,000","61,877,000","64,601,000","56,018,000","83,789,000","64,209,000","64,072,000","54,387,000","44,139,000","24,994,000"
		CashCashEquivalentsAndShortTermInvestments,"33,786,000","55,146,000","27,591,000","28,288,000","27,753,000","35,750,000","30,563,000","30,531,000","24,972,000","31,810,000","29,084,000","32,654,000","25,187,000","30,866,000","25,352,000","29,194,000","25,013,000","29,830,000","17,050,000","17,268,000","13,872,000","16,902,000","16,462,000","15,263,000","12,084,000","15,362,000","17,555,000","13,227,000","13,286,000","14,735,000","53,960,000","24,847,000","32,550,000","11,889,000","16,679,000","7,300,000","8,449,000","13,491,000","25,582,000","21,192,000","45,967,000","52,520,000","51,999,000","33,397,000","24,126,000","27,974,000","26,253,000","13,264,000","23,281,000","22,769,000","22,238,000","18,537,000","23,027,000","16,361,000","13,875,000","9,979,000","12,142,000","14,775,000","16,182,000","17,663,000","15,982,000","67,783,000","54,261,000","30,921,000","16,490,000","22,683,000","20,703,000","50,444,000","43,269,000","42,144,000","33,382,000","16,851,000","6,085,000"
			CashAndCashEquivalents,"33,786,000","55,146,000","27,591,000","28,288,000","27,753,000","35,750,000","30,563,000","30,531,000","24,972,000","31,810,000","29,084,000","32,654,000","25,187,000","30,866,000","25,352,000","29,194,000","25,013,000","29,830,000","17,050,000","17,268,000","13,872,000","16,902,000","16,462,000","15,263,000","12,084,000","15,362,000","17,555,000","13,227,000","13,286,000","14,735,000","53,960,000","24,847,000","32,550,000","11,889,000","16,679,000","7,300,000","8,449,000","13,491,000","25,582,000","21,192,000","45,967,000","52,520,000","51,999,000","33,397,000","24,126,000","27,974,000","26,253,000","13,264,000","23,281,000","22,769,000","22,238,000","18,537,000","23,027,000","16,361,000","12,303,000","9,979,000","12,142,000","14,775,000","16,182,000","17,663,000","15,982,000","67,783,000","54,261,000","30,921,000","16,490,000","22,683,000","20,703,000","50,444,000","43,269,000","42,144,000","33,382,000","16,851,000","6,085,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,572,000",,,,,,,,,,,,,,,,,,
		Receivables,"112,079,000","103,703,000","144,187,000","153,612,000","84,278,000","95,725,000","101,731,000","130,959,000","90,396,000","89,392,000","98,484,000","136,626,000","96,201,000","88,348,000","101,359,000","136,037,000","95,284,000","97,829,000","100,868,000","129,890,000","90,510,000","88,932,000","86,111,000","107,749,000","78,456,000","80,046,000","78,152,000","87,462,000","74,901,000","77,523,000","69,194,000","84,425,000","63,368,000","66,969,000","71,309,000","85,749,000","69,402,000","75,692,000","87,493,000","89,208,000","65,850,000","62,656,000","62,641,000","68,610,000","50,311,000","59,804,000","55,969,000","61,991,000","48,851,000","50,220,000","51,266,000","59,248,000","47,296,000","52,554,000","57,196,000","64,227,000","42,324,000","50,236,000","41,639,000","46,038,000","33,843,000","29,505,000","29,816,000","34,722,000","24,891,000","25,577,000","22,348,000","27,541,000","18,843,000","19,580,000","16,921,000","22,879,000","14,623,000"
			AccountsReceivable,"93,819,000","103,703,000","111,949,000","124,660,000","84,278,000","95,725,000","101,731,000","130,959,000","90,396,000","89,392,000","98,484,000","136,626,000","96,201,000","88,348,000","101,359,000","136,037,000","95,284,000","97,829,000","100,868,000","129,890,000","90,510,000","88,932,000","86,111,000","107,749,000","78,456,000","80,046,000","78,152,000","87,462,000","74,901,000","77,523,000","69,194,000","84,425,000","63,368,000","66,969,000","71,309,000","85,749,000","69,402,000","75,692,000","83,351,000","89,208,000","63,486,000","62,656,000","62,641,000","68,610,000","50,311,000","59,804,000","55,969,000","61,991,000","48,851,000","50,220,000","51,266,000","59,248,000","47,296,000","52,554,000","57,196,000","64,227,000","42,324,000","44,689,000","41,639,000","46,038,000","33,843,000","29,505,000","29,816,000","34,722,000","24,891,000","25,577,000","22,348,000","27,541,000","18,314,000","19,580,000","16,921,000","22,879,000","14,623,000"
				GrossAccountsReceivable,"104,591,000","114,858,000","122,796,000","134,571,000","94,639,000","106,017,000","112,458,000","139,984,000","96,324,000","94,921,000","103,275,000","141,857,000","101,329,000","93,070,000","105,877,000","141,538,000","100,764,000","102,970,000","105,408,000","133,628,000","93,838,000","92,223,000","90,208,000","112,135,000","82,997,000","84,989,000","82,600,000","91,895,000","79,294,000","82,062,000","73,575,000","89,684,000","68,762,000","72,582,000","78,118,000","93,291,000","76,962,000","84,238,000","88,014,000","93,416,000","67,436,000",,"65,581,000","71,436,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-10,772,000","-11,155,000","-10,847,000","-9,911,000","-10,361,000","-10,292,000","-10,727,000","-9,025,000","-5,928,000","-5,529,000","-4,791,000","-5,231,000","-5,128,000","-4,722,000","-4,518,000","-5,501,000","-5,480,000","-5,141,000","-4,540,000","-3,738,000","-3,328,000","-3,291,000","-4,097,000","-4,386,000","-4,541,000","-4,943,000","-4,448,000","-4,433,000","-4,393,000","-4,539,000","-4,381,000","-5,259,000","-5,394,000","-5,613,000","-6,809,000","-7,542,000","-7,560,000","-8,546,000","-4,663,000","-4,208,000","-3,950,000",,"-2,940,000","-2,826,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,142,000",,"2,364,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
