name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
OperatingCashFlow,"5,095,000,000","-422,000,000","1,917,000,000","1,774,000,000","1,826,000,000","-573,000,000","1,979,000,000","995,000,000","1,707,000,000","-938,000,000","1,256,000,000","931,000,000","922,000,000","-225,000,000","523,000,000","1,265,000,000","1,428,000,000","-141,000,000","1,342,000,000","1,347,000,000","1,330,000,000","-191,000,000","1,192,000,000","1,060,000,000","467,000,000","-565,000,000","1,157,000,000","1,351,000,000","986,000,000","-490,000,000","1,271,000,000","1,284,000,000","732,000,000","-206,000,000","1,166,000,000","1,146,000,000","1,140,000,000","190,000,000","354,000,000","1,021,000,000","967,000,000","-102,000,000","873,000,000","1,236,000,000","873,000,000","-156,000,000","1,073,000,000","1,105,000,000","474,000,000","-164,000,000","568,000,000","557,000,000","400,000,000","-126,000,000","759,788,000","674,739,000","611,806,000","-130,333,000","226,134,000","438,924,000","219,317,000","-296,926,000","483,027,000","205,687,000","94,210,000","-62,040,000","170,117,000","95,067,000","123,945,000","-134,192,000","87,896,000","103,687,000","73,648,000","-33,873,000","337,474,000","-180,664,000","51,432,000","-28,647,000","75,170,000","70,004,000","66,048,000","-39,177,000","47,582,000","59,319,000","86,931,000","-26,459,000","43,753,000","59,088,000","40,588,000","-34,822,000","14,526,000"
	CashFlowFromContinuingOperatingActivities,"5,095,000,000","-422,000,000","1,917,000,000","1,774,000,000","1,826,000,000","-573,000,000","1,979,000,000","995,000,000","1,707,000,000","-938,000,000","1,256,000,000","931,000,000","922,000,000","-225,000,000","523,000,000","1,265,000,000","1,428,000,000","-141,000,000","1,342,000,000","1,347,000,000","1,330,000,000","-191,000,000","1,192,000,000","1,060,000,000","467,000,000","-565,000,000","1,157,000,000","1,351,000,000","986,000,000","-490,000,000","1,271,000,000","1,284,000,000","732,000,000","-206,000,000","1,166,000,000","1,146,000,000","1,140,000,000","190,000,000","354,000,000","1,021,000,000","967,000,000","-102,000,000","873,000,000","1,236,000,000","873,000,000","-156,000,000","1,073,000,000","1,105,000,000","474,000,000","-164,000,000","568,000,000","557,000,000","400,000,000","-126,000,000","759,788,000","674,739,000","611,806,000","-130,333,000","226,134,000","438,924,000","219,317,000","-296,926,000","483,027,000","205,687,000","94,210,000","-62,040,000","170,117,000","95,067,000","123,945,000","-134,192,000","87,896,000","103,687,000","73,648,000","-33,873,000","337,474,000","-180,664,000","51,432,000","-28,647,000","75,170,000","70,004,000","66,048,000","-39,177,000","47,582,000","59,319,000","86,931,000","-26,459,000","43,753,000","59,088,000","40,588,000","-34,822,000","14,526,000"
		NetIncomeFromContinuingOperations,"6,295,000,000","1,363,000,000","1,632,000,000","1,753,000,000","1,547,000,000","1,273,000,000","1,740,000,000","1,517,000,000","1,402,000,000","627,000,000","1,334,000,000","1,119,000,000","1,013,000,000","1,060,000,000","927,000,000","1,203,000,000","1,078,000,000","1,094,000,000","2,310,000,000","959,000,000","867,000,000","871,000,000","851,000,000","877,000,000","795,000,000","647,000,000","869,000,000","832,000,000","791,000,000","860,000,000","806,000,000","873,000,000","841,000,000","744,000,000","850,000,000","729,000,000","706,000,000","666,000,000","650,000,000","655,000,000","560,000,000","575,000,000","583,000,000","570,000,000","622,000,000","564,000,000","649,000,000","584,000,000","389,000,000","428,000,000","257,000,000","334,000,000","244,000,000","62,000,000","52,545,000","217,726,000","274,058,000","241,671,000","322,440,000","255,200,000","222,244,000","195,388,000","169,423,000","18,913,000","63,404,000","70,862,000","72,918,000","61,119,000","53,335,000","46,536,000","49,752,000","-9,814,000","47,996,000","55,207,000","41,310,000","40,098,000","38,674,000","35,320,000","33,848,000","33,166,000","34,836,000","31,399,000","28,332,000","27,376,000","26,230,000","25,496,000","24,546,000","22,761,000","20,857,000","19,197,000","17,217,000"
		OperatingGainsLosses,"-525,000,000","128,000,000","-53,000,000","-312,000,000","-288,000,000","-129,000,000","-413,000,000","-281,000,000","-386,000,000","431,000,000","-281,000,000","-33,000,000","-32,000,000","-24,000,000","-2,000,000","-27,000,000","-32,000,000","-33,000,000","-30,000,000","-32,000,000","-28,000,000","-32,000,000","-42,000,000","-36,000,000",,,"-30,000,000","-4,000,000","-31,000,000","-14,000,000","-9,000,000","-40,000,000","-60,000,000","-86,000,000","-75,000,000","-44,000,000","-41,000,000","-71,000,000","-56,000,000","-74,000,000","23,000,000","-111,000,000","-53,000,000","68,000,000","11,000,000","-50,000,000","4,000,000","-35,000,000","12,000,000","-37,000,000","-15,000,000","-90,000,000","20,000,000","297,000,000","718,147,000","156,672,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-233,000,000","130,000,000","36,000,000","-193,000,000","-206,000,000","-104,000,000","-340,000,000","-230,000,000","-322,000,000","391,000,000",,,,,,,,,,,,,,,"-2,000,000","3,000,000","2,000,000","4,000,000","-13,000,000","19,000,000","16,000,000","1,000,000","-7,000,000","-47,000,000","-27,000,000","-19,000,000","-6,000,000","-21,000,000","-91,000,000","7,000,000","23,000,000","18,000,000","-72,000,000","10,000,000","22,000,000","9,000,000","-88,000,000","70,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-292,000,000","-2,000,000","-89,000,000","-119,000,000","-82,000,000","-25,000,000","-73,000,000","-51,000,000","-64,000,000","40,000,000","-27,000,000","-33,000,000","-32,000,000","-24,000,000","-2,000,000","-27,000,000","-32,000,000","-33,000,000","-30,000,000","-32,000,000","-28,000,000","-32,000,000","-42,000,000","-35,000,000","-33,000,000","-3,000,000","-32,000,000","-8,000,000","-18,000,000","-33,000,000","-25,000,000","-41,000,000","-53,000,000","-39,000,000","-48,000,000","-25,000,000","-35,000,000","-50,000,000","-48,000,000","-68,000,000","17,000,000","-76,000,000","11,000,000","57,000,000","-3,000,000","-58,000,000","0","-98,000,000","14,000,000","-43,000,000","-9,000,000","-83,000,000","-86,000,000","166,000,000","214,272,000","88,007,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"418,000,000","100,000,000","110,000,000","107,000,000","101,000,000","97,000,000","16,000,000","117,000,000","114,000,000","111,000,000","111,000,000","105,000,000","100,000,000","89,000,000","56,000,000","57,000,000","54,000,000","53,000,000","50,000,000","65,000,000","67,000,000","58,000,000","58,000,000","57,000,000","58,000,000","56,000,000","51,000,000","68,000,000","65,000,000","63,000,000","63,000,000","70,000,000","72,000,000","73,000,000","76,000,000","71,000,000","72,000,000","72,000,000","76,000,000","74,000,000","72,000,000","73,000,000","77,000,000","76,000,000","73,000,000","73,000,000","79,000,000","74,000,000","79,000,000","78,000,000","64,000,000","60,000,000","58,000,000","57,000,000","56,515,000","60,139,000","27,647,000","87,699,000","55,437,000","49,305,000","48,020,000","46,062,000","43,508,000","10,180,000","9,710,000","9,411,000","7,788,000","8,646,000","7,462,000","7,006,000","5,224,000","5,357,000","5,156,000","4,949,000","5,480,000","5,422,000","5,169,000","5,295,000","4,287,000","5,985,000","4,965,000","5,001,000","7,122,000","6,768,000","6,382,000","5,749,000","5,003,000","5,457,000","4,902,000","4,633,000","4,453,000"
			DepreciationAndAmortization,"418,000,000","100,000,000","110,000,000","107,000,000","101,000,000","97,000,000","16,000,000","117,000,000","114,000,000","111,000,000","111,000,000","105,000,000","100,000,000","89,000,000","56,000,000","57,000,000","54,000,000","53,000,000","50,000,000","65,000,000","67,000,000","58,000,000","58,000,000","57,000,000","58,000,000","56,000,000","51,000,000","68,000,000","65,000,000","63,000,000","63,000,000","70,000,000","72,000,000","73,000,000","76,000,000","71,000,000","72,000,000","72,000,000","76,000,000","74,000,000","72,000,000","73,000,000","77,000,000","76,000,000","73,000,000","73,000,000","79,000,000","74,000,000","79,000,000","78,000,000","64,000,000","60,000,000","58,000,000","57,000,000","56,515,000","60,139,000","27,647,000","87,699,000","55,437,000","49,305,000","48,020,000","46,062,000","43,508,000","10,180,000","9,710,000","9,411,000","7,788,000","8,646,000","7,462,000","7,006,000","5,224,000","5,357,000","5,156,000","4,949,000","5,480,000","5,422,000","5,169,000","5,295,000","4,287,000","5,985,000","4,965,000","5,001,000","7,122,000","6,768,000","6,382,000","5,749,000","5,003,000","5,457,000","4,902,000","4,633,000","4,453,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,491,000",,,,,,,"9,408,000","9,109,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,208,000",,,,,,,"302,000","302,000",,,,,,,,,,,,,,,,,,,,,,,,,
