name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,12/31/2015
TotalAssets,"1,870,230,000","1,817,578,000","1,750,392,000","1,732,067,000","1,708,797,000","1,113,505,000","1,046,765,000","1,033,250,000","1,011,374,000","1,014,552,000","975,639,000","523,502,000","504,953,000","493,868,000","474,694,000","464,440,000","458,515,000","440,884,000","422,123,000","417,992,000","416,235,000","420,437,000","331,235,000","282,798,000","286,750,000"
	CurrentAssets,"1,171,476,000","1,347,688,000","1,301,433,000","1,287,358,000","1,267,491,000","674,115,000","753,997,000","739,913,000","720,596,000","723,406,000","689,260,000","235,782,000","219,339,000","221,521,000","204,493,000","192,533,000","186,676,000","193,954,000","172,743,000","167,548,000","162,515,000","163,823,000","68,032,000","49,461,000","48,487,000"
		CashCashEquivalentsAndShortTermInvestments,"1,031,644,000","1,198,703,000","1,177,929,000","1,168,194,000","1,157,259,000","542,619,000","525,503,000","626,496,000","613,967,000","607,747,000","596,521,000","145,194,000","134,755,000","132,577,000","125,116,000","114,873,000","114,032,000","112,580,000","109,770,000","107,251,000","101,316,000","105,248,000","19,586,000","13,647,000","15,205,000"
			CashAndCashEquivalents,"365,522,000","539,739,000","378,977,000","643,343,000","848,268,000","367,413,000","408,070,000","471,620,000","310,989,000","120,232,000","528,197,000","63,255,000","49,676,000","46,181,000","38,401,000","28,682,000","30,864,000","31,104,000","24,645,000","23,507,000","23,448,000","22,118,000","19,586,000","13,647,000","15,205,000"
			OtherShortTermInvestments,"666,122,000","658,964,000","798,952,000","524,851,000","308,991,000","175,206,000","117,433,000","154,876,000","302,978,000","487,515,000","68,324,000","81,939,000","85,079,000","86,396,000","86,715,000","86,191,000","83,168,000","81,476,000","85,125,000","83,744,000","77,868,000","83,130,000",,,
		Receivables,"117,554,000","125,130,000","105,042,000","100,909,000","89,423,000","111,270,000","91,137,000","98,124,000","90,057,000","102,829,000","81,865,000","79,135,000","72,343,000","74,902,000","63,398,000","61,057,000","57,019,000","61,589,000","45,233,000","43,525,000","43,889,000","42,294,000","36,761,000","25,643,000","24,235,000"
			AccountsReceivable,"117,554,000","125,130,000","105,042,000","100,909,000","89,423,000","111,270,000","91,137,000","98,124,000","90,057,000","102,829,000","81,865,000","79,135,000","72,343,000","74,902,000","63,398,000","61,057,000","57,019,000","61,589,000","45,233,000","43,525,000","43,889,000","42,294,000","36,761,000","25,643,000","24,235,000"
				GrossAccountsReceivable,"120,567,000","128,053,000","108,020,000","104,467,000","92,703,000","115,007,000","96,120,000","104,865,000","94,832,000","103,066,000",,,,"74,948,000",,,,"62,284,000",,,,"42,517,000",,,"24,403,000"
				AllowanceForDoubtfulAccountsReceivable,"-3,013,000","-2,923,000","-2,978,000","-3,558,000","-3,280,000","-3,737,000","-4,983,000","-6,741,000","-4,775,000","-237,000",,,,"-46,000",,,,"-695,000",,,,"-223,000",,,"-168,000"
		PrepaidAssets,"22,278,000","23,855,000","18,462,000","18,255,000","20,809,000","20,226,000","137,357,000","15,293,000","16,572,000","12,830,000","10,874,000","11,453,000","12,241,000","14,042,000","15,979,000","16,403,000","15,625,000","6,140,000","6,794,000","6,927,000","7,777,000","6,614,000","4,456,000","3,864,000","2,801,000"
		RestrictedCash,,,,,,,,,,,,,,,"0","200,000",,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,"13,645,000","10,946,000","9,845,000","9,533,000","9,667,000","7,229,000","6,307,000","6,246,000"
	TotalNonCurrentAssets,"698,754,000","469,890,000","448,959,000","444,709,000","441,306,000","439,390,000","292,768,000","293,337,000","290,778,000","291,146,000","286,379,000","287,720,000","285,614,000","272,347,000","270,201,000","271,907,000","271,839,000","246,930,000","249,380,000","250,444,000","253,720,000","256,614,000","263,203,000","233,337,000","238,263,000"
		NetPPE,"32,883,000","32,585,000","19,965,000","19,428,000","21,146,000","21,947,000","20,061,000","22,468,000","24,604,000","25,573,000","26,272,000","27,221,000","27,440,000","13,536,000","13,155,000","13,754,000","13,280,000","12,769,000","12,126,000","10,959,000","11,274,000","11,318,000","11,857,000","11,721,000","12,419,000"
