name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalAssets,"544,194,000","637,612,000","858,821,000","915,962,000","371,310,000","356,253,000"
	CurrentAssets,"220,548,000","299,372,000","404,926,000","481,356,000","176,824,000","169,050,000"
		CashCashEquivalentsAndShortTermInvestments,"63,426,000","104,054,000","199,839,000","347,229,000","47,649,000","56,827,000"
			CashAndCashEquivalents,"63,426,000","104,054,000","199,839,000","347,229,000","47,649,000","56,827,000"
		Receivables,"2,539,000","1,225,000","1,378,000","3,165,000","3,338,000","855,000"
			AccountsReceivable,"2,539,000","1,225,000","1,378,000","3,165,000","3,338,000","855,000"
		Inventory,"99,993,000","132,730,000","141,139,000","74,238,000","65,653,000","65,354,000"
			RawMaterials,"22,809,000","24,436,000","28,675,000","26,046,000","26,657,000","26,480,000"
			FinishedGoods,"77,184,000","108,294,000","112,464,000","48,192,000","38,996,000","38,874,000"
		PrepaidAssets,"19,771,000","24,776,000","26,101,000","20,383,000","19,573,000","8,650,000"
		RestrictedCash,"0","3,000,000",,,,
		CurrentDeferredAssets,"33,523,000","30,928,000","32,287,000","33,510,000","31,769,000","29,967,000"
		OtherCurrentAssets,"1,296,000","2,659,000","4,182,000","2,831,000","8,842,000","7,397,000"
	TotalNonCurrentAssets,"323,646,000","338,240,000","453,895,000","434,606,000","194,486,000","187,203,000"
		NetPPE,"102,978,000","119,711,000","142,772,000","123,805,000","113,285,000","113,441,000"
			GrossPPE,"297,975,000","301,494,000","337,168,000","311,559,000","290,774,000","292,351,000"
				Properties,"0","0","0","0","0","0"
				BuildingsAndImprovements,"5,158,000","5,158,000","5,158,000",,,
				MachineryFurnitureEquipment,"288,217,000","284,566,000","280,379,000","257,996,000","235,197,000","234,882,000"
				OtherProperties,,"6,613,000","27,434,000","29,366,000","31,380,000","33,272,000"
				Leases,"4,600,000","5,157,000","24,197,000","24,197,000","24,197,000","24,197,000"
