name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,04/30/2014
TotalAssets,"1,171,587,000","1,392,009,000","1,405,077,000","1,525,612,000","1,310,131,000","1,351,682,000","941,561,000","960,511,000","948,913,000","959,991,000","843,918,000","827,316,000","825,721,000","650,161,000","546,887,000","545,424,000","528,479,000","553,566,000","466,769,000","473,710,000","463,875,000","493,674,000","443,372,000","432,152,000","434,193,000","497,488,000","479,986,000","480,001,000","481,911,000","492,666,000","313,941,000","208,237,000"
	CurrentAssets,"715,420,000","916,564,000","927,619,000","1,028,859,000","789,597,000","879,286,000","449,288,000","453,584,000","427,227,000","457,726,000","355,091,000","364,241,000","367,573,000","428,554,000","339,627,000","351,819,000","340,807,000","399,189,000","295,971,000","303,084,000","294,070,000","322,101,000","277,164,000","272,862,000","267,351,000","319,994,000","310,529,000","343,349,000","370,880,000","406,229,000","223,324,000","128,466,000"
		CashCashEquivalentsAndShortTermInvestments,"519,266,000","586,274,000","708,265,000","829,416,000","611,459,000","595,082,000","275,400,000","271,874,000","267,973,000","195,586,000","200,890,000","201,489,000","231,436,000","217,518,000","200,104,000","203,726,000","217,116,000","208,076,000","172,857,000","165,275,000","183,691,000","177,391,000","167,800,000","173,331,000","183,400,000","193,120,000","214,899,000","242,239,000","283,976,000","330,436,000","165,270,000","79,266,000"
			CashAndCashEquivalents,"391,377,000","416,274,000","568,265,000","779,416,000","561,459,000","595,082,000","275,400,000","271,874,000","267,973,000","195,586,000","200,890,000","201,489,000","231,436,000","217,518,000","200,104,000","203,726,000","217,116,000","208,076,000","172,857,000","165,275,000","183,691,000","177,391,000","167,800,000","173,331,000","182,690,000","185,741,000","189,695,000","140,119,000","179,987,000","330,436,000","165,270,000","79,266,000"
				CashFinancial,,,,,,,"165,677,000",,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,"109,723,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"127,889,000","170,000,000","140,000,000","50,000,000","50,000,000",,,,,,,,,,,,,,,,,"0","0","0","710,000","7,379,000","25,204,000","102,120,000","103,989,000",,,
		Receivables,"117,146,000","256,312,000","154,624,000","134,386,000","112,253,000","228,309,000","115,664,000","123,041,000","99,067,000","209,434,000","108,393,000","117,903,000","93,655,000","175,130,000","105,714,000","114,779,000","91,025,000","162,133,000","95,868,000","107,891,000","82,767,000","120,113,000","85,995,000","75,170,000","60,029,000","99,542,000","74,183,000","77,442,000","61,946,000","54,174,000","44,177,000","34,434,000"
			AccountsReceivable,"117,146,000","256,312,000","154,624,000","134,386,000","112,253,000","228,309,000","115,664,000","123,041,000","99,067,000","209,434,000","108,393,000","117,903,000","93,655,000","175,130,000","105,714,000","114,779,000","91,025,000","162,133,000","95,868,000","107,891,000","82,767,000","120,113,000","85,995,000","75,170,000","57,615,000","99,542,000","64,368,000","54,047,000","38,551,000","54,174,000","39,873,000","32,083,000"
				GrossAccountsReceivable,,"258,612,000","157,324,000","136,986,000","115,253,000","231,009,000","119,025,000","128,041,000","104,767,000","212,655,000","112,534,000","121,624,000","96,597,000","177,858,000","107,927,000","117,103,000","92,892,000","163,989,000","97,777,000","110,531,000","84,956,000","123,459,000","89,209,000","78,316,000","62,013,000","103,220,000","68,183,000","57,838,000","42,496,000","58,032,000","43,720,000","35,459,000"
