name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998
OperatingCashFlow,"129,938,000","16,144,000","51,918,000","9,984,000","51,892,000","19,418,000","41,717,000","37,707,000","-59,421,000","92,485,000","7,164,000","56,677,000","22,899,000","15,979,000","33,974,000","32,836,000","26,854,000","29,365,000","26,657,000","24,006,000","15,318,000","18,966,000","30,342,000","22,521,000","24,912,000","323,000","33,814,000","19,408,000","-267,050,000","278,432,000","27,991,000","37,362,000","2,514,000","28,871,000","32,126,000","24,744,000","14,560,000","14,630,000","18,541,000","17,411,000","13,257,000","8,530,000","7,732,000","15,157,000","2,774,000","18,733,000","7,681,000","11,972,000","7,968,000","13,063,000","4,311,000","15,115,000","4,999,000","11,728,000","10,099,000","9,767,000","10,308,000","11,427,000","7,388,000","11,399,000","8,028,000","12,439,000","8,583,000","10,023,000","8,661,000","7,496,000","11,553,000","8,685,000","7,198,000","14,866,000","5,603,000","9,077,000","4,398,000","8,886,000","7,350,000","10,680,000","949,000","4,913,000","88,000","6,325,000","484,000","10,190,000","3,955,000","8,487,000","4,876,000","6,349,000","2,903,000","4,280,000","4,621,000","3,231,000","1,300,000","6,000,000","6,000,000","1,400,000","6,700,000","5,500,000"
	CashFlowFromContinuingOperatingActivities,"129,938,000","16,144,000","51,918,000","9,984,000","51,892,000","19,418,000","41,717,000","37,707,000","-59,421,000","92,485,000","7,164,000","56,677,000","22,899,000","15,979,000","33,974,000","32,836,000","26,854,000","29,365,000","26,657,000","24,006,000","15,318,000","18,966,000","30,342,000","22,521,000","24,912,000","323,000","33,814,000","19,408,000","-267,050,000","278,432,000","27,991,000","37,362,000","2,514,000","28,871,000","32,126,000","24,744,000","14,560,000","14,630,000","18,541,000","17,411,000","13,257,000","8,530,000","7,732,000","15,157,000","2,774,000","18,733,000","7,681,000","11,972,000","7,968,000","13,063,000","4,311,000","15,115,000","4,999,000","11,728,000","10,099,000","9,767,000","10,308,000","11,427,000","7,388,000","11,399,000","8,028,000","12,439,000","8,583,000","10,023,000","8,661,000","7,496,000","11,553,000","8,685,000","7,198,000","14,866,000","5,603,000","9,077,000","4,398,000","8,886,000","7,350,000","10,680,000","949,000","4,913,000","88,000","6,325,000","484,000","10,190,000","3,955,000","8,487,000","4,876,000","6,349,000","2,903,000","4,280,000","4,621,000","3,231,000","1,300,000","6,000,000","6,000,000","1,400,000","6,700,000","5,500,000"
		NetIncomeFromContinuingOperations,"113,691,000","24,705,000","28,545,000","28,839,000","31,602,000","26,454,000","26,663,000","18,677,000","19,571,000","-17,276,000","22,183,000","22,596,000","20,471,000","22,467,000","21,138,000","22,460,000","20,831,000","18,633,000","6,827,000","15,366,000","14,880,000","13,445,000","13,279,000","13,617,000","12,654,000","12,812,000","13,326,000","12,888,000","11,865,000","11,703,000","10,786,000","11,581,000","9,976,000","10,422,000","7,654,000","9,428,000","9,491,000","8,813,000","11,863,000","11,401,000","7,529,000","6,349,000","7,057,000","6,276,000","7,000,000","7,267,000","6,398,000","7,038,000","7,083,000","6,353,000","5,836,000","5,243,000","4,677,000","3,444,000","4,730,000","1,751,000","3,675,000","2,694,000","3,699,000","4,250,000","4,852,000","4,941,000","5,377,000","5,109,000","4,929,000","5,397,000","5,536,000","5,521,000","5,441,000","5,532,000","3,996,000","4,497,000","4,622,000","4,652,000","3,439,000","4,502,000","6,687,000","-148,000","5,864,000","5,461,000","5,132,000","5,478,000","5,341,000","4,928,000","3,434,000","5,631,000","5,182,000","5,366,000","5,462,000","5,624,000","5,200,000","5,300,000","5,100,000","5,200,000","5,200,000","5,100,000"
		OperatingGainsLosses,"-3,341,000","-344,000","-1,901,000","-557,000","-539,000","-702,000","-67,000","-686,000","-885,000","-1,450,000","-442,000","-434,000","-918,000","-423,000","608,000","-535,000","-722,000","-1,461,000","-935,000","-1,049,000","-307,000","-11,746,000","-1,270,000","-736,000","-345,000","-905,000","-614,000","-446,000","-2,926,000","1,778,000","3,424,000","2,178,000","3,420,000","2,271,000","11,754,000","409,000","424,000","14,000","-4,097,000","-2,014,000","278,000","3,009,000","-4,957,000","307,000","326,000","203,000","208,000","235,000","-1,278,000","770,000","-1,158,000","-349,000","36,000","765,000","202,000","1,600,000","0","1,249,000",,,,,"1,000","-1,000","0","-558,000","-322,000","0","-259,000","-594,000","0","-806,000","-380,000","-581,000","-1,769,000","0","-180,000","-328,000","-6,666,000","-302,000","-313,000","-922,000","-362,000","-1,366,000","495,000","-2,802,000","-1,525,000","-2,557,000","-1,829,000","-2,342,000","-1,900,000","-2,000,000","-2,400,000","-1,200,000","-1,100,000","-500,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","2,000","6,000","-1,510,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"31,000","0","32,000","0","-1,000","7,000","0","-54,000","-586,000","-1,330,000","-133,000","116,000","-357,000","-134,000","935,000","0","0","-1,162,000","0","0","0","-11,393,000",,,,,,"0",,,"-78,000","0",,,"-397,000","0",,,"757,000","-296,000","-1,092,000","-295,000","0","0","0","-80,000","0","0",,,"-1,027,000","-594,000","-346,000","726,000","0","1,600,000","0","1,249,000",,,,,"0","0","0","-558,000","0","0","-259,000","-594,000","0","-806,000","-380,000","-581,000","-1,769,000","0","-180,000","-328,000","-6,666,000","-302,000","-313,000","-922,000","-362,000","-1,366,000","495,000","-2,802,000","-8,012,000","3,902,000","-1,801,000","-2,342,000","-1,900,000","-2,000,000","-2,400,000","-1,200,000","-1,100,000",
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285,000","303,000","307,000","326,000","283,000","208,000","235,000","164,000","162,000",,,"126,000","39,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"6,710,000","1,595,000","1,705,000","1,695,000","1,715,000","1,550,000","1,520,000","1,565,000","1,755,000","1,917,000","2,029,000","2,159,000","2,152,000","2,184,000","2,325,000","2,503,000","2,366,000","2,268,000","2,305,000","2,350,000","2,339,000","2,327,000","2,381,000","2,378,000","2,403,000","2,418,000","2,485,000","2,476,000","2,494,000","2,530,000","2,640,000","2,619,000","2,573,000","2,531,000","2,832,000","2,917,000","2,524,000","2,641,000","2,773,000","2,332,000","2,072,000","2,178,000","931,000","1,008,000","980,000","712,000","755,000","714,000","688,000","680,000","741,000","754,000","830,000","706,000","785,000","-4,575,000","3,465,000","3,446,000","3,241,000","3,289,000","3,117,000","2,956,000","3,009,000","3,069,000","3,124,000","2,836,000","2,806,000","3,025,000","3,174,000","2,996,000","2,384,000","2,468,000","2,051,000","2,506,000","1,830,000","2,009,000","3,539,000","1,345,000","993,000","555,000","429,000","281,000","237,000","341,000","376,000","365,000","765,000","283,000","186,000","466,000","500,000","300,000","900,000","500,000","400,000","0"
			DepreciationAndAmortization,"6,710,000","1,595,000","1,705,000","1,695,000","1,715,000","1,550,000","1,520,000","1,565,000","1,755,000","1,917,000","2,029,000","2,159,000","2,152,000","2,184,000","2,325,000","2,503,000","2,366,000","2,268,000","2,305,000","2,350,000","2,339,000","2,327,000","2,381,000","2,378,000","2,403,000","2,418,000","2,485,000","2,476,000","2,494,000","2,530,000","2,640,000","2,619,000","2,573,000","2,531,000","2,832,000","2,917,000","2,524,000","2,641,000","2,773,000","2,332,000","2,072,000","2,178,000","931,000","1,008,000","980,000","712,000","755,000","714,000","688,000","680,000","741,000","754,000","830,000","706,000","785,000","-4,575,000","3,465,000","3,446,000","3,241,000","3,289,000","3,117,000","2,956,000","3,009,000","3,069,000","3,124,000","2,836,000","2,806,000","3,025,000","3,174,000","2,996,000","2,384,000","2,468,000","2,051,000","2,506,000","1,830,000","2,009,000","3,539,000","1,345,000","993,000","555,000","429,000","281,000","237,000","341,000","376,000","365,000","765,000","283,000","186,000","466,000","500,000","300,000","900,000","500,000","400,000","0"
				Depreciation,"5,932,000","1,461,000","1,497,000","1,487,000","1,487,000","1,318,000","1,208,000","1,253,000","1,444,000","1,581,000","1,609,000","1,738,000","1,732,000","1,782,000","1,788,000","1,966,000","1,827,000","1,801,000","1,786,000","1,831,000","1,820,000","1,795,000","1,760,000","1,755,000","1,782,000","1,783,000","1,761,000","1,751,000","1,770,000","1,792,000","1,813,000","1,791,000","1,746,000","1,670,000","1,704,000","1,765,000","1,346,000","1,476,000","1,037,000","1,000,000","801,000","895,000","571,000","559,000","521,000","410,000","426,000","408,000","382,000","374,000","369,000","382,000","458,000","334,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"778,000","134,000","208,000","208,000","228,000","232,000","312,000","312,000","311,000","336,000","420,000","421,000","420,000","402,000","537,000","537,000","539,000","467,000","519,000","519,000","519,000","532,000","621,000","623,000","621,000","635,000","724,000","725,000","724,000","738,000","827,000","828,000","827,000","861,000","1,128,000","1,152,000","1,178,000","1,165,000","1,736,000","1,332,000","1,271,000","1,283,000","360,000","449,000","459,000","302,000","329,000","306,000","306,000","306,000","372,000","372,000","372,000","372,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"778,000","134,000","208,000","208,000","228,000","232,000","312,000","312,000","311,000","336,000","420,000","421,000","420,000","402,000","537,000","537,000","539,000","467,000","519,000","519,000","519,000","532,000","621,000","623,000","621,000","635,000","724,000","725,000","724,000","738,000","827,000","828,000","827,000","861,000","1,128,000","1,152,000","1,178,000","1,165,000","1,736,000","1,332,000","1,271,000","1,283,000","360,000","449,000","459,000","302,000","329,000","306,000","306,000","306,000","372,000","372,000","372,000","372,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"4,864,000","376,000","1,424,000","2,663,000","401,000","1,345,000","2,787,000","650,000","-5,269,000","-17,270,000","536,000","-39,000","-109,000","-390,000","-997,000","-803,000","-1,133,000","-2,520,000","14,721,000","-1,268,000","2,270,000","-4,925,000","2,513,000","8,000","412,000","-611,000","964,000","1,094,000","-670,000","-149,000","-387,000","-479,000","-215,000","1,261,000","4,429,000","-1,309,000","-1,597,000","921,000","3,647,000","-2,785,000","-1,184,000","985,000","-48,000","1,287,000","-324,000","-131,000","-339,000","8,000","347,000","-129,000","994,000",,,"110,000","-813,000","-679,000","-709,000","-1,000,000","10,000","-399,000","-285,000","419,000","251,000","-750,000","-333,000","582,000","-1,617,000","-359,000","-624,000","144,000","-168,000","-450,000","-215,000","798,000","-1,473,000","-69,000","2,784,000","-3,272,000","28,000","-233,000","-23,000","421,000","196,000","655,000","-1,420,000","-212,000","774,000","-219,000","-182,000","-312,000","500,000","-800,000",,,"-200,000","-200,000"
