name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006
TotalRevenue,"5,517,800,000","1,533,700,000","1,259,600,000","1,192,900,000","1,531,600,000","1,389,800,000","1,054,900,000","1,017,400,000","1,361,900,000","1,249,900,000","968,700,000","948,600,000","1,211,200,000","1,224,800,000","953,400,000","972,800,000","1,320,400,000","1,071,900,000","1,012,800,000","924,800,000","1,345,800,000","1,008,900,000","892,600,000","895,300,000","974,500,000","688,800,000","638,900,000","594,700,000","929,600,000","634,200,000","574,600,000","555,800,000","885,900,000","606,300,000","520,600,000","545,200,000","865,100,000","576,700,000","493,200,000","495,800,000","800,300,000","547,000,000","479,800,000","476,400,000","776,100,000","527,100,000","442,300,000","421,400,000","750,500,000","490,800,000","529,700,000","457,900,000","736,500,000","481,200,000","459,200,000","472,400,000","792,400,000","498,800,000","465,100,000","451,200,000","773,700,000","492,800,000","431,300,000","440,100,000","718,100,000","450,500,000"
	OperatingRevenue,"5,517,800,000","1,533,700,000","1,259,600,000","1,192,900,000","1,531,600,000","1,389,800,000","1,054,900,000","1,017,400,000","1,361,900,000","1,249,900,000","968,700,000","948,600,000","1,211,200,000","1,224,800,000","953,400,000","972,800,000","1,320,400,000","1,071,900,000","1,012,800,000","924,800,000","1,345,800,000","1,008,900,000","892,600,000","895,300,000","974,500,000","688,800,000","638,900,000","594,700,000","929,600,000","634,200,000","574,600,000","555,800,000","885,900,000","606,300,000","520,600,000","545,200,000","865,100,000","576,700,000","493,200,000","495,800,000","800,300,000","547,000,000","479,800,000","476,400,000","776,100,000","527,100,000","442,300,000","421,400,000","750,500,000","490,800,000","529,700,000","449,500,000","698,800,000","481,200,000","459,200,000","472,400,000","736,500,000","498,800,000","465,100,000","451,200,000","773,700,000","492,800,000","431,300,000","440,100,000","718,100,000","450,500,000"
CostOfRevenue,"3,986,800,000","1,077,600,000","978,400,000","914,100,000","1,016,700,000","960,500,000","806,500,000","787,100,000","884,200,000","872,500,000","780,900,000","727,500,000","811,600,000","847,300,000","734,000,000","739,000,000","870,100,000","803,100,000","769,800,000","726,600,000","910,100,000","773,700,000","707,800,000","717,900,000","586,300,000","486,500,000","464,500,000","438,600,000","555,100,000","452,600,000","414,000,000","406,500,000","551,200,000","427,600,000","385,100,000","397,500,000","564,000,000","426,200,000","387,600,000","390,000,000","528,900,000","420,800,000","382,600,000","382,800,000","517,300,000","406,600,000","356,600,000","336,600,000","497,300,000","380,900,000","399,700,000","355,400,000","492,600,000","372,700,000","345,800,000","363,000,000","543,400,000","383,100,000","345,700,000","334,200,000","537,200,000","375,100,000","333,200,000","342,600,000","497,700,000","348,400,000"
GrossProfit,"1,531,000,000","456,100,000","281,200,000","278,800,000","514,900,000","429,300,000","248,400,000","230,300,000","477,700,000","377,400,000","187,800,000","221,100,000","399,600,000","377,500,000","219,400,000","233,800,000","450,300,000","268,800,000","243,000,000","198,200,000","435,700,000","235,200,000","184,800,000","177,400,000","388,200,000","202,300,000","174,400,000","156,100,000","374,500,000","181,600,000","160,600,000","149,300,000","334,700,000","178,700,000","135,500,000","147,700,000","301,100,000","150,500,000","105,600,000","105,800,000","271,400,000","126,200,000","97,200,000","93,600,000","258,800,000","120,500,000","85,700,000","84,800,000","253,200,000","109,900,000","130,000,000","102,500,000","243,900,000","108,500,000","113,400,000","109,400,000","249,000,000","115,700,000","119,400,000","117,000,000","236,500,000","117,700,000","98,100,000","97,500,000","220,400,000","102,100,000"
OperatingExpense,"831,400,000","210,100,000","212,300,000","175,500,000","233,500,000","190,000,000","169,000,000","151,700,000","178,900,000","151,100,000","161,000,000","148,000,000","158,800,000","143,900,000","141,200,000","133,700,000","184,900,000","138,800,000","127,900,000","113,800,000","138,600,000","125,500,000","126,000,000","111,300,000","117,900,000","101,700,000","104,200,000","97,100,000","112,000,000","92,000,000","101,100,000","91,700,000","120,900,000","95,600,000","86,000,000","73,500,000","94,500,000","79,000,000","77,200,000","72,900,000","91,100,000","70,600,000","73,500,000","64,700,000","74,700,000","66,900,000","66,900,000","61,500,000","69,800,000","60,000,000","58,400,000","56,400,000","50,700,000","51,300,000","64,800,000","56,700,000","47,000,000","67,300,000","72,100,000","49,100,000","79,800,000","47,600,000","52,100,000","50,500,000","53,500,000","45,000,000"
	SellingGeneralAndAdministration,"831,400,000","210,100,000","212,300,000","175,500,000","233,500,000","190,000,000","169,000,000","151,700,000","178,900,000","151,100,000","161,000,000","148,000,000","158,800,000","143,900,000","141,200,000","133,700,000","184,900,000","138,800,000","127,900,000","113,800,000","138,600,000","125,500,000","126,000,000","111,300,000","117,900,000","101,700,000","104,200,000","97,100,000","112,000,000","92,000,000","101,100,000","91,700,000","120,900,000","95,600,000","86,000,000","73,500,000","94,500,000","79,000,000","77,200,000","72,900,000","91,100,000","70,600,000","73,500,000","64,700,000","74,700,000","66,900,000","66,900,000","61,500,000","69,800,000","60,000,000","58,400,000","56,400,000","50,700,000","51,300,000","66,200,000","56,700,000","72,700,000","60,000,000","62,500,000","49,100,000","67,500,000","47,600,000","51,100,000","50,500,000","51,800,000","45,000,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,000,000","62,500,000","49,100,000",,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,000,000","62,500,000","49,100,000",,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,900,000",,,,,,
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-443,100,000","-408,200,000","-383,300,000",,"-422,900,000",,,,
