name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
TotalAssets,"1,238,569,000","1,247,921,000","1,246,664,000","1,242,247,000","1,226,149,000","1,243,978,000","1,260,016,000","1,438,838,000","1,522,567,000","1,545,208,000","1,595,813,000","1,724,555,000","1,711,887,000","1,750,124,000","1,754,259,000","1,669,464,000","1,635,978,000","1,576,451,000","1,246,070,000","1,250,086,000","1,199,722,000","1,128,827,000","1,137,232,000","1,126,830,000","1,045,843,000","1,061,436,000","1,161,446,000","1,118,569,000","1,274,291,000","1,326,782,000"
	CurrentAssets,"107,982,000","107,974,000","93,068,000","71,540,000","64,785,000","66,521,000","61,921,000","221,422,000","159,777,000","102,291,000","121,334,000","126,282,000","113,129,000","157,533,000","117,128,000","107,739,000","100,624,000","87,643,000","83,799,000","94,836,000","90,100,000","78,989,000","84,242,000","78,910,000","97,286,000","103,595,000","93,657,000","70,420,000","108,598,000","137,417,000"
		CashCashEquivalentsAndShortTermInvestments,"6,653,000","8,876,000","3,264,000","1,043,000","3,789,000","1,796,000","3,057,000","1,600,000","3,040,000","8,119,000","1,966,000","3,906,000","4,247,000","5,414,000","4,441,000","7,071,000","6,297,000","5,642,000","8,911,000","7,487,000","14,005,000","9,772,000","4,848,000","9,770,000","5,013,000","13,233,000","5,570,000","6,048,000","8,368,000","14,803,000"
			CashAndCashEquivalents,"6,653,000","8,876,000","3,264,000","1,043,000","3,789,000","1,796,000","3,057,000","1,600,000","3,040,000","8,119,000","1,966,000","3,906,000","4,247,000","5,414,000","4,441,000","7,071,000","6,297,000","5,642,000","8,911,000","7,487,000","14,005,000","9,772,000","4,848,000","9,770,000","5,013,000","13,233,000","5,570,000","6,048,000","8,368,000","14,803,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","0","0",,"0","0","0","0"
		Receivables,"99,463,000","97,142,000","88,301,000","68,381,000","59,288,000","61,908,000","48,497,000","45,480,000","58,464,000","78,214,000","84,842,000","95,958,000","103,327,000","113,148,000","111,482,000","99,028,000","92,855,000","80,695,000","68,895,000","72,255,000","74,974,000","68,181,000","64,391,000","53,568,000","44,370,000","41,246,000","52,347,000","54,215,000","50,794,000","74,092,000"
			AccountsReceivable,"94,691,000","93,005,000","83,861,000","63,706,000","55,297,000","58,181,000","41,627,000","40,837,000","53,652,000","71,022,000","77,837,000","89,727,000","97,816,000","107,804,000","106,634,000","94,981,000","89,616,000","80,695,000","68,895,000","72,255,000","74,974,000","68,181,000","64,391,000","53,568,000","44,370,000","41,246,000","52,347,000","54,215,000","50,794,000","74,092,000"
			OtherReceivables,"4,772,000","4,137,000","4,440,000","4,675,000","3,991,000","3,727,000","6,870,000","4,643,000","4,812,000","7,192,000","7,005,000","6,231,000","5,511,000","5,344,000","4,848,000","4,047,000","3,239,000",,,,,,,,,,,,,
		PrepaidAssets,"1,866,000","1,956,000","1,503,000","2,116,000","1,393,000","1,668,000","1,798,000","2,329,000","1,995,000","1,168,000","1,472,000","1,977,000","1,543,000","1,001,000","1,205,000","1,640,000","1,472,000","1,212,000","1,269,000","1,765,000","1,121,000","1,036,000","1,718,000","2,160,000","1,052,000","856,000","1,404,000","1,863,000","10,523,000","11,051,000"
		AssetsHeldForSaleCurrent,,,,,,,,"126,491,000",,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,,,"0","0","315,000","1,149,000","8,569,000","45,522,000","96,278,000","14,790,000","33,054,000","24,441,000","4,012,000","37,970,000","0",,,"94,000","4,724,000","13,329,000",,"0","13,285,000","13,412,000","46,851,000","48,260,000","34,336,000","8,294,000","38,913,000","37,471,000"
	TotalNonCurrentAssets,"1,130,587,000","1,139,947,000","1,153,596,000","1,170,707,000","1,161,364,000","1,177,457,000","1,198,095,000","1,217,416,000","1,362,790,000","1,442,917,000","1,474,479,000","1,598,273,000","1,598,758,000","1,592,591,000","1,637,131,000","1,561,725,000","1,535,354,000","1,488,808,000","1,162,271,000","1,155,250,000","1,109,622,000","1,049,838,000","1,052,990,000","1,047,920,000","948,557,000","957,841,000","1,067,789,000","1,048,149,000","1,165,693,000","1,189,365,000"
		NetPPE,"1,124,545,000","1,133,336,000","1,146,426,000","1,163,066,000","1,155,690,000","1,172,136,000","1,192,347,000","1,211,171,000","1,355,114,000","1,434,228,000","1,457,054,000","1,582,434,000","1,586,386,000","1,575,881,000","1,630,634,000","1,554,912,000","1,527,368,000","1,481,330,000","1,156,271,000","1,143,191,000","1,097,963,000","1,044,671,000","1,050,588,000","1,045,308,000","938,053,000","938,594,000","1,051,927,000","1,046,099,000","1,162,610,000","1,186,833,000"
			GrossPPE,"3,018,038,000","3,015,998,000","3,014,422,000","3,201,182,000","3,178,010,000","3,171,760,000","3,170,335,000","3,170,589,000","3,305,679,000","3,316,262,000","3,417,370,000","3,515,375,000","3,490,962,000","3,452,621,000","3,476,105,000","3,382,501,000","3,335,845,000","3,262,605,000","2,907,350,000","2,865,066,000","2,791,599,000","2,711,928,000","2,695,413,000","2,661,402,000","2,524,316,000","2,497,050,000","2,496,618,000","2,442,651,000","2,408,752,000","2,391,688,000"
				OtherProperties,"14,262,000","14,371,000","14,016,000","14,006,000","13,945,000","13,942,000","12,132,000","13,932,000","13,924,000","13,922,000","13,885,000","13,586,000","13,468,000","11,433,000","14,996,000","14,987,000","14,986,000","14,992,000","14,903,000","14,883,000","14,948,000","14,855,000","14,843,000","14,844,000","14,844,000","14,839,000","14,754,000","14,686,000","14,656,000","14,658,000"
			AccumulatedDepreciation,"-1,893,493,000","-1,882,662,000","-1,867,996,000","-2,038,116,000","-2,022,320,000","-1,999,624,000","-1,977,988,000","-1,959,418,000","-1,950,565,000","-1,882,034,000","-1,960,316,000","-1,932,941,000","-1,904,576,000","-1,876,740,000","-1,845,471,000","-1,827,589,000","-1,808,477,000","-1,781,275,000","-1,751,079,000","-1,721,875,000","-1,693,636,000","-1,667,257,000","-1,644,825,000","-1,616,094,000","-1,586,263,000","-1,558,456,000","-1,444,691,000","-1,396,552,000","-1,246,142,000","-1,204,855,000"
		NonCurrentDeferredAssets,"6,042,000","6,611,000","7,170,000","7,641,000","5,674,000","5,321,000","5,748,000","6,245,000","7,676,000","8,689,000","17,425,000","15,839,000","12,372,000","16,710,000","6,497,000","6,813,000","7,986,000","7,478,000","6,000,000","12,059,000","11,659,000","5,167,000","2,402,000","2,612,000","10,504,000","19,247,000","15,862,000","2,050,000","3,083,000","2,532,000"
TotalLiabilitiesNetMinorityInterest,"240,420,000","184,292,000","261,219,000","218,193,000","189,359,000","185,011,000","197,022,000","364,796,000","420,480,000","448,404,000","460,131,000","580,540,000","577,998,000","547,500,000","636,950,000","598,832,000","549,498,000","485,908,000","427,681,000","452,199,000","451,724,000","403,166,000","364,264,000","349,552,000","186,791,000","150,783,000","111,250,000","93,929,000","502,154,000","512,400,000"
	CurrentLiabilities,"148,438,000","77,140,000","131,538,000","95,084,000","56,784,000","39,947,000","21,298,000","15,152,000","10,798,000","29,803,000","23,016,000","45,973,000","48,509,000","64,766,000","114,723,000","92,697,000","55,214,000","59,734,000","42,297,000","43,277,000","47,594,000","71,331,000","44,364,000","43,470,000","52,916,000","63,039,000","46,335,000","65,497,000","95,969,000","98,572,000"
