name,ttm,12/31/2019
TotalRevenue,"38,701,950","29,921,936"
	OperatingRevenue,"38,701,950","29,921,936"
OperatingExpense,"1,017,297","193,977"
	SellingGeneralAndAdministration,"801,688","177,638"
		GeneralAndAdministrativeExpense,"801,688","177,638"
	OtherOperatingExpenses,"215,609","16,339"
PretaxIncome,"37,684,653","29,727,959"
NetIncomeCommonStockholders,"37,684,653","29,727,959"
	NetIncome,"37,684,653","29,727,959"
		NetIncomeIncludingNoncontrollingInterests,"37,684,653","29,727,959"
			NetIncomeContinuousOperations,"37,684,653","29,727,959"
DilutedNIAvailtoComStockholders,"37,684,653","29,727,959"
BasicEPS,,"0.28"
DilutedEPS,,"0.28"
BasicAverageShares,,"106,171,282"
DilutedAverageShares,,"106,171,282"
NetIncomeFromContinuingAndDiscontinuedOperation,"37,684,653","29,727,959"
NormalizedIncome,"37,684,653","29,727,959"
InterestIncome,"93,249,694","17,301,784"
InterestExpense,"2,616,516","2,023,638"
NetInterestIncome,"90,633,178","15,278,146"
NetIncomeFromContinuingOperationNetMinorityInterest,"37,684,653","29,727,959"
TaxRateForCalcs,"0.27","0.27"
TaxEffectOfUnusualItems,"0","0"
