name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,03/31/2016,03/31/2015
TotalRevenue,"466,410,000","117,290,000","130,414,000","108,890,000","109,816,000","81,778,000","98,591,000","85,908,000","58,017,000","78,645,000","97,554,000","65,402,000","53,362,000"
	OperatingRevenue,"466,410,000","117,290,000","130,414,000","108,890,000","109,816,000","81,778,000","98,591,000","85,908,000","58,017,000","78,645,000","97,554,000","65,402,000","53,362,000"
CostOfRevenue,"147,558,000","41,588,000","42,646,000","29,821,000","33,503,000","22,222,000","25,121,000","23,444,000","17,668,000","21,409,000","24,125,000","19,235,000","16,807,000"
GrossProfit,"318,852,000","75,702,000","87,768,000","79,069,000","76,313,000","59,556,000","73,470,000","62,464,000","40,349,000","57,236,000","73,429,000","46,167,000","36,555,000"
OperatingExpense,"340,403,000","96,306,000","90,692,000","77,667,000","75,738,000","37,558,000","66,999,000","55,531,000","44,942,000","44,247,000","59,691,000","46,732,000","42,807,000"
	SellingGeneralAndAdministration,"305,691,000","86,124,000","80,881,000","69,636,000","69,050,000","34,686,000","61,974,000","50,295,000","40,533,000","40,276,000","54,454,000","40,184,000","37,270,000"
	ResearchAndDevelopment,"25,020,000","6,928,000","7,103,000","6,153,000","4,836,000","947,000","2,891,000","3,569,000","2,596,000","2,146,000","3,144,000","3,718,000","2,966,000"
	DepreciationAmortizationDepletionIncomeStatement,"9,692,000","3,254,000","2,708,000","1,878,000","1,852,000","1,925,000","2,134,000","1,667,000","1,813,000","1,825,000","2,093,000","2,830,000","2,571,000"
		DepreciationAndAmortizationInIncomeStatement,"9,692,000","3,254,000","2,708,000","1,878,000","1,852,000","1,925,000","2,134,000","1,667,000","1,813,000","1,825,000","2,093,000","2,830,000","2,571,000"
	OtherOperatingExpenses,,,,"651,000","641,000",,,,,,,,
OperatingIncome,"-21,551,000","-20,604,000","-2,924,000","1,402,000","575,000","21,998,000","6,471,000","6,933,000","-4,593,000","12,989,000","13,738,000","-565,000","-6,252,000"
NetNonOperatingInterestIncomeExpense,"-2,438,000","1,550,000","-960,000","-1,347,000","-1,681,000","2,876,000","-2,656,000","-1,880,000","-2,834,000","-2,381,000","-7,644,000","-3,555,000","-3,854,000"
	InterestIncomeNonOperating,,"1,550,000",,,,,,,,,,,
	InterestExpenseNonOperating,,,"960,000","1,347,000",,,"2,656,000","1,880,000",,,"7,644,000","3,555,000","3,854,000"
	TotalOtherFinanceCost,,,,,"1,681,000","-2,876,000",,,"2,834,000","2,381,000",,,
