name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
OperatingCashFlow,"171,868,000","2,237,000","18,164,000","104,258,000","47,209,000","-24,608,000","-19,377,000","61,495,000","72,088,000","-59,187,000","45,375,000","12,748,000","10,140,000","-77,828,000","100,849,000","39,177,000","-53,467,000","-45,003,000","35,775,000","16,213,000","-14,631,000","-39,860,000","41,567,000","25,773,000","25,697,000","-51,640,000","68,180,000","17,994,000","-8,702,000","-37,545,000","41,127,000","14,901,000","-22,214,000","-46,115,000","30,913,000","62,863,000","-37,818,000","-95,839,000","12,424,000","23,432,000","-21,075,000","-89,031,000","33,905,000","17,498,000","-38,238,000","-62,808,000","18,005,000","32,960,000","-34,281,000","-46,593,000","-6,357,000","-657,000","8,422,000","-21,261,000","81,697,000","68,799,000","51,864,000","-21,089,000","98,747,000","45,467,000","12,635,000","-77,007,000","126,968,000","49,673,000","-47,036,000","-66,401,000","96,501,000","85,033,000","24,707,000","-81,453,000","84,605,000"
	CashFlowFromContinuingOperatingActivities,"171,868,000","2,237,000","18,164,000","104,258,000","47,209,000","-24,608,000","-19,377,000","61,495,000","72,088,000","-59,187,000",,,,,,,,,,"16,213,000",,,,,,,"68,180,000","17,994,000","-8,702,000","-37,545,000","41,127,000","14,901,000","-22,214,000","-46,115,000","30,913,000","62,863,000","-37,818,000","-95,839,000","12,424,000","23,432,000","-21,075,000","-89,031,000","33,905,000","17,498,000","-38,238,000","-62,808,000","18,005,000","32,960,000","-34,281,000","-46,593,000","-6,357,000","-657,000","8,422,000","-21,261,000","81,697,000","68,799,000","51,864,000","-21,089,000","98,747,000","45,467,000","12,635,000","-77,007,000","126,968,000","49,673,000","-47,036,000","-66,401,000","96,501,000","85,033,000","24,707,000","-81,453,000","84,605,000"
		NetIncomeFromContinuingOperations,"367,682,000","133,409,000","73,617,000","47,198,000","113,458,000","61,860,000","19,858,000","55,116,000","6,695,000","-787,000",,,,,,,,,,,,,,,,,"-6,062,000","561,000","2,870,000","-8,945,000","-7,641,000","-859,000","3,236,000","-8,608,000","-2,457,000","-3,206,000","-22,306,000","-12,649,000","-11,370,000","3,068,000","-3,706,000","-11,019,000","-10,252,000","-6,208,000","-9,781,000","-12,326,000","-20,245,000","-14,852,000","-3,407,000","-14,739,000","12,025,000","-13,463,000","628,000","-60,653,000","-25,117,000","-2,594,000","6,599,000","-10,591,000","-34,080,000","890,000","5,434,000","-189,000","-5,865,000","2,292,000","9,610,000","9,795,000","14,538,000","13,896,000","7,751,000","8,418,000","-5,803,000"
		OperatingGainsLosses,,,"-7,140,000","0","0","-1,287,000","-424,000","-8,684,000","0","-525,000",,,,,,,,,,,,,,,,,"1,560,000","-727,000","1,070,000","259,000","416,000","826,000","-3,540,000","15,000","4,183,000","-3,306,000","4,339,000","-238,000","-205,000","-9,150,000","-428,000","-578,000","-3,590,000","-2,918,000","-1,751,000","-7,222,000","0","0",,,"-5,991,000","-169,000",,,,,,,,,,,,,,"562,000",,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"832,000","21,000","190,000","601,000",,,"904,000","372,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-7,140,000","0","-7,140,000","0","0","-1,287,000","-1,320,000","-8,684,000","0","-525,000",,,,,,,,,,,,,,,,,,"0","0","0","0","0","-5,041,000","-210,000","-1,312,000","-3,678,000","8,000","-238,000","-205,000","-9,150,000","48,000","-578,000","-3,665,000","283,000","0","-7,222,000","0","0",,,"-5,991,000","-169,000",,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,"197,000",,,,,,,,,,,,,,,,,,,,"128,000","126,000","238,000","238,000","226,000","225,000","225,000","225,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"27,473,000","6,746,000","6,763,000","6,884,000","7,080,000","7,465,000","7,116,000","7,087,000","7,063,000","7,635,000",,,,,,,,,,,,,,,,,"2,586,000","2,439,000","2,438,000","2,278,000","2,297,000","2,403,000","2,421,000","2,352,000","2,570,000","2,145,000","2,229,000","2,173,000","2,012,000","2,106,000","2,187,000","2,260,000","2,442,000","2,559,000","2,623,000","2,938,000","3,076,000","3,111,000","3,434,000","3,744,000","3,831,000","3,882,000","4,241,000","5,030,000","3,685,000","5,548,000","5,710,000","5,576,000","5,692,000","5,714,000","5,943,000","6,006,000","6,011,000","5,826,000","5,707,000","5,808,000","5,902,000","5,804,000","5,445,000","5,248,000","5,003,000"
			DepreciationAndAmortization,"27,473,000","6,746,000","6,763,000","6,884,000","7,080,000","7,465,000","7,116,000","7,087,000","7,063,000","7,635,000",,,,,,,,,,,,,,,,,"2,586,000","2,439,000","2,438,000","2,278,000","2,297,000","2,403,000","2,421,000","2,352,000","2,570,000","2,145,000","2,229,000","2,173,000","2,012,000","2,106,000","2,187,000","2,260,000","2,442,000","2,559,000","2,623,000","2,938,000","3,076,000","3,111,000","3,434,000","3,744,000","3,831,000","3,882,000","4,241,000","5,030,000","3,685,000","5,548,000","5,710,000","5,576,000","5,692,000","5,714,000","5,943,000","6,006,000","6,011,000","5,826,000","5,707,000","5,808,000","5,902,000","5,804,000","5,445,000","5,248,000","5,003,000"
