name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010
TotalRevenue,"27,136,000","5,459,000","2,287,000","17,691,000","1,699,000","10,223,000","4,227,000","5,027,000","49,283,000","5,855,000","9,871,000","10,581,000","7,173,000","8,327,000","9,332,000","8,975,000","15,022,000","9,546,000","56,301,000","9,029,000","8,937,000","8,230,000","4,684,000","4,131,000","2,620,000","0","0","0","0","0","0","0","0","0","725,000","1,522,000","1,886,000","1,927,000","2,145,000","1,128,000","1,128,000","1,018,000","26,052,000","1,441,000","1,232,000","2,948,000","13,115,000","1,972,000"
	OperatingRevenue,"27,136,000","5,459,000","2,287,000","17,691,000","1,699,000","10,223,000","4,227,000","5,027,000","49,283,000","5,855,000","9,871,000","10,581,000","7,173,000","8,327,000","9,332,000","8,975,000","15,022,000","9,546,000","56,301,000","9,029,000","8,937,000","8,230,000","4,684,000","4,131,000","2,620,000","0","0","0","0","0","0","0","0","0","725,000","1,522,000","1,886,000","1,927,000","2,145,000","1,128,000","1,128,000","1,018,000","26,052,000","1,441,000","1,232,000","2,948,000","13,115,000","1,972,000"
CostOfRevenue,"507,000","205,000","302,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0"
GrossProfit,"26,629,000","5,254,000","1,985,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,128,000","1,128,000","1,018,000","26,052,000","1,441,000","1,232,000","2,948,000","13,115,000","1,972,000"
OperatingExpense,"165,454,000","43,487,000","42,036,000","39,494,000","40,437,000","39,550,000","33,808,000","28,886,000","28,897,000","27,978,000","25,994,000","24,212,000","23,194,000","20,855,000","20,728,000","20,508,000","22,507,000","19,402,000","17,009,000","15,939,000","18,513,000","14,543,000","12,600,000","11,462,000","12,764,000","15,329,000","11,660,000","11,742,000","12,178,000","12,109,000","12,290,000","11,053,000","12,384,000","11,672,000","10,396,000","11,075,000","11,485,000","12,219,000","12,046,000","11,365,000","12,167,000","9,471,000","7,339,000","10,093,000","9,214,000","9,328,000","10,071,000","10,847,000"
	SellingGeneralAndAdministration,"88,600,000","26,011,000","23,293,000","19,598,000","19,698,000","16,262,000","12,712,000","10,362,000","10,292,000","8,820,000","6,968,000","6,116,000","5,570,000","5,501,000","5,628,000","5,373,000","4,748,000","4,660,000","4,128,000","3,624,000","4,184,000","4,573,000","3,556,000","3,193,000","3,877,000","4,084,000","3,430,000","3,811,000","3,576,000","3,689,000","3,169,000","3,510,000","3,382,000","3,523,000","2,979,000","2,882,000","2,809,000","2,964,000","2,826,000","2,619,000","2,473,000","2,562,000","1,894,000","1,772,000","1,941,000","2,008,000","1,929,000","1,652,000"
		GeneralAndAdministrativeExpense,,"26,011,000",,"19,598,000","19,698,000","16,262,000","12,712,000","10,362,000","10,292,000","8,820,000","6,968,000","6,116,000","5,570,000","5,501,000","5,628,000","5,373,000","4,748,000","4,660,000","4,128,000","3,624,000","4,184,000","4,573,000","3,556,000","3,193,000","3,877,000","4,084,000","3,430,000","3,811,000","3,576,000","3,689,000","3,169,000","3,510,000","3,382,000","3,523,000","2,979,000","2,882,000","2,809,000","2,964,000","2,826,000",,,,,,,,,
			OtherGandA,,"26,011,000",,"19,598,000","19,698,000","16,262,000","12,712,000","10,362,000","10,292,000","8,820,000","6,968,000","6,116,000","5,570,000","5,501,000","5,628,000","5,373,000","4,748,000","4,660,000","4,128,000","3,624,000","4,184,000","4,573,000","3,556,000","3,193,000","3,877,000","4,084,000","3,430,000","3,811,000","3,576,000","3,689,000","3,169,000","3,510,000","3,382,000","3,523,000","2,979,000","2,882,000","2,809,000","2,964,000","2,826,000",,,,,,,,,
	ResearchAndDevelopment,"77,048,000","17,476,000","18,771,000","19,948,000","20,853,000","23,418,000","21,227,000","18,582,000","18,762,000","19,311,000","19,202,000","18,096,000","17,624,000","15,354,000","15,100,000","15,135,000","17,759,000","14,742,000","12,881,000","12,315,000","14,329,000","9,970,000","9,249,000","8,389,000","9,062,000","11,245,000","8,230,000","7,931,000","8,602,000","8,420,000","9,121,000","7,543,000","9,002,000","8,149,000","7,417,000","8,193,000","8,676,000","9,255,000","9,220,000","8,746,000","9,694,000","6,909,000","5,445,000","8,321,000","7,273,000","7,320,000","8,142,000","9,195,000"
	OtherOperatingExpenses,,,"-28,000","-52,000","-114,000","-130,000","-131,000","-58,000","-157,000","-153,000","-176,000",,,,,,,,,,,,"-205,000","-120,000","-175,000",,,,,,,,,,,,,,,,,,,,,,,
