name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"1,817,201,000","1,734,422,000","1,674,033,000","1,708,008,000","1,515,415,000","1,403,977,000","1,371,146,000","1,361,080,000","1,349,097,000","1,378,636,000","1,689,617,000","1,677,230,000","1,731,365,000","1,712,500,000","1,598,377,000","1,635,904,000","1,661,935,000","1,701,175,000","1,402,092,000","1,394,648,000","1,337,750,000","1,318,909,000","1,370,942,000","1,411,855,000","1,325,098,000","1,332,489,000","1,758,673,000","1,786,649,000","1,475,818,000","1,455,418,000","2,915,324,000","2,967,522,000","2,986,985,000","2,885,978,000","3,636,917,000","3,666,716,000","3,423,682,000","3,221,401,000","3,180,440,000","3,233,510,000","3,226,493,000","3,264,441,000","3,271,219,000","3,188,971,000","3,137,685,000","3,157,527,000","3,125,013,000","3,148,359,000","3,133,502,000","3,054,035,000","3,059,759,000","3,052,335,000","3,032,284,000","2,923,898,000","2,860,034,000","2,876,703,000","2,901,926,000","2,651,694,000","889,491,000","883,912,000","867,585,000","849,626,000","816,738,000","794,083,000","749,569,000","594,816,000","569,445,000","525,610,000","521,732,000","525,777,000","412,379,000","419,108,000","421,379,000","258,276,000","268,678,000","195,813,000","211,497,000","173,088,000","192,811,000","202,672,000","199,506,000","210,380,000","228,369,000","241,678,000","259,077,000","554,280,000","582,901,000","599,937,000","661,422,000","560,113,000","578,800,000","572,800,000","580,300,000","580,000,000","579,200,000","578,500,000","445,600,000","447,700,000","433,000,000","416,700,000","412,800,000","416,400,000","415,100,000","422,400,000","325,700,000","331,800,000","335,600,000","343,300,000","325,300,000","251,600,000","251,200,000","256,500,000","261,600,000","233,100,000","232,600,000","238,000,000","238,800,000","196,100,000","193,500,000","197,000,000","196,100,000","193,700,000","189,100,000","190,800,000","163,500,000","100,700,000","69,300,000"
	CurrentAssets,"259,241,000","289,577,000","307,437,000","304,135,000","336,226,000","269,608,000","239,227,000","239,503,000","221,659,000","210,436,000","252,354,000","219,826,000","251,414,000","297,619,000","287,477,000","313,638,000","351,017,000","449,557,000","474,126,000","481,851,000","439,892,000","410,787,000","467,511,000","509,546,000","420,748,000","446,688,000","491,739,000","519,396,000","505,903,000","573,804,000","596,359,000","626,748,000","653,672,000","531,230,000","480,774,000","512,529,000","637,380,000","406,182,000","429,005,000","471,183,000","441,292,000","464,943,000","454,042,000","357,214,000","286,309,000","266,211,000","232,678,000","246,949,000","235,250,000","186,036,000","196,019,000","165,435,000","164,578,000","152,451,000","207,915,000","321,759,000","427,999,000","264,067,000","321,366,000","374,284,000","416,686,000","441,597,000","449,031,000","474,464,000","463,051,000","319,005,000","318,444,000","340,061,000","362,940,000","371,710,000","265,931,000","271,653,000","276,698,000","121,584,000","135,304,000","58,548,000","75,638,000","42,724,000","51,224,000","66,571,000","75,570,000","81,558,000","93,049,000","106,052,000","122,673,000","207,885,000","237,284,000","252,868,000","260,071,000","165,713,000","185,300,000","199,600,000","211,200,000","214,800,000","226,400,000","235,200,000","126,600,000","132,200,000","171,000,000","184,200,000","192,100,000","206,200,000","207,200,000","218,200,000","129,300,000","128,800,000","131,200,000","186,200,000","191,600,000","122,600,000","125,300,000","136,600,000","145,400,000","126,000,000","127,900,000","136,500,000","138,100,000","93,000,000","93,100,000","98,000,000","102,100,000","100,300,000","96,100,000","96,100,000","93,500,000","37,700,000","11,900,000"
		CashCashEquivalentsAndShortTermInvestments,"73,330,000","56,664,000","85,020,000","124,075,000","154,066,000","92,794,000","77,148,000","70,924,000","52,895,000","55,645,000","65,319,000","37,907,000","69,033,000","115,081,000","104,746,000","123,539,000","159,643,000","192,032,000","236,221,000","250,038,000","210,033,000","162,182,000","222,517,000","257,591,000","173,389,000","200,714,000","205,708,000","205,868,000","179,587,000","270,861,000","295,445,000","316,775,000","318,560,000","206,690,000","211,434,000","249,531,000","332,809,000","126,439,000","143,572,000","200,304,000","153,199,000","195,266,000","209,042,000","107,310,000","64,427,000","66,118,000","32,823,000","48,711,000","63,623,000","22,782,000","45,603,000","24,668,000","38,146,000","28,641,000","78,978,000","186,507,000","298,704,000","151,710,000","208,790,000","272,502,000","321,402,000","341,045,000","365,231,000","393,288,000","374,341,000","240,352,000","257,480,000","280,257,000","314,199,000","322,072,000","218,391,000","226,859,000","234,776,000","81,682,000","94,207,000","19,828,000","39,838,000","9,611,000","7,416,000","12,718,000","22,200,000","29,370,000","35,053,000","47,930,000","59,843,000","140,959,000","144,997,000","139,243,000","114,204,000","44,189,000","60,300,000","57,600,000","43,500,000","33,200,000","46,400,000","83,900,000","16,500,000","16,900,000","47,100,000","20,700,000","15,100,000","14,600,000","12,800,000","27,100,000","14,700,000","15,700,000","16,300,000","72,400,000","134,100,000","86,800,000","90,700,000","102,600,000","110,800,000","92,800,000","94,200,000","103,200,000","104,800,000","60,900,000","62,700,000","72,300,000","80,300,000","80,000,000","75,500,000","79,900,000","78,100,000","30,200,000","8,900,000"
			CashAndCashEquivalents,"73,330,000","56,664,000","85,020,000","124,075,000","154,066,000","92,794,000","77,148,000","70,924,000","52,895,000","55,645,000","65,319,000","37,907,000","69,033,000","115,081,000","104,746,000","123,539,000","159,643,000","192,032,000","236,221,000","250,038,000","210,033,000","162,182,000","222,517,000","257,591,000","173,389,000","200,714,000","205,708,000","205,868,000","179,587,000","270,861,000","245,925,000","269,133,000","272,932,000","206,690,000","211,434,000","249,531,000","331,311,000","125,440,000","142,915,000","199,397,000","151,883,000","175,012,000","207,882,000","106,830,000","64,427,000","66,118,000","27,792,000","41,187,000","55,962,000","22,782,000","45,603,000","24,668,000","38,146,000","20,760,000","55,677,000","97,842,000","206,178,000","98,671,000","170,490,000","236,232,000","277,988,000","270,672,000","354,051,000","373,392,000","347,651,000","214,626,000","216,062,000","233,280,000","261,278,000","273,079,000","166,056,000","164,859,000","173,314,000","62,417,000","86,925,000","19,527,000","19,288,000","9,093,000","7,217,000","11,955,000","8,707,000","14,714,000","19,812,000","33,057,000","45,468,000","140,959,000","144,997,000","139,243,000","114,204,000","44,189,000","60,300,000","57,600,000","43,500,000","33,200,000","46,400,000","83,900,000","16,500,000","16,900,000","47,100,000","20,700,000","15,100,000","14,600,000","12,800,000","27,100,000","14,700,000","15,700,000","16,300,000","72,400,000","134,100,000","86,800,000","90,700,000","102,600,000","110,800,000","92,800,000","94,200,000","103,200,000","104,800,000","60,900,000","62,700,000","72,300,000","80,300,000","80,000,000","75,500,000","79,900,000","78,100,000","30,200,000","8,900,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,520,000","47,642,000","45,628,000","0","0","0","1,498,000","999,000","657,000","907,000","1,316,000","20,254,000","1,160,000","480,000","0",,"5,031,000","7,524,000","7,661,000","0","0","0","0","7,881,000","23,301,000","88,665,000","92,526,000","53,039,000","38,300,000","36,270,000","43,414,000","70,373,000","11,180,000","19,896,000","26,690,000","25,726,000","41,418,000","46,977,000","52,921,000","48,993,000","52,335,000","62,000,000","61,462,000","19,265,000","7,282,000","301,000","20,550,000","518,000","199,000","763,000","13,493,000","14,656,000","15,241,000","14,873,000","14,375,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"29,221,000","32,417,000","22,956,000","22,867,000","22,606,000","23,484,000","22,490,000","21,986,000","19,722,000","18,666,000","37,295,000","38,495,000","33,530,000","29,744,000","30,480,000","40,759,000","35,864,000","19,069,000","66,415,000","69,656,000","67,064,000","60,431,000","67,662,000","79,932,000","82,929,000","85,992,000","93,599,000","112,159,000","118,390,000","116,921,000","67,599,000","68,693,000","75,806,000","81,074,000","74,417,000","64,607,000","68,182,000","62,438,000","70,963,000","70,443,000","84,782,000","83,497,000","84,153,000","74,624,000","68,875,000","58,880,000","77,207,000","72,094,000","74,662,000","58,981,000","53,647,000","55,724,000","47,313,000","60,183,000","64,767,000","76,556,000","71,591,000","56,121,000","45,900,000","38,732,000","36,603,000","43,233,000","27,207,000","28,597,000","23,038,000","30,022,000","23,575,000","22,768,000","12,199,000","10,634,000","6,892,000","10,169,000","13,090,000","9,979,000","10,747,000","9,309,000","8,345,000","7,185,000","8,116,000","6,217,000","7,081,000","5,902,000","6,290,000","5,783,000","8,892,000","9,002,000","8,934,000","9,197,000","11,103,000","10,354,000","11,200,000","8,500,000","11,600,000","30,300,000","19,100,000","21,500,000","13,800,000","13,100,000","12,200,000","11,400,000","9,500,000","11,100,000","9,000,000","7,700,000","7,800,000","4,500,000","5,800,000","4,200,000","4,000,000","6,200,000","5,600,000","4,300,000","5,100,000","4,300,000","4,300,000","3,200,000","2,400,000","2,600,000","3,300,000","2,600,000","1,900,000","2,000,000","1,900,000","1,000,000","3,000,000","2,000,000","900,000"
			AccountsReceivable,"7,080,000","4,879,000","4,425,000","5,882,000","5,008,000","3,293,000","6,589,000","5,611,000","6,607,000","6,028,000","10,340,000","8,754,000","8,065,000","5,147,000","5,965,000","6,437,000","3,840,000","5,883,000","13,040,000","13,291,000","8,772,000","10,669,000","8,093,000","25,791,000","12,308,000","17,878,000","14,884,000","24,791,000","18,735,000","20,448,000","8,371,000","7,467,000","10,679,000","17,303,000","16,295,000","9,664,000","9,487,000","8,701,000","70,963,000","70,443,000","13,180,000","14,366,000","25,763,000","20,308,000",,,,,,,,,,,"64,767,000","76,556,000","71,591,000","56,121,000","45,900,000","38,732,000","36,603,000","43,233,000","27,207,000","28,597,000","23,038,000","30,022,000","23,575,000","22,768,000","12,199,000","10,634,000","6,892,000","10,169,000","13,090,000","9,979,000","10,747,000","9,309,000","8,345,000","7,185,000","8,116,000","6,217,000","7,081,000","5,902,000","6,290,000","5,783,000","8,892,000","9,002,000","8,934,000","9,197,000","11,103,000","10,354,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,"4,709,000",,,,,,,,,"0","0",,"1,982,000","5,487,000","9,207,000","16,267,000","15,840,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"17,120,000","26,833,000","17,581,000","16,041,000","16,713,000","17,610,000","13,329,000","13,944,000","11,470,000","10,834,000","26,199,000","29,315,000","23,014,000","18,609,000","13,406,000","15,602,000","14,530,000","10,989,000","51,353,000","55,092,000","55,526,000","47,121,000","53,121,000","49,471,000","67,225,000","64,347,000","75,018,000","83,577,000","93,955,000","93,850,000","54,344,000","55,185,000","59,396,000","55,408,000","54,572,000","49,993,000","53,280,000","49,351,000",,,"11,449,000","64,448,000","58,390,000","54,316,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"312,000","705,000","950,000","944,000","885,000","2,581,000","2,572,000","2,431,000","1,645,000","1,804,000","756,000","426,000","469,000","501,000","1,902,000","2,453,000","1,654,000","2,197,000","2,022,000","1,273,000","2,766,000","2,641,000","6,448,000","4,670,000","3,396,000","3,767,000","3,697,000","3,791,000","5,700,000","2,623,000","4,884,000","6,041,000","5,731,000","8,363,000","3,550,000","4,950,000","5,415,000","4,386,000",,,"60,153,000","4,683,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
