name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,03/31/2018
TotalAssets,"9,932,495,000","9,847,980,000","9,849,728,000","10,031,851,000","10,112,616,000","10,147,812,000","10,210,213,000","10,264,094,000","10,107,380,000","2,219,753,000","2,144,496,000","1,307,926,000","1,298,823,000","1,300,534,000","1,374,004,000"
	CurrentAssets,"1,312,907,000","1,153,262,000","1,062,195,000","1,135,521,000","1,118,829,000","1,088,256,000","1,055,852,000","1,058,144,000","1,401,181,000","25,316,000","23,825,000","5,584,000","5,563,000","6,656,000","16,129,000"
		CashCashEquivalentsAndShortTermInvestments,"252,298,000","96,011,000","80,414,000","109,104,000","113,101,000","137,357,000","167,477,000","178,351,000","410,405,000","18,771,000","18,563,000","3,409,000","3,409,000","3,631,000",
			CashAndCashEquivalents,"252,298,000","96,011,000","80,414,000","109,104,000","113,101,000","137,357,000","167,477,000","178,351,000","410,405,000","3,409,000","3,409,000","3,409,000","3,409,000","3,631,000",
				CashFinancial,,,,,,,,,,"3,409,000","3,409,000","3,409,000","3,409,000","3,631,000",
			OtherShortTermInvestments,,,,,,,,,,"15,362,000","15,154,000",,,,
		Receivables,"882,950,000","908,017,000","832,605,000","878,582,000","865,470,000","823,457,000","762,379,000","750,484,000","873,281,000","5,001,000","2,947,000","2,175,000","2,154,000","3,025,000","16,129,000"
			AccountsReceivable,"720,122,000","781,530,000","704,595,000","744,482,000","732,614,000","697,948,000","626,991,000","627,305,000","740,105,000",,,,,,
				GrossAccountsReceivable,"742,346,000","804,900,000",,,"756,740,000",,,"656,479,000",,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-22,224,000","-23,370,000",,,"-24,126,000",,,"-29,174,000",,,,,,,
			TaxesReceivable,,,,,,,,"472,000","472,000","1,359,000","1,602,000","1,601,000","1,781,000","2,536,000","15,828,000"
