name,04/30/2022,10/31/2021,04/30/2021,10/31/2020,04/30/2020,10/31/2019,04/30/2019,10/31/2018,04/30/2018
TotalAssets,"1,532,163,118","1,799,211,196","1,739,809,233","1,403,063,176","1,188,693,862","1,247,633,775","1,261,146,223","1,235,887,659","1,284,639,729"
TotalLiabilitiesNetMinorityInterest,"589,992,772","592,052,825","554,821,465","434,986,325","426,024,952","429,222,143","421,728,295","429,545,355","443,420,799"
TotalEquityGrossMinorityInterest,"942,170,346","1,207,158,371","1,184,987,768","968,076,851","762,668,910","818,411,632","839,417,928","806,342,304","841,218,930"
	StockholdersEquity,"942,170,346","1,207,158,371","1,184,987,768","968,076,851","762,668,910","818,411,632","839,417,928","806,342,304","841,218,930"
		CapitalStock,"881,164,197","873,806,084","866,829,053","866,829,053","867,196,162","866,863,776","879,598,667","879,598,667","880,281,743"
			CommonStock,"881,164,197","873,806,084","866,829,053","866,829,053","867,196,162","866,863,776","879,598,667","879,598,667","880,281,743"
		AdditionalPaidInCapital,,,,,,"866,863,776","879,598,667","879,598,667","880,281,743"
		RetainedEarnings,"61,006,149","333,352,287","1,664,542","-3,271,034","-15,084,682","-11,703,699","-24,527,068","-7,452,253","-34,063,757"
TotalCapitalization,"1,377,570,346","1,642,558,371","1,620,387,768","1,286,476,851","1,056,568,910","1,122,311,632","1,143,317,928","1,121,842,304","1,146,718,930"
CommonStockEquity,"942,170,346","1,207,158,371","1,184,987,768","968,076,851","762,668,910","818,411,632","839,417,928","806,342,304","841,218,930"
NetTangibleAssets,"942,170,346","1,207,158,371","1,184,987,768","968,076,851","762,668,910","818,411,632","839,417,928","806,342,304","841,218,930"
InvestedCapital,"1,377,570,346","1,642,558,371","1,620,387,768","1,286,476,851","1,056,568,910","1,122,311,632","1,143,317,928","1,121,842,304","1,146,718,930"
TangibleBookValue,"942,170,346","1,207,158,371","1,184,987,768","968,076,851","762,668,910","818,411,632","839,417,928","806,342,304","841,218,930"
TotalDebt,"435,400,000","435,400,000","435,400,000","318,400,000","293,900,000","303,900,000","303,900,000","315,500,000","305,500,000"
NetDebt,"435,400,000","435,400,000","435,400,000","318,400,000","293,900,000","303,900,000","303,900,000","315,500,000","305,500,000"
ShareIssued,"74,188,864","73,692,072","73,250,403","73,250,403","73,250,403","73,220,936","73,161,547","73,161,539","73,008,586"
OrdinarySharesNumber,"74,188,864","73,692,072","73,250,403","73,250,403","73,250,403","73,220,936","73,161,547","73,161,539","73,008,586"
