name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,02/28/1989,02/29/1988,02/28/1987,02/28/1986
TotalAssets,"5,726,257,000","5,653,699,000","4,354,299,000","4,275,879,000","4,152,539,000","4,131,520,000","4,106,187,000","4,077,629,000","4,132,021,000","4,108,904,000","4,021,862,000","3,955,321,000","3,882,054,000","3,738,321,000","3,774,329,000","3,715,461,000","3,684,816,000","3,706,570,000","3,748,353,000","3,806,282,000","3,645,653,000","3,681,920,000","3,712,613,000","3,692,381,000","3,641,675,000","3,431,428,000","3,599,861,000","3,746,637,000","3,546,042,000","3,704,278,000","3,761,217,000","3,932,443,000","3,863,955,000","3,953,678,000","3,956,852,000","3,832,113,000","3,803,378,000","3,825,806,000","2,449,403,000","2,122,214,000","2,092,895,000","2,085,803,000","2,010,385,000","1,965,080,000","1,880,644,000","1,602,475,000","1,566,368,000","1,544,228,000","1,417,191,000","1,401,068,000","1,364,939,000","898,580,000","873,046,000","898,336,000","920,942,000","955,188,000","760,842,000","769,888,000","732,728,000","700,947,000","650,616,000","670,808,000","677,166,000","578,279,000","542,971,000","614,364,000","512,906,000","503,770,000","502,196,000","504,702,000","485,593,000","471,041,000","534,737,000","540,159,000","546,051,000","533,704,000","500,971,000","559,690,000","597,171,000","151,429,000","138,961,000","151,721,000","151,025,000","147,894,000","145,531,000","149,568,000","149,165,000","154,231,000","150,265,000","145,200,000","149,400,000","146,200,000","139,800,000","145,900,000","156,800,000","163,600,000","154,700,000","154,900,000","167,300,000","163,600,000","171,900,000","178,000,000","173,200,000","175,200,000","174,500,000","178,300,000","179,800,000","176,200,000","158,800,000","159,900,000","162,000,000","159,300,000","164,800,000","167,400,000","168,000,000","165,600,000","160,700,000","153,900,000","154,500,000","146,800,000","141,100,000","137,600,000","133,900,000","136,600,000","135,900,000","145,200,000","150,800,000","159,400,000","157,900,000","132,500,000","45,200,000","33,200,000","20,400,000"
	CurrentAssets,"1,807,248,000","1,741,171,000","1,784,164,000","1,677,316,000","1,542,351,000","1,525,722,000","1,493,659,000","1,431,804,000","1,486,476,000","1,400,908,000","1,300,584,000","1,213,186,000","1,148,122,000","1,202,158,000","1,176,821,000","1,136,482,000","1,079,822,000","1,154,056,000","1,160,258,000","1,234,734,000","1,061,771,000","1,092,871,000","1,049,931,000","1,119,134,000","1,063,621,000","921,196,000","1,072,555,000","1,163,317,000","1,043,185,000","1,126,433,000","1,153,937,000","1,150,291,000","1,114,558,000","1,171,179,000","1,141,774,000","1,105,191,000","1,073,582,000","1,086,793,000","1,109,288,000","865,508,000","881,885,000","891,868,000","826,270,000","866,372,000","997,876,000","752,537,000","744,377,000","751,480,000","629,242,000","620,250,000","592,323,000","467,237,000","446,215,000","489,052,000","501,515,000","531,489,000","337,435,000","380,438,000","357,878,000","336,913,000","299,828,000","322,819,000","318,570,000","282,479,000","253,124,000","324,048,000","225,354,000","215,432,000","211,412,000","211,829,000","190,665,000","180,588,000","159,176,000","166,099,000","162,139,000","168,616,000","160,988,000","190,622,000","180,863,000","64,783,000","52,222,000","64,367,000","62,368,000","58,728,000","55,274,000","58,143,000","56,921,000","60,645,000","56,835,000","51,700,000","55,700,000","51,300,000","46,300,000","50,700,000","55,600,000","60,800,000","51,700,000","50,400,000","56,000,000","50,600,000","56,500,000","61,600,000","58,100,000","58,800,000","56,400,000","59,200,000","59,400,000","56,700,000","49,800,000","52,100,000","52,700,000","49,400,000","53,400,000","54,000,000","53,700,000","50,500,000","45,300,000","45,700,000","46,100,000","42,600,000","39,400,000","38,400,000","36,200,000","39,400,000","38,700,000","45,900,000","43,200,000","39,500,000","39,000,000","31,800,000","18,600,000","13,400,000","12,500,000"
		CashCashEquivalentsAndShortTermInvestments,"414,948,000","534,299,000","711,507,000","666,257,000","570,703,000","570,958,000","532,345,000","506,692,000","494,348,000","414,412,000","329,110,000","259,653,000","224,848,000","279,363,000","252,877,000","233,930,000","224,144,000","357,578,000","361,658,000","446,366,000","297,366,000","306,997,000","257,857,000","352,923,000","355,345,000","184,708,000","179,191,000","173,621,000","233,739,000","246,879,000","258,021,000","278,644,000","249,220,000","322,508,000","260,422,000","273,817,000","233,009,000","241,614,000","534,727,000","306,459,000","246,524,000","260,834,000","257,252,000","377,704,000","535,906,000","305,384,000","283,737,000","296,631,000","211,016,000","235,618,000","221,080,000","255,891,000","227,231,000","249,699,000","253,387,000","282,331,000","87,653,000","120,388,000","103,106,000","88,631,000","69,065,000","83,790,000","83,189,000","91,668,000","77,629,000","132,449,000","47,141,000","50,248,000","46,034,000","47,881,000","24,756,000","17,389,000","5,016,000","6,331,000","6,052,000","5,405,000","6,779,000","13,682,000","27,554,000","1,713,000","2,583,000","6,715,000","2,110,000","1,668,000","1,502,000","3,397,000","1,118,000","4,754,000","5,935,000","3,900,000","3,300,000","4,600,000","2,600,000","1,900,000","2,000,000","5,100,000","4,000,000","3,900,000","3,200,000","700,000","7,000,000","1,400,000","600,000","500,000","300,000","200,000","100,000","400,000","500,000","1,000,000","900,000","1,200,000","1,300,000","800,000","600,000","400,000","1,300,000","600,000","500,000","400,000","600,000","400,000","300,000","1,500,000","500,000","1,000,000","400,000","300,000","300,000","300,000","300,000","600,000",
			CashAndCashEquivalents,"339,584,000","452,575,000","646,663,000","595,574,000","496,383,000","519,101,000","475,706,000","447,366,000","432,205,000","371,991,000","282,233,000","204,455,000","167,371,000","226,507,000","215,497,000","197,068,000","186,352,000","319,399,000","361,658,000","446,366,000","297,366,000","306,997,000","257,857,000","352,923,000","355,345,000","184,708,000","179,191,000","173,621,000","233,739,000","246,879,000","258,021,000","278,644,000","249,007,000","310,073,000","248,635,000","263,478,000","222,104,000","229,836,000","523,614,000","296,758,000","241,527,000","260,723,000","257,159,000","377,576,000","531,763,000","302,210,000","280,916,000","295,300,000","206,604,000","233,546,000","220,276,000","255,407,000","226,961,000","249,524,000","252,959,000","281,893,000","86,153,000","119,538,000","91,856,000","77,356,000","57,948,000","73,550,000","72,890,000","79,918,000","34,129,000","132,449,000","47,141,000","50,248,000","46,034,000","31,081,000","24,756,000","17,389,000","5,016,000","6,331,000","6,052,000","5,405,000","6,779,000","13,682,000","27,554,000","1,713,000","2,583,000","6,715,000","2,110,000","885,000","728,000","2,629,000","1,118,000","3,096,000","4,589,000","2,800,000","2,200,000","3,500,000","2,600,000","1,900,000","2,000,000","5,100,000","4,000,000","3,900,000","3,200,000","700,000","7,000,000","1,400,000","600,000","500,000","300,000","200,000","100,000","400,000","500,000","1,000,000","900,000","1,200,000","1,300,000","800,000","600,000","400,000","1,300,000","600,000","500,000","400,000","600,000","400,000","300,000","1,500,000","500,000","1,000,000","400,000","300,000","300,000","300,000","300,000","600,000",
				CashFinancial,,,,,,"519,101,000",,,,"369,596,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,"2,395,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"75,364,000","81,724,000","64,844,000","70,683,000","74,320,000","51,857,000","56,639,000","59,326,000","62,143,000","42,421,000","46,877,000","55,198,000","57,477,000","52,856,000","37,380,000","36,862,000","37,792,000","38,179,000",,,,,,,,,,,,"0","0","0","213,000","12,435,000","11,787,000","10,339,000","10,905,000","11,778,000","11,113,000","9,701,000","4,997,000","111,000","93,000","128,000","4,143,000","3,174,000","2,821,000","1,331,000","4,412,000","2,072,000","804,000","484,000","270,000","175,000","428,000","438,000","1,500,000","850,000","11,250,000","11,275,000","11,117,000","10,240,000","10,299,000","11,750,000","43,500,000",,,,,"16,800,000",,,,,,,,,,,,,,"783,000","774,000","768,000",,"1,658,000","1,346,000","1,100,000","1,100,000","1,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,024,218,000","887,697,000","773,111,000","718,810,000","675,423,000","667,215,000","661,507,000","617,134,000","709,697,000","701,064,000","700,509,000","685,062,000","656,020,000","661,746,000","672,609,000","653,342,000","615,216,000","564,846,000","572,629,000","558,951,000","508,150,000","532,416,000","553,918,000","532,868,000","490,106,000","521,944,000","641,845,000","721,970,000","554,896,000","597,906,000","625,625,000","610,716,000","607,226,000","605,962,000","645,176,000","584,186,000","595,911,000","568,495,000","433,763,000","427,626,000","493,335,000","478,938,000","455,807,000","383,397,000","364,423,000","351,795,000","370,482,000","369,587,000","318,808,000","287,249,000","275,634,000","154,991,000","156,682,000","180,535,000","196,718,000","195,463,000","195,462,000","207,829,000","207,055,000","199,277,000","176,295,000","185,809,000","187,016,000","155,519,000","142,427,000","156,170,000","145,781,000","129,354,000","127,398,000","126,263,000","127,326,000","121,591,000","115,603,000","114,429,000","125,079,000","143,741,000","123,508,000","139,182,000","135,529,000","39,235,000","36,318,000","46,545,000","51,119,000","48,197,000","44,926,000","47,201,000","50,666,000","51,324,000","46,733,000","43,900,000","46,500,000","41,400,000","37,000,000","41,400,000","44,900,000","47,500,000","40,000,000","39,500,000","44,800,000","41,900,000","38,200,000","42,700,000","43,400,000","45,800,000","45,400,000","48,400,000","51,200,000","47,200,000","42,500,000","45,000,000","46,200,000","42,800,000","46,300,000","47,300,000","46,700,000","43,300,000","37,300,000","38,500,000","39,800,000","36,000,000","32,300,000","32,600,000","30,700,000","30,000,000","30,800,000","35,300,000","35,400,000","31,700,000","30,100,000","25,900,000","17,200,000","11,500,000","10,800,000"
			AccountsReceivable,"900,273,000","792,734,000","703,199,000","659,364,000","620,184,000","611,534,000","602,069,000","572,373,000","658,482,000","644,738,000","641,667,000","632,888,000","613,507,000","606,952,000","608,645,000","590,580,000","551,841,000","528,924,000","531,696,000","512,375,000","480,044,000","496,226,000","512,376,000","503,749,000","458,301,000","496,004,000","600,283,000","684,875,000","521,563,000","557,131,000","575,575,000","575,187,000","566,394,000","579,394,000","603,054,000","549,909,000","563,691,000","541,423,000","433,763,000","427,626,000","493,335,000","449,553,000","414,079,000","383,397,000","364,423,000","351,795,000","370,482,000","369,587,000","318,808,000","287,249,000","275,634,000","154,991,000","156,682,000","180,535,000","196,718,000","195,463,000","195,462,000","207,829,000","207,055,000","199,113,000","176,144,000","185,659,000","186,343,000","154,846,000","141,784,000","147,659,000","135,782,000","122,460,000","119,574,000","120,886,000","117,817,000","113,340,000","109,563,000","114,429,000","114,220,000","124,093,000","112,390,000","139,182,000","135,529,000","39,235,000","36,318,000","46,545,000","51,119,000","48,197,000","44,723,000","47,201,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"945,646,000","832,874,000","745,006,000","699,373,000","664,591,000","656,283,000","643,783,000","617,005,000","701,263,000","683,449,000","679,665,000","669,286,000","650,916,000","651,267,000","640,905,000","624,613,000","580,986,000","556,723,000","560,233,000","539,157,000","507,188,000","525,475,000","541,158,000","532,185,000","486,929,000","527,430,000","630,554,000","754,177,000","547,921,000","582,792,000","598,366,000","596,633,000","586,488,000","597,500,000","620,878,000","564,668,000","577,222,000","552,548,000","444,866,000","438,865,000","506,910,000","462,236,000","428,364,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
