name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TotalRevenue,"144,951,000","34,247,000","35,968,000","37,916,000","36,820,000","38,053,000","43,299,000","38,772,000","39,887,000","42,564,000","39,307,000","37,603,000","32,978,000","33,118,000","30,351,000","22,757,000","23,757,000","18,523,000","17,040,000","16,806,000","14,620,000","7,045,000","78,000","0","0","0","0","0","0","0","0","0","0","13,625,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"144,951,000","34,247,000","35,968,000","37,916,000","36,820,000","38,053,000","43,299,000","38,772,000","39,887,000","42,564,000","39,307,000","37,603,000","32,978,000","33,118,000","30,351,000","22,757,000","23,757,000","18,523,000","17,040,000","16,806,000","14,620,000","7,045,000","78,000","0","0","0","0","0","0","0","0","0","0","13,625,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
CostOfRevenue,"38,628,000","9,413,000","9,730,000","9,849,000","9,637,000","9,611,000","10,817,000","9,781,000","10,400,000","10,308,000","9,153,000","9,346,000","7,662,000","8,525,000","6,961,000","5,537,000","5,199,000","4,378,000","3,702,000","3,398,000","3,102,000","1,535,000",,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0"
GrossProfit,"106,323,000","24,834,000","26,238,000","28,067,000","27,183,000","28,442,000","32,482,000","28,991,000","29,487,000","32,256,000","30,154,000","28,257,000","25,316,000","24,593,000","23,390,000","17,220,000","18,558,000","14,145,000","13,338,000","13,408,000","11,518,000","5,510,000",,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0"
OperatingExpense,"318,962,000","75,193,000","78,950,000","82,259,000","82,561,000","86,453,000","97,464,000","101,538,000","112,135,000","114,268,000","121,812,000","125,246,000","118,775,000","109,792,000","120,356,000","106,382,000","97,571,000","82,817,000","76,542,000","73,935,000","69,257,000","61,671,000","66,644,000","63,500,000","77,281,000","84,435,000","84,233,000","84,469,000","67,572,000","63,501,000","55,754,000","40,232,000","33,705,000","29,471,000","28,089,000","20,375,000","19,308,000","15,340,000","21,055,000","18,220,000","15,270,000","14,987,000","14,476,000","13,280,000","11,384,000","8,446,000","9,888,000","6,813,000","5,835,000","4,089,000"
	SellingGeneralAndAdministration,"127,672,000","29,213,000","33,345,000","32,196,000","32,918,000","29,941,000","40,758,000","38,636,000","41,902,000","42,598,000","45,168,000","41,811,000","48,029,000","47,761,000","49,147,000","42,495,000","44,864,000","39,274,000","38,523,000","35,011,000","36,149,000","29,224,000","12,190,000","9,162,000","9,552,000","9,827,000","8,238,000","8,331,000","7,204,000","6,751,000","5,605,000","5,267,000","5,265,000","5,320,000","5,545,000","4,312,000","3,492,000","3,218,000","2,771,000","2,762,000","2,680,000","2,425,000","2,036,000","1,714,000","1,705,000","1,405,000","1,237,000","1,083,000","1,152,000","830,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,"9,162,000","9,552,000","9,827,000","8,238,000","8,331,000","7,204,000","6,751,000","5,605,000","5,267,000","5,265,000","5,320,000","5,545,000","4,312,000","3,492,000","3,218,000","2,771,000",,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,"9,162,000","9,552,000","9,827,000","8,238,000","8,331,000","7,204,000","6,751,000","5,605,000","5,267,000","5,265,000","5,320,000","5,545,000","4,312,000","3,492,000","3,218,000","2,771,000",,,,,,,,,,,
	ResearchAndDevelopment,"176,047,000","42,250,000","41,816,000","46,222,000","45,759,000","52,805,000","56,707,000","62,902,000","69,878,000","68,221,000","72,472,000","77,896,000","70,746,000","62,031,000","71,209,000","63,887,000","52,707,000","43,543,000","38,019,000","38,924,000","33,108,000","32,447,000","54,454,000","54,338,000","67,729,000","74,608,000","75,995,000","76,138,000","60,368,000","56,750,000","50,149,000","34,965,000","28,440,000","24,151,000","22,544,000","16,063,000","15,816,000","12,122,000","18,284,000","15,458,000","12,590,000","12,562,000","12,440,000","11,566,000","9,679,000","7,041,000","8,651,000","5,730,000","4,683,000","3,259,000"
	OtherOperatingExpenses,"15,243,000","3,730,000","3,789,000","3,841,000","3,884,000","3,707,000","-1,000",,"355,000","3,449,000","4,172,000","5,539,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
