name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005
TotalAssets,"5,024,300,000","5,230,650,000","5,078,574,000","5,212,818,000","5,296,954,000","5,562,922,000","5,802,613,000","5,690,115,000","5,632,893,000","5,828,017,000","5,751,603,000","5,902,248,000","5,790,748,000","4,481,838,000","4,397,573,000","4,455,238,000","4,413,471,000","4,470,893,000","4,371,650,000","4,354,525,000","4,383,326,000","4,306,633,000","4,176,619,000","4,215,693,000","4,128,715,000","4,126,497,000","4,044,256,000","4,164,070,000","4,046,287,000","4,151,980,000","4,060,429,000","4,116,472,000","4,088,878,000","4,144,163,000","4,082,898,000","4,111,617,000","3,857,199,000","3,863,226,000","3,581,318,000","3,542,360,000","3,574,703,000","3,522,408,000","3,458,188,000","3,503,509,000","3,404,139,000","3,421,478,000","3,312,311,000","3,305,151,000","3,282,680,000","3,276,448,000","3,178,716,000","3,208,046,000","3,087,741,000","3,065,708,000","3,249,573,000","3,333,041,000","3,240,885,000","3,296,892,000","3,290,320,000","3,361,459,000","3,114,760,000","3,171,582,000","1,830,803,000","1,864,852,000"
	CurrentAssets,"719,800,000","874,472,000","669,248,000","719,681,000","754,807,000","892,747,000","984,009,000","744,739,000","587,667,000","634,990,000","594,768,000","662,551,000","544,506,000","559,030,000","485,394,000","628,187,000","591,740,000","657,570,000","590,331,000","618,409,000","707,868,000","676,317,000","626,920,000","699,185,000","685,907,000","715,151,000","631,117,000","714,281,000","628,821,000","741,010,000","667,838,000","704,048,000","680,334,000","729,599,000","600,460,000","641,713,000","820,745,000","845,161,000","633,426,000","627,246,000","619,310,000","627,118,000","583,574,000","634,083,000","536,466,000","577,053,000","506,956,000","513,413,000","486,245,000","507,297,000","410,097,000","444,323,000","346,613,000","403,381,000","421,025,000","450,453,000","356,059,000","414,035,000","388,549,000","439,579,000","205,835,000","206,353,000","177,036,000","206,688,000"
		CashCashEquivalentsAndShortTermInvestments,"568,600,000","707,339,000","543,013,000","595,884,000","512,828,000","655,338,000","825,706,000","571,755,000","479,399,000","488,313,000","482,772,000","511,392,000","425,194,000","426,222,000","366,796,000","504,712,000","474,046,000","522,547,000","469,446,000","504,179,000","584,318,000","561,235,000","527,111,000","583,600,000","583,892,000","588,539,000","502,914,000","576,289,000","532,845,000","638,869,000","546,665,000","578,141,000","562,703,000","599,929,000","479,779,000","515,474,000","724,303,000","742,664,000","540,759,000","524,282,000","528,566,000","521,408,000","511,395,000","550,904,000","463,308,000","464,997,000","430,467,000","435,770,000","433,229,000","437,936,000","359,103,000","382,737,000","305,504,000","349,603,000","371,297,000","396,270,000","305,004,000","338,043,000","333,076,000","386,537,000","163,095,000","147,099,000","142,204,000","182,199,000"
			CashAndCashEquivalents,"568,600,000","707,339,000","543,013,000","595,884,000","512,828,000","655,338,000","825,706,000","571,755,000","479,399,000","488,313,000","482,772,000","511,392,000","425,194,000","426,222,000","366,796,000","504,712,000","474,046,000","522,547,000","469,446,000","504,179,000","584,318,000","561,235,000","527,111,000","583,600,000","583,892,000","588,539,000","502,914,000","576,289,000","532,845,000","638,869,000","546,665,000","578,141,000","562,703,000","599,929,000","479,779,000","515,474,000","724,303,000","742,664,000","540,759,000","524,282,000","528,566,000","521,408,000","511,395,000","550,904,000","463,308,000","464,997,000","430,467,000","435,770,000","433,229,000","437,936,000","359,103,000","382,737,000","305,504,000","349,603,000","371,297,000","396,270,000","305,004,000","338,043,000","333,076,000","386,537,000","163,095,000","147,099,000","142,204,000","182,199,000"
		Receivables,"99,400,000","115,473,000","75,141,000","74,693,000","198,390,000","190,416,000","108,750,000","135,101,000","76,935,000","87,804,000","71,791,000","108,252,000","89,275,000","98,372,000","80,797,000","85,123,000","81,202,000","100,980,000","87,031,000","76,509,000","72,246,000","82,360,000","66,280,000","82,695,000","68,757,000","97,164,000","88,681,000","98,726,000","56,251,000","67,267,000","78,702,000","82,736,000","76,804,000","82,188,000","76,871,000","84,475,000","58,792,000","64,251,000","60,286,000","69,761,000","59,824,000","72,543,000","42,843,000","55,539,000","50,046,000","81,340,000","52,538,000","54,599,000","30,526,000","46,135,000","29,870,000","40,857,000","23,329,000","33,636,000","28,205,000","33,353,000","31,207,000","53,707,000","34,844,000","33,421,000","24,959,000","40,111,000","24,579,000","15,405,000"
			AccountsReceivable,"52,900,000","68,842,000","36,753,000","35,312,000","23,732,000","25,265,000","24,645,000","23,543,000","51,641,000","83,722,000","66,947,000","103,985,000","85,062,000","95,084,000","76,820,000","80,308,000","78,211,000","89,250,000","82,650,000","72,401,000","69,368,000","74,993,000","62,480,000","79,989,000","67,979,000","74,287,000","86,119,000","96,921,000","55,415,000","47,917,000","76,220,000","80,544,000","74,930,000","81,519,000","75,335,000","83,426,000","58,027,000","57,122,000","57,412,000","65,964,000","52,099,000","54,757,000","42,843,000","49,836,000","41,250,000","50,607,000","38,807,000","40,638,000","30,526,000","33,110,000","26,794,000","30,051,000","23,329,000","24,688,000","28,205,000","33,353,000","29,840,000","35,368,000","34,844,000","33,421,000","24,959,000","31,165,000","24,579,000","15,405,000"
			TaxesReceivable,"46,500,000","46,631,000","38,388,000","39,381,000","174,658,000","165,151,000","84,105,000","111,558,000","25,294,000","4,082,000","4,844,000","4,267,000","4,213,000","3,288,000","3,977,000","4,815,000","2,991,000","11,730,000","4,381,000","4,108,000","2,878,000","7,367,000","3,800,000","2,706,000","778,000","22,877,000","2,562,000","1,805,000","836,000","19,350,000","2,482,000","2,192,000","1,874,000","669,000","1,536,000","1,049,000","765,000","7,129,000","2,874,000","3,797,000","7,725,000","17,786,000","0","5,703,000","8,796,000","30,733,000","13,731,000","13,961,000","0","13,025,000","3,076,000","10,806,000","0",,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,948,000",,,"1,367,000","18,339,000",,,,"8,946,000",,
		Inventory,"16,800,000","15,451,000","15,244,000","14,440,000","12,170,000","12,593,000","15,159,000","15,584,000","17,972,000","21,686,000","19,346,000","21,761,000","18,142,000","19,319,000","16,319,000","17,685,000","17,083,000","17,507,000","16,844,000","18,388,000","17,394,000","16,961,000","15,482,000","15,977,000","15,300,000","15,954,000","13,236,000","13,969,000","13,460,000","13,419,000","11,610,000","13,316,000","11,687,000","13,735,000","12,324,000","13,075,000","10,825,000","12,571,000","10,662,000","12,495,000","11,273,000","11,284,000","11,746,000","12,925,000","10,505,000","11,686,000","9,594,000","10,302,000","9,817,000","9,854,000","8,532,000","9,179,000","7,705,000","8,024,000","7,283,000","8,195,000","7,670,000","7,000,000","6,539,000","6,786,000","6,388,000","6,058,000","4,272,000","4,546,000"
		PrepaidAssets,"35,000,000","36,209,000","35,850,000","34,664,000","31,419,000","34,400,000","34,394,000","22,299,000","13,361,000","37,187,000","20,859,000","21,146,000","11,895,000","15,117,000","21,482,000","20,667,000","19,409,000","16,536,000","17,010,000","19,333,000","33,910,000","15,761,000","18,047,000","16,913,000","17,958,000","13,494,000","17,007,000","15,316,000","16,337,000","10,937,000","14,464,000","12,967,000","12,387,000","14,940,000","14,578,000","11,687,000","9,254,000","11,278,000","11,428,000","10,495,000","8,912,000","11,300,000","10,560,000","10,450,000","8,479,000","10,931,000","11,013,000","9,453,000","9,376,000","10,051,000","9,779,000","8,762,000","7,348,000","9,319,000","9,051,000","7,194,000","6,908,000","10,070,000","9,328,000","8,124,000","6,732,000","8,424,000","5,981,000","4,538,000"
