name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
TotalRevenue,"7,204,768,000","1,166,436,000","2,498,463,000","1,311,908,000","2,227,962,000","1,801,112,000","585,112,000","315,357,000","186,382,000","190,630,000"
	OperatingRevenue,"6,922,663,000","1,164,891,000","2,490,026,000","1,234,736,000","2,033,011,000","1,596,981,000","497,091,000","286,663,000","178,331,000","179,082,000"
CostOfRevenue,"1,311,684,000","277,826,000","501,181,000","197,251,000","335,426,000","234,066,000","49,946,000","36,766,000","23,395,000","25,407,000"
GrossProfit,"5,893,084,000","888,610,000","1,997,282,000","1,114,657,000","1,892,536,000","1,567,046,000","535,166,000","278,591,000","162,987,000","165,223,000"
OperatingExpense,"4,358,690,000","1,443,073,000","1,074,958,000","822,849,000","1,017,811,000","579,333,000","308,581,000","177,086,000","120,901,000","126,448,000"
	SellingGeneralAndAdministration,"1,947,642,000","613,782,000","541,896,000","348,037,000","443,928,000","239,221,000","121,002,000","83,410,000","63,371,000","68,879,000"
		GeneralAndAdministrativeExpense,"1,201,739,000","413,578,000","297,324,000","242,642,000","248,195,000","121,231,000","97,501,000","71,433,000","51,988,000","58,958,000"
			OtherGandA,"1,201,739,000","413,578,000","297,324,000","242,642,000","248,195,000","121,231,000","97,501,000","71,433,000","51,988,000","58,958,000"
		SellingAndMarketingExpense,"745,903,000","200,204,000","244,572,000","105,395,000","195,733,000","117,990,000","23,501,000","11,977,000","11,383,000","9,921,000"
	ResearchAndDevelopment,"1,678,000,000","570,664,000","459,611,000","356,264,000","291,461,000","184,225,000","90,498,000","73,319,000","60,777,000","47,138,000"
	OtherOperatingExpenses,"733,048,000","258,627,000","73,451,000","118,548,000","282,422,000","155,887,000","97,081,000","20,357,000","-3,247,000","10,431,000"
OperatingIncome,"1,534,394,000","-554,463,000","922,324,000","291,808,000","874,725,000","987,713,000","226,585,000","101,505,000","42,086,000","38,775,000"
NetNonOperatingInterestIncomeExpense,,"-22,138,000",,,,,,,,
	InterestExpenseNonOperating,,"22,138,000",,,,,,,,
