name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
OperatingCashFlow,"693,200,000","102,630,000","229,258,000","174,722,000","186,590,000","170,229,000","138,379,000","177,300,000","162,306,000","68,590,000","180,677,000","155,847,000","129,553,000","14,859,000","139,973,000","117,244,000","124,508,000","59,415,000","123,916,000","58,993,000","99,800,000","33,556,000","113,630,000","68,954,000","77,685,000","38,050,000","101,728,000","87,951,000","85,743,000","10,936,000","99,338,000","66,964,000","56,950,000","27,799,000","62,122,000","67,020,000","48,023,000","29,974,000","64,513,000","60,831,000","57,279,000","25,277,000","72,041,000","48,293,000","63,594,000","21,355,000","67,591,000","17,626,000","55,337,000","28,459,000","62,160,000","55,586,000","70,183,000","37,115,000","84,982,000","69,430,000","94,778,000","30,759,000","115,838,000","77,179,000","54,742,000","36,489,000","56,754,000","46,969,000","60,321,000","326,000","85,567,000","68,339,000","48,610,000","34,186,000","74,663,000","41,973,000","42,336,000","25,855,000","39,294,000","35,174,000","40,294,000","9,004,000","44,668,000","35,401,000","46,176,000","7,414,000","36,101,000","16,815,000","10,554,000","7,828,000","12,919,000","13,807,000","5,181,000","1,861,000"
	CashFlowFromContinuingOperatingActivities,"693,200,000","102,630,000","229,258,000","174,722,000","186,590,000","170,229,000","138,379,000","177,300,000","162,306,000","68,590,000","180,677,000","155,847,000","129,553,000","14,859,000","139,973,000","117,244,000","123,872,000","60,051,000","124,236,000","59,485,000","100,324,000","34,029,000","114,252,000","69,606,000","77,978,000","38,539,000","102,339,000","88,289,000","86,354,000","11,252,000","99,849,000","66,845,000","56,975,000","28,463,000","62,495,000","67,607,000","48,966,000","29,977,000","64,327,000","61,035,000","57,367,000","25,277,000","71,897,000","48,248,000","65,304,000","21,393,000","66,814,000","17,626,000","55,337,000","28,459,000","62,160,000","47,980,000","70,183,000","37,115,000","84,156,000","70,156,000","94,750,000","30,403,000","112,717,000","79,523,000","54,409,000","38,630,000","76,643,000","-141,848,000","59,848,000","326,000","85,567,000","68,339,000","48,610,000","34,186,000","74,663,000","41,973,000","42,336,000","25,855,000","39,294,000","35,174,000","40,294,000","9,004,000","44,668,000","35,401,000","46,176,000","7,414,000","36,101,000","16,815,000","10,554,000","7,828,000","12,919,000","13,807,000","5,181,000","1,861,000"
		NetIncomeFromContinuingOperations,"430,128,000","95,226,000","139,827,000","105,159,000","89,916,000","63,935,000","144,190,000","102,611,000","67,668,000","50,837,000","80,512,000","73,552,000","44,309,000","55,688,000","60,198,000","60,902,000","52,850,000","53,268,000","-29,044,000","52,994,000","54,673,000","46,963,000","45,275,000","37,691,000","35,545,000","37,575,000","33,263,000","37,901,000","49,252,000","31,621,000","28,536,000","32,300,000","36,460,000","32,628,000","19,526,000","31,336,000","28,628,000","25,926,000","22,717,000","22,384,000","30,547,000","26,470,000","27,078,000","18,911,000","34,156,000","35,377,000","-339,966,000","-25,234,000","14,095,000","17,000,000","17,318,000","33,540,000","33,655,000","24,869,000","-662,308,000","44,700,000","50,187,000","45,154,000","36,910,000","42,777,000","37,956,000","36,763,000","35,189,000","-152,268,000","161,411,000","-100,115,000","50,418,000","32,073,000","31,860,000","27,648,000","20,077,000","25,821,000","26,300,000","17,594,000","20,645,000","19,591,000","20,561,000","19,354,000","17,505,000","18,531,000","16,328,000","-2,232,000","8,917,000","10,521,000","9,018,000","6,951,000","4,428,000","4,839,000","7,974,000","636,000"
		OperatingGainsLosses,"6,663,000","14,931,000","-10,891,000","11,359,000","-8,736,000","43,626,000","-68,635,000","-20,350,000","-23,911,000","12,035,000","-14,982,000","597,000","4,254,000","-10,575,000","6,832,000","-5,375,000","-10,934,000","-6,451,000","-22,867,000","0","0","-10,577,000","-1,766,000","-442,000","-4,994,000","-3,082,000","-219,000","-3,240,000","907,000","-1,271,000","-1,924,000","803,000","-2,076,000","-6,104,000",,,,,,,,,,,,,,,,,,,,,"-21,050,000","15,651,000","-759,000","2,882,000","540,000","-1,897,000","4,097,000","197,000","-5,253,000","476,000","-128,347,000","129,461,000","29,925,000","-5,449,000","7,099,000","6,396,000","15,436,000","1,675,000","2,818,000","3,574,000","1,693,000","2,028,000","2,328,000","2,412,000","4,584,000","3,213,000","3,537,000","18,537,000","6,204,000","1,707,000","2,033,000","1,112,000","914,000","560,000","7,091,000","-330,000"
			GainLossOnSaleOfBusiness,"0",,,,,,,,,,,,,,"0",,,,"0","0","0","-10,577,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"27,604,000","13,903,000","13,143,000","10,367,000","-9,809,000","16,719,000","-68,635,000","-20,350,000","-23,911,000","12,035,000","-14,982,000","597,000","4,254,000","-10,575,000","6,832,000","-5,375,000","-10,934,000","-6,451,000",,,,,"-1,766,000","-442,000","-4,994,000","-3,082,000","-219,000","-3,240,000","907,000","-1,271,000","-1,924,000","803,000","-2,076,000","-6,104,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"279,331,000","75,299,000","67,241,000","68,686,000","68,105,000","61,508,000","60,876,000","59,580,000","57,208,000","57,260,000","51,833,000","51,758,000","49,146,000","45,358,000","41,581,000","43,592,000","43,396,000","33,210,000","33,484,000","33,465,000","31,799,000","32,411,000","35,542,000","34,108,000","32,353,000","24,655,000","25,551,000","23,814,000","23,148,000","22,368,000","26,010,000","26,083,000","24,302,000","20,050,000","29,300,000","26,916,000","20,410,000","20,010,000","20,658,000","20,550,000","20,065,000","20,002,000","20,981,000","21,168,000","21,816,000","21,265,000","21,650,000","24,148,000","23,589,000","24,262,000","23,845,000","24,838,000","22,900,000","21,970,000","22,893,000","22,937,000","23,020,000","22,333,000","23,848,000","22,587,000","21,867,000","20,614,000","22,535,000","21,479,000","18,126,000","22,990,000","26,946,000","25,621,000","25,999,000","26,071,000","23,374,000","8,483,000","8,139,000","8,180,000","8,839,000","7,650,000","7,452,000","7,180,000","6,901,000","6,839,000","6,179,000","5,808,000","8,261,000","7,480,000","6,945,000","5,892,000","4,813,000","4,679,000","1,770,000","7,608,000"
			DepreciationAndAmortization,"279,331,000","75,299,000","67,241,000","68,686,000","68,105,000","61,508,000","60,876,000","59,580,000","57,208,000","57,260,000","51,833,000","51,758,000","49,146,000","45,358,000","41,581,000","43,592,000","43,396,000","33,210,000","33,484,000","33,465,000","31,799,000","32,411,000","35,542,000","34,108,000","32,353,000","24,655,000","25,551,000","23,814,000","23,148,000","22,368,000","26,010,000","26,083,000","24,302,000","20,050,000","29,300,000","26,916,000","20,410,000","20,010,000","20,658,000","20,550,000","20,065,000","20,002,000","20,981,000","21,168,000","21,816,000","21,265,000","21,650,000","24,148,000","23,589,000","24,262,000","23,845,000","24,838,000","22,900,000","21,970,000","22,893,000","22,937,000","23,020,000","22,333,000","23,848,000","22,587,000","21,867,000","20,614,000","22,535,000","21,479,000","18,126,000","22,990,000","26,946,000","25,621,000","25,999,000","26,071,000","23,374,000","8,483,000","8,139,000","8,180,000","8,839,000","7,650,000","7,452,000","7,180,000","6,901,000","6,839,000","6,179,000","5,808,000","8,261,000","7,480,000","6,945,000","5,892,000","4,813,000","4,679,000","1,770,000","7,608,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,274,000","21,960,000","21,232,000","19,913,000","21,827,000","20,574,000","17,566,000","22,619,000","26,476,000","25,196,000","25,357,000","25,426,000","22,697,000","8,079,000","7,696,000","7,837,000","8,282,000","7,226,000","7,131,000","6,925,000","6,605,000","6,331,000","5,616,000","5,434,000","7,984,000","7,162,000","6,590,000","5,439,000",,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"574,000","627,000","635,000","701,000","708,000","905,000","560,000","371,000","470,000","425,000","642,000","645,000","677,000","404,000","443,000","343,000","557,000","424,000","321,000","255,000","296,000","508,000","563,000","374,000","277,000","318,000","355,000","453,000",,,,
