name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalAssets,"7,357,442,000","7,256,871,000","7,131,316,000","7,075,614,000","6,941,971,000","6,915,420,000","6,797,325,000","6,479,030,000","4,684,597,000","3,853,986,000","3,715,391,000","3,620,598,000","3,548,284,000","3,312,957,000","3,207,222,000","3,122,574,000","3,095,100,000","2,873,441,000","2,280,596,000","2,220,019,000","2,195,155,000","2,185,063,000","2,152,587,000","2,107,234,000","2,106,013,000","2,079,571,000","2,090,736,000","2,073,947,000","2,099,701,000","2,083,682,000","2,064,341,000","2,046,394,000","1,244,796,000","1,256,982,000","1,230,374,000","1,197,018,000","1,183,858,000","1,165,139,000","1,154,659,000","1,141,287,000","773,751,000","771,035,000","764,753,000","757,856,000","506,479,000","439,648,000","427,899,000","415,475,000","407,864,000","404,579,000","392,335,000","353,908,000","341,982,000","334,384,000","334,916,000","329,503,000","323,514,000","321,843,000","301,739,000","291,959,000","290,852,000","275,437,000","268,383,000","260,640,000","255,937,000","248,059,000","244,825,000","233,647,000","235,125,000","232,691,000","202,578,000","197,953,000","191,731,000","183,900,000","123,480,000","120,990,000","118,885,000","118,907,000","118,211,000","119,226,000","120,205,000","123,645,981","127,331,000","132,314,000","139,011,000","145,870,626","159,996,000","181,555,000","204,352,000","136,900,000","132,600,000","133,000,000","40,900,000","27,500,000","28,800,000","7,900,000","7,300,000"
	CurrentAssets,"4,100,258,000","3,988,125,000","3,914,837,000","3,817,931,000","3,822,327,000","3,888,512,000","4,007,233,000","3,690,648,000","2,070,390,000","1,199,165,000","1,504,722,000","1,413,762,000","1,346,371,000","1,213,298,000","1,179,268,000","1,075,985,000","1,032,004,000","1,287,935,000","700,081,000","635,987,000","634,163,000","627,491,000","583,443,000","524,219,000","519,937,000","472,733,000","476,474,000","450,348,000","627,704,000","599,811,000","562,752,000","531,014,000","303,751,000","308,466,000","277,570,000","244,698,000","225,465,000","199,563,000","184,333,000","159,609,000","584,908,000","583,183,000","589,381,000","578,622,000","326,762,000","239,173,000","226,477,000","219,397,000","212,580,000","247,407,000","244,610,000","231,447,000","223,545,000","212,483,000","200,287,000","187,222,000","178,737,000","205,678,000","187,122,000","174,761,000","172,383,000","178,751,000","170,513,000","163,084,000","157,480,000","146,538,000","137,457,000","125,401,000","125,090,000","127,083,000","119,332,000","113,000,000","110,286,000","103,738,000","42,582,000","39,039,000","35,161,000","51,883,000","49,454,000","48,854,000","48,455,000","48,941,807","48,348,000","48,804,000","51,042,000","54,111,254","62,564,000","73,530,000","90,695,000","99,400,000","102,500,000","105,100,000","13,200,000","21,200,000","23,400,000","3,500,000","2,900,000"
		CashCashEquivalentsAndShortTermInvestments,"3,929,097,000","3,827,126,000","3,761,587,000","3,674,909,000","3,686,947,000","3,693,813,000","3,867,805,000","3,548,405,000","1,927,923,000","1,070,731,000","1,389,619,000","1,297,812,000","1,232,817,000","1,100,416,000","1,071,786,000","966,278,000","931,429,000","1,211,463,000","622,995,000","564,638,000","572,472,000","567,223,000","523,270,000","465,281,000","462,812,000","421,818,000","375,509,000","351,781,000","541,771,000","527,012,000","486,195,000","444,857,000","223,443,000","255,953,000","222,938,000","190,101,000","167,394,000","156,064,000","130,279,000","104,158,000","551,381,000","548,795,000","554,310,000","551,222,000","295,909,000","210,127,000","202,623,000","200,577,000","188,906,000","225,974,000","223,991,000","213,643,000","204,132,000","195,250,000","182,955,000","167,384,000","161,561,000","187,426,000","164,243,000","154,475,000","150,348,000","158,148,000","154,896,000","150,229,000","142,254,000","134,185,000","124,761,000","113,402,000","112,891,000","117,069,000","113,309,000","107,318,000","104,639,000","97,449,000","35,911,000","31,601,000","26,315,000","27,144,000","42,618,000","42,083,000","41,643,000","42,002,202","41,468,000","42,020,000","43,699,000","47,101,242","55,771,000","64,258,000","76,851,000","94,100,000","99,300,000","102,400,000","10,100,000","19,700,000","21,800,000","1,100,000","900,000"
			CashAndCashEquivalents,"3,929,097,000","3,827,126,000","3,761,587,000","3,674,909,000","3,686,947,000","3,693,813,000","3,867,805,000","3,548,405,000","1,927,923,000","1,070,731,000","1,389,619,000","1,297,812,000","1,232,817,000","1,100,416,000","1,071,786,000","966,278,000","931,429,000","1,211,463,000","622,995,000","564,638,000","572,472,000","567,223,000","522,099,000","464,151,000","461,720,000","421,818,000","375,509,000","351,781,000","541,771,000","527,012,000","486,195,000","444,857,000","223,443,000","255,953,000","222,938,000","190,101,000","167,394,000","156,027,000","129,462,000","103,338,000","549,096,000","545,280,000","550,740,000","547,617,000","292,252,000","206,405,000","195,358,000","188,290,000","170,206,000","205,786,000","200,738,000","183,361,000","170,624,000","159,982,000","139,150,000","102,500,000","94,706,000","57,785,000","43,262,000","36,434,000","43,118,000","38,159,000","32,769,000","37,250,000","45,093,000","28,065,000","28,007,000","31,017,000","26,515,000","36,807,000","33,251,000","37,295,000","31,240,000","35,643,000","23,294,000","30,507,000","24,910,000","25,546,000","27,496,000","29,843,000","31,154,000","30,746,087","41,468,000","42,020,000","43,699,000","47,101,242","55,771,000","64,258,000","76,851,000","94,100,000","99,300,000","102,400,000","10,100,000","19,700,000","21,800,000","1,100,000","900,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,"1,171,000","1,130,000","1,092,000",,,,,,,,,"0","0","0","0","37,000","817,000","820,000","2,285,000","3,515,000","3,570,000","3,605,000","3,657,000","3,722,000","7,265,000","12,287,000","18,700,000","20,188,000","23,253,000","30,282,000","33,508,000","35,268,000","43,805,000","64,884,000","66,855,000","129,641,000","120,981,000","118,041,000","107,230,000","119,989,000","122,127,000","112,979,000","97,161,000","106,120,000","96,754,000","82,385,000","86,376,000","80,262,000","80,058,000","70,023,000","73,399,000","61,806,000","12,617,000","1,094,000","1,405,000","1,598,000","15,122,000","12,240,000","10,489,000","11,256,115",,,,,,,,,,,,,,,
		Receivables,"134,978,000","124,817,000","115,651,000","108,269,000","109,798,000","103,949,000","105,014,000","113,667,000","112,248,000","92,240,000","91,325,000","95,583,000","92,841,000","89,192,000","82,279,000","69,984,000","68,914,000","60,900,000","60,871,000","51,512,000","49,686,000","48,666,000","48,510,000","46,044,000","47,469,000","40,706,000","52,093,000","55,409,000","46,726,000","39,721,000","39,051,000","39,661,000","32,286,000","20,761,000","24,756,000","26,604,000","26,216,000","21,749,000","27,957,000","25,250,000","16,352,000","17,439,000","19,761,000","14,188,000","21,180,000","18,034,000","13,673,000","10,554,000","12,746,000","12,855,000","13,811,000","12,106,000","14,236,000","12,294,000","12,113,000","12,570,000","11,708,000","10,875,000","10,719,000","8,969,000","10,103,000","9,202,000","7,872,000","6,405,000","7,375,000","5,673,000","5,519,000","5,476,000","4,991,000","3,921,000","3,490,000","2,904,000","3,304,000","4,308,000","5,011,000","5,859,000","7,123,000","6,786,000","6,366,000","6,391,000","6,282,000","5,982,896","6,099,000","6,092,000","6,712,000","6,148,399","5,607,000","7,612,000","8,887,000","2,800,000","2,400,000","2,200,000","2,700,000","1,200,000","1,200,000","1,200,000","1,500,000"
			AccountsReceivable,"134,978,000","124,817,000","115,651,000","108,269,000","109,798,000","103,949,000","105,014,000","113,667,000","112,248,000","92,240,000","91,325,000","95,583,000","92,841,000","89,192,000","82,279,000","69,984,000","68,914,000","60,900,000","60,871,000","51,512,000","49,557,000","48,537,000","47,461,000","45,890,000","47,315,000","40,276,000","51,066,000","54,382,000","45,699,000","38,694,000","39,051,000","39,661,000","32,286,000","20,761,000","22,960,000","24,808,000","24,420,000","16,392,000","21,397,000","19,523,000","16,352,000","16,589,000","18,909,000","13,336,000","16,240,000","13,094,000","13,673,000","10,554,000","12,746,000","12,855,000","13,811,000","12,106,000","14,236,000","12,294,000","12,113,000","12,570,000","11,708,000","10,875,000","10,719,000","8,969,000","10,103,000","9,202,000","7,872,000","6,405,000","7,375,000","5,673,000","5,519,000","5,476,000","4,991,000","3,921,000","3,490,000","2,904,000","3,304,000","4,308,000","5,011,000","5,859,000","7,123,000","6,786,000","6,366,000","6,391,000","6,282,000","5,982,896","6,099,000","6,092,000","6,712,000",,,,,,,,,,,,
				GrossAccountsReceivable,"148,744,000","138,191,000","128,700,000","122,702,000","124,361,000","119,059,000","119,219,000","127,030,000","120,559,000","97,337,000","96,183,000","101,035,000","97,631,000","94,901,000","87,947,000","75,049,000","74,050,000","67,369,000","67,241,000","57,953,000","57,061,000","54,881,000","54,785,000","54,478,000","55,544,000","47,754,000","58,693,000","61,542,000","50,705,000","43,509,000","44,078,000","44,514,000","36,143,000","24,158,000","26,606,000","27,959,000","27,388,000","19,327,000","24,788,000","22,796,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-13,766,000","-13,374,000","-13,049,000","-14,433,000","-14,563,000","-15,110,000","-14,205,000","-13,363,000","-8,311,000","-5,097,000","-4,858,000","-5,452,000","-4,790,000","-5,709,000","-5,668,000","-5,065,000","-5,136,000","-6,469,000","-6,370,000","-6,441,000","-7,504,000","-6,344,000","-7,324,000","-8,588,000","-8,229,000","-7,478,000","-7,627,000","-7,160,000","-5,006,000","-4,815,000","-5,027,000","-4,853,000","-3,857,000","-3,397,000","-3,646,000","-3,151,000","-2,968,000","-2,935,000","-3,391,000","-3,273,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,"0","0","0","129,000","129,000","1,049,000","154,000","154,000","430,000","1,027,000","1,027,000","1,027,000","1,027,000",,,,"0","1,796,000","1,796,000","1,796,000","5,357,000","6,560,000","5,727,000","0","850,000","852,000","852,000","4,940,000","4,940,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
