name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"754,219,000","733,139,000","686,682,000","689,872,000","673,435,000","665,931,000","685,431,961","688,852,871","717,035,731","703,286,203","583,461,366","577,523,306","518,507,258","556,329,872","476,159,770","480,549,646","484,443,604","466,130,378","436,710,801","432,041,488","414,941,060","408,623,426","377,543,470","387,130,138","408,254,856","406,016,513","333,357,568","305,810,248","305,088,117","275,922,755","252,336,474","240,579,283","209,802,834","226,183,680","228,724,403","201,016,878","205,799,077","184,696,900","172,505,425","176,564,149","171,460,632","170,265,803","167,593,651","178,611,127","176,913,777","177,758,950","176,524,383","175,825,726","176,238,184","176,575,132","173,814,104","174,201,460","173,804,166","173,146,063","171,505,031","169,663,724","168,608,126","171,832,530","156,514,061","154,276,015","155,118,473","153,774,164","147,257,605","145,111,068","141,023,706","143,258,476","135,849,661","136,354,974","135,805,419","119,220,974","98,965,432","97,601,613","96,769,657","97,905,978","78,002,900","76,711,846","77,188,505","74,326,062","70,468,051","64,311,146","61,920,184","62,216,701","62,455,913","62,759,435","62,445,427","63,353,914","56,208,324","55,253,805","58,264,910","63,400,000","64,700,000","68,400,000","50,000,000","50,100,000","52,500,000","52,300,000","55,300,000","58,200,000","55,800,000","55,400,000","57,200,000","59,700,000","57,000,000","56,700,000","59,100,000","59,700,000","62,900,000","61,900,000","60,300,000","61,500,000","57,400,000","64,700,000","64,100,000","66,400,000","65,700,000","65,200,000","65,600,000","66,100,000","68,700,000","67,300,000","67,900,000","67,700,000","70,100,000","69,400,000","73,400,000","74,200,000","78,700,000","77,200,000","75,000,000","77,700,000","83,200,000","76,400,000","76,800,000","70,900,000","44,800,000","39,700,000"
	CurrentAssets,"87,554,000","91,872,000","124,985,000","71,900,000","56,123,000","75,969,000","81,387,217","94,273,384","60,648,326","183,239,137","27,345,629","75,276,722","73,167,904","107,537,507","25,347,235","17,852,863","17,551,560","23,371,693","37,288,981","20,764,933","19,215,874","26,885,642","25,491,127","82,052,949","78,836,596","24,683,438","26,943,063","40,687,012","42,705,280","7,410,009","7,662,867","5,629,946","2,671,687","6,028,971","4,269,086","2,312,141","3,083,005","4,974,959","6,145,357","10,984,376","4,456,430","31,011,514","642,707","5,123,218","32,037,573","32,353,910","7,038,491","5,146,585","5,244,408","5,233,533","7,731,462","10,077,783","9,605,515","10,266,113","10,048,500","11,184,926","20,969,976","26,608,891","14,979,475","13,072,944","16,745,802","14,404,431","10,191,244","8,951,194","20,814,142","23,308,407","22,608,934","26,333,308","57,843,916","50,643,111","12,260,063","28,821,518","35,510,722","49,022,763","28,426,598","29,914,643","30,034,172","39,967,394","39,123,165","32,861,992","30,277,856","30,445,802","31,518,060","31,704,189","35,568,267","45,718,456","45,567,075","45,808,916","46,585,338","55,000,000","56,800,000","60,700,000","42,500,000","42,700,000","33,800,000","18,500,000","20,700,000","41,300,000","20,500,000","36,500,000","36,200,000","38,600,000","34,400,000","33,900,000","32,900,000","33,500,000","36,300,000","35,300,000","32,800,000","33,900,000","29,100,000","36,200,000","28,300,000","31,100,000","30,100,000","29,300,000","29,500,000","30,300,000","31,500,000","30,200,000","30,400,000","6,100,000","6,300,000","6,500,000","8,000,000","9,600,000","9,100,000","9,600,000","10,200,000","14,100,000","11,200,000","12,800,000","0","0","9,900,000","10,000,000"
		CashCashEquivalentsAndShortTermInvestments,"48,037,000","49,652,000","44,473,000","43,495,000","40,099,000","34,863,000","38,068,236","43,866,142","43,701,064","45,289,062","5,411,727","2,621,257","2,682,205","2,310,489","5,320,493","4,312,324","3,724,714","6,559,409","5,944,544","7,153,369","4,427,864","7,779,562","9,041,486","24,742,236","7,371,196","9,764,444","12,086,121","38,485,849","30,489,411","2,702,631","3,083,598","4,787,438","1,859,094","5,662,326","743,424","1,254,002","1,429,630","1,301,739","2,381,299","6,609,969","1,676,919","6,174","642,707","5,123,218","4,940,677","5,277,242","5,284,097","5,146,585","5,244,408","5,233,533","5,244,461","5,660,746","5,451,822","5,649,655","5,384,252","6,981,233","6,755,303","11,056,920","12,755,128","10,742,003","13,115,249","12,518,469","8,087,605","8,951,194","12,017,531","15,468,240","20,484,577","17,939,330","4,954,729","3,916,696","4,051,172","4,575,071","5,659,479","4,917,907","4,245,665","4,776,722","4,894,597","6,033,200","6,804,250","9,988,717","8,216,892","8,284,920","12,088,064","10,064,403","12,460,486","21,087,908","21,975,643","23,489,789","27,756,613","33,200,000","28,900,000","30,500,000","400,000","300,000","100,000","500,000","500,000","9,400,000","200,000","300,000","400,000","1,800,000","100,000","400,000","400,000","200,000","1,000,000","100,000","400,000","500,000","1,200,000","1,200,000","1,300,000","3,100,000","1,400,000","1,400,000","1,000,000","1,500,000","1,300,000","1,000,000","1,700,000","1,400,000","1,300,000","1,200,000","1,000,000","2,200,000","2,300,000","3,200,000","3,600,000","5,100,000","3,000,000","2,900,000",,,"4,300,000","4,700,000"
			CashAndCashEquivalents,"9,450,000","8,615,000","7,005,000","4,701,000","4,691,000","4,289,000","6,351,772","10,701,531","18,593,046","6,474,637","5,411,727","2,621,257","2,682,205","2,310,489","5,320,493","4,312,324","3,724,714","6,559,409","5,944,544","7,153,369","4,427,864","7,779,562","9,041,486","24,742,236","7,371,196","4,060,677","4,219,044","31,674,420","25,078,783","1,881,195","2,219,256","3,929,485","1,058,652","4,932,512","743,424","1,254,002","1,429,630","1,301,739","2,381,299","6,609,969","1,676,919","6,174","166,015","138,080","118,798","337,617","139,064","116,175","213,535","266,669","234,808","712,735","263,798","388,787","211,080","533,569","164,547","863,826","3,233,154","1,493,043","829,136","738,264","1,176,779","191,967","235,381","1,127,143","3,604,674","1,208,825","462,966","273,911","923,143","975,880","261,321","1,026,210","176,351","125,405","71,181","1,019,976","1,202,394","4,556,633","2,485,540","2,797,868","2,199,471","2,326,386","7,355,762","12,909,722","2,202,285","279,458","697,208","16,500,000","1,900,000","3,500,000","400,000","300,000","100,000","500,000","500,000","9,400,000","200,000","300,000","400,000","1,800,000","100,000","400,000","400,000","200,000","1,000,000","100,000","400,000","500,000","1,200,000","1,200,000","1,300,000","3,100,000","1,400,000","1,400,000","1,000,000","1,500,000","1,300,000","1,000,000","1,700,000","1,400,000","1,300,000","1,200,000","1,000,000","2,200,000","2,300,000","3,200,000","3,600,000","5,100,000","3,000,000","2,900,000",,,"4,300,000","4,700,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,429,630","1,301,739","2,381,299","6,609,969","1,676,919","6,174","166,015","138,080","118,798","337,617","139,064","116,175","213,535","266,669","234,808","712,735","263,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"38,587,000","41,037,000","37,468,000","38,794,000","35,408,000","30,574,000","31,716,464","33,164,611","25,108,018","38,814,425",,,"2,682,205","0","0","2,994,916","11,940,459","11,925,699",,,,"23,960,467","23,960,467","0","0","5,703,767","7,867,077","6,811,429","5,410,628","821,436","864,342","857,953","800,442","729,814","18,006,024",,,,,,,"0","476,692","4,985,138","4,821,879","4,939,625","5,145,033","5,030,410","5,030,873","4,966,864","5,009,653","4,948,011","5,188,024","5,260,868","5,173,172","6,447,664","6,590,756","10,193,094","9,521,974","9,248,960","12,286,113","11,780,205","6,910,826","8,759,227","11,782,150","14,341,097","16,879,903","16,730,505","4,491,763","3,642,785","3,128,029","3,599,191","5,398,158","3,891,697","4,069,314","4,651,317","4,823,416","5,013,224","5,601,856","5,432,084","5,731,352","5,487,052","9,888,593","7,738,017","5,104,724","8,178,186","19,773,358","23,210,331","27,059,405","16,700,000","27,000,000","27,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"10,003,000","9,240,000","9,363,000","8,953,000","9,268,000","9,044,000","10,780,830","8,538,537","6,901,812","5,572,930","7,888,142","7,152,735","7,580,811","7,004,369","7,227,840","8,238,069","7,528,611","7,129,854","6,757,818","6,768,778","6,287,441","7,085,484","7,884,639","6,406,179","6,310,980","858,471","0","707,768","665,474","267,280",,,,"0","0","824,550","765,225","239,720",,,"0","399,905","0","0","0","29,351","1,754,394",,,"0","2,158,317","4,417,037","4,153,693","4,153,693","4,203,693","4,203,693","4,703,693","5,164,421","700,000","1,020,381","1,711,626","700,000",,,,,"490,000","2,763,279","4,334,979","4,425,252","6,617,918","6,617,918","6,617,918","9,150,217","8,731,558","8,816,626","9,486,806","9,640,676","8,792,117","8,818,725","8,854,652","9,245,576","6,585,868","8,423,515","9,810,530","11,602,477","6,966,210","6,984,483","7,271,741","7,400,000","12,600,000","10,800,000","9,400,000","9,100,000","1,800,000","2,300,000","12,400,000","1,800,000","15,200,000","16,500,000","16,300,000","2,200,000","12,900,000","4,200,000","13,200,000","13,100,000","11,700,000","9,800,000","10,100,000","11,100,000","4,300,000","5,100,000","4,900,000","5,400,000","5,200,000","6,100,000","6,200,000","6,100,000","2,300,000","2,600,000","2,500,000","4,000,000","4,400,000","4,600,000","6,300,000","4,500,000","6,100,000","5,700,000","5,800,000","6,200,000","7,500,000","9,200,000",,,"3,000,000","2,900,000"
			AccountsReceivable,"7,276,000","6,065,000","5,794,000","5,624,000","7,010,000","7,016,000","8,452,380","6,926,519","5,158,924","3,884,881","5,934,132","5,245,492","5,726,168","4,931,970","4,477,973","5,044,567","4,095,835","3,761,891","2,792,329","3,123,518","2,804,740","2,224,839","1,864,222","2,765,639","2,660,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"320,381","1,011,626",,,,,,,,,,,,,,,,,,,,,,,,,"11,602,477",,,,,,,,,,,,"1,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,153,693","4,203,693","4,203,693","4,703,693","5,164,421","700,000","700,000","700,000","700,000",,,,,"490,000","2,763,279","4,334,979","4,425,252","6,617,918","6,617,918","6,617,918","9,150,217","8,731,558","8,816,626","9,486,806","9,640,676","8,792,117","8,818,725","8,854,652","9,245,576","6,585,868","8,423,515","9,810,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2,158,317","4,003,693","4,153,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
