name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
OperatingCashFlow,"126,000,000","-33,000,000","44,000,000","59,000,000","58,000,000","-59,000,000","42,000,000","-43,000,000","130,000,000","-76,000,000","70,000,000","30,000,000","36,000,000","-33,000,000","96,282,000","13,622,000","78,000,000","-30,000,000","32,419,000"
	CashFlowFromContinuingOperatingActivities,"126,000,000","-33,000,000","44,000,000","59,000,000","58,000,000","-59,000,000","42,000,000","-43,000,000","130,000,000","-76,000,000","70,000,000","30,000,000","35,000,000","-32,000,000","96,282,000","13,622,000","78,000,000","-30,000,000","32,419,000"
		NetIncomeFromContinuingOperations,"-40,000,000","-2,000,000","-3,000,000","-4,000,000","-31,000,000","-16,000,000","-3,000,000","-35,000,000","54,000,000","-33,000,000","-90,000,000","-909,000,000","-9,000,000","-14,000,000","32,381,000","16,001,000","31,000,000","28,000,000","7,754,000"
		OperatingGainsLosses,,,,,,,"-2,000,000","9,000,000","-72,000,000","-1,000,000",,,,,"-508,000","344,000",,,"609,000"
			GainLossOnSaleOfBusiness,,,"0","0",,,"-2,000,000","9,000,000",,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,"0",,,,"-1,000,000",,,,"0",,,,"0",
			EarningsLossesFromEquityInvestments,,,,,,,,,,,"0","11,000,000","-11,000,000","0","-440,000","207,000","-1,000,000","0","-92,000"
		DepreciationAmortizationDepletion,"202,000,000","48,000,000","51,000,000","49,000,000","54,000,000","46,000,000","48,000,000","48,000,000","48,000,000","46,000,000","47,000,000","48,000,000","46,000,000","35,000,000","15,858,000","16,242,000","16,000,000","16,000,000","15,105,000"
			DepreciationAndAmortization,"202,000,000","48,000,000","51,000,000","49,000,000","54,000,000","46,000,000","48,000,000","48,000,000","48,000,000","46,000,000","47,000,000","48,000,000","46,000,000","35,000,000","15,858,000","16,242,000","16,000,000","16,000,000","15,105,000"
				Depreciation,"202,000,000","48,000,000","51,000,000","49,000,000","54,000,000","46,000,000","48,000,000","48,000,000","48,000,000","46,000,000","47,000,000",,,,,,,,
		DeferredTax,"-18,000,000","1,000,000","-6,000,000","-5,000,000","-8,000,000","-3,000,000","-25,000,000","-5,000,000","3,000,000","-5,000,000",,,,"0",,,,"0",
			DeferredIncomeTax,"-18,000,000","1,000,000","-6,000,000","-5,000,000","-8,000,000","-3,000,000","-25,000,000","-5,000,000","3,000,000","-5,000,000",,,,"0",,,,"0",
		AmortizationOfSecurities,,,,,,,"2,000,000","1,000,000","2,000,000","1,000,000",,,"2,000,000","1,000,000",,,"0","0",
		AssetImpairmentCharge,,,"0",,,,"0",,,,"-1,000,000",,,,,,,,
		ProvisionandWriteOffofAssets,,,,,,,,,,"1,000,000","47,000,000","-63,000,000","-13,000,000","4,000,000","-4,861,000","-1,218,000","3,000,000","-1,000,000","6,388,000"
		StockBasedCompensation,"48,000,000","13,000,000","7,000,000","14,000,000","14,000,000","11,000,000","10,000,000","11,000,000","10,000,000","9,000,000","11,000,000","10,000,000","10,000,000","15,000,000","1,528,000","1,524,000","2,000,000","2,000,000","1,955,000"
		OtherNonCashItems,"21,000,000","1,000,000","16,000,000","2,000,000","2,000,000","4,000,000","-9,000,000","4,000,000","-1,000,000","2,000,000","-2,000,000","-6,000,000",,"-1,000,000",,,,,
		ChangeInWorkingCapital,"-87,000,000","-94,000,000","-21,000,000","3,000,000","27,000,000","-101,000,000","23,000,000","-83,000,000","88,000,000","-94,000,000","58,000,000","0","10,000,000","-73,000,000","51,884,000","-19,271,000","27,000,000","-75,000,000","608,000"
			ChangeInReceivables,"-24,000,000","-57,000,000","9,000,000","18,000,000","6,000,000","-18,000,000","9,000,000","-21,000,000","56,000,000","-112,000,000","38,000,000","-12,000,000","13,000,000","-26,000,000","141,000","28,669,000","-8,000,000","-34,000,000","19,793,000"
				ChangesInAccountReceivables,"-24,000,000","-57,000,000","9,000,000","18,000,000","6,000,000","-18,000,000","9,000,000","-21,000,000","56,000,000","-112,000,000","38,000,000","-12,000,000","13,000,000","-26,000,000","141,000","28,669,000","-8,000,000","-34,000,000","19,793,000"
			ChangeInInventory,"-76,000,000","-44,000,000","-32,000,000","-3,000,000","3,000,000","-33,000,000","7,000,000","-31,000,000","86,000,000","44,000,000","-35,000,000","-44,000,000","40,000,000","-19,000,000","-67,790,000","-11,817,000","39,000,000","-2,000,000","-61,938,000"
			ChangeInPayablesAndAccruedExpense,"66,000,000","50,000,000","3,000,000","9,000,000","4,000,000","1,000,000","-16,000,000","-3,000,000","-35,000,000","-31,000,000","72,000,000","15,000,000","-25,000,000","31,000,000","103,188,000","-49,184,000","30,000,000","-9,000,000","34,413,000"
			ChangeInOtherWorkingCapital,"-53,000,000","-43,000,000","-1,000,000","-21,000,000","14,000,000","-51,000,000","23,000,000","-28,000,000","-19,000,000","5,000,000","-17,000,000","41,000,000","-18,000,000","-59,000,000","16,345,000","13,061,000","-34,000,000","-30,000,000","8,340,000"
InvestingCashFlow,"-154,000,000","-29,000,000","-21,000,000","-95,000,000","-11,000,000","-13,000,000","-60,000,000","-16,000,000","78,000,000","-7,000,000","-9,000,000","-11,000,000","-16,000,000","-29,000,000","-6,051,000","-5,317,000","-4,000,000","-14,000,000","-5,670,000"
	CashFlowFromContinuingInvestingActivities,"-154,000,000","-29,000,000","-21,000,000","-95,000,000","-11,000,000","-13,000,000","-60,000,000","-16,000,000","78,000,000","-7,000,000","-9,000,000","-11,000,000","-17,000,000","-28,000,000","-6,051,000","-5,317,000","-4,000,000","-14,000,000","-5,670,000"
		NetPPEPurchaseAndSale,"-55,000,000","-11,000,000","-21,000,000","-14,000,000","-11,000,000","-13,000,000","-18,000,000","-16,000,000","-13,000,000","-7,000,000","-9,000,000","-10,000,000","-17,000,000","-3,000,000","-6,333,000","-1,869,000","-7,000,000","-6,000,000","-5,128,000"
			PurchaseOfPPE,"-56,000,000","-11,000,000","-22,000,000","-14,000,000","-11,000,000","-13,000,000","-18,000,000","-16,000,000","-13,000,000","-11,000,000","-9,000,000","-9,000,000","-18,000,000","-3,000,000","-6,689,000","-2,336,000","-7,000,000","-6,000,000","-5,466,000"
			SaleOfPPE,,,"1,000,000","0","0","0","0","0","0","4,000,000",,,"1,000,000","0","356,000","467,000","0","0","338,000"
		NetBusinessPurchaseAndSale,"-99,000,000","-18,000,000","0","-81,000,000",,,"-42,000,000","0","91,000,000","0","0","-1,000,000","0","-25,000,000","282,000","-3,448,000","3,000,000","-8,000,000","-542,000"
			PurchaseOfBusiness,"-99,000,000","-18,000,000","0","-81,000,000",,,"-41,000,000","0","-13,000,000","0","0","-1,000,000","0","-25,000,000","282,000","-3,448,000","3,000,000","-8,000,000","-542,000"
			SaleOfBusiness,,,"0","0",,,"-1,000,000","0",,,,,,,,,,,
		NetInvestmentPurchaseAndSale,,,"0","-81,000,000",,,"-41,000,000","0","-13,000,000","0","0","-1,000,000","0","-25,000,000","282,000","-3,448,000","3,000,000","-8,000,000","-542,000"
			PurchaseOfInvestment,,,"0","-81,000,000",,,"-41,000,000","0","-13,000,000","0","0","-1,000,000","0","-25,000,000","282,000","-3,448,000","3,000,000","-8,000,000","-542,000"
		NetOtherInvestingChanges,,,,,,,,,,,,,,"-1,000,000",,,,,
FinancingCashFlow,"-68,000,000","-5,000,000","-29,000,000","-3,000,000","-31,000,000","-3,000,000","-56,000,000","-2,000,000","3,000,000","159,000,000","1,000,000","-8,000,000","-44,000,000","117,000,000","-87,170,000","-7,525,000","-72,000,000","47,000,000","-36,527,000"
	CashFlowFromContinuingFinancingActivities,"-68,000,000","-5,000,000","-29,000,000","-3,000,000","-31,000,000","-3,000,000","-56,000,000","-2,000,000","3,000,000","159,000,000","1,000,000","-8,000,000","-43,000,000","116,000,000","-87,170,000","-7,525,000","-72,000,000","47,000,000","-36,527,000"
		NetIssuancePaymentsOfDebt,"-30,000,000","0","-30,000,000","0","0","0","-60,000,000","0","-235,000,000","173,000,000","0","0","-19,000,000","1,196,000,000","146,000","-2,250,000","3,000,000","-3,000,000","-204,000"
