name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
OperatingCashFlow,"747,000,000","93,000,000","172,000,000","288,000,000","194,000,000","47,000,000","104,000,000","257,000,000","100,000,000","84,000,000","103,000,000","224,000,000","89,000,000","61,000,000","102,000,000","215,000,000","116,000,000","65,000,000","142,000,000","203,000,000","110,000,000","61,000,000","121,000,000","241,000,000","96,000,000","102,000,000","104,000,000","181,000,000","10,000,000","78,000,000","29,000,000","121,000,000","57,000,000","16,000,000","38,000,000","114,000,000","-21,000,000","10,000,000","38,000,000","-38,000,000","64,000,000","-6,000,000"
	CashFlowFromContinuingOperatingActivities,"747,000,000","93,000,000","172,000,000","288,000,000","194,000,000","47,000,000","104,000,000","257,000,000","100,000,000","84,000,000","103,000,000","224,000,000","89,000,000","61,000,000","102,000,000","215,000,000","116,000,000","65,000,000","142,000,000","203,000,000","110,000,000","61,000,000","121,000,000","241,000,000","96,000,000","102,000,000","104,000,000","181,000,000","10,000,000","78,000,000","29,000,000","121,000,000","57,000,000","16,000,000","38,000,000","114,000,000","-21,000,000","10,000,000","38,000,000","-38,000,000","64,000,000","-6,000,000"
		NetIncomeFromContinuingOperations,"-96,000,000","-97,000,000","-56,000,000","25,000,000","32,000,000","-76,000,000","-73,000,000","42,000,000","76,000,000","-107,000,000","-48,000,000","35,000,000","-36,000,000","-47,000,000","-91,000,000","49,000,000",,,"-108,000,000","41,000,000","45,000,000","-1,000,000","-126,000,000","51,000,000","58,000,000","2,000,000","-4,000,000","34,000,000","41,000,000","-16,000,000","-10,000,000","31,000,000","42,000,000","18,000,000","24,000,000","45,000,000","33,000,000","7,000,000","5,000,000","4,000,000","-1,000,000","5,000,000"
		OperatingGainsLosses,"118,000,000","80,000,000","-11,000,000","10,000,000","39,000,000","11,000,000","18,000,000","-54,000,000","-50,000,000","101,000,000","-28,000,000","-9,000,000","37,000,000","27,000,000","-16,000,000","-33,000,000","-9,000,000","-25,000,000","-11,000,000","-30,000,000","-8,000,000","-19,000,000","-21,000,000","-11,000,000","-37,000,000","19,000,000","-5,000,000","8,000,000","-44,000,000","34,000,000","-6,000,000","20,000,000","-9,000,000","1,000,000","-3,000,000","-17,000,000","-2,000,000","-5,000,000","0","-10,000,000","16,000,000","-2,000,000"
			GainLossOnSaleOfBusiness,,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"137,000,000","82,000,000","-22,000,000","30,000,000","47,000,000","-27,000,000","-19,000,000","-37,000,000","15,000,000","85,000,000","-16,000,000","31,000,000","42,000,000","28,000,000",,,,"-23,000,000","-14,000,000","-6,000,000","7,000,000","-3,000,000","-14,000,000","-3,000,000","-4,000,000","2,000,000","-9,000,000","-1,000,000","-33,000,000","-2,000,000","14,000,000",,,,"-7,000,000","-4,000,000","-8,000,000","-2,000,000","-1,000,000","-8,000,000","15,000,000","-4,000,000"
			EarningsLossesFromEquityInvestments,"-32,000,000","-4,000,000","0","-20,000,000","-8,000,000","-4,000,000","15,000,000","-19,000,000","-16,000,000","13,000,000","-31,000,000","-38,000,000","-11,000,000","-3,000,000","-9,000,000","-32,000,000","-29,000,000","-4,000,000","-8,000,000","-28,000,000","-16,000,000","-19,000,000","-8,000,000","-9,000,000","-37,000,000","17,000,000","4,000,000","7,000,000","-18,000,000","36,000,000","-20,000,000","25,000,000","-9,000,000","1,000,000","4,000,000","-13,000,000","6,000,000","-3,000,000","1,000,000","-2,000,000","1,000,000","2,000,000"
		DepreciationAmortizationDepletion,"661,000,000","166,000,000","161,000,000","168,000,000","164,000,000","162,000,000","151,000,000","126,000,000","119,000,000","126,000,000","132,000,000","131,000,000","110,000,000","101,000,000","102,000,000","101,000,000","100,000,000","98,000,000","111,000,000","106,000,000","95,000,000","92,000,000","92,000,000","110,000,000","84,000,000","89,000,000","115,000,000","65,000,000","73,000,000","66,000,000","51,000,000","41,000,000","43,000,000","18,000,000","15,000,000","17,000,000","10,000,000","10,000,000","6,000,000","6,000,000","7,000,000","6,000,000"
			DepreciationAndAmortization,"661,000,000","166,000,000","161,000,000","168,000,000","164,000,000","162,000,000","151,000,000","126,000,000","119,000,000","126,000,000","132,000,000","131,000,000","110,000,000","101,000,000","102,000,000","101,000,000","100,000,000","98,000,000","111,000,000","106,000,000","95,000,000","92,000,000","92,000,000","110,000,000","84,000,000","89,000,000","115,000,000","65,000,000","73,000,000","66,000,000","51,000,000","41,000,000","43,000,000","18,000,000","15,000,000","17,000,000","10,000,000","10,000,000","6,000,000","6,000,000","7,000,000","6,000,000"
				Depreciation,"505,000,000","124,000,000","122,000,000","131,000,000","126,000,000","130,000,000","128,000,000","104,000,000","96,000,000","104,000,000","113,000,000","114,000,000","92,000,000","84,000,000","84,000,000","84,000,000","82,000,000","81,000,000","93,000,000","88,000,000","78,000,000","75,000,000","74,000,000","93,000,000","67,000,000","66,000,000","102,000,000","50,000,000","59,000,000","54,000,000","42,000,000","34,000,000","43,000,000","17,000,000","16,000,000","16,000,000","9,000,000","10,000,000","7,000,000","6,000,000","6,000,000","6,000,000"
