name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,06/30/2017
TotalAssets,"571,640,000","539,162,000","514,077,000","473,209,000","409,354,000","389,648,000","385,458,000","360,943,000","336,552,000","322,147,000","277,370,000","222,678,000","207,116,000","200,614,000","186,576,000","151,014,000","138,303,000","106,382,000"
	CurrentAssets,"281,558,000","259,653,000","224,974,000","189,688,000","189,962,000","178,936,000","165,979,000","187,447,000","169,402,000","157,989,000","152,939,000","136,879,000","123,029,000","115,356,000","102,971,000","68,093,000","59,700,000","65,788,000"
		CashCashEquivalentsAndShortTermInvestments,"120,725,000","114,620,000","82,599,000","70,447,000","79,395,000","84,798,000","70,623,000","101,911,000","87,754,000","79,567,000","84,245,000","70,172,000","59,339,000","51,044,000","41,765,000","15,048,000","9,462,000","23,571,000"
			CashAndCashEquivalents,"120,407,000","114,176,000","82,034,000","69,884,000","78,836,000","84,221,000","70,039,000","101,327,000","87,159,000","78,975,000","83,628,000","70,172,000","59,339,000","51,044,000","41,765,000","15,048,000","9,462,000","23,571,000"
			OtherShortTermInvestments,"318,000","444,000","565,000","563,000","559,000","577,000","584,000","584,000","595,000","592,000","617,000",,,,,,,
		Receivables,"160,833,000","145,033,000","142,375,000","113,091,000","110,567,000","94,138,000","95,356,000","78,757,000","81,648,000","78,422,000","68,694,000","60,973,000","63,690,000","64,312,000","61,202,000","48,770,000","50,181,000","40,060,000"
			AccountsReceivable,"159,197,000","143,840,000","141,511,000","88,086,000","109,104,000","91,527,000","92,743,000","60,474,000","76,496,000","74,251,000","67,901,000","47,928,000","63,041,000","63,766,000","61,126,000","26,005,000","50,181,000","30,236,000"
				GrossAccountsReceivable,,,,"91,589,000",,,,"64,058,000",,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,"-3,503,000",,,,"-3,584,000",,,,,,,,,,
			TaxesReceivable,"1,636,000","1,193,000","864,000","4,338,000","1,463,000","2,611,000","2,613,000","6,610,000","5,152,000","4,171,000","793,000","2,878,000","649,000","546,000","76,000","2,765,000",,"3,594,000"
			OtherReceivables,,,,"20,667,000",,,,"11,673,000",,,,"10,167,000",,,,"20,000,000",,"6,230,000"
		Inventory,,,,,,,,,,,,"0","0","0","4,000","16,000","57,000","62,000"
		PrepaidAssets,,,,"6,150,000",,,,"6,779,000",,,,"5,734,000",,,,"4,259,000",,"2,095,000"
	TotalNonCurrentAssets,"290,082,000","279,509,000","289,103,000","283,521,000","219,392,000","210,712,000","219,479,000","173,496,000","167,150,000","164,158,000","124,431,000","85,799,000","84,087,000","85,258,000","83,605,000","82,921,000","78,603,000","40,594,000"
		NetPPE,"69,457,000","68,961,000","70,614,000","70,517,000","53,517,000","58,821,000","61,177,000","63,881,000","61,243,000","60,885,000","48,210,000","10,579,000","9,359,000","9,989,000","9,238,000","8,584,000","8,350,000","7,486,000"
			GrossPPE,"69,457,000","68,961,000","70,614,000","90,910,000","53,517,000","58,821,000","61,177,000","82,146,000","61,243,000","60,885,000","48,210,000","26,003,000",,,,"20,710,000",,"18,343,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0",,,,,,,
				BuildingsAndImprovements,"50,780,000","51,688,000","55,130,000","57,193,000","41,927,000","46,836,000","49,020,000","51,134,000","49,366,000","49,109,000","37,382,000",,,,,,,
				MachineryFurnitureEquipment,,,,"33,220,000",,,,"30,689,000",,,,"24,846,000",,,,"20,546,000",,"18,343,000"
				OtherProperties,"18,677,000","17,273,000","15,484,000","13,324,000","11,590,000","11,985,000","12,157,000","12,747,000","11,877,000","11,776,000","10,828,000",,,,,,,
				ConstructionInProgress,,,,"497,000",,,,"323,000",,,,"1,157,000",,,,"164,000",,"0"
			AccumulatedDepreciation,,,,"-20,393,000",,,,"-18,265,000",,,,"-15,424,000",,,,"-12,126,000",,"-10,857,000"
		GoodwillAndOtherIntangibleAssets,"202,500,000","188,953,000","194,335,000","193,967,000","152,376,000","137,700,000","141,733,000","95,636,000","95,726,000","90,945,000","65,314,000","65,670,000","69,997,000","72,750,000","71,875,000","71,849,000","69,318,000","32,227,000"
			Goodwill,"141,621,000","124,591,000","126,440,000","124,417,000","119,506,000","102,739,000","104,780,000","56,885,000","56,219,000","59,467,000","36,251,000","36,760,000","41,197,000","42,447,000","41,494,000","41,062,000","39,267,000","16,198,000"
			OtherIntangibleAssets,"60,879,000","64,362,000","67,895,000","69,550,000","32,870,000","34,961,000","36,953,000","38,751,000","39,507,000","31,478,000","29,063,000","28,910,000","28,800,000","30,303,000","30,381,000","30,787,000","30,051,000","16,029,000"
		InvestmentsAndAdvances,"189,000","189,000","225,000","363,000","529,000","639,000","772,000","639,000","850,000","881,000","1,066,000",,,,,"0","9,000","14,000"
			InvestmentinFinancialAssets,"189,000","189,000","225,000","363,000","529,000","639,000","772,000","639,000","850,000","881,000","1,066,000",,,,,"0","9,000","14,000"
				AvailableForSaleSecurities,,,,,,,,,,,,,,,,,"9,000","14,000"
		NonCurrentDeferredAssets,"17,936,000","21,406,000","23,929,000","18,674,000","12,970,000","13,552,000","15,797,000","13,340,000","9,331,000","11,447,000","9,841,000","9,550,000","4,731,000","2,519,000","2,492,000","2,488,000","926,000","867,000"
			NonCurrentDeferredTaxesAssets,"17,936,000","21,406,000","23,929,000","18,674,000","12,970,000","13,552,000","15,797,000","13,340,000","9,331,000","11,447,000","9,841,000","9,550,000","4,731,000","2,519,000","2,492,000","2,488,000","926,000","867,000"
TotalLiabilitiesNetMinorityInterest,"176,632,000","175,554,000","179,397,000","172,540,000","134,006,000","130,806,000","136,706,000","124,616,000","128,698,000","132,166,000","94,585,000","56,349,000","51,480,000","52,024,000","49,676,000","81,515,000","75,808,000","57,662,000"
	CurrentLiabilities,"115,981,000","119,097,000","117,454,000","102,813,000","84,848,000","81,013,000","85,240,000","76,386,000","81,249,000","87,775,000","62,914,000","54,203,000","49,032,000","49,136,000","46,590,000","71,135,000","64,897,000","54,760,000"
		PayablesAndAccruedExpenses,"93,201,000","94,444,000","93,498,000","75,334,000","68,903,000","64,986,000","68,963,000","54,035,000","67,496,000","73,494,000","53,065,000","46,100,000","46,028,000","43,162,000","40,825,000","38,143,000","33,487,000","19,713,000"
			Payables,"93,201,000","94,444,000","93,498,000","21,396,000","68,903,000","64,986,000","68,963,000","11,901,000","67,496,000","73,494,000","53,065,000","12,774,000","46,028,000","43,162,000","40,825,000","9,211,000","33,487,000","9,058,000"
				AccountsPayable,"88,868,000","94,060,000","85,972,000","6,998,000","65,379,000","63,121,000","66,078,000","2,159,000","63,241,000","72,511,000","48,095,000","4,220,000","43,983,000","41,892,000","40,825,000","4,504,000","32,843,000","3,722,000"
				TotalTaxPayable,"4,333,000","384,000","7,526,000","14,398,000","3,524,000","1,865,000","2,885,000","9,742,000","4,255,000","983,000","4,970,000","8,554,000","2,045,000","1,270,000","0","4,707,000","644,000","5,336,000"
					IncomeTaxPayable,"4,333,000","384,000","7,526,000","4,294,000","3,524,000","1,865,000","2,885,000","1,449,000","4,255,000","983,000","4,970,000","2,920,000","2,045,000","1,270,000","0","1,488,000","644,000","1,000,000"
			CurrentAccruedExpenses,,,,"53,938,000",,,,"42,134,000",,,,"33,326,000",,,,"28,932,000",,"10,655,000"
		CurrentProvisions,,,,,,,,,,,,,,,,,,"172,000"
		CurrentDebtAndCapitalLeaseObligation,"11,779,000","11,960,000","13,007,000","13,543,000","12,170,000","12,150,000","11,102,000","11,132,000","10,763,000","11,443,000","8,564,000","21,000","29,000","39,000","41,000","19,744,000","23,612,000","29,402,000"
			CurrentDebt,,,,,,,,,"22,000","954,000","12,000","21,000","29,000","39,000","41,000","19,700,000","23,612,000","29,314,000"
				LineOfCredit,,,,,,,,,,,,,,,,"19,700,000",,"29,288,000"
				OtherCurrentBorrowings,,,,,,,,,"22,000","954,000","12,000",,,,,,,"26,000"
			CurrentCapitalLeaseObligation,"11,779,000","11,960,000","13,007,000","13,543,000","12,170,000","12,150,000","11,102,000","11,132,000","10,741,000","10,489,000","8,552,000","21,000",,,,"44,000",,"88,000"
		CurrentDeferredLiabilities,"6,987,000","6,789,000","5,045,000","4,515,000","2,693,000","2,786,000","3,783,000","6,967,000","1,787,000","1,707,000","0","3,853,000","1,516,000","4,691,000","4,512,000","6,812,000","2,851,000","1,604,000"
			CurrentDeferredRevenue,,,,"3,891,000",,,,"3,203,000",,,,"2,337,000",,,,"2,411,000",,"1,604,000"
		OtherCurrentLiabilities,"4,014,000","5,904,000","5,904,000","9,421,000","1,082,000","1,091,000","1,392,000","4,252,000","1,203,000","1,131,000","1,285,000","4,229,000","1,459,000","1,244,000","1,212,000","6,436,000","4,947,000","3,869,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"60,651,000","56,457,000","61,943,000","69,727,000","49,158,000","49,793,000","51,466,000","48,230,000","47,449,000","44,391,000","31,671,000","2,146,000","2,448,000","2,888,000","3,086,000","10,380,000","10,911,000","2,902,000"
		LongTermProvisions,,,,,,,,,,,,,,,,,,"34,000"
		LongTermDebtAndCapitalLeaseObligation,"44,036,000","44,648,000","47,548,000","50,142,000","34,561,000","39,141,000","40,563,000","42,233,000","40,409,000","39,545,000","29,603,000",,"1,000","3,000","12,000","20,000","34,000","63,000"
			LongTermDebt,,,,,,,,,,,,,"1,000","3,000","12,000","20,000","34,000",
			LongTermCapitalLeaseObligation,"44,036,000","44,648,000","47,548,000","50,142,000","34,561,000","39,141,000","40,563,000","42,233,000","40,409,000","39,545,000","29,603,000",,,,,"20,000",,"63,000"
		NonCurrentDeferredLiabilities,"12,429,000","11,618,000","14,186,000","19,380,000","12,650,000","10,514,000","10,770,000","5,861,000","6,919,000","4,738,000","1,950,000","2,033,000","2,380,000","2,601,000","2,795,000","2,832,000","3,859,000","2,586,000"
			NonCurrentDeferredTaxesLiabilities,"8,437,000","8,787,000","9,553,000","10,010,000","5,149,000","5,497,000","5,691,000","5,861,000","5,000,000","2,837,000","1,950,000","2,033,000","2,380,000","2,601,000","2,795,000","2,832,000","2,621,000","2,586,000"
		OtherNonCurrentLiabilities,"4,186,000","191,000","209,000","205,000","1,947,000","138,000","133,000","136,000","121,000","108,000","118,000","113,000","67,000","284,000","279,000","7,528,000","7,018,000","219,000"
TotalEquityGrossMinorityInterest,"395,008,000","363,608,000","334,680,000","300,669,000","275,348,000","258,842,000","248,752,000","236,327,000","207,854,000","189,981,000","182,785,000","166,329,000","155,636,000","148,590,000","136,900,000","69,499,000","62,495,000","48,720,000"
