name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalAssets,"267,779,000","289,821,000","303,783,000","316,537,000","160,880,000","45,661,000"
	CurrentAssets,"267,368,000","289,368,000","303,311,000","316,025,000","158,755,000","45,071,000"
		CashCashEquivalentsAndShortTermInvestments,"262,731,000","284,309,000","297,160,000","309,996,000","154,870,000","43,728,000"
			CashAndCashEquivalents,"262,731,000","284,309,000","297,160,000","309,996,000","154,870,000","43,728,000"
				CashFinancial,"172,466,000",,,,,"43,728,000"
				CashEquivalents,"90,265,000",,,,,
		PrepaidAssets,"4,637,000","5,059,000","6,151,000","6,029,000","3,885,000","1,343,000"
	TotalNonCurrentAssets,"411,000","453,000","472,000","512,000","2,125,000","590,000"
		NetPPE,"246,000","284,000","335,000","386,000","435,000","483,000"
			GrossPPE,"287,000","320,000","366,000","412,000","455,000","499,000"
				Properties,"0","0","0","0","0","0"
				MachineryFurnitureEquipment,"78,000","78,000","78,000","78,000","78,000","78,000"
				OtherProperties,"195,000","227,000","273,000","319,000","363,000","406,000"
				Leases,"14,000","15,000","15,000","15,000","14,000","15,000"
			AccumulatedDepreciation,"-41,000","-36,000","-31,000","-26,000","-20,000","-16,000"
		NonCurrentPrepaidAssets,"165,000","169,000","137,000","126,000","1,690,000","107,000"
TotalLiabilitiesNetMinorityInterest,"8,176,000","8,673,000","6,111,000","4,774,000","224,946,000","94,164,000"
	CurrentLiabilities,"8,176,000","8,657,000","6,046,000","4,662,000","3,066,000","1,996,000"
		PayablesAndAccruedExpenses,"7,618,000","8,349,000","5,659,000","4,367,000","2,174,000","1,771,000"
			Payables,"701,000","1,744,000","683,000","348,000","686,000","202,000"
				AccountsPayable,"701,000","1,744,000","683,000","348,000","686,000","202,000"
			CurrentAccruedExpenses,"6,917,000","6,605,000","4,976,000","4,019,000","1,488,000","1,569,000"
		CurrentDebtAndCapitalLeaseObligation,"171,000","204,000","202,000","201,000","199,000","198,000"
			CurrentCapitalLeaseObligation,"171,000","204,000","202,000","201,000","199,000","198,000"
		CurrentDeferredLiabilities,,,,,"686,000",
		OtherCurrentLiabilities,"387,000","104,000","185,000","94,000","7,000","27,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"0","16,000","65,000","112,000","221,880,000","92,168,000"
		LongTermDebtAndCapitalLeaseObligation,"0","16,000","65,000","112,000","159,000","204,000"
			LongTermCapitalLeaseObligation,"0","16,000","65,000","112,000","159,000","204,000"
		PreferredSecuritiesOutsideStockEquity,,,,"0","221,721,000","91,964,000"
TotalEquityGrossMinorityInterest,"259,603,000","281,148,000","297,672,000","311,763,000","-64,066,000","-48,503,000"
	StockholdersEquity,"259,603,000","281,148,000","297,672,000","311,763,000","-68,849,000","-54,205,000"
		CapitalStock,"6,000","6,000","6,000","6,000","2,000,000","2,000,000"
			PreferredStock,,"0",,"0","4,783,000",
			CommonStock,"6,000","6,000","6,000","6,000","2,000,000","2,000,000"
		AdditionalPaidInCapital,"414,831,000","408,629,000","403,214,000","398,065,000",,
		RetainedEarnings,"-155,234,000","-127,487,000","-105,548,000","-86,308,000","-72,024,000","-56,842,000"
		OtherEquityInterest,,,,,"1,175,000","637,000"
	MinorityInterest,,"0",,"0","4,783,000","5,702,000"
TotalCapitalization,"259,603,000","281,148,000","297,672,000","311,763,000","-68,849,000","-54,205,000"
PreferredStockEquity,,,,,"4,783,000",
CommonStockEquity,"259,603,000","281,148,000","297,672,000","311,763,000","-68,849,000","-54,205,000"
CapitalLeaseObligations,"171,000","220,000","267,000","313,000","358,000","402,000"
NetTangibleAssets,"259,603,000","281,148,000","297,672,000","311,763,000","-68,849,000","-54,205,000"
WorkingCapital,"259,192,000","280,711,000","297,265,000","311,363,000","155,689,000","43,075,000"
InvestedCapital,"259,603,000","281,148,000","297,672,000","311,763,000","-68,849,000","-54,205,000"
TangibleBookValue,"259,603,000","281,148,000","297,672,000","311,763,000","-68,849,000","-54,205,000"
TotalDebt,"171,000","220,000","267,000","313,000","358,000","402,000"
ShareIssued,"61,911,929","61,952,292","61,928,939","61,928,939","60,337,415","60,337,415"
OrdinarySharesNumber,"61,911,929","61,952,292","61,928,939","61,928,939","60,337,415","60,337,415"
