Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,9.780000,10.560000,9.780000,9.830000,9.830000,8600
2021-10-06,9.900000,9.900000,9.750000,9.840000,9.840000,82200
2021-10-07,9.860000,9.921000,9.860000,9.905000,9.905000,27400
2021-10-08,10.060000,10.060000,9.900000,9.907000,9.907000,700
2021-10-11,9.850000,9.890000,9.810000,9.880000,9.880000,16100
2021-10-12,9.800000,9.940000,9.800000,9.910000,9.910000,154000
2021-10-13,9.950000,9.960000,9.910000,9.950000,9.950000,6800
2021-10-14,9.900000,9.900000,9.830000,9.870000,9.870000,700900
2021-10-15,9.900000,9.900000,9.880000,9.900000,9.900000,135700
2021-10-18,9.900000,9.900000,9.880000,9.900000,9.900000,901700
2021-10-19,9.900000,9.910000,9.890000,9.905000,9.905000,82800
2021-10-20,9.854000,9.900000,9.850000,9.860000,9.860000,327100
2021-10-21,9.870000,9.880000,9.870000,9.870000,9.870000,188400
2021-10-22,9.870000,9.870000,9.860000,9.864000,9.864000,5500
2021-10-25,9.870000,9.920000,9.860000,9.920000,9.920000,32900
2021-10-26,9.880000,9.930000,9.880000,9.890000,9.890000,209300
2021-10-27,9.890000,9.890000,9.860000,9.860000,9.860000,24300
2021-10-28,9.880000,9.900000,9.880000,9.900000,9.900000,175500
2021-10-29,9.900000,9.900000,9.870000,9.890000,9.890000,64000
2021-11-01,9.930000,9.940000,9.880000,9.915000,9.915000,12600
2021-11-02,9.930000,9.940000,9.910000,9.910000,9.910000,162100
2021-11-03,9.930000,9.950000,9.910000,9.940000,9.940000,44400
2021-11-04,9.950000,10.000000,9.920000,9.965000,9.965000,1740900
2021-11-05,9.970000,10.028000,9.910000,9.910000,9.910000,20700
2021-11-08,9.910000,9.980000,9.890000,9.900000,9.900000,27700
2021-11-09,9.900000,9.941000,9.900000,9.910000,9.910000,5700
2021-11-10,9.920000,9.920000,9.890000,9.890000,9.890000,1000700
2021-11-11,9.890000,9.920000,9.890000,9.900000,9.900000,48400
2021-11-12,9.900000,9.980000,9.900000,9.920000,9.920000,73300
2021-11-15,9.960000,9.960000,9.900000,9.940000,9.940000,133000
2021-11-16,9.940000,10.000000,9.920000,10.000000,10.000000,32500
2021-11-17,10.000000,10.000000,9.930000,9.980000,9.980000,11400
2021-11-18,9.977000,9.977000,9.910000,9.950000,9.950000,9500
2021-11-19,9.950000,9.960000,9.920000,9.937000,9.937000,66300
2021-11-22,9.920000,9.935000,9.920000,9.930000,9.930000,4300
2021-11-23,9.930000,9.930000,9.910000,9.930000,9.930000,12500
2021-11-24,9.900000,9.910000,9.880000,9.910000,9.910000,20500
2021-11-26,9.910000,9.920000,9.910000,9.918000,9.918000,1600
2021-11-29,9.920000,9.920000,9.890000,9.920000,9.920000,21000
2021-11-30,9.900000,9.930000,9.880000,9.930000,9.930000,5800
2021-12-01,9.898000,9.900000,9.890000,9.890000,9.890000,22800
2021-12-02,9.890000,9.910000,9.890000,9.910000,9.910000,21000
