name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
OperatingCashFlow,"461,377,000","139,470,000","107,369,000","117,744,000","96,794,000","125,044,000","63,489,000","119,920,000","83,299,000","153,510,000","110,618,000","130,792,000","95,687,000","132,489,000","101,139,000","115,963,000","98,263,000","117,617,000","94,015,000","110,080,000","91,050,000","107,552,000","73,786,000","98,892,000","76,930,000","89,841,000","65,776,000","69,456,000","63,269,000","72,926,000","52,006,000","67,907,000","53,367,000","73,435,000","53,249,000","67,703,000","51,126,000","71,895,000","44,731,000","56,007,000","49,614,000","60,021,000","45,263,000","53,477,000","47,925,000","61,173,000","52,278,000","53,002,000","34,877,000","48,718,000","35,687,000","48,992,000","40,752,000","54,912,000","46,013,000","46,039,000","36,736,000","54,043,000","30,533,000","45,059,000","36,624,000","42,589,000","38,582,000","38,071,000","26,861,000","43,106,000","29,313,000"
	CashFlowFromContinuingOperatingActivities,"461,377,000","139,470,000","107,369,000","117,744,000","96,794,000","125,044,000","63,489,000","119,920,000","83,299,000","153,510,000","110,618,000","130,792,000","95,687,000","132,489,000","101,139,000","115,963,000","98,263,000","117,617,000","94,015,000","110,080,000","91,050,000","107,552,000","73,786,000","98,892,000","76,930,000","89,841,000","65,776,000","69,456,000","63,269,000","72,926,000","52,006,000","67,907,000","53,367,000","73,435,000","53,249,000","67,703,000","51,126,000","71,895,000","44,731,000","56,007,000","49,614,000","60,021,000","45,263,000","53,477,000","47,925,000","61,173,000","52,278,000","53,002,000","34,877,000","48,718,000","35,687,000","48,992,000","40,752,000","54,912,000","46,013,000","46,039,000","36,736,000","54,043,000","30,533,000","45,059,000","36,624,000","42,589,000","38,582,000","38,071,000","26,861,000","43,106,000","29,313,000"
		NetIncomeFromContinuingOperations,"74,802,000","26,259,000","18,815,000","15,746,000","13,982,000","7,588,000","16,170,000","-1,859,000","-5,472,000","29,714,000","322,629,000","23,421,000","39,860,000","32,788,000","23,532,000","35,416,000","37,033,000","32,631,000","31,986,000","28,508,000","22,153,000","21,780,000","22,466,000","35,798,000","21,780,000","16,046,000","16,606,000","14,159,000","15,894,000","22,096,000","12,798,000","8,681,000","15,917,000","15,458,000","10,504,000","12,743,000","14,978,000","14,612,000","7,340,000","6,228,000","8,075,000","6,702,000","4,408,000","4,404,000",,,"-6,439,000","-4,743,000","-11,305,000","-10,469,000","-11,277,000","-11,112,000","-9,518,000","-2,250,000","-6,369,000","-9,696,000","-9,428,000","-2,500,000","-5,690,000","-2,785,000","-1,260,000","-3,273,000","-29,068,000","-25,706,000","5,329,000","12,492,000","12,557,000"
		OperatingGainsLosses,"-1,026,000","-247,000","-233,000","-260,000","-286,000","-167,000","-6,495,000","-145,000","140,000","-323,000","-309,272,000","-1,824,000","-2,214,000","-1,551,000","-1,878,000","-1,348,000","-1,668,000","-1,506,000","-1,465,000","-1,124,000","-1,101,000","-2,164,000","-2,444,000","-15,579,000","-2,726,000","-1,586,000","-4,212,000","-898,000","-1,207,000","-1,443,000","-988,000","-658,000","-925,000","-1,092,000","258,000","-788,000","-1,315,000","-1,165,000","-1,028,000","1,827,000","13,760,000","-3,893,000","2,638,000","2,845,000","17,719,000","-3,838,000","-4,372,000","-4,694,000","-4,437,000","-5,786,000","-8,429,000","-5,626,000","-5,711,000","-14,996,000",,"-10,640,000",,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,"13,000","13,000","12,000","13,000","-196,000","-13,245,000",,,,,,,"0","7,000","22,000","21,000","21,000","23,000","20,000","24,000","-2,738,000","1,827,000",,,"2,638,000","2,845,000",,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-1,026,000","-247,000","-233,000","-260,000","-286,000","-167,000","-102,000","-145,000","140,000","-323,000","-1,334,000","-1,831,000","-2,207,000","-1,551,000","-1,878,000","-1,348,000","-1,668,000","-1,506,000","-1,478,000","-1,137,000","-1,113,000","-2,177,000","-2,248,000","-2,334,000","-1,644,000","-1,586,000","-4,146,000","-898,000","-1,207,000","-1,443,000","-988,000","-665,000","-947,000","-1,113,000","237,000","-811,000","-1,335,000","-1,189,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"359,633,000","87,568,000","89,615,000","90,941,000","91,509,000","89,683,000","90,412,000","90,987,000","94,450,000","93,521,000","105,122,000","86,276,000","74,328,000","75,753,000","85,138,000","69,119,000","67,236,000","66,346,000","65,904,000","65,160,000","64,509,000","63,182,000","62,184,000","58,726,000","57,558,000","52,248,000","48,730,000","49,363,000","48,106,000","40,034,000","45,685,000","46,699,000","47,396,000","46,648,000","46,100,000","43,465,000","44,123,000","41,970,000","41,647,000","41,919,000","37,392,000","45,797,000","40,828,000","40,816,000","46,433,000","57,153,000","57,156,000","57,621,000","54,921,000","55,332,000","54,288,000","55,529,000","55,729,000","61,074,000","65,534,000","63,611,000","63,496,000","57,111,000","55,406,000","71,348,000","30,557,000","51,121,000","42,757,000","32,536,000","26,901,000","25,783,000","29,461,000"
			DepreciationAndAmortization,"359,633,000","87,568,000","89,615,000","90,941,000","91,509,000","89,683,000","90,412,000","90,987,000","94,450,000","93,521,000","105,122,000","86,276,000","74,328,000","75,753,000","85,138,000","69,119,000","67,236,000","66,346,000","65,904,000","65,160,000","64,509,000","63,182,000","62,184,000","58,726,000","57,558,000","52,248,000","48,730,000","49,363,000","48,106,000","40,034,000","45,685,000","46,699,000","47,396,000","46,648,000","46,100,000","43,465,000","44,123,000","41,970,000","41,647,000","41,919,000","37,392,000","45,797,000","40,828,000","40,816,000","46,433,000","57,153,000","57,156,000","57,621,000","54,921,000","55,332,000","54,288,000","55,529,000","55,729,000","61,074,000","65,534,000","63,611,000","63,496,000","57,111,000","55,406,000","71,348,000","30,557,000","51,121,000","42,757,000","32,536,000","26,901,000","25,783,000","29,461,000"
				Depreciation,"367,857,000","89,365,000","91,488,000","93,104,000","93,900,000","92,797,000","93,754,000","94,952,000","98,765,000","97,777,000","108,867,000","90,279,000","78,724,000","79,873,000","89,920,000","74,067,000","73,379,000","72,498,000","70,620,000","69,974,000","68,793,000","67,374,000","66,967,000","63,827,000","62,568,000","55,552,000","52,024,000","52,229,000","51,246,000","49,834,000","51,263,000","50,111,000","50,939,000","50,199,000","49,823,000","47,413,000","48,091,000","46,024,000","45,778,000","46,546,000",,,"45,557,000","45,872,000",,,,,,,,,,,,,,"56,749,000","57,349,000","50,629,000",,,,,,,
				AmortizationCashFlow,"-8,224,000","-1,797,000","-1,873,000","-2,163,000","-2,391,000","-3,114,000","-3,342,000","-3,965,000","-4,315,000","-4,256,000","-3,745,000","-4,003,000","-4,396,000","-4,120,000","-4,782,000","-4,948,000","-6,143,000","-6,152,000","-4,716,000","-4,814,000","-4,284,000","-4,192,000","-4,783,000","-5,101,000","-5,010,000","-3,304,000","-3,294,000","-2,866,000","-3,140,000","-9,800,000","-5,578,000","-3,412,000","-3,543,000","-3,551,000","-3,723,000","-3,948,000","-3,968,000","-4,054,000","-4,131,000","-4,627,000",,,"-4,729,000","-5,056,000",,,,,,,,,,,,,,"362,000","-1,943,000","20,719,000",,,,,,,
