name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989
OperatingCashFlow,"2,612,336,000","449,516,000","639,095,000","909,172,000","614,553,000","702,991,000","492,619,000","476,205,000","1,171,009,000","1,736,326,000","576,888,000","530,589,000","556,326,000","574,195,000","629,433,000","416,828,000","548,641,000","548,648,000","659,228,000","356,650,000","275,768,000","510,462,000","480,627,000","331,080,000","389,381,000","403,953,000","597,445,000","223,491,000","213,159,000","343,893,000","474,197,000","353,623,000","235,464,000","251,460,000","452,490,000","276,460,000","336,889,000","147,226,000","440,466,000","317,394,000","180,853,000","192,639,000","445,981,000","206,060,000","174,867,000","223,572,000","426,062,000","123,739,000","187,910,000","86,973,000","277,516,000","147,262,000","134,972,000","108,893,000","314,036,000","-35,382,000","144,963,000","151,561,000","273,432,000","25,815,000","113,017,000","29,286,000","385,597,000","105,898,000","-70,022,000","-16,116,000","320,768,000","35,701,000","144,265,000","54,751,000","368,855,000","2,856,000","-35,589,000","53,614,000","347,671,000","57,218,000","113,973,000","-308,000","306,040,000","47,388,000","5,792,000","74,820,000","223,881,000","31,928,000","-30,219,000","40,038,000","255,549,000","19,339,000","45,580,000","-104,963,000","266,557,000","42,600,000","-42,400,000","-126,400,000","319,410,000","-48,800,000","-28,100,000","-23,900,000","179,219,000","-43,400,000","7,700,000","-4,400,000","182,091,000","-46,600,000","44,700,000","-10,100,000","141,031,000","-62,000,000","-50,600,000","-46,200,000","75,457,000","900,000","-21,600,000","-11,500,000","89,000,000","-16,300,000","5,500,000","-15,600,000","45,700,000","-8,700,000","-4,000,000","9,700,000","37,300,000","-13,300,000","-6,900,000","200,000","44,500,000","3,800,000","-9,300,000","-15,200,000","41,700,000","2,600,000"
	CashFlowFromContinuingOperatingActivities,"2,612,336,000","449,516,000","639,095,000","909,172,000","614,553,000","702,991,000","492,619,000","476,205,000","1,171,009,000","1,736,326,000","576,888,000","530,589,000","556,326,000","574,195,000","629,433,000","416,828,000","548,641,000","548,648,000","659,228,000","356,650,000","275,768,000","510,462,000","480,627,000","331,080,000","389,381,000","403,953,000","597,445,000","223,491,000","213,159,000","343,893,000","474,197,000","353,623,000","235,464,000","251,460,000","452,490,000","276,460,000","336,889,000","147,226,000","440,466,000","317,394,000","180,853,000","192,639,000","445,981,000","206,060,000","174,867,000","223,572,000","426,062,000","123,739,000","187,910,000","86,973,000","277,516,000","147,262,000","134,972,000","108,893,000","314,036,000","-35,382,000","144,963,000","151,561,000","273,432,000","25,815,000","113,017,000","29,286,000","385,597,000","105,898,000","-70,022,000","-16,116,000","320,768,000","35,701,000","144,265,000","54,751,000","368,855,000","2,856,000","-35,589,000","53,614,000","347,671,000","57,218,000","113,973,000","-308,000","306,040,000","47,388,000","5,792,000","74,820,000","223,881,000","31,928,000","-30,219,000","40,038,000","255,549,000","19,339,000","45,580,000","-104,963,000","266,557,000","42,600,000","-42,400,000","-126,400,000","319,410,000","-48,800,000","-28,100,000","-23,900,000","179,219,000","-43,400,000","7,700,000","-4,400,000","182,091,000","-46,600,000","44,700,000","-10,100,000","141,031,000","-62,000,000","-50,600,000","-46,200,000","75,457,000","900,000","-21,600,000","-11,500,000","89,000,000","-16,300,000","5,500,000","-15,600,000","45,700,000","-8,700,000","-4,000,000","9,700,000","37,300,000","-13,300,000","-6,900,000","200,000","44,500,000","3,800,000","-9,300,000","-15,200,000","41,700,000","2,600,000"
		NetIncomeFromContinuingOperations,"2,274,140,000","552,657,000","597,433,000","487,031,000","637,019,000","677,749,000","642,743,000","574,260,000","787,601,000","650,446,000","535,437,000","365,550,000","426,555,000","385,013,000","483,241,000","334,142,000","407,237,000","364,852,000","712,155,000","252,533,000","294,783,000","279,489,000","414,176,000","235,315,000","306,518,000","295,124,000","376,175,000","253,321,000","282,349,000","253,235,000","355,371,000","236,316,000","251,260,000","222,398,000","322,173,000","237,385,000","245,475,000","220,083,000","317,422,000","207,685,000","214,140,000","213,415,000","292,510,000","171,164,000","146,042,000","156,969,000","222,546,000","128,120,000","141,195,000","135,996,000","87,197,000","75,649,000","93,590,000","83,006,000","81,854,000","-7,306,000","27,718,000","5,916,000","55,389,000","-33,032,000","-70,048,000","34,875,000","50,090,000","-5,285,000","45,468,000","47,670,000","145,272,000","64,425,000","75,558,000","64,900,000","133,893,000","71,126,000","71,322,000","67,849,000","102,829,000","77,903,000","59,936,000","60,332,000","108,086,000","68,570,000","42,362,000","45,928,000","97,443,000","46,737,000","27,100,000","36,233,000","-63,998,000","50,990,000","39,310,000","44,340,000","90,627,000","50,800,000","41,700,000","36,300,000","78,033,000","40,300,000","33,300,000","30,400,000","65,028,000","33,600,000","26,700,000","19,300,000","51,500,000","26,700,000","21,900,000","15,000,000","38,518,000","20,000,000","17,700,000","11,600,000","32,834,000","17,300,000","14,000,000","9,500,000","22,100,000","11,000,000","9,600,000","5,900,000","16,800,000","8,200,000","6,700,000","3,900,000","12,300,000","4,300,000","3,700,000","1,200,000","8,900,000","2,800,000","2,500,000","400,000","7,300,000","2,800,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"0","0",,,"0","0","0","3,502,000",,,,,"0",,,,,,,,"0","0","0","18,871,000","0","0","28,991,000","1,629,000","0","0","58,136,000","2,167,000","0","8,189,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"659,733,000","172,563,000","166,371,000","162,263,000","158,536,000","154,146,000","149,771,000","145,849,000","140,962,000","137,655,000","132,426,000","126,470,000","123,423,000","122,485,000","117,771,000","114,852,000","112,176,000","109,335,000","105,660,000","100,955,000","99,030,000","98,586,000","97,545,000","95,444,000","94,618,000","92,324,000","89,144,000","88,553,000","87,582,000","87,152,000","86,594,000","86,261,000","85,340,000","84,158,000","85,165,000","84,435,000","82,744,000","80,493,000","80,513,000","76,138,000","73,989,000","72,271,000","70,637,000","68,900,000","68,385,000","67,486,000","65,188,000","63,583,000","62,904,000","63,252,000","62,726,000","62,977,000","66,537,000","64,531,000","63,744,000","62,132,000","60,617,000","61,406,000","59,306,000","65,332,000","59,041,000","50,451,000","51,697,000","51,431,000","48,702,000","48,778,000","49,007,000","47,501,000","46,310,000","44,006,000","41,596,000","42,185,000","41,061,000","39,636,000","39,285,000","38,231,000","38,127,000","36,756,000","32,657,000","36,283,000","34,015,000","32,004,000","30,863,000","31,124,000","31,090,000","29,890,000","52,828,000","20,619,000","19,345,000","18,607,000","110,744,000","-16,500,000","-15,500,000","-14,800,000","91,912,000","-13,500,000","-12,900,000","-12,400,000","66,534,000","-10,000,000","-9,200,000","-8,600,000","53,965,000","-8,100,000","-7,600,000","-7,300,000","43,145,000","-6,500,000","-6,000,000","-5,400,000","21,663,000","3,400,000","-4,100,000","-3,700,000","4,800,000","-3,100,000","-2,700,000","-2,500,000","-2,200,000","-2,200,000","-1,900,000","-1,900,000","-1,900,000","-1,700,000","-1,600,000","-1,500,000","-1,700,000","-1,700,000","-1,600,000","-1,500,000","-1,900,000","-1,400,000"
			DepreciationAndAmortization,"659,733,000","172,563,000","166,371,000","162,263,000","158,536,000","154,146,000","149,771,000","145,849,000","140,962,000","137,655,000","132,426,000","126,470,000","123,423,000","122,485,000","117,771,000","114,852,000","112,176,000","109,335,000","105,660,000","100,955,000","99,030,000","98,586,000","97,545,000","95,444,000","94,618,000","92,324,000","89,144,000","88,553,000","87,582,000","87,152,000","86,594,000","86,261,000","85,340,000","84,158,000","85,165,000","84,435,000","82,744,000","80,493,000","80,513,000","76,138,000","73,989,000","72,271,000","70,637,000","68,900,000","68,385,000","67,486,000","65,188,000","63,583,000","62,904,000","63,252,000","62,726,000","62,977,000","66,537,000","64,531,000","63,744,000","62,132,000","60,617,000","61,406,000","59,306,000","65,332,000","59,041,000","50,451,000","51,697,000","51,431,000","48,702,000","48,778,000","49,007,000","47,501,000","46,310,000","44,006,000","41,596,000","42,185,000","41,061,000","39,636,000","39,285,000","38,231,000","38,127,000","36,756,000","32,657,000","36,283,000","34,015,000","32,004,000","30,863,000","31,124,000","31,090,000","29,890,000","52,828,000","20,619,000","19,345,000","18,607,000","110,744,000","-16,500,000","-15,500,000","-14,800,000","91,912,000","-13,500,000","-12,900,000","-12,400,000","66,534,000","-10,000,000","-9,200,000","-8,600,000","53,965,000","-8,100,000","-7,600,000","-7,300,000","43,145,000","-6,500,000","-6,000,000","-5,400,000","21,663,000","3,400,000","-4,100,000","-3,700,000","4,800,000","-3,100,000","-2,700,000","-2,500,000","-2,200,000","-2,200,000","-1,900,000","-1,900,000","-1,900,000","-1,700,000","-1,600,000","-1,500,000","-1,700,000","-1,700,000","-1,600,000","-1,500,000","-1,900,000","-1,400,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-16,500,000","-15,500,000","-14,800,000",,"-13,500,000","-12,900,000","-12,400,000",,"-10,000,000","-9,200,000","-8,600,000",,"-8,100,000","-7,600,000","-7,300,000",,"-6,500,000","-6,000,000","-5,400,000",,"3,400,000","-4,100,000","-3,700,000","4,800,000","-3,100,000","-2,700,000","-2,500,000","-2,200,000","-2,200,000","-1,900,000","-1,900,000","-1,900,000","-1,700,000","-1,600,000","-1,500,000","-1,700,000","-1,700,000","-1,600,000","-1,500,000","-1,900,000","-1,400,000"
		DeferredTax,"137,244,000","81,679,000","43,937,000","-333,000","11,961,000","58,794,000","23,769,000","-3,286,000","-10,291,000","24,784,000","41,099,000","6,190,000","-2,185,000","10,303,000","26,535,000","13,290,000","4,454,000","8,046,000","-175,221,000","30,823,000","-2,766,000","9,516,000","15,566,000","-10,366,000","-382,000","7,541,000","86,023,000","-26,986,000","-24,197,000","-36,412,000","17,722,000","2,271,000","-21,934,000","-27,940,000","-46,161,000","-3,126,000","-4,920,000","-13,634,000","-29,243,000","-1,035,000","-40,371,000","-19,708,000","-46,847,000","5,841,000","10,743,000","7,393,000","25,778,000","35,454,000","-15,470,000","5,223,000","-30,828,000","27,730,000","-2,893,000","15,461,000","43,953,000","47,689,000","-12,608,000","-5,600,000","16,924,000","17,005,000","-30,304,000","-4,948,000","7,610,000","-51,636,000","206,000","5,602,000","7,951,000","13,742,000","-16,789,000","3,340,000","-1,381,000","-1,885,000","16,458,000","12,559,000","-1,062,000","3,255,000","9,157,000","8,500,000","14,443,000","-18,872,000","47,437,000","39,859,000","12,572,000","-3,168,000","-2,891,000","264,000","-75,488,000","-1,663,000","-4,026,000","3,235,000","38,848,000","-8,700,000","-6,600,000","-5,600,000","21,586,000","-9,500,000","100,000","-800,000","14,612,000","0","-2,500,000","2,200,000","10,278,000","0","-500,000","1,100,000","-193,000","-1,300,000","1,400,000","-500,000","-902,000","700,000","-900,000","-200,000","1,900,000","-600,000","-700,000","-700,000","-1,100,000","-900,000","-200,000","-100,000","-1,700,000",,,,"-500,000",,,,"-500,000",
			DeferredIncomeTax,"137,244,000","81,679,000","43,937,000","-333,000","11,961,000","58,794,000","23,769,000","-3,286,000","-10,291,000","24,784,000","41,099,000","6,190,000","-2,185,000","10,303,000","26,535,000","13,290,000","4,454,000","8,046,000","-175,221,000","30,823,000","-2,766,000","9,516,000","15,566,000","-10,366,000","-382,000","7,541,000","86,023,000","-26,986,000","-24,197,000","-36,412,000","17,722,000","2,271,000","-21,934,000","-27,940,000","-46,161,000","-3,126,000","-4,920,000","-13,634,000","-29,243,000","-1,035,000","-40,371,000","-19,708,000","-46,847,000","5,841,000","10,743,000","7,393,000","25,778,000","35,454,000","-15,470,000","5,223,000","-30,828,000","27,730,000","-2,893,000","15,461,000","43,953,000","47,689,000","-12,608,000","-5,600,000","16,924,000","17,005,000","-30,304,000","-4,948,000","7,610,000","-51,636,000","206,000","5,602,000","7,951,000","13,742,000","-16,789,000","3,340,000","-1,381,000","-1,885,000","16,458,000","12,559,000","-1,062,000","3,255,000","9,157,000","8,500,000","14,443,000","-18,872,000","47,437,000","39,859,000","12,572,000","-3,168,000","-2,891,000","264,000","-75,488,000","-1,663,000","-4,026,000","3,235,000","38,848,000","-8,700,000","-6,600,000","-5,600,000","21,586,000","-9,500,000","100,000","-800,000","14,612,000","0","-2,500,000","2,200,000","10,278,000","0","-500,000","1,100,000","-193,000","-1,300,000","1,400,000","-500,000","-902,000","700,000","-900,000","-200,000","1,900,000","-600,000","-700,000","-700,000","-1,100,000","-900,000","-200,000","-100,000","-1,700,000",,,,"-500,000",,,,"-500,000",
		ProvisionandWriteOffofAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-697,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
