name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"116,035,000","40,401,000","30,304,000","23,969,000","21,361,000","17,789,000","12,112,000","12,545,000","6,795,000","15,476,000","19,599,000","19,569,000","20,600,000","19,031,000","22,334,000","13,938,000","21,123,000","15,883,000","19,531,000","12,480,000","12,553,000","12,727,000","10,743,000","10,679,000","10,009,000","6,126,000","7,392,000","7,387,000","8,280,000","8,804,000","14,142,000","15,716,000","17,973,000","17,339,000","18,916,000","16,440,000","17,295,000","13,218,000","22,571,000","12,702,000","14,924,000","13,007,000","13,413,000","13,921,000","14,420,000","12,210,000","10,815,000","14,109,000","14,256,000","15,539,000","14,417,000","10,706,000","9,684,000","8,824,000","15,178,000","24,487,000","28,988,000","21,272,000","18,322,000","14,716,000","17,613,000","14,714,000","15,623,000","16,897,000","23,128,000","19,267,000","24,753,000","23,653,000","16,962,000","14,397,000","15,513,000","14,433,000","13,380,000","13,441,000","11,420,000","12,548,000","11,300,000","13,956,000"
	OperatingRevenue,"115,022,000","40,401,000","30,090,000","23,536,000","21,001,000","17,789,000","11,445,000","12,433,000","6,789,000","15,381,000","19,547,000","19,481,000","20,279,000","18,961,000","21,109,000","13,625,000","21,062,000","15,847,000","19,422,000","12,279,000","12,524,000","12,313,000","10,708,000","10,662,000","9,929,000","5,996,000","7,274,000","7,384,000","8,268,000","8,776,000","14,053,000","15,633,000","17,963,000","17,324,000","18,824,000","16,423,000","17,287,000","13,210,000","21,089,000","12,702,000","14,924,000","13,007,000","13,413,000","13,921,000","14,420,000","12,210,000","10,815,000","14,109,000","14,256,000","15,539,000","14,417,000","10,706,000","9,684,000","8,824,000","15,178,000","24,487,000","28,988,000","21,272,000","18,357,000","14,708,000","17,594,000","14,706,000","15,623,000","16,897,000","23,128,000","19,267,000","24,753,000","23,653,000","16,962,000","14,397,000","13,903,000","14,433,000","13,380,000","13,441,000","11,115,000","12,548,000","11,300,000","13,956,000"
CostOfRevenue,"21,975,000","7,734,000","5,085,000","5,028,000","4,128,000","3,819,000","3,822,000","4,693,000","4,290,000","4,797,000","5,302,000","5,008,000","5,719,000","3,919,000","3,626,000","3,792,000","3,600,000","3,440,000","4,136,000","4,115,000","2,944,000","2,742,000","2,849,000","2,982,000","3,026,000","2,743,000","3,190,000","3,641,000","3,318,000","3,499,000","3,292,000","3,955,000","4,303,000","3,956,000","4,277,000","4,887,000","4,438,000","4,671,000","17,713,000","1,434,000","1,199,000","1,032,000","1,190,000","1,212,000","1,322,000","1,151,000","924,000","1,100,000","937,000","1,210,000","762,000","1,017,000","844,000","739,000","745,000","1,491,000","1,345,000","1,191,000","1,038,000","838,000","1,023,000","968,000","924,000","1,315,000","969,000","850,000","1,107,000","1,028,000","772,000","701,000","-561,000","687,000","497,000","583,000","-795,000","592,000","534,000","782,000"
GrossProfit,"94,060,000","32,667,000","25,219,000","18,941,000","17,233,000","13,970,000","8,290,000","7,852,000","2,505,000","10,679,000","14,297,000","14,561,000","14,881,000","15,112,000","18,708,000","10,146,000","17,523,000","12,443,000","15,395,000","8,365,000","9,609,000","9,985,000","7,894,000","7,697,000","6,983,000","3,383,000","4,202,000","3,746,000","4,962,000","5,305,000","10,850,000","11,761,000","13,670,000","13,383,000","14,639,000","11,553,000","12,857,000","8,547,000","4,858,000","11,268,000","13,725,000","11,975,000","12,223,000","12,709,000","13,098,000","11,059,000","9,891,000","13,009,000","13,319,000","14,329,000","13,655,000","9,689,000","8,840,000","8,085,000","14,433,000","22,996,000","27,643,000","20,081,000","17,284,000","13,878,000","16,590,000","13,746,000","14,699,000","15,582,000","22,159,000","18,417,000","23,646,000","22,625,000","16,190,000","13,696,000","16,074,000","13,746,000","12,883,000","12,858,000","12,215,000","11,956,000","10,766,000","13,174,000"
OperatingExpense,"5,063,000","2,043,000","1,386,000","910,000","724,000","2,169,000","1,995,000","2,233,000","1,313,000","1,918,000","1,974,000","1,694,000","1,285,000","1,133,000","1,407,000","867,000","1,159,000","1,480,000","1,166,000","1,141,000","1,160,000","1,463,000","1,023,000","1,050,000","1,032,000","1,885,000","1,479,000","1,065,000","1,148,000","1,275,000","2,146,000","796,000","1,059,000","1,136,000","1,489,000","835,000","973,000","899,000","-11,407,000","4,744,000","5,363,000","5,115,000","6,051,000","5,645,000","5,342,000","5,398,000","5,468,000","5,850,000","5,393,000","5,405,000","5,394,000","5,295,000","4,290,000","4,335,000","4,876,000","4,519,000","4,508,000","4,801,000","5,016,000","4,738,000","4,640,000","4,764,000","4,883,000","5,520,000","5,564,000","5,555,000","5,504,000","6,271,000","6,079,000","5,883,000","7,909,000","5,903,000","5,770,000","6,143,000","7,935,000","28,780,000","7,532,000","9,309,000"
	SellingGeneralAndAdministration,"5,063,000","2,043,000","1,386,000","910,000","724,000","2,169,000","1,995,000","2,233,000","1,313,000","1,918,000","1,974,000","1,694,000","1,285,000","1,133,000","1,407,000","867,000","1,159,000","1,480,000","1,166,000","1,141,000","1,160,000","1,463,000","1,023,000","1,050,000","1,032,000","1,885,000","1,479,000","1,065,000","1,148,000","1,275,000","2,146,000","796,000","1,059,000","1,136,000","1,489,000","835,000","973,000","899,000","1,386,000","745,000","881,000","803,000","1,343,000","828,000","761,000","1,156,000","1,322,000","782,000","854,000","1,170,000","1,092,000","771,000","817,000","1,035,000","1,350,000","744,000","860,000","1,011,000","1,106,000","775,000","767,000","943,000","721,000","733,000","751,000","847,000","807,000","612,000","714,000","746,000","1,223,000","800,000","748,000","842,000","741,000","22,180,000","860,000","4,338,000"
		GeneralAndAdministrativeExpense,"5,063,000","2,043,000","1,386,000","910,000","724,000","2,169,000","1,995,000","2,233,000","1,313,000","1,918,000","1,974,000","1,694,000","1,285,000","1,133,000","1,407,000","867,000","1,159,000","1,480,000","1,166,000","1,141,000","1,160,000","1,463,000","1,023,000","1,050,000","1,032,000","1,885,000","1,479,000","1,065,000","1,148,000","1,275,000","2,146,000","796,000","1,059,000","1,136,000","1,489,000","835,000","973,000","899,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"5,063,000","2,043,000","1,386,000","910,000","724,000","2,169,000","1,995,000","2,233,000","1,313,000","1,918,000","1,974,000","1,694,000","1,285,000","1,133,000","1,407,000","867,000","1,159,000","1,480,000","1,166,000","1,141,000","1,160,000","1,463,000","1,023,000","1,050,000","1,032,000","1,885,000","1,479,000","1,065,000","1,148,000","1,275,000","2,146,000","796,000","1,059,000","1,136,000","1,489,000","835,000","973,000","899,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,"2,859,000","2,795,000","1,893,000","1,755,000","1,936,000","2,080,000","2,255,000","2,236,000","2,214,000","3,048,000","2,341,000","2,465,000","2,157,000","2,610,000","2,766,000","2,517,000","2,942,000","3,547,000","3,268,000","3,386,000","3,790,000","3,999,000","4,482,000","4,312,000","4,708,000","4,817,000","4,581,000","4,242,000","4,146,000","5,068,000","4,539,000","4,235,000","4,302,000","4,524,000","3,473,000","3,300,000","3,526,000","3,775,000","3,648,000","3,790,000","3,910,000","3,963,000","3,873,000","3,821,000","4,162,000","4,787,000","4,813,000","4,708,000","4,697,000","5,659,000","5,365,000","5,137,000","5,369,000","5,103,000","5,022,000","5,301,000","5,396,000","6,600,000","6,672,000","4,971,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,465,000","2,157,000","2,610,000","2,766,000","2,517,000",,,"3,268,000","3,386,000","3,790,000","3,999,000","4,482,000","4,312,000",,"4,817,000","4,581,000","4,242,000",,"5,068,000","4,539,000","4,235,000",,"4,524,000","3,473,000","3,300,000",,"3,775,000","3,648,000","3,790,000","3,910,000","3,963,000","3,873,000","3,821,000","4,162,000","4,787,000","4,813,000","4,708,000","4,697,000","5,659,000","5,365,000","5,137,000","5,369,000","5,103,000","5,022,000","5,301,000","5,396,000","6,600,000","6,672,000","4,971,000"
