name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalAssets,"3,133,254,000","3,145,254,000","3,102,658,000","3,093,580,000","3,116,731,000","3,060,995,000"
	CurrentAssets,"149,658,000","156,897,000","163,980,000","146,821,000","171,017,000","164,093,000"
		CashCashEquivalentsAndShortTermInvestments,"31,615,000","38,562,000","45,509,000","38,121,000","51,508,000","38,508,000"
			CashAndCashEquivalents,"31,615,000","38,562,000","44,895,000","37,377,000","50,650,000","37,460,000"
			OtherShortTermInvestments,,"0","614,000","744,000","858,000","1,048,000"
		Receivables,"56,428,000","62,153,000","60,069,000","49,207,000","66,966,000","74,351,000"
			AccountsReceivable,"44,705,000","41,132,000","60,069,000","49,207,000","66,966,000","39,624,000"
			TaxesReceivable,"11,723,000","14,662,000",,,,"7,424,000"
			DuefromRelatedPartiesCurrent,,"423,000",,,,"416,000"
			OtherReceivables,,"5,936,000",,,,"26,887,000"
		Inventory,"41,045,000","34,851,000","36,141,000","38,500,000","37,962,000","38,519,000"
			RawMaterials,"17,042,000","15,278,000","15,052,000","15,915,000","15,380,000","16,263,000"
			WorkInProcess,"444,000","700,000","393,000","603,000","570,000","871,000"
			FinishedGoods,"23,559,000","18,873,000","20,696,000","21,982,000","22,012,000","21,385,000"
		PrepaidAssets,"19,894,000","20,701,000","22,068,000","20,911,000","14,453,000","12,692,000"
		RestrictedCash,"676,000","630,000","193,000","82,000","128,000","23,000"
	TotalNonCurrentAssets,"2,983,596,000","2,988,357,000","2,938,678,000","2,946,759,000","2,945,714,000","2,896,902,000"
		NetPPE,"874,883,000","874,086,000","838,159,000","829,415,000","820,591,000","794,943,000"
			GrossPPE,"874,883,000","1,138,749,000","838,159,000","829,415,000","820,591,000","1,008,788,000"
				Properties,,"0",,,,"0"
				LandAndImprovements,,"12,931,000",,,,"13,187,000"
				BuildingsAndImprovements,,"146,923,000",,,,"141,853,000"
				MachineryFurnitureEquipment,,"287,658,000",,,,"252,146,000"
