name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017
OperatingCashFlow,"567,156,000","196,286,000","87,792,000","105,409,000","177,669,000","135,597,000","62,233,000","57,443,000","118,134,000","59,144,000","45,505,000","-1,869,000","26,405,000","45,655,000","34,137,000","4,261,000","22,696,000","14,992,000","31,960,000","11,618,000","12,098,000","-697,000"
	CashFlowFromContinuingOperatingActivities,"567,156,000","196,286,000","87,792,000","105,409,000","177,669,000","135,597,000","62,233,000","57,443,000","118,134,000","59,144,000","45,505,000","-1,869,000","26,405,000","45,655,000","34,137,000","4,261,000","22,696,000","14,992,000","31,960,000","11,618,000","12,098,000","-697,000"
		NetIncomeFromContinuingOperations,"-88,995,000","-27,373,000","-30,445,000","-5,676,000","-25,501,000","-8,354,000","-72,412,000","-58,491,000","-64,560,000","-47,804,000","-47,407,000","-46,598,000","-68,632,000","-45,722,000","-66,244,000","-52,813,000","-36,714,000","-270,687,000","-6,352,000","-14,505,000","-12,037,000","-19,382,000"
		OperatingGainsLosses,,,,,,"-5,119,000","33,752,000",,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,"-5,119,000",,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"83,177,000","21,301,000","20,750,000","20,166,000","20,960,000","20,037,000","19,635,000","19,479,000","17,937,000","14,039,000","13,266,000","12,655,000","8,162,000","16,099,000","12,003,000","10,343,000","7,081,000","8,600,000","8,017,000","8,318,000","7,699,000","7,686,000"
			DepreciationAndAmortization,"83,177,000","21,301,000","20,750,000","20,166,000","20,960,000","20,037,000","19,635,000","19,479,000","17,937,000","14,039,000","13,266,000","12,655,000","8,162,000","16,099,000","12,003,000","10,343,000","7,081,000","8,600,000","8,017,000","8,318,000","7,699,000","7,686,000"
				Depreciation,,,,,,,,,,,,,"8,162,000","16,099,000","12,003,000","10,343,000","7,081,000","8,600,000","-2,026,000","8,318,000","7,699,000","7,686,000"
		DeferredTax,"1,177,000","72,000","3,729,000","-1,110,000","-1,514,000","264,000","-1,360,000","-766,000","-180,000","-104,000","1,245,000","14,000","-24,000","52,000","2,346,000","-7,335,000","-6,000","-6,000","-1,054,000","58,000","13,000","-13,000"
			DeferredIncomeTax,"1,177,000","72,000","3,729,000","-1,110,000","-1,514,000","264,000","-1,360,000","-766,000","-180,000","-104,000","1,245,000","14,000","-24,000","52,000","2,346,000","-7,335,000","-6,000","-6,000","-1,054,000","58,000","13,000","-13,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,"9,900,000",,,,,
		AssetImpairmentCharge,,,,,"3,892,000",,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,"0","-5,119,000",,,,,,,,,,,,,,,,
		StockBasedCompensation,"437,628,000","110,723,000","118,006,000","109,441,000","99,458,000","81,637,000","83,639,000","80,920,000","68,767,000","53,551,000","55,605,000","52,736,000","55,792,000","42,271,000","49,271,000","51,748,000","40,165,000","269,794,000","6,234,000","6,595,000","8,512,000","8,406,000"
		OtherNonCashItems,"210,017,000","56,623,000","55,849,000","46,997,000","45,429,000","37,955,000","-34,165,000","41,299,000","36,574,000","35,030,000","33,122,000","30,065,000","31,040,000","19,603,000","21,462,000","12,686,000","6,800,000","11,471,000","6,642,000","9,536,000","6,255,000","6,210,000"
		ChangeInWorkingCapital,"-75,848,000","34,940,000","-80,097,000","-65,636,000","34,945,000","9,177,000","33,144,000","-24,998,000","59,596,000","4,432,000","-10,326,000","-50,741,000","67,000","13,352,000","15,299,000","-10,368,000","5,370,000","-4,180,000","20,319,000","1,616,000","1,656,000","-3,604,000"
			ChangeInReceivables,"-48,029,000","139,270,000","-132,878,000","-21,269,000","-33,152,000","74,812,000","-56,682,000","-42,043,000","10,225,000","16,499,000","-72,662,000","-23,130,000","-23,722,000","54,713,000","-42,507,000","-12,394,000","-5,634,000","22,168,000","-45,660,000","-1,484,000","594,000","11,539,000"
				ChangesInAccountReceivables,"-50,507,000","140,078,000","-135,349,000","-20,871,000","-34,365,000","73,205,000","-62,484,000","-36,583,000","7,915,000","17,239,000","-78,377,000","-20,812,000","-21,518,000","57,414,000","-43,937,000","-14,019,000","-4,237,000","19,622,000","-41,039,000","-146,000","1,531,000","11,577,000"
			ChangeInPrepaidAssets,"-7,755,000","-16,351,000","5,816,000","-2,523,000","5,303,000","-15,670,000","680,000","3,553,000","4,272,000","-9,660,000","-1,106,000","1,121,000","3,950,000","-7,107,000","-900,000","1,023,000","3,113,000","-6,519,000","1,124,000","-3,472,000","4,914,000","-5,570,000"
			ChangeInPayablesAndAccruedExpense,"15,440,000","-18,049,000","4,387,000","11,010,000","18,092,000","-10,513,000","23,676,000","7,622,000","21,455,000","-3,470,000","3,660,000","-4,485,000","7,303,000","6,724,000","-786,000","348,000","1,188,000","-3,916,000","13,183,000","2,461,000","-3,617,000","-3,171,000"
				ChangeInPayable,"10,544,000","-23,197,000","5,445,000","16,146,000","12,150,000","-21,593,000","8,473,000","-2,620,000","8,829,000","-2,554,000","1,543,000","718,000","1,306,000","282,000","-1,390,000","-956,000","2,184,000","-7,218,000","8,409,000","726,000","-4,146,000","-2,125,000"
					ChangeInAccountPayable,"10,544,000","-23,197,000","5,445,000","16,146,000","12,150,000","-21,593,000","8,473,000","-2,620,000","8,829,000","-2,554,000","1,543,000","718,000","1,306,000","282,000","-1,390,000","-956,000","2,184,000","-7,218,000","8,409,000","726,000","-4,146,000","-2,125,000"
				ChangeInAccruedExpense,"4,896,000","5,148,000","-1,058,000","-5,136,000","5,942,000","11,080,000","15,203,000","10,242,000","12,626,000","-916,000","2,117,000","-5,203,000","5,997,000","6,442,000","604,000","1,304,000","-996,000","3,302,000","4,774,000","1,735,000","529,000","-1,046,000"
			ChangeInOtherCurrentAssets,"-19,873,000","-6,651,000","-2,677,000","-7,036,000","-3,509,000","-3,167,000","457,000","-331,000","-4,768,000","-1,364,000","612,000","-33,000","418,000","541,000","656,000","667,000","895,000","440,000","-2,302,000","-165,000","-1,052,000","884,000"
			ChangeInOtherCurrentLiabilities,"-33,382,000","-8,259,000","-8,642,000","-7,979,000","-8,502,000","-7,731,000","-7,379,000","-7,296,000","-7,504,000","406,000","-3,738,000","-3,688,000","-3,493,000","-3,705,000","-3,294,000","3,456,000","-210,000","438,000","2,212,000","1,873,000","-751,000","389,000"
			ChangeInOtherWorkingCapital,"17,751,000","-55,020,000","53,897,000","-37,839,000","56,713,000","-28,554,000","72,392,000","13,497,000","35,916,000","2,021,000","62,908,000","-20,526,000","15,611,000","-37,814,000","58,836,000","-12,000","5,808,000","-16,353,000","53,974,000","4,276,000","817,000","-7,286,000"
InvestingCashFlow,"-154,917,000","-62,514,000","-5,224,000","-52,808,000","-34,371,000","-70,506,000","-18,835,000","9,691,000","-79,295,000","169,668,000","29,306,000","-19,067,000","-18,237,000","-313,491,000","-426,449,000","-227,355,000","-4,336,000","-6,184,000","-3,536,000","-4,603,000","-3,852,000","-6,770,000"
	CashFlowFromContinuingInvestingActivities,"-154,917,000","-62,514,000","-5,224,000","-52,808,000","-34,371,000","-70,506,000","-18,835,000","9,691,000","-79,295,000","169,668,000","29,306,000","-19,067,000","-18,237,000","-313,491,000","-426,449,000","-227,355,000","-4,336,000","-6,184,000","-3,536,000","-4,603,000","-3,852,000","-6,770,000"
		NetPPEPurchaseAndSale,"-70,509,000","-21,709,000","-17,470,000","-15,392,000","-15,938,000","-12,596,000","-18,251,000","-19,393,000","-18,362,000","-26,389,000","-29,975,000","-12,280,000","-14,554,000","-15,237,000","-11,317,000","-8,576,000","-4,336,000","-6,184,000","-3,237,000","-4,603,000","-4,319,000","-6,770,000"
			PurchaseOfPPE,"-70,509,000","-21,709,000","-17,470,000","-15,392,000","-15,938,000","-12,596,000","-18,251,000","-19,393,000","-18,362,000","-26,389,000","-29,975,000","-12,280,000","-14,554,000","-15,237,000","-11,317,000","-8,576,000","-4,336,000","-6,184,000","-3,237,000","-4,603,000","-4,319,000","-6,770,000"
		NetBusinessPurchaseAndSale,,,"0","0","-6,388,000",,"0","0","-180,370,000",,"0","0",,,"0","-218,779,000","0",,"-299,000","0",,
			PurchaseOfBusiness,,,"0","0","-6,388,000",,"0","0","-180,370,000",,"0","0",,,"0","-218,779,000",,,"-299,000",,,
			SaleOfBusiness,,,,,,,,,,,,,,,"0","0","0",,"0","0",,
		NetInvestmentPurchaseAndSale,"-78,020,000","-40,805,000","12,246,000","-37,416,000","-12,045,000","-57,910,000","-584,000","29,084,000","119,437,000","196,057,000","59,281,000","-6,787,000","-3,683,000","-298,254,000","-415,132,000",,,,,,,
			PurchaseOfInvestment,"-420,313,000","-131,860,000","-82,366,000","-117,384,000","-88,703,000","-97,425,000","-84,340,000","-74,282,000","-11,908,000","-3,000,000","-107,318,000","-223,048,000","-155,675,000","-390,711,000","-415,132,000",,,,,,,
			SaleOfInvestment,"342,293,000","91,055,000","94,612,000","79,968,000","76,658,000","39,515,000","83,756,000","103,366,000","131,345,000","199,057,000","166,599,000","216,261,000","151,992,000","92,457,000",,,,,,,,
FinancingCashFlow,"-280,317,000","1,350,000","-73,930,000","-65,387,000","-142,350,000","-112,954,000","143,459,000","-95,203,000","-81,734,000","-25,498,000","-31,302,000","-6,186,000","-19,647,000","-13,320,000","-181,055,000","498,070,000","530,480,000","5,621,000","4,172,000","8,047,000","7,679,000","5,830,000"
	CashFlowFromContinuingFinancingActivities,"-280,317,000","1,350,000","-73,930,000","-65,387,000","-142,350,000","-112,954,000","143,459,000","-95,203,000","-81,734,000","-25,498,000","-31,302,000","-6,186,000","-19,647,000","-13,320,000","-181,055,000","498,070,000","530,480,000","5,621,000","4,172,000","8,047,000","7,679,000","5,830,000"
		NetIssuancePaymentsOfDebt,"-41,222,000","0","-13,071,000","-3,121,000","-25,030,000","-36,684,000","293,171,000",,,,"0","0",,,"0","560,756,000",,,"0",,,
